newCueKey,action,oldCueKeys,flow,category,trigger,exactScript,isComposable,compositionRole,firstUseOrRepeat,priorityClass,interruptPolicy,estimatedClaraMs,estimatedMarcusMs,targetMaxMs,wordCount,requiredForVoiceFirst,sourceContract,implementationPhase,reviewStatus,notes
training-intro,rewrite_same_key,training-intro,training,session_intro,Training session entry after launch.,"Time to train. I will guide each setup, set, and rest. Follow my voice; the screen is here for backup.",false,whole_recording,first_use,instruction,finish_before_countdown; cancel_if_state_changes,7210,7090,12000,20,true,,phase_3,needs_human_review,
center-yourself,rewrite_same_key,center-yourself,shared,setup.prompt,Subject off-center.,Move to the center of the view.,false,whole_recording,first_use,instruction,finish_before_countdown; cancel_if_state_changes,2686,2644,4000,7,true,,phase_5,needs_human_review,
step-back,rewrite_same_key,step-back,shared,setup.prompt,Subject too close.,Move a little farther back.,false,whole_recording,first_use,instruction,finish_before_countdown; cancel_if_state_changes,1990,1960,4000,5,true,,phase_5,needs_human_review,
step-closer,rewrite_same_key,step-closer,shared,setup.prompt,Subject too far.,Move a little closer.,false,whole_recording,first_use,instruction,finish_before_countdown; cancel_if_state_changes,1642,1618,4000,4,true,,phase_5,needs_human_review,
hold-still,rewrite_same_key,hold-still,shared,setup.prompt,Calibration needs a steady pose.,Hold still for a moment.,false,whole_recording,first_use,instruction,finish_before_countdown; cancel_if_state_changes,1990,1960,4000,5,true,,phase_5,needs_human_review,
turn-on-light,rewrite_same_key,turn-on-light,shared,setup.prompt,Low-light confidence problem.,Turn on the main light.,false,whole_recording,first_use,instruction,finish_before_countdown; cancel_if_state_changes,1990,1960,4000,5,true,,phase_5,needs_human_review,
visibility-problem-v2,new,,shared,setup.prompt,Visibility problem that is not confirmed low light.,I need a clearer view. Check the light and make sure your whole body is visible.,false,whole_recording,first_use,instruction,finish_before_countdown; cancel_if_state_changes,5818,5722,6000,16,true,,phase_5,needs_human_review,
framing-ready,rewrite_same_key,framing-ready,shared,setup.prompt,Readiness accepted before instructions.,You are framed. Stay there.,false,whole_recording,first_use,instruction,finish_before_countdown; cancel_if_state_changes,1990,1960,3000,5,true,,phase_5,needs_human_review,
camera-turn-side-next-v2,new,,shared,orientation.transition,Next movement needs side view.,Next movement: turn side-on to the phone.,false,whole_recording,first_use,instruction,finish_before_countdown; cancel_if_state_changes,2686,2644,4000,7,true,,phase_5,needs_human_review,
camera-face-front-next-v2,new,,shared,orientation.transition,Next movement needs front view.,Next movement: face the phone.,false,whole_recording,first_use,instruction,finish_before_countdown; cancel_if_state_changes,1990,1960,4000,5,true,,phase_5,needs_human_review,
camera-turn-side-correction-v2,new,,shared,orientation.correction,Current movement needs side view.,Turn side-on and hold still.,false,whole_recording,first_use,instruction,finish_before_countdown; cancel_if_state_changes,1990,1960,4000,5,true,,phase_5,needs_human_review,
camera-face-front-correction-v2,new,,shared,orientation.correction,Current movement needs front view.,Face the phone and hold still.,false,whole_recording,first_use,instruction,finish_before_countdown; cancel_if_state_changes,2338,2302,4000,6,true,,phase_5,needs_human_review,
tracking-lost-v2,new,,shared,recovery.tracking_loss,Tracking lost during active work.,I lost your position. Return to the setup spot and hold still.,false,whole_recording,first_use,instruction,finish_before_countdown; cancel_if_state_changes,4426,4354,6000,12,true,,phase_5,needs_human_review,
tracking-recovered-v2,new,,shared,recovery.tracking_recovered,User returned after tracking loss.,You are back in view. We will restart the count.,false,whole_recording,first_use,instruction,finish_before_countdown; cancel_if_state_changes,3730,3670,5000,10,true,,phase_5,needs_human_review,
pause-confirmation-v2,new,,shared,control.pause,Pause request accepted.,Paused.,false,whole_recording,first_use,instruction,finish_before_countdown; cancel_if_state_changes,598,592,4000,1,true,,phase_5,needs_human_review,
resume-confirmation-v2,new,,shared,control.resume,Resume request accepted before fresh countdown.,Resuming.,false,whole_recording,first_use,instruction,finish_before_countdown; cancel_if_state_changes,598,592,4000,1,true,,phase_5,needs_human_review,
repeat-instructions-v2,new,,shared,control.repeat,User asks to repeat movement setup.,Repeating the setup.,false,whole_recording,first_use,instruction,finish_before_countdown; cancel_if_state_changes,1294,1276,4000,3,true,,phase_5,needs_human_review,
retry-confirmation-v2,new,,shared,control.retry,Retry accepted.,We will try again.,false,whole_recording,first_use,instruction,finish_before_countdown; cancel_if_state_changes,1642,1618,4000,4,true,,phase_5,needs_human_review,
skip-confirmation-v2,new,,shared,control.skip,Training or check-up item skipped.,Skipped. Moving on.,false,whole_recording,first_use,instruction,finish_before_countdown; cancel_if_state_changes,1294,1276,4000,3,true,,phase_5,needs_human_review,
discard-confirmation-v2,new,,micro_check_up,control.discard,Micro-check attempt discarded.,Discarded.,false,whole_recording,first_use,instruction,finish_before_countdown; cancel_if_state_changes,598,592,4000,1,true,,phase_7,needs_human_review,
thats-your-set,rewrite_same_key,thats-your-set,training,set.completion,Set ended by target or autoregulation.,That is your set.,false,whole_recording,first_use,instruction,finish_before_countdown; cancel_if_state_changes,1642,1618,5000,4,true,,phase_5,needs_human_review,
rest-now,rewrite_same_key,rest-now,training,rest,Rest begins between sets.,Rest now. I will start the next set.,false,whole_recording,first_use,instruction,finish_before_countdown; cancel_if_state_changes,3034,2986,6000,8,true,,phase_5,needs_human_review,
last-set,rewrite_same_key,last-set,training,rest,Rest begins before final set.,Rest now. The next set is your last.,false,whole_recording,first_use,instruction,finish_before_countdown; cancel_if_state_changes,3034,2986,6000,8,true,,phase_5,needs_human_review,
next-up,rewrite_same_key,next-up,training,transition,Next training item transition.,Next exercise.,false,whole_recording,first_use,instruction,finish_before_countdown; cancel_if_state_changes,946,934,4000,2,true,,phase_5,needs_human_review,
session-complete,rewrite_same_key,session-complete,training,completion,Training session completed.,"Session complete. Have some water, and enjoy the rest of your day.",false,whole_recording,first_use,instruction,finish_before_countdown; cancel_if_state_changes,4426,4354,7000,12,true,,phase_5,needs_human_review,
progress-halfway-v2,new,,shared,progress,Halfway through a timed set or hold of at least 20 seconds.,Halfway.,false,whole_recording,first_use,instruction,finish_before_countdown; cancel_if_state_changes,598,592,3000,1,true,,phase_4,needs_human_review,
progress-ten-sec-left-v2,new,,shared,progress,Ten seconds left in a timed set of at least 30 seconds.,Ten seconds left.,false,whole_recording,first_use,instruction,finish_before_countdown; cancel_if_state_changes,1294,1276,3000,3,true,,phase_4,needs_human_review,
progress-five-sec-left-v2,new,,shared,progress,Five seconds left in a hold or timed set.,Five seconds left.,false,whole_recording,first_use,instruction,finish_before_countdown; cancel_if_state_changes,1294,1276,3000,3,true,,phase_4,needs_human_review,
side-left-v2,new,,shared,dynamic.side,Composable side fragment.,Left side.,false,whole_recording,first_use,instruction,finish_before_countdown; cancel_if_state_changes,946,934,2500,2,true,,phase_4,needs_human_review,
side-right-v2,new,,shared,dynamic.side,Composable side fragment.,Right side.,false,whole_recording,first_use,instruction,finish_before_countdown; cancel_if_state_changes,946,934,2500,2,true,,phase_4,needs_human_review,
side-switch-v2,new,,shared,dynamic.side,Between-side switch cue.,Switch sides.,false,whole_recording,first_use,instruction,finish_before_countdown; cancel_if_state_changes,946,934,3000,2,true,,phase_4,needs_human_review,
set-plan-1-v2,new,,training,dynamic.set_plan,First exposure for a one-set exercise.,One set today.,false,whole_recording,first_use,instruction,finish_before_countdown; cancel_if_state_changes,1294,1276,3000,3,true,,phase_4,needs_human_review,
set-plan-2-v2,new,,training,dynamic.set_plan,First exposure for a two-set exercise.,Two sets today.,false,whole_recording,first_use,instruction,finish_before_countdown; cancel_if_state_changes,1294,1276,3000,3,true,,phase_4,needs_human_review,
set-plan-3-v2,new,,training,dynamic.set_plan,First exposure for a three-set exercise.,Three sets today.,false,whole_recording,first_use,instruction,finish_before_countdown; cancel_if_state_changes,1294,1276,3000,3,true,,phase_4,needs_human_review,
target-10-reps-v2,new,,training,dynamic.target,Spoken after exact exercise instruction or later-set reminder.,Aim for ten reps.,true,target_phrase,both,instruction,finish_before_countdown; cancel_if_state_changes,1642,1618,4000,4,true,Production training prescriptions and micro-check targets.,phase_4,needs_human_review,
target-12-reps-v2,new,,training,dynamic.target,Spoken after exact exercise instruction or later-set reminder.,Aim for twelve reps.,true,target_phrase,both,instruction,finish_before_countdown; cancel_if_state_changes,1642,1618,4000,4,true,Production training prescriptions and micro-check targets.,phase_4,needs_human_review,
target-12-sec-capture-v2,new,,training,dynamic.target,Spoken after exact exercise instruction or later-set reminder.,Hold the reach for twelve seconds.,true,target_phrase,both,instruction,finish_before_countdown; cancel_if_state_changes,2338,2302,4000,6,true,Production training prescriptions and micro-check targets.,phase_4,needs_human_review,
target-14-sec-capture-v2,new,,training,dynamic.target,Spoken after exact exercise instruction or later-set reminder.,Move slowly for fourteen seconds.,true,target_phrase,both,instruction,finish_before_countdown; cancel_if_state_changes,1990,1960,4000,5,true,Production training prescriptions and micro-check targets.,phase_4,needs_human_review,
target-15-reps-v2,new,,training,dynamic.target,Spoken after exact exercise instruction or later-set reminder.,Aim for fifteen reps.,true,target_phrase,both,instruction,finish_before_countdown; cancel_if_state_changes,1642,1618,4000,4,true,Production training prescriptions and micro-check targets.,phase_4,needs_human_review,
target-15-sec-hold-v2,new,,training,dynamic.target,Spoken after exact exercise instruction or later-set reminder.,Hold for fifteen seconds.,true,target_phrase,both,instruction,finish_before_countdown; cancel_if_state_changes,1642,1618,4000,4,true,Production training prescriptions and micro-check targets.,phase_4,needs_human_review,
target-16-reps-v2,new,,training,dynamic.target,Spoken after exact exercise instruction or later-set reminder.,Aim for sixteen reps.,true,target_phrase,both,instruction,finish_before_countdown; cancel_if_state_changes,1642,1618,4000,4,true,Production training prescriptions and micro-check targets.,phase_4,needs_human_review,
target-18-reps-v2,new,,training,dynamic.target,Spoken after exact exercise instruction or later-set reminder.,Aim for eighteen reps.,true,target_phrase,both,instruction,finish_before_countdown; cancel_if_state_changes,1642,1618,4000,4,true,Production training prescriptions and micro-check targets.,phase_4,needs_human_review,
target-20-sec-hold-v2,new,,training,dynamic.target,Spoken after exact exercise instruction or later-set reminder.,Hold for twenty seconds.,true,target_phrase,both,instruction,finish_before_countdown; cancel_if_state_changes,1642,1618,4000,4,true,Production training prescriptions and micro-check targets.,phase_4,needs_human_review,
target-30-sec-move-v2,new,,training,dynamic.target,Spoken after exact exercise instruction or later-set reminder.,Move for thirty seconds.,true,target_phrase,both,instruction,finish_before_countdown; cancel_if_state_changes,1642,1618,4000,4,true,Production training prescriptions and micro-check targets.,phase_4,needs_human_review,
target-5-fast-stands-v2,new,,training,dynamic.target,Spoken after exact exercise instruction or later-set reminder.,Five quick stands.,true,target_phrase,both,instruction,finish_before_countdown; cancel_if_state_changes,1294,1276,4000,3,true,Production training prescriptions and micro-check targets.,phase_4,needs_human_review,
target-8-reps-v2,new,,training,dynamic.target,Spoken after exact exercise instruction or later-set reminder.,Aim for eight reps.,true,target_phrase,both,instruction,finish_before_countdown; cancel_if_state_changes,1642,1618,4000,4,true,Production training prescriptions and micro-check targets.,phase_4,needs_human_review,
ex-balance-feet-together-hold-first-v2,replace_with_new_key,ex-balance,training,exercise.first_use,First set setup for Feet-Together Hold.,"Feet-together hold. Stand with feet together, fingertips near support, and keep your eyes open.",false,whole_recording,first_use,instruction,finish_before_countdown; cancel_if_state_changes,5122,5038,12000,14,true,balance-feet-together-hold,phase_2,needs_human_review,
ex-balance-feet-together-hold-next-v2,new,,training,exercise.later_set,Later set reminder for Feet-Together Hold.,Feet-together hold.,false,whole_recording,repeat,instruction,finish_before_countdown; cancel_if_state_changes,946,934,7000,2,true,balance-feet-together-hold,phase_2,needs_human_review,
ex-balance-single-leg-hold-first-v2,replace_with_new_key,ex-balance,training,exercise.first_use,First set setup for Single-Leg Hold.,"Single-leg hold. Start on your left leg, lift the right foot just off the floor, fingertips near support.",false,whole_recording,first_use,instruction,finish_before_countdown; cancel_if_state_changes,6514,6406,12000,18,true,balance-single-leg-hold,phase_2,needs_human_review,
ex-balance-single-leg-hold-next-v2,new,,training,exercise.later_set,Later set reminder for Single-Leg Hold.,Single-leg hold.,false,whole_recording,repeat,instruction,finish_before_countdown; cancel_if_state_changes,946,934,7000,2,true,balance-single-leg-hold,phase_2,needs_human_review,
ex-balance-single-leg-hold-side-switch-v2,new,,training,exercise.side_switch,Side switch after a set of Single-Leg Hold.,Switch standing legs for the next set.,false,whole_recording,repeat,instruction,finish_before_countdown; cancel_if_state_changes,2686,2644,5000,7,true,balance-single-leg-hold,phase_4,needs_human_review,
ex-balance-tandem-hold-first-v2,replace_with_new_key,ex-balance,training,exercise.first_use,First set setup for Tandem Hold.,"Tandem hold. Put your left foot directly in front, heel to toe, fingertips near support.",false,whole_recording,first_use,instruction,finish_before_countdown; cancel_if_state_changes,5470,5380,12000,15,true,balance-tandem-hold,phase_2,needs_human_review,
ex-balance-tandem-hold-next-v2,new,,training,exercise.later_set,Later set reminder for Tandem Hold.,Tandem hold.,false,whole_recording,repeat,instruction,finish_before_countdown; cancel_if_state_changes,946,934,7000,2,true,balance-tandem-hold,phase_2,needs_human_review,
ex-balance-tandem-hold-side-switch-v2,new,,training,exercise.side_switch,Side switch after a set of Tandem Hold.,Switch foot positions for the next set.,false,whole_recording,repeat,instruction,finish_before_countdown; cancel_if_state_changes,2686,2644,5000,7,true,balance-tandem-hold,phase_4,needs_human_review,
ex-band-pull-apart-first-v2,new,,training,exercise.first_use,First set setup for Band Pull-Apart.,"Band pull-apart. Hold a light band at chest height with both hands. Pull wide, then return slowly.",false,whole_recording,first_use,instruction,finish_before_countdown; cancel_if_state_changes,6166,6064,12000,17,true,band-pull-apart,phase_2,needs_human_review,
ex-band-pull-apart-next-v2,new,,training,exercise.later_set,Later set reminder for Band Pull-Apart.,Band pull-apart.,false,whole_recording,repeat,instruction,finish_before_countdown; cancel_if_state_changes,946,934,7000,2,true,band-pull-apart,phase_2,needs_human_review,
ex-chair-supported-split-squat-first-v2,replace_with_new_key,ex-squat,training,exercise.first_use,First set setup for Chair-Supported Split Squat.,"Chair-supported split squat. Start with your left foot forward, fingertips near support. Bend both knees slightly, then stand tall.",false,whole_recording,first_use,instruction,finish_before_countdown; cancel_if_state_changes,6862,6748,12000,19,true,chair-supported-split-squat,phase_2,needs_human_review,
ex-chair-supported-split-squat-next-v2,new,,training,exercise.later_set,Later set reminder for Chair-Supported Split Squat.,Chair-supported split squat.,false,whole_recording,repeat,instruction,finish_before_countdown; cancel_if_state_changes,1294,1276,7000,3,true,chair-supported-split-squat,phase_2,needs_human_review,
ex-chair-supported-split-squat-side-switch-v2,new,,training,exercise.side_switch,Side switch after a set of Chair-Supported Split Squat.,Switch sides for the next set.,false,whole_recording,repeat,instruction,finish_before_countdown; cancel_if_state_changes,2338,2302,5000,6,true,chair-supported-split-squat,phase_4,needs_human_review,
ex-glute-bridge-hold-first-v2,replace_with_new_key,ex-glute-bridge,training,exercise.first_use,First set setup for Bridge Hold.,"Bridge hold. Lie on your back, knees bent and feet flat. Lift your hips and hold.",false,whole_recording,first_use,instruction,finish_before_countdown; cancel_if_state_changes,5818,5722,12000,16,true,glute-bridge-hold,phase_2,needs_human_review,
ex-glute-bridge-hold-next-v2,new,,training,exercise.later_set,Later set reminder for Bridge Hold.,Bridge hold.,false,whole_recording,repeat,instruction,finish_before_countdown; cancel_if_state_changes,946,934,7000,2,true,glute-bridge-hold,phase_2,needs_human_review,
ex-glute-bridge-reps-first-v2,replace_with_new_key,ex-glute-bridge,training,exercise.first_use,First set setup for Glute Bridge.,"Glute bridge. Lie on your back, knees bent and feet flat. Lift your hips, then lower with control.",false,whole_recording,first_use,instruction,finish_before_countdown; cancel_if_state_changes,6514,6406,12000,18,true,glute-bridge-reps,phase_2,needs_human_review,
ex-glute-bridge-reps-next-v2,new,,training,exercise.later_set,Later set reminder for Glute Bridge.,Glute bridge.,false,whole_recording,repeat,instruction,finish_before_countdown; cancel_if_state_changes,946,934,7000,2,true,glute-bridge-reps,phase_2,needs_human_review,
ex-heel-raise-free-first-v2,replace_with_new_key,ex-heel-raise,training,exercise.first_use,First set setup for Heel Raise.,"Heel raise. Stand tall. Rise onto the balls of your feet, then lower slowly.",false,whole_recording,first_use,instruction,finish_before_countdown; cancel_if_state_changes,5122,5038,12000,14,true,heel-raise-free,phase_2,needs_human_review,
ex-heel-raise-free-next-v2,new,,training,exercise.later_set,Later set reminder for Heel Raise.,Heel raise.,false,whole_recording,repeat,instruction,finish_before_countdown; cancel_if_state_changes,946,934,7000,2,true,heel-raise-free,phase_2,needs_human_review,
ex-heel-raise-supported-first-v2,replace_with_new_key,ex-heel-raise,training,exercise.first_use,First set setup for Supported Heel Raise.,"Supported heel raise. Stand tall, fingertips near support. Rise onto the balls of your feet, then lower slowly.",false,whole_recording,first_use,instruction,finish_before_countdown; cancel_if_state_changes,6514,6406,12000,18,true,heel-raise-supported,phase_2,needs_human_review,
ex-heel-raise-supported-next-v2,new,,training,exercise.later_set,Later set reminder for Supported Heel Raise.,Supported heel raise.,false,whole_recording,repeat,instruction,finish_before_countdown; cancel_if_state_changes,1294,1276,7000,3,true,heel-raise-supported,phase_2,needs_human_review,
ex-hip-hinge-free-first-v2,replace_with_new_key,ex-hip-hinge,training,exercise.first_use,First set setup for Hip Hinge.,"Hip hinge. Stand with feet under hips. Push your hips back with a long back, then stand tall.",false,whole_recording,first_use,instruction,finish_before_countdown; cancel_if_state_changes,6514,6406,12000,18,true,hip-hinge-free,phase_2,needs_human_review,
ex-hip-hinge-free-next-v2,new,,training,exercise.later_set,Later set reminder for Hip Hinge.,Hip hinge.,false,whole_recording,repeat,instruction,finish_before_countdown; cancel_if_state_changes,946,934,7000,2,true,hip-hinge-free,phase_2,needs_human_review,
ex-hip-hinge-wall-first-v2,replace_with_new_key,ex-hip-hinge,training,exercise.first_use,First set setup for Wall-Tap Hinge.,"Wall-tap hinge. Stand a step from the wall. Push your hips back to tap it, then stand tall.",false,whole_recording,first_use,instruction,finish_before_countdown; cancel_if_state_changes,6514,6406,12000,18,true,hip-hinge-wall,phase_2,needs_human_review,
ex-hip-hinge-wall-next-v2,new,,training,exercise.later_set,Later set reminder for Wall-Tap Hinge.,Wall-tap hinge.,false,whole_recording,repeat,instruction,finish_before_countdown; cancel_if_state_changes,946,934,7000,2,true,hip-hinge-wall,phase_2,needs_human_review,
ex-loaded-march-first-v2,replace_with_new_key,ex-march,training,exercise.first_use,First set setup for March in Place.,March in place. Stand tall with fingertips near support. Lift each knee to a steady rhythm.,false,whole_recording,first_use,instruction,finish_before_countdown; cancel_if_state_changes,5818,5722,12000,16,true,loaded-march,phase_2,needs_human_review,
ex-loaded-march-next-v2,new,,training,exercise.later_set,Later set reminder for March in Place.,March in place.,false,whole_recording,repeat,instruction,finish_before_countdown; cancel_if_state_changes,1294,1276,7000,3,true,loaded-march,phase_2,needs_human_review,
ex-loaded-sit-to-stand-first-v2,replace_with_new_key,ex-sit-to-stand,training,exercise.first_use,First set setup for Loaded Sit-to-Stand.,"Loaded sit-to-stand. Hold the weight close to your chest. Stand fully, then sit down with control.",false,whole_recording,first_use,instruction,finish_before_countdown; cancel_if_state_changes,6166,6064,12000,17,true,loaded-sit-to-stand,phase_2,needs_human_review,
ex-loaded-sit-to-stand-next-v2,new,,training,exercise.later_set,Later set reminder for Loaded Sit-to-Stand.,Loaded sit-to-stand.,false,whole_recording,repeat,instruction,finish_before_countdown; cancel_if_state_changes,1294,1276,7000,3,true,loaded-sit-to-stand,phase_2,needs_human_review,
ex-mini-band-lateral-walk-first-v2,new,,training,exercise.first_use,First set setup for Mini-Band Lateral Walk.,Mini-band lateral walk. Band above ankles or knees. Step left and right with small controlled steps.,false,whole_recording,first_use,instruction,finish_before_countdown; cancel_if_state_changes,5818,5722,12000,16,true,mini-band-lateral-walk,phase_2,needs_human_review,
ex-mini-band-lateral-walk-next-v2,new,,training,exercise.later_set,Later set reminder for Mini-Band Lateral Walk.,Mini-band lateral walk.,false,whole_recording,repeat,instruction,finish_before_countdown; cancel_if_state_changes,1294,1276,7000,3,true,mini-band-lateral-walk,phase_2,needs_human_review,
ex-neck-rotation-first-v2,replace_with_new_key,ex-neck-rotation,training,exercise.first_use,First set setup for Neck Rotations.,"Neck rotations. Face forward, sitting or standing tall. Turn slowly to each side through a comfortable range.",false,whole_recording,first_use,instruction,finish_before_countdown; cancel_if_state_changes,6166,6064,12000,17,true,neck-rotation,phase_2,needs_human_review,
ex-neck-rotation-next-v2,new,,training,exercise.later_set,Later set reminder for Neck Rotations.,Neck rotations.,false,whole_recording,repeat,instruction,finish_before_countdown; cancel_if_state_changes,946,934,7000,2,true,neck-rotation,phase_2,needs_human_review,
ex-overhead-press-band-first-v2,replace_with_new_key,ex-overhead,training,exercise.first_use,First set setup for Band Overhead Press.,"Band overhead press. Stand on the band with a stable stance. Press overhead, then return slowly.",false,whole_recording,first_use,instruction,finish_before_countdown; cancel_if_state_changes,5818,5722,12000,16,true,overhead-press-band,phase_2,needs_human_review,
ex-overhead-press-band-next-v2,new,,training,exercise.later_set,Later set reminder for Band Overhead Press.,Band overhead press.,false,whole_recording,repeat,instruction,finish_before_countdown; cancel_if_state_changes,1294,1276,7000,3,true,overhead-press-band,phase_2,needs_human_review,
ex-overhead-reach-first-v2,replace_with_new_key,ex-overhead,training,exercise.first_use,First set setup for Overhead Reach.,"Overhead reach. Stand tall. Reach both arms overhead as far as comfortable, then lower.",false,whole_recording,first_use,instruction,finish_before_countdown; cancel_if_state_changes,5122,5038,12000,14,true,overhead-reach,phase_2,needs_human_review,
ex-overhead-reach-next-v2,new,,training,exercise.later_set,Later set reminder for Overhead Reach.,Overhead reach.,false,whole_recording,repeat,instruction,finish_before_countdown; cancel_if_state_changes,946,934,7000,2,true,overhead-reach,phase_2,needs_human_review,
ex-push-up-incline-first-v2,replace_with_new_key,ex-push-up,training,exercise.first_use,First set setup for Incline Push-Up.,"Incline push-up. Hands on a sturdy counter or chair. Keep a long line, lower in, then press away.",false,whole_recording,first_use,instruction,finish_before_countdown; cancel_if_state_changes,6514,6406,12000,18,true,push-up-incline,phase_2,needs_human_review,
ex-push-up-incline-next-v2,new,,training,exercise.later_set,Later set reminder for Incline Push-Up.,Incline push-up.,false,whole_recording,repeat,instruction,finish_before_countdown; cancel_if_state_changes,946,934,7000,2,true,push-up-incline,phase_2,needs_human_review,
ex-push-up-standard-first-v2,replace_with_new_key,ex-push-up,training,exercise.first_use,First set setup for Push-Up.,"Push-up. Hands on the floor, body long. Lower with control, then press back up.",false,whole_recording,first_use,instruction,finish_before_countdown; cancel_if_state_changes,5122,5038,12000,14,true,push-up-standard,phase_2,needs_human_review,
ex-push-up-standard-next-v2,new,,training,exercise.later_set,Later set reminder for Push-Up.,Push-up.,false,whole_recording,repeat,instruction,finish_before_countdown; cancel_if_state_changes,598,592,7000,1,true,push-up-standard,phase_2,needs_human_review,
ex-push-up-wall-first-v2,replace_with_new_key,ex-push-up,training,exercise.first_use,First set setup for Wall Push-Up.,"Wall push-up. Hands on the wall at shoulder height. Bend your elbows, then press away.",false,whole_recording,first_use,instruction,finish_before_countdown; cancel_if_state_changes,5470,5380,12000,15,true,push-up-wall,phase_2,needs_human_review,
ex-push-up-wall-next-v2,new,,training,exercise.later_set,Later set reminder for Wall Push-Up.,Wall push-up.,false,whole_recording,repeat,instruction,finish_before_countdown; cancel_if_state_changes,946,934,7000,2,true,push-up-wall,phase_2,needs_human_review,
ex-seated-band-row-first-v2,new,,training,exercise.first_use,First set setup for Seated Band Row.,"Seated band row. Sit tall with the band under both feet. Pull elbows back, then return slowly.",false,whole_recording,first_use,instruction,finish_before_countdown; cancel_if_state_changes,6166,6064,12000,17,true,seated-band-row,phase_2,needs_human_review,
ex-seated-band-row-next-v2,new,,training,exercise.later_set,Later set reminder for Seated Band Row.,Seated band row.,false,whole_recording,repeat,instruction,finish_before_countdown; cancel_if_state_changes,1294,1276,7000,3,true,seated-band-row,phase_2,needs_human_review,
ex-seated-hamstring-reach-first-v2,replace_with_new_key,ex-hamstring-reach,training,exercise.first_use,First set setup for Seated Hamstring Reach.,"Seated hamstring reach. Sit tall, left leg straight with heel on the floor. Reach gently toward your toes and hold.",false,whole_recording,first_use,instruction,finish_before_countdown; cancel_if_state_changes,7210,7090,12000,20,true,seated-hamstring-reach,phase_2,needs_human_review,
ex-seated-hamstring-reach-next-v2,new,,training,exercise.later_set,Later set reminder for Seated Hamstring Reach.,Seated hamstring reach.,false,whole_recording,repeat,instruction,finish_before_countdown; cancel_if_state_changes,1294,1276,7000,3,true,seated-hamstring-reach,phase_2,needs_human_review,
ex-seated-hamstring-reach-side-switch-v2,new,,training,exercise.side_switch,Side switch after a set of Seated Hamstring Reach.,Switch legs for the next set.,false,whole_recording,repeat,instruction,finish_before_countdown; cancel_if_state_changes,2338,2302,5000,6,true,seated-hamstring-reach,phase_4,needs_human_review,
