newCueKey,action,oldCueKeys,flow,category,policyId,proposedNumericPriority,trigger,exactScript,isComposable,compositionRole,firstUseOrRepeat,blocksProgression,mayInterrupt,mayBeInterruptedBy,dropIfBusy,cancelOnStateExit,estimatedClaraMs,estimatedMarcusMs,targetMaxMs,hardMaxMs,wordCount,requiredForVoiceFirst,sourceContract,implementationPhase,freezeStatus,blockingDecisionIds,reviewStatus,notes
tracking-recovered-v2,rewrite_existing_key,tracking-recovered,shared,tracking_recovery,setup_recovery,50,tracking_recovery,You're back in position. We'll start again with a countdown.,false,whole_recording,shared,false,low_reassurance,critical_stop;critical_window;result_transition;instruction,true,true,4020,3920,2500,4000,10,true,,phase_4,ready_for_founder_review,,needs_human_review,
pause-v2,new_asset,pause,shared,control_or_completion,result_transition,70,Pause control.,Paused.,false,whole_recording,shared,true,low_reassurance;setup_recovery,critical_stop;critical_window,false,true,900,900,2000,3500,1,true,,phase_4,ready_for_founder_review,,needs_human_review,
resume-v2,new_asset,resume,shared,control_or_completion,result_transition,70,Resume control.,Resuming.,false,whole_recording,shared,true,low_reassurance;setup_recovery,critical_stop;critical_window,false,true,900,900,2000,3500,1,true,,phase_4,ready_for_founder_review,,needs_human_review,
retry-setup-v2,new_asset,retry-setup,shared,control_or_completion,result_transition,70,Retry setup control.,Let's try that setup again.,false,whole_recording,shared,true,low_reassurance;setup_recovery,critical_stop;critical_window,false,true,2220,2170,2000,3500,5,true,,phase_4,ready_for_founder_review,,needs_human_review,
skip-v2,new_asset,skip,shared,control_or_completion,result_transition,70,Skip current movement control.,Skipping this movement.,false,whole_recording,shared,true,low_reassurance;setup_recovery,critical_stop;critical_window,false,true,1500,1470,2000,3500,3,true,,phase_4,ready_for_founder_review,,needs_human_review,
discard-v2,new_asset,discard,shared,control_or_completion,result_transition,70,Discard or cancel session control.,Session ended.,false,whole_recording,shared,true,low_reassurance;setup_recovery,critical_stop;critical_window,false,true,1140,1120,2000,3500,2,true,,phase_4,ready_for_founder_review,,needs_human_review,
completion-v2,new_asset,completion,shared,control_or_completion,result_transition,70,Training session completion.,Session complete. Well done.,false,whole_recording,shared,true,low_reassurance;setup_recovery,critical_stop;critical_window,false,true,1860,1820,2000,3500,4,true,,phase_4,ready_for_founder_review,,needs_human_review,
checkup-complete-v2,new_asset,checkup-complete,shared,control_or_completion,result_transition,70,Check-up completion.,Check-Up complete. Your results are ready.,false,whole_recording,shared,true,low_reassurance;setup_recovery,critical_stop;critical_window,false,true,2940,2870,2000,3500,7,true,,phase_4,ready_for_founder_review,,needs_human_review,
item-complete-v2,rewrite_existing_key,item-complete,shared,control_or_completion,result_transition,70,Assessment item completion.,Complete.,false,whole_recording,shared,true,low_reassurance;setup_recovery,critical_stop;critical_window,false,true,900,900,2000,3500,1,true,,phase_4,ready_for_founder_review,,needs_human_review,
microcheck-complete-v2,new_asset,microcheck-complete,shared,control_or_completion,result_transition,70,Micro-check completion.,Check complete.,false,whole_recording,shared,true,low_reassurance;setup_recovery,critical_stop;critical_window,false,true,1140,1120,2000,3500,2,true,,phase_4,ready_for_founder_review,,needs_human_review,
halfway-v2,new_asset,,shared,progress,low_reassurance,20,Deterministic timed-progress moment.,Halfway.,false,whole_recording,shared,false,,critical_stop;critical_window;result_transition;instruction;setup_recovery,true,true,900,900,1800,2500,1,false,,phase_4,ready_for_founder_review,,needs_human_review,
five-seconds-left-v2,new_asset,,shared,progress,low_reassurance,20,Deterministic timed-progress moment.,Five seconds left.,false,whole_recording,shared,false,,critical_stop;critical_window;result_transition;instruction;setup_recovery,true,true,1500,1470,1800,2500,3,false,,phase_4,ready_for_founder_review,,needs_human_review,
safe-chair-first-v2,new_asset,,training,safety.equipment_family,instruction,60,First use of the corresponding equipment family in a session.,Use a sturdy chair that will not slide or tip.,false,whole_recording,shared,true,low_reassurance,critical_stop;critical_window;result_transition,false,true,4020,3920,6000,8000,10,true,,phase_4,ready_for_founder_review,,needs_human_review,
safe-support-first-v2,new_asset,,training,safety.equipment_family,instruction,60,First use of the corresponding equipment family in a session.,Keep sturdy support within easy reach.,false,whole_recording,shared,true,low_reassurance,critical_stop;critical_window;result_transition,false,true,2580,2520,6000,8000,6,true,,phase_4,ready_for_founder_review,,needs_human_review,
safe-step-first-v2,new_asset,,training,safety.equipment_family,instruction,60,First use of the corresponding equipment family in a session.,"Use the lowest stable step, keep support nearby, and keep the phone out of your stepping path.",false,whole_recording,shared,true,low_reassurance,critical_stop;critical_window;result_transition,false,true,6540,6370,8000,10000,17,true,,phase_4,ready_for_founder_review,,needs_human_review,
safe-band-first-v2,new_asset,,training,safety.equipment_family,instruction,60,First use of the corresponding equipment family in a session.,Check the band first. Keep it away from your face and return it slowly.,false,whole_recording,shared,true,low_reassurance,critical_stop;critical_window;result_transition,false,true,5460,5320,6000,8000,14,true,,phase_4,ready_for_founder_review,,needs_human_review,
safe-door-anchor-first-v2,new_asset,,training,safety.equipment_family,instruction,60,First use of the corresponding equipment family in a session.,Use a purpose-built anchor on a fully closed door. Test light tension before the set.,false,whole_recording,shared,true,low_reassurance,critical_stop;critical_window;result_transition,false,true,6180,6020,8000,10000,16,true,,phase_4,ready_for_founder_review,,needs_human_review,
safe-mini-band-first-v2,new_asset,,training,safety.equipment_family,instruction,60,First use of the corresponding equipment family in a session.,Place the mini band securely above your knees and use small controlled steps.,false,whole_recording,shared,true,low_reassurance,critical_stop;critical_window;result_transition,false,true,5100,4970,6000,8000,13,true,,phase_4,blocked_by_decision,FD-004,needs_human_review,
safe-floor-first-v2,new_asset,,training,safety.equipment_family,instruction,60,First use of the corresponding equipment family in a session.,Use clear floor space and move slowly getting down and back up.,false,whole_recording,shared,true,low_reassurance,critical_stop;critical_window;result_transition,false,true,4740,4620,6000,8000,12,true,,phase_4,ready_for_founder_review,,needs_human_review,
safe-balance-first-v2,new_asset,,training,safety.equipment_family,instruction,60,First use of the corresponding equipment family in a session.,Keep fingertips near support and touch it whenever you need.,false,whole_recording,shared,true,low_reassurance,critical_stop;critical_window;result_transition,false,true,4020,3920,6000,8000,10,true,,phase_4,ready_for_founder_review,,needs_human_review,
checkup-intro-v2,rewrite_existing_key,checkup-intro,checkup,assessment_instruction,instruction,60,"Assessment setup, stage cue, or result.","Welcome to your Movement Check-Up. Hale will guide a few short movements for strength, balance, and mobility.",false,whole_recording,shared,true,low_reassurance,critical_stop;critical_window;result_transition,false,true,6900,6720,8000,12000,18,true,,phase_4,ready_for_founder_review,,needs_human_review,
chair-stand-intro-v2,rewrite_existing_key,chair-stand-intro,checkup,assessment_instruction,instruction,60,"Assessment setup, stage cue, or result.","Next is the thirty-second chair stand. Sit side-on to the phone in a sturdy chair, feet flat.",false,whole_recording,shared,true,low_reassurance,critical_stop;critical_window;result_transition,false,true,7260,7070,8000,12000,19,true,,phase_4,ready_for_founder_review,,needs_human_review,
chair-stand-setup-v2,rewrite_existing_key,chair-stand-setup,checkup,assessment_instruction,instruction,60,"Assessment setup, stage cue, or result.","Cross your arms. On go, stand fully and sit with control until I call time.",false,whole_recording,shared,true,low_reassurance,critical_stop;critical_window;result_transition,false,true,5820,5670,8000,12000,15,true,,phase_4,ready_for_founder_review,,needs_human_review,
chair-stand-result-prefix-v2,rewrite_existing_key,chair-stand-result-prefix,checkup,result,result_transition,70,"Assessment setup, stage cue, or result.",You completed,false,whole_recording,shared,true,low_reassurance;setup_recovery,critical_stop;critical_window,false,true,1140,1120,8000,12000,2,true,,phase_4,ready_for_founder_review,,needs_human_review,
chair-stand-result-suffix-v2,rewrite_existing_key,chair-stand-result-suffix,checkup,result,result_transition,70,"Assessment setup, stage cue, or result.",chair stands.,false,whole_recording,shared,true,low_reassurance;setup_recovery,critical_stop;critical_window,false,true,1140,1120,8000,12000,2,true,,phase_4,ready_for_founder_review,,needs_human_review,
chair-stand-no-reps-v2,rewrite_existing_key,chair-stand-no-reps,checkup,assessment_stage,instruction,60,"Assessment setup, stage cue, or result.",No stands were measured that time. You can try again later.,false,whole_recording,shared,true,low_reassurance,critical_stop;critical_window;result_transition,false,true,4380,4270,8000,12000,11,true,,phase_4,ready_for_founder_review,,needs_human_review,
balance-intro-v2,rewrite_existing_key,balance-intro,checkup,assessment_instruction,instruction,60,"Assessment setup, stage cue, or result.","Next are balance holds. Stand near a counter or sturdy support, close enough to touch.",false,whole_recording,shared,true,low_reassurance,critical_stop;critical_window;result_transition,false,true,5820,5670,8000,12000,15,true,,phase_4,ready_for_founder_review,,needs_human_review,
balance-setup-v2,rewrite_existing_key,balance-setup,checkup,assessment_instruction,instruction,60,"Assessment setup, stage cue, or result.",I will tell you each foot position. Hold until the time ends or you need support.,false,whole_recording,shared,true,low_reassurance,critical_stop;critical_window;result_transition,false,true,6180,6020,8000,12000,16,true,,phase_4,ready_for_founder_review,,needs_human_review,
balance-feet-together-v2,rewrite_existing_key,balance-feet-together,checkup,assessment_stage,instruction,60,"Assessment setup, stage cue, or result.","Place your feet together, side by side.",false,whole_recording,shared,true,low_reassurance,critical_stop;critical_window;result_transition,false,true,2940,2870,8000,12000,7,true,,phase_4,ready_for_founder_review,,needs_human_review,
balance-tandem-v2,rewrite_existing_key,balance-tandem,checkup,assessment_stage,instruction,60,"Assessment setup, stage cue, or result.","Place one foot directly in front of the other, heel to toe.",false,whole_recording,shared,true,low_reassurance,critical_stop;critical_window;result_transition,false,true,4740,4620,8000,12000,12,true,,phase_4,ready_for_founder_review,,needs_human_review,
balance-single-leg-v2,rewrite_existing_key,balance-single-leg,checkup,assessment_stage,instruction,60,"Assessment setup, stage cue, or result.",Stand on one leg and lift the other foot just off the floor.,false,whole_recording,shared,true,low_reassurance,critical_stop;critical_window;result_transition,false,true,5100,4970,8000,12000,13,true,,phase_4,ready_for_founder_review,,needs_human_review,
close-your-eyes-v2,rewrite_existing_key,close-your-eyes,checkup,assessment_stage,instruction,60,"Assessment setup, stage cue, or result.","If approved for this check, gently close your eyes.",false,whole_recording,shared,true,low_reassurance,critical_stop;critical_window;result_transition,false,true,3660,3570,8000,12000,9,true,,phase_4,blocked_by_decision,FD-003,needs_human_review,
open-your-eyes-v2,rewrite_existing_key,open-your-eyes,checkup,assessment_stage,instruction,60,"Assessment setup, stage cue, or result.",Open your eyes.,false,whole_recording,shared,true,low_reassurance,critical_stop;critical_window;result_transition,false,true,1500,1470,8000,12000,3,true,,phase_4,ready_for_founder_review,,needs_human_review,
shoulder-intro-v2,rewrite_existing_key,shoulder-intro,checkup,assessment_instruction,instruction,60,"Assessment setup, stage cue, or result.",Turn so the arm being measured faces the phone. Stand tall with that arm relaxed.,false,whole_recording,shared,true,low_reassurance,critical_stop;critical_window;result_transition,false,true,5820,5670,8000,12000,15,true,,phase_4,blocked_by_decision,FD-002,needs_human_review,
shoulder-setup-v2,rewrite_existing_key,shoulder-setup,checkup,assessment_instruction,instruction,60,"Assessment setup, stage cue, or result.","On go, raise that arm forward and up as high as comfortable, then hold.",false,whole_recording,shared,true,low_reassurance,critical_stop;critical_window;result_transition,false,true,5460,5320,8000,12000,14,true,,phase_4,blocked_by_decision,FD-002,needs_human_review,
relax-arm-v2,rewrite_existing_key,relax-arm,checkup,assessment_stage,instruction,60,"Assessment setup, stage cue, or result.",Lower your arm and relax.,false,whole_recording,shared,true,low_reassurance,critical_stop;critical_window;result_transition,false,true,2220,2170,8000,12000,5,true,,phase_4,ready_for_founder_review,,needs_human_review,
hinge-intro-v2,rewrite_existing_key,hinge-intro,checkup,assessment_instruction,instruction,60,"Assessment setup, stage cue, or result.",Stand side-on to the phone with your feet under your hips.,false,whole_recording,shared,true,low_reassurance,critical_stop;critical_window;result_transition,false,true,4740,4620,8000,12000,12,true,,phase_4,ready_for_founder_review,,needs_human_review,
hinge-setup-v2,rewrite_existing_key,hinge-setup,checkup,assessment_instruction,instruction,60,"Assessment setup, stage cue, or result.","On go, fold from your hips and reach toward the floor as far as comfortable, then hold.",false,whole_recording,shared,true,low_reassurance,critical_stop;critical_window;result_transition,false,true,6540,6370,8000,12000,17,true,,phase_4,ready_for_founder_review,,needs_human_review,
stand-tall-v2,rewrite_existing_key,stand-tall,checkup,assessment_stage,instruction,60,"Assessment setup, stage cue, or result.",Slowly return to standing.,false,whole_recording,shared,true,low_reassurance,critical_stop;critical_window;result_transition,false,true,1860,1820,8000,12000,4,true,,phase_4,ready_for_founder_review,,needs_human_review,
tug-intro-v2,rewrite_existing_key,tug-intro,checkup,assessment_instruction,instruction,60,"Assessment setup, stage cue, or result.","For up and go, sit side-on with a clear walking path in front of you.",false,whole_recording,shared,true,low_reassurance,critical_stop;critical_window;result_transition,false,true,6180,6020,8000,12000,16,true,,phase_4,ready_for_founder_review,,needs_human_review,
tug-setup-v2,rewrite_existing_key,tug-setup,checkup,assessment_instruction,instruction,60,"Assessment setup, stage cue, or result.","On go, stand, walk out, turn, walk back, and sit.",false,whole_recording,shared,true,low_reassurance,critical_stop;critical_window;result_transition,false,true,4020,3920,8000,12000,10,true,,phase_4,ready_for_founder_review,,needs_human_review,
microcheck-chair-v2,rewrite_existing_key,microcheck-chair,micro_check,micro_check_instruction,instruction,60,Weekly micro-check setup.,"Five chair stands. Sit tall with arms crossed. On go, stand and sit five times, as quickly as feels safe.",false,whole_recording,shared,true,low_reassurance,critical_stop;critical_window;result_transition,false,true,7620,7420,7000,10000,20,true,,phase_4,ready_for_founder_review,,needs_human_review,
microcheck-balance-v2,rewrite_existing_key,microcheck-balance,micro_check,micro_check_instruction,instruction,60,Weekly micro-check setup.,"Quick balance check. Fingertips near support, stand on your selected leg, and hold as long as comfortable.",false,whole_recording,shared,true,low_reassurance,critical_stop;critical_window;result_transition,false,true,6540,6370,7000,10000,17,true,,phase_4,blocked_by_decision,FD-002,needs_human_review,
microcheck-mobility-v2,rewrite_existing_key,ex-hamstring-reach,micro_check,micro_check_instruction,instruction,60,Weekly micro-check setup.,"Quick mobility check. Sit tall at the chair edge, one leg straight, and reach gently toward your toes.",false,whole_recording,shared,true,low_reassurance,critical_stop;critical_window;result_transition,false,true,6900,6720,7000,10000,18,true,,phase_4,blocked_by_decision,FD-002,needs_human_review,
ex-balance-feet-together-hold-first-v2,rewrite_existing_key,ex-balance,training,exact_training_instruction,instruction,60,First exposure for balance-feet-together-hold.,"Feet-together hold. Stand with feet together, fingertips near support, eyes open.",false,whole_recording,shared,true,low_reassurance,critical_stop;critical_window;result_transition,false,true,4740,4620,9000,12000,12,true,,phase_4,ready_for_founder_review,,needs_human_review,
ex-balance-feet-together-hold-next-v2,new_asset,,training,later_set_reminder,instruction,60,Later set for balance-feet-together-hold.,Feet-together hold.,false,whole_recording,repeat,true,low_reassurance,critical_stop;critical_window;result_transition,false,true,1500,1470,4000,6000,3,true,,phase_4,ready_for_founder_review,,needs_human_review,
target-balance-feet-together-hold-v2,new_composable_fragment,,training,target,instruction,60,Target for balance-feet-together-hold.,Hold for twenty seconds.,true,target_fragment,shared,true,low_reassurance,critical_stop;critical_window;result_transition,false,true,1860,1820,2500,3500,4,true,,phase_4,ready_for_founder_review,,needs_human_review,
ex-balance-single-leg-hold-first-v2,rewrite_existing_key,ex-balance,training,exact_training_instruction,instruction,60,First exposure for balance-single-leg-hold.,"Single-leg hold. Stand on the approved leg, lift the other foot slightly, fingertips near support.",false,whole_recording,shared,true,low_reassurance,critical_stop;critical_window;result_transition,false,true,6180,6020,9000,12000,16,true,,phase_4,blocked_by_decision,FD-001,needs_human_review,
ex-balance-single-leg-hold-next-v2,new_asset,,training,later_set_reminder,instruction,60,Later set for balance-single-leg-hold.,Single-leg hold.,false,whole_recording,repeat,true,low_reassurance,critical_stop;critical_window;result_transition,false,true,1500,1470,4000,6000,3,true,,phase_4,blocked_by_decision,FD-001,needs_human_review,
target-balance-single-leg-hold-v2,new_composable_fragment,,training,target,instruction,60,Target for balance-single-leg-hold.,Hold for fifteen seconds.,true,target_fragment,shared,true,low_reassurance,critical_stop;critical_window;result_transition,false,true,1860,1820,2500,3500,4,true,,phase_4,blocked_by_decision,FD-001,needs_human_review,
ex-balance-tandem-hold-first-v2,rewrite_existing_key,ex-balance,training,exact_training_instruction,instruction,60,First exposure for balance-tandem-hold.,"Tandem hold. Use the approved lead foot, heel to toe, fingertips near support.",false,whole_recording,shared,true,low_reassurance,critical_stop;critical_window;result_transition,false,true,5100,4970,9000,12000,13,true,,phase_4,blocked_by_decision,FD-001,needs_human_review,
ex-balance-tandem-hold-next-v2,new_asset,,training,later_set_reminder,instruction,60,Later set for balance-tandem-hold.,Tandem hold.,false,whole_recording,repeat,true,low_reassurance,critical_stop;critical_window;result_transition,false,true,1140,1120,4000,6000,2,true,,phase_4,blocked_by_decision,FD-001,needs_human_review,
target-balance-tandem-hold-v2,new_composable_fragment,,training,target,instruction,60,Target for balance-tandem-hold.,Hold for twenty seconds.,true,target_fragment,shared,true,low_reassurance,critical_stop;critical_window;result_transition,false,true,1860,1820,2500,3500,4,true,,phase_4,blocked_by_decision,FD-001,needs_human_review,
ex-band-pull-apart-first-v2,new_asset,,training,exact_training_instruction,instruction,60,First exposure for band-pull-apart.,"Band pull-apart. Hold a light band at chest height. Pull your hands wide, then return slowly.",false,whole_recording,shared,true,low_reassurance,critical_stop;critical_window;result_transition,false,true,6540,6370,9000,12000,17,true,,phase_4,ready_for_founder_review,,needs_human_review,
ex-band-pull-apart-next-v2,new_asset,,training,later_set_reminder,instruction,60,Later set for band-pull-apart.,Band pull-apart.,false,whole_recording,repeat,true,low_reassurance,critical_stop;critical_window;result_transition,false,true,1500,1470,4000,6000,3,true,,phase_4,ready_for_founder_review,,needs_human_review,
target-band-pull-apart-v2,new_composable_fragment,,training,target,instruction,60,Target for band-pull-apart.,Move for thirty seconds.,true,target_fragment,shared,true,low_reassurance,critical_stop;critical_window;result_transition,false,true,1860,1820,2500,3500,4,true,,phase_4,ready_for_founder_review,,needs_human_review,
ex-chair-supported-split-squat-first-v2,rewrite_existing_key,ex-squat,training,exact_training_instruction,instruction,60,First exposure for chair-supported-split-squat.,"Supported split squat. Use the approved stance side, fingertips near support. Bend both knees slightly, then stand tall.",false,whole_recording,shared,true,low_reassurance,critical_stop;critical_window;result_transition,false,true,6900,6720,9000,12000,18,true,,phase_4,blocked_by_decision,FD-001,needs_human_review,
ex-chair-supported-split-squat-next-v2,new_asset,,training,later_set_reminder,instruction,60,Later set for chair-supported-split-squat.,Supported split squat.,false,whole_recording,repeat,true,low_reassurance,critical_stop;critical_window;result_transition,false,true,1500,1470,4000,6000,3,true,,phase_4,blocked_by_decision,FD-001,needs_human_review,
target-chair-supported-split-squat-v2,new_composable_fragment,,training,target,instruction,60,Target for chair-supported-split-squat.,Aim for eight reps.,true,target_fragment,shared,true,low_reassurance,critical_stop;critical_window;result_transition,false,true,1860,1820,2500,3500,4,true,,phase_4,blocked_by_decision,FD-001,needs_human_review,
ex-glute-bridge-hold-first-v2,rewrite_existing_key,ex-glute-bridge,training,exact_training_instruction,instruction,60,First exposure for glute-bridge-hold.,"Bridge hold. Lie on your back, knees bent, feet flat. Lift your hips and hold.",false,whole_recording,shared,true,low_reassurance,critical_stop;critical_window;result_transition,false,true,5820,5670,9000,12000,15,true,,phase_4,blocked_by_decision,FD-007,needs_human_review,
ex-glute-bridge-hold-next-v2,new_asset,,training,later_set_reminder,instruction,60,Later set for glute-bridge-hold.,Bridge hold.,false,whole_recording,repeat,true,low_reassurance,critical_stop;critical_window;result_transition,false,true,1140,1120,4000,6000,2,true,,phase_4,blocked_by_decision,FD-007,needs_human_review,
target-glute-bridge-hold-v2,new_composable_fragment,,training,target,instruction,60,Target for glute-bridge-hold.,Hold for twenty seconds.,true,target_fragment,shared,true,low_reassurance,critical_stop;critical_window;result_transition,false,true,1860,1820,2500,3500,4,true,,phase_4,blocked_by_decision,FD-007,needs_human_review,
ex-glute-bridge-reps-first-v2,rewrite_existing_key,ex-glute-bridge,training,exact_training_instruction,instruction,60,First exposure for glute-bridge-reps.,"Glute bridge. Lie on your back, knees bent, feet flat. Lift your hips, then lower with control.",false,whole_recording,shared,true,low_reassurance,critical_stop;critical_window;result_transition,false,true,6540,6370,9000,12000,17,true,,phase_4,blocked_by_decision,FD-007,needs_human_review,
ex-glute-bridge-reps-next-v2,new_asset,,training,later_set_reminder,instruction,60,Later set for glute-bridge-reps.,Glute bridge.,false,whole_recording,repeat,true,low_reassurance,critical_stop;critical_window;result_transition,false,true,1140,1120,4000,6000,2,true,,phase_4,blocked_by_decision,FD-007,needs_human_review,
target-glute-bridge-reps-v2,new_composable_fragment,,training,target,instruction,60,Target for glute-bridge-reps.,Aim for twelve reps.,true,target_fragment,shared,true,low_reassurance,critical_stop;critical_window;result_transition,false,true,1860,1820,2500,3500,4,true,,phase_4,blocked_by_decision,FD-007,needs_human_review,
ex-heel-raise-free-first-v2,rewrite_existing_key,ex-heel-raise,training,exact_training_instruction,instruction,60,First exposure for heel-raise-free.,"Heel raise. Stand tall. Rise onto the balls of your feet, then lower slowly.",false,whole_recording,shared,true,low_reassurance,critical_stop;critical_window;result_transition,false,true,5460,5320,9000,12000,14,true,,phase_4,ready_for_founder_review,,needs_human_review,
ex-heel-raise-free-next-v2,new_asset,,training,later_set_reminder,instruction,60,Later set for heel-raise-free.,Heel raise.,false,whole_recording,repeat,true,low_reassurance,critical_stop;critical_window;result_transition,false,true,1140,1120,4000,6000,2,true,,phase_4,ready_for_founder_review,,needs_human_review,
target-heel-raise-free-v2,new_composable_fragment,,training,target,instruction,60,Target for heel-raise-free.,Aim for eighteen reps.,true,target_fragment,shared,true,low_reassurance,critical_stop;critical_window;result_transition,false,true,1860,1820,2500,3500,4,true,,phase_4,ready_for_founder_review,,needs_human_review,
ex-heel-raise-supported-first-v2,rewrite_existing_key,ex-heel-raise,training,exact_training_instruction,instruction,60,First exposure for heel-raise-supported.,"Supported heel raise. Fingertips near support. Rise onto the balls of your feet, then lower slowly.",false,whole_recording,shared,true,low_reassurance,critical_stop;critical_window;result_transition,false,true,6180,6020,9000,12000,16,true,,phase_4,ready_for_founder_review,,needs_human_review,
ex-heel-raise-supported-next-v2,new_asset,,training,later_set_reminder,instruction,60,Later set for heel-raise-supported.,Supported heel raise.,false,whole_recording,repeat,true,low_reassurance,critical_stop;critical_window;result_transition,false,true,1500,1470,4000,6000,3,true,,phase_4,ready_for_founder_review,,needs_human_review,
