scenarioId,flow,itemId,voiceId,exposureType,equipmentState,sequenceOrder,cueKeys,scripts,assetCount,estimatedSpeechMs,interAssetGapAssumptionMs,estimatedTotalMs,countdownStartsAtMs,audibleGoAtMs,budgetClass,targetMs,hardMaxMs,passesTarget,passesHardMax,notes
training-balance-feet-together-hold-first-use-cold-equipment-gap100,training,balance-feet-together-hold,marcus,first_occurrence,family_warning_not_yet_heard,1;2;3;4;5,framing-ready-v2;ex-balance-feet-together-hold-first-v2;target-balance-feet-together-hold-v2;safe-support-first-v2;safe-balance-first-v2,"You're in position. Stay there.;Feet-together hold. Stand with feet together, fingertips near support, eyes open.;Hold for twenty seconds.;Keep sturdy support within easy reach.;Keep fingertips near support and touch it whenever you need.",5,15050,100,15450,17450,20450,ordinary_first_use_pre_countdown,12000,16000,false,true,Complete pre-countdown sequence with family de-duplication.
training-balance-feet-together-hold-first-use-cold-equipment-gap250,training,balance-feet-together-hold,marcus,first_occurrence,family_warning_not_yet_heard,1;2;3;4;5,framing-ready-v2;ex-balance-feet-together-hold-first-v2;target-balance-feet-together-hold-v2;safe-support-first-v2;safe-balance-first-v2,"You're in position. Stay there.;Feet-together hold. Stand with feet together, fingertips near support, eyes open.;Hold for twenty seconds.;Keep sturdy support within easy reach.;Keep fingertips near support and touch it whenever you need.",5,15050,250,16050,18050,21050,ordinary_first_use_pre_countdown,12000,16000,false,false,Complete pre-countdown sequence with family de-duplication.
training-balance-feet-together-hold-first-use-warm-equipment-gap0,training,balance-feet-together-hold,clara,first_occurrence,family_warning_already_heard,1;2;3,framing-ready-v2;ex-balance-feet-together-hold-first-v2;target-balance-feet-together-hold-v2,"You're in position. Stay there.;Feet-together hold. Stand with feet together, fingertips near support, eyes open.;Hold for twenty seconds.",3,8820,0,8820,10820,13820,ordinary_first_use_pre_countdown,12000,16000,true,true,First-use after relevant equipment family warning has already been heard.
training-balance-feet-together-hold-first-use-warm-equipment-gap100,training,balance-feet-together-hold,clara,first_occurrence,family_warning_already_heard,1;2;3,framing-ready-v2;ex-balance-feet-together-hold-first-v2;target-balance-feet-together-hold-v2,"You're in position. Stay there.;Feet-together hold. Stand with feet together, fingertips near support, eyes open.;Hold for twenty seconds.",3,8820,100,9020,11020,14020,ordinary_first_use_pre_countdown,12000,16000,true,true,First-use after relevant equipment family warning has already been heard.
training-balance-feet-together-hold-first-use-warm-equipment-gap250,training,balance-feet-together-hold,clara,first_occurrence,family_warning_already_heard,1;2;3,framing-ready-v2;ex-balance-feet-together-hold-first-v2;target-balance-feet-together-hold-v2,"You're in position. Stay there.;Feet-together hold. Stand with feet together, fingertips near support, eyes open.;Hold for twenty seconds.",3,8820,250,9320,11320,14320,ordinary_first_use_pre_countdown,12000,16000,true,true,First-use after relevant equipment family warning has already been heard.
training-balance-feet-together-hold-first-use-warm-equipment-gap0,training,balance-feet-together-hold,marcus,first_occurrence,family_warning_already_heard,1;2;3,framing-ready-v2;ex-balance-feet-together-hold-first-v2;target-balance-feet-together-hold-v2,"You're in position. Stay there.;Feet-together hold. Stand with feet together, fingertips near support, eyes open.;Hold for twenty seconds.",3,8610,0,8610,10610,13610,ordinary_first_use_pre_countdown,12000,16000,true,true,First-use after relevant equipment family warning has already been heard.
training-balance-feet-together-hold-first-use-warm-equipment-gap100,training,balance-feet-together-hold,marcus,first_occurrence,family_warning_already_heard,1;2;3,framing-ready-v2;ex-balance-feet-together-hold-first-v2;target-balance-feet-together-hold-v2,"You're in position. Stay there.;Feet-together hold. Stand with feet together, fingertips near support, eyes open.;Hold for twenty seconds.",3,8610,100,8810,10810,13810,ordinary_first_use_pre_countdown,12000,16000,true,true,First-use after relevant equipment family warning has already been heard.
training-balance-feet-together-hold-first-use-warm-equipment-gap250,training,balance-feet-together-hold,marcus,first_occurrence,family_warning_already_heard,1;2;3,framing-ready-v2;ex-balance-feet-together-hold-first-v2;target-balance-feet-together-hold-v2,"You're in position. Stay there.;Feet-together hold. Stand with feet together, fingertips near support, eyes open.;Hold for twenty seconds.",3,8610,250,9110,11110,14110,ordinary_first_use_pre_countdown,12000,16000,true,true,First-use after relevant equipment family warning has already been heard.
training-balance-feet-together-hold-later-set-gap0,training,balance-feet-together-hold,clara,later_set,family_warning_already_heard,1;2,ex-balance-feet-together-hold-next-v2;target-balance-feet-together-hold-v2,Feet-together hold.;Hold for twenty seconds.,2,3360,0,3360,5360,8360,later_set_reminder,4000,6000,true,true,Later-set sequence does not repeat equipment safety.
training-balance-feet-together-hold-later-set-gap100,training,balance-feet-together-hold,clara,later_set,family_warning_already_heard,1;2,ex-balance-feet-together-hold-next-v2;target-balance-feet-together-hold-v2,Feet-together hold.;Hold for twenty seconds.,2,3360,100,3460,5460,8460,later_set_reminder,4000,6000,true,true,Later-set sequence does not repeat equipment safety.
training-balance-feet-together-hold-later-set-gap250,training,balance-feet-together-hold,clara,later_set,family_warning_already_heard,1;2,ex-balance-feet-together-hold-next-v2;target-balance-feet-together-hold-v2,Feet-together hold.;Hold for twenty seconds.,2,3360,250,3610,5610,8610,later_set_reminder,4000,6000,true,true,Later-set sequence does not repeat equipment safety.
training-balance-feet-together-hold-later-set-gap0,training,balance-feet-together-hold,marcus,later_set,family_warning_already_heard,1;2,ex-balance-feet-together-hold-next-v2;target-balance-feet-together-hold-v2,Feet-together hold.;Hold for twenty seconds.,2,3290,0,3290,5290,8290,later_set_reminder,4000,6000,true,true,Later-set sequence does not repeat equipment safety.
training-balance-feet-together-hold-later-set-gap100,training,balance-feet-together-hold,marcus,later_set,family_warning_already_heard,1;2,ex-balance-feet-together-hold-next-v2;target-balance-feet-together-hold-v2,Feet-together hold.;Hold for twenty seconds.,2,3290,100,3390,5390,8390,later_set_reminder,4000,6000,true,true,Later-set sequence does not repeat equipment safety.
training-balance-feet-together-hold-later-set-gap250,training,balance-feet-together-hold,marcus,later_set,family_warning_already_heard,1;2,ex-balance-feet-together-hold-next-v2;target-balance-feet-together-hold-v2,Feet-together hold.;Hold for twenty seconds.,2,3290,250,3540,5540,8540,later_set_reminder,4000,6000,true,true,Later-set sequence does not repeat equipment safety.
training-balance-feet-together-hold-repeat-instructions-gap0,training,balance-feet-together-hold,clara,repeat_instructions,state_current,1;2,ex-balance-feet-together-hold-first-v2;target-balance-feet-together-hold-v2,"Feet-together hold. Stand with feet together, fingertips near support, eyes open.;Hold for twenty seconds.",2,6600,0,6600,8600,11600,repeat_instructions,10000,14000,true,true,Explicit Repeat control path.
training-balance-feet-together-hold-repeat-instructions-gap100,training,balance-feet-together-hold,clara,repeat_instructions,state_current,1;2,ex-balance-feet-together-hold-first-v2;target-balance-feet-together-hold-v2,"Feet-together hold. Stand with feet together, fingertips near support, eyes open.;Hold for twenty seconds.",2,6600,100,6700,8700,11700,repeat_instructions,10000,14000,true,true,Explicit Repeat control path.
training-balance-feet-together-hold-repeat-instructions-gap250,training,balance-feet-together-hold,clara,repeat_instructions,state_current,1;2,ex-balance-feet-together-hold-first-v2;target-balance-feet-together-hold-v2,"Feet-together hold. Stand with feet together, fingertips near support, eyes open.;Hold for twenty seconds.",2,6600,250,6850,8850,11850,repeat_instructions,10000,14000,true,true,Explicit Repeat control path.
training-balance-feet-together-hold-repeat-instructions-gap0,training,balance-feet-together-hold,marcus,repeat_instructions,state_current,1;2,ex-balance-feet-together-hold-first-v2;target-balance-feet-together-hold-v2,"Feet-together hold. Stand with feet together, fingertips near support, eyes open.;Hold for twenty seconds.",2,6440,0,6440,8440,11440,repeat_instructions,10000,14000,true,true,Explicit Repeat control path.
training-balance-feet-together-hold-repeat-instructions-gap100,training,balance-feet-together-hold,marcus,repeat_instructions,state_current,1;2,ex-balance-feet-together-hold-first-v2;target-balance-feet-together-hold-v2,"Feet-together hold. Stand with feet together, fingertips near support, eyes open.;Hold for twenty seconds.",2,6440,100,6540,8540,11540,repeat_instructions,10000,14000,true,true,Explicit Repeat control path.
training-balance-feet-together-hold-repeat-instructions-gap250,training,balance-feet-together-hold,marcus,repeat_instructions,state_current,1;2,ex-balance-feet-together-hold-first-v2;target-balance-feet-together-hold-v2,"Feet-together hold. Stand with feet together, fingertips near support, eyes open.;Hold for twenty seconds.",2,6440,250,6690,8690,11690,repeat_instructions,10000,14000,true,true,Explicit Repeat control path.
training-balance-single-leg-hold-first-use-cold-equipment-gap0,training,balance-single-leg-hold,clara,first_occurrence,family_warning_not_yet_heard,1;2;3;4;5,framing-ready-v2;ex-balance-single-leg-hold-first-v2;target-balance-single-leg-hold-v2;safe-support-first-v2;safe-balance-first-v2,"You're in position. Stay there.;Single-leg hold. Stand on the approved leg, lift the other foot slightly, fingertips near support.;Hold for fifteen seconds.;Keep sturdy support within easy reach.;Keep fingertips near support and touch it whenever you need.",5,16860,0,16860,18860,21860,ordinary_first_use_pre_countdown,12000,16000,false,false,Blocked by FD-001. Complete pre-countdown sequence excludes countdown by budget definition.
training-balance-single-leg-hold-first-use-cold-equipment-gap100,training,balance-single-leg-hold,clara,first_occurrence,family_warning_not_yet_heard,1;2;3;4;5,framing-ready-v2;ex-balance-single-leg-hold-first-v2;target-balance-single-leg-hold-v2;safe-support-first-v2;safe-balance-first-v2,"You're in position. Stay there.;Single-leg hold. Stand on the approved leg, lift the other foot slightly, fingertips near support.;Hold for fifteen seconds.;Keep sturdy support within easy reach.;Keep fingertips near support and touch it whenever you need.",5,16860,100,17260,19260,22260,ordinary_first_use_pre_countdown,12000,16000,false,false,Blocked by FD-001. Complete pre-countdown sequence excludes countdown by budget definition.
training-balance-single-leg-hold-first-use-cold-equipment-gap250,training,balance-single-leg-hold,clara,first_occurrence,family_warning_not_yet_heard,1;2;3;4;5,framing-ready-v2;ex-balance-single-leg-hold-first-v2;target-balance-single-leg-hold-v2;safe-support-first-v2;safe-balance-first-v2,"You're in position. Stay there.;Single-leg hold. Stand on the approved leg, lift the other foot slightly, fingertips near support.;Hold for fifteen seconds.;Keep sturdy support within easy reach.;Keep fingertips near support and touch it whenever you need.",5,16860,250,17860,19860,22860,ordinary_first_use_pre_countdown,12000,16000,false,false,Blocked by FD-001. Complete pre-countdown sequence excludes countdown by budget definition.
training-balance-single-leg-hold-first-use-cold-equipment-gap0,training,balance-single-leg-hold,marcus,first_occurrence,family_warning_not_yet_heard,1;2;3;4;5,framing-ready-v2;ex-balance-single-leg-hold-first-v2;target-balance-single-leg-hold-v2;safe-support-first-v2;safe-balance-first-v2,"You're in position. Stay there.;Single-leg hold. Stand on the approved leg, lift the other foot slightly, fingertips near support.;Hold for fifteen seconds.;Keep sturdy support within easy reach.;Keep fingertips near support and touch it whenever you need.",5,16450,0,16450,18450,21450,ordinary_first_use_pre_countdown,12000,16000,false,false,Blocked by FD-001. Complete pre-countdown sequence excludes countdown by budget definition.
training-balance-single-leg-hold-first-use-cold-equipment-gap100,training,balance-single-leg-hold,marcus,first_occurrence,family_warning_not_yet_heard,1;2;3;4;5,framing-ready-v2;ex-balance-single-leg-hold-first-v2;target-balance-single-leg-hold-v2;safe-support-first-v2;safe-balance-first-v2,"You're in position. Stay there.;Single-leg hold. Stand on the approved leg, lift the other foot slightly, fingertips near support.;Hold for fifteen seconds.;Keep sturdy support within easy reach.;Keep fingertips near support and touch it whenever you need.",5,16450,100,16850,18850,21850,ordinary_first_use_pre_countdown,12000,16000,false,false,Blocked by FD-001. Complete pre-countdown sequence excludes countdown by budget definition.
training-balance-single-leg-hold-first-use-cold-equipment-gap250,training,balance-single-leg-hold,marcus,first_occurrence,family_warning_not_yet_heard,1;2;3;4;5,framing-ready-v2;ex-balance-single-leg-hold-first-v2;target-balance-single-leg-hold-v2;safe-support-first-v2;safe-balance-first-v2,"You're in position. Stay there.;Single-leg hold. Stand on the approved leg, lift the other foot slightly, fingertips near support.;Hold for fifteen seconds.;Keep sturdy support within easy reach.;Keep fingertips near support and touch it whenever you need.",5,16450,250,17450,19450,22450,ordinary_first_use_pre_countdown,12000,16000,false,false,Blocked by FD-001. Complete pre-countdown sequence excludes countdown by budget definition.
training-balance-single-leg-hold-first-use-warm-equipment-gap0,training,balance-single-leg-hold,clara,first_occurrence,family_warning_already_heard,1;2;3,framing-ready-v2;ex-balance-single-leg-hold-first-v2;target-balance-single-leg-hold-v2,"You're in position. Stay there.;Single-leg hold. Stand on the approved leg, lift the other foot slightly, fingertips near support.;Hold for fifteen seconds.",3,10260,0,10260,12260,15260,ordinary_first_use_pre_countdown,12000,16000,true,true,Blocked by FD-001. Equipment warnings omitted because already heard.
training-balance-single-leg-hold-first-use-warm-equipment-gap100,training,balance-single-leg-hold,clara,first_occurrence,family_warning_already_heard,1;2;3,framing-ready-v2;ex-balance-single-leg-hold-first-v2;target-balance-single-leg-hold-v2,"You're in position. Stay there.;Single-leg hold. Stand on the approved leg, lift the other foot slightly, fingertips near support.;Hold for fifteen seconds.",3,10260,100,10460,12460,15460,ordinary_first_use_pre_countdown,12000,16000,true,true,Blocked by FD-001. Equipment warnings omitted because already heard.
training-balance-single-leg-hold-first-use-warm-equipment-gap250,training,balance-single-leg-hold,clara,first_occurrence,family_warning_already_heard,1;2;3,framing-ready-v2;ex-balance-single-leg-hold-first-v2;target-balance-single-leg-hold-v2,"You're in position. Stay there.;Single-leg hold. Stand on the approved leg, lift the other foot slightly, fingertips near support.;Hold for fifteen seconds.",3,10260,250,10760,12760,15760,ordinary_first_use_pre_countdown,12000,16000,true,true,Blocked by FD-001. Equipment warnings omitted because already heard.
training-balance-single-leg-hold-first-use-warm-equipment-gap0,training,balance-single-leg-hold,marcus,first_occurrence,family_warning_already_heard,1;2;3,framing-ready-v2;ex-balance-single-leg-hold-first-v2;target-balance-single-leg-hold-v2,"You're in position. Stay there.;Single-leg hold. Stand on the approved leg, lift the other foot slightly, fingertips near support.;Hold for fifteen seconds.",3,10010,0,10010,12010,15010,ordinary_first_use_pre_countdown,12000,16000,true,true,Blocked by FD-001. Equipment warnings omitted because already heard.
training-balance-single-leg-hold-first-use-warm-equipment-gap100,training,balance-single-leg-hold,marcus,first_occurrence,family_warning_already_heard,1;2;3,framing-ready-v2;ex-balance-single-leg-hold-first-v2;target-balance-single-leg-hold-v2,"You're in position. Stay there.;Single-leg hold. Stand on the approved leg, lift the other foot slightly, fingertips near support.;Hold for fifteen seconds.",3,10010,100,10210,12210,15210,ordinary_first_use_pre_countdown,12000,16000,true,true,Blocked by FD-001. Equipment warnings omitted because already heard.
training-balance-single-leg-hold-first-use-warm-equipment-gap250,training,balance-single-leg-hold,marcus,first_occurrence,family_warning_already_heard,1;2;3,framing-ready-v2;ex-balance-single-leg-hold-first-v2;target-balance-single-leg-hold-v2,"You're in position. Stay there.;Single-leg hold. Stand on the approved leg, lift the other foot slightly, fingertips near support.;Hold for fifteen seconds.",3,10010,250,10510,12510,15510,ordinary_first_use_pre_countdown,12000,16000,true,true,Blocked by FD-001. Equipment warnings omitted because already heard.
training-balance-single-leg-hold-later-set-gap0,training,balance-single-leg-hold,clara,later_set,family_warning_already_heard,1;2,ex-balance-single-leg-hold-next-v2;target-balance-single-leg-hold-v2,Single-leg hold.;Hold for fifteen seconds.,2,3360,0,3360,5360,8360,later_set_reminder,4000,6000,true,true,Later-set sequence does not repeat equipment safety.
training-balance-single-leg-hold-later-set-gap100,training,balance-single-leg-hold,clara,later_set,family_warning_already_heard,1;2,ex-balance-single-leg-hold-next-v2;target-balance-single-leg-hold-v2,Single-leg hold.;Hold for fifteen seconds.,2,3360,100,3460,5460,8460,later_set_reminder,4000,6000,true,true,Later-set sequence does not repeat equipment safety.
training-balance-single-leg-hold-later-set-gap250,training,balance-single-leg-hold,clara,later_set,family_warning_already_heard,1;2,ex-balance-single-leg-hold-next-v2;target-balance-single-leg-hold-v2,Single-leg hold.;Hold for fifteen seconds.,2,3360,250,3610,5610,8610,later_set_reminder,4000,6000,true,true,Later-set sequence does not repeat equipment safety.
training-balance-single-leg-hold-later-set-gap0,training,balance-single-leg-hold,marcus,later_set,family_warning_already_heard,1;2,ex-balance-single-leg-hold-next-v2;target-balance-single-leg-hold-v2,Single-leg hold.;Hold for fifteen seconds.,2,3290,0,3290,5290,8290,later_set_reminder,4000,6000,true,true,Later-set sequence does not repeat equipment safety.
training-balance-single-leg-hold-later-set-gap100,training,balance-single-leg-hold,marcus,later_set,family_warning_already_heard,1;2,ex-balance-single-leg-hold-next-v2;target-balance-single-leg-hold-v2,Single-leg hold.;Hold for fifteen seconds.,2,3290,100,3390,5390,8390,later_set_reminder,4000,6000,true,true,Later-set sequence does not repeat equipment safety.
training-balance-single-leg-hold-later-set-gap250,training,balance-single-leg-hold,marcus,later_set,family_warning_already_heard,1;2,ex-balance-single-leg-hold-next-v2;target-balance-single-leg-hold-v2,Single-leg hold.;Hold for fifteen seconds.,2,3290,250,3540,5540,8540,later_set_reminder,4000,6000,true,true,Later-set sequence does not repeat equipment safety.
training-balance-single-leg-hold-repeat-instructions-gap0,training,balance-single-leg-hold,clara,repeat_instructions,state_current,1;2,ex-balance-single-leg-hold-first-v2;target-balance-single-leg-hold-v2,"Single-leg hold. Stand on the approved leg, lift the other foot slightly, fingertips near support.;Hold for fifteen seconds.",2,8040,0,8040,10040,13040,repeat_instructions,10000,14000,true,true,Explicit Repeat control path.
training-balance-single-leg-hold-repeat-instructions-gap100,training,balance-single-leg-hold,clara,repeat_instructions,state_current,1;2,ex-balance-single-leg-hold-first-v2;target-balance-single-leg-hold-v2,"Single-leg hold. Stand on the approved leg, lift the other foot slightly, fingertips near support.;Hold for fifteen seconds.",2,8040,100,8140,10140,13140,repeat_instructions,10000,14000,true,true,Explicit Repeat control path.
training-balance-single-leg-hold-repeat-instructions-gap250,training,balance-single-leg-hold,clara,repeat_instructions,state_current,1;2,ex-balance-single-leg-hold-first-v2;target-balance-single-leg-hold-v2,"Single-leg hold. Stand on the approved leg, lift the other foot slightly, fingertips near support.;Hold for fifteen seconds.",2,8040,250,8290,10290,13290,repeat_instructions,10000,14000,true,true,Explicit Repeat control path.
training-balance-single-leg-hold-repeat-instructions-gap0,training,balance-single-leg-hold,marcus,repeat_instructions,state_current,1;2,ex-balance-single-leg-hold-first-v2;target-balance-single-leg-hold-v2,"Single-leg hold. Stand on the approved leg, lift the other foot slightly, fingertips near support.;Hold for fifteen seconds.",2,7840,0,7840,9840,12840,repeat_instructions,10000,14000,true,true,Explicit Repeat control path.
training-balance-single-leg-hold-repeat-instructions-gap100,training,balance-single-leg-hold,marcus,repeat_instructions,state_current,1;2,ex-balance-single-leg-hold-first-v2;target-balance-single-leg-hold-v2,"Single-leg hold. Stand on the approved leg, lift the other foot slightly, fingertips near support.;Hold for fifteen seconds.",2,7840,100,7940,9940,12940,repeat_instructions,10000,14000,true,true,Explicit Repeat control path.
training-balance-single-leg-hold-repeat-instructions-gap250,training,balance-single-leg-hold,marcus,repeat_instructions,state_current,1;2,ex-balance-single-leg-hold-first-v2;target-balance-single-leg-hold-v2,"Single-leg hold. Stand on the approved leg, lift the other foot slightly, fingertips near support.;Hold for fifteen seconds.",2,7840,250,8090,10090,13090,repeat_instructions,10000,14000,true,true,Explicit Repeat control path.
training-balance-tandem-hold-first-use-cold-equipment-gap0,training,balance-tandem-hold,clara,first_occurrence,family_warning_not_yet_heard,1;2;3;4;5,framing-ready-v2;ex-balance-tandem-hold-first-v2;target-balance-tandem-hold-v2;safe-support-first-v2;safe-balance-first-v2,"You're in position. Stay there.;Tandem hold. Use the approved lead foot, heel to toe, fingertips near support.;Hold for twenty seconds.;Keep sturdy support within easy reach.;Keep fingertips near support and touch it whenever you need.",5,15780,0,15780,17780,20780,ordinary_first_use_pre_countdown,12000,16000,false,true,Blocked by FD-001. Complete pre-countdown sequence excludes countdown by budget definition.
training-balance-tandem-hold-first-use-cold-equipment-gap100,training,balance-tandem-hold,clara,first_occurrence,family_warning_not_yet_heard,1;2;3;4;5,framing-ready-v2;ex-balance-tandem-hold-first-v2;target-balance-tandem-hold-v2;safe-support-first-v2;safe-balance-first-v2,"You're in position. Stay there.;Tandem hold. Use the approved lead foot, heel to toe, fingertips near support.;Hold for twenty seconds.;Keep sturdy support within easy reach.;Keep fingertips near support and touch it whenever you need.",5,15780,100,16180,18180,21180,ordinary_first_use_pre_countdown,12000,16000,false,false,Blocked by FD-001. Complete pre-countdown sequence excludes countdown by budget definition.
training-balance-tandem-hold-first-use-cold-equipment-gap250,training,balance-tandem-hold,clara,first_occurrence,family_warning_not_yet_heard,1;2;3;4;5,framing-ready-v2;ex-balance-tandem-hold-first-v2;target-balance-tandem-hold-v2;safe-support-first-v2;safe-balance-first-v2,"You're in position. Stay there.;Tandem hold. Use the approved lead foot, heel to toe, fingertips near support.;Hold for twenty seconds.;Keep sturdy support within easy reach.;Keep fingertips near support and touch it whenever you need.",5,15780,250,16780,18780,21780,ordinary_first_use_pre_countdown,12000,16000,false,false,Blocked by FD-001. Complete pre-countdown sequence excludes countdown by budget definition.
training-balance-tandem-hold-first-use-cold-equipment-gap0,training,balance-tandem-hold,marcus,first_occurrence,family_warning_not_yet_heard,1;2;3;4;5,framing-ready-v2;ex-balance-tandem-hold-first-v2;target-balance-tandem-hold-v2;safe-support-first-v2;safe-balance-first-v2,"You're in position. Stay there.;Tandem hold. Use the approved lead foot, heel to toe, fingertips near support.;Hold for twenty seconds.;Keep sturdy support within easy reach.;Keep fingertips near support and touch it whenever you need.",5,15400,0,15400,17400,20400,ordinary_first_use_pre_countdown,12000,16000,false,true,Blocked by FD-001. Complete pre-countdown sequence excludes countdown by budget definition.
training-balance-tandem-hold-first-use-cold-equipment-gap100,training,balance-tandem-hold,marcus,first_occurrence,family_warning_not_yet_heard,1;2;3;4;5,framing-ready-v2;ex-balance-tandem-hold-first-v2;target-balance-tandem-hold-v2;safe-support-first-v2;safe-balance-first-v2,"You're in position. Stay there.;Tandem hold. Use the approved lead foot, heel to toe, fingertips near support.;Hold for twenty seconds.;Keep sturdy support within easy reach.;Keep fingertips near support and touch it whenever you need.",5,15400,100,15800,17800,20800,ordinary_first_use_pre_countdown,12000,16000,false,true,Blocked by FD-001. Complete pre-countdown sequence excludes countdown by budget definition.
training-balance-tandem-hold-first-use-cold-equipment-gap250,training,balance-tandem-hold,marcus,first_occurrence,family_warning_not_yet_heard,1;2;3;4;5,framing-ready-v2;ex-balance-tandem-hold-first-v2;target-balance-tandem-hold-v2;safe-support-first-v2;safe-balance-first-v2,"You're in position. Stay there.;Tandem hold. Use the approved lead foot, heel to toe, fingertips near support.;Hold for twenty seconds.;Keep sturdy support within easy reach.;Keep fingertips near support and touch it whenever you need.",5,15400,250,16400,18400,21400,ordinary_first_use_pre_countdown,12000,16000,false,false,Blocked by FD-001. Complete pre-countdown sequence excludes countdown by budget definition.
