scenarioId,flow,itemId,voiceId,exposureType,implementationState,gapAssumptionMs,sequenceOrder,cueKeys,scripts,assetCount,estimatedSpeechMs,estimatedTotalMs,countdownStartsAtMs,audibleGoAtMs,budgetClass,targetMs,hardMaxMs,passesTarget,passesHardMax,notes
training-balance-feet-together-hold-later-set-clara-gap250,training,balance-feet-together-hold,clara,later_set_same_side_context,implementation_required_before_preview,250,1;2,ex-balance-feet-together-hold-next-v21;target-balance-feet-together-hold-v21,Feet-together hold.;Hold for twenty seconds.,2,3360,3610,3610,6610,later_set_reminder,4000,6000,true,true,No total set count.
training-balance-feet-together-hold-later-set-marcus-gap0,training,balance-feet-together-hold,marcus,later_set_same_side_context,implementation_required_before_preview,0,1;2,ex-balance-feet-together-hold-next-v21;target-balance-feet-together-hold-v21,Feet-together hold.;Hold for twenty seconds.,2,3290,3290,3290,6290,later_set_reminder,4000,6000,true,true,No total set count.
training-balance-feet-together-hold-later-set-marcus-gap100,training,balance-feet-together-hold,marcus,later_set_same_side_context,implementation_required_before_preview,100,1;2,ex-balance-feet-together-hold-next-v21;target-balance-feet-together-hold-v21,Feet-together hold.;Hold for twenty seconds.,2,3290,3390,3390,6390,later_set_reminder,4000,6000,true,true,No total set count.
training-balance-feet-together-hold-later-set-marcus-gap250,training,balance-feet-together-hold,marcus,later_set_same_side_context,implementation_required_before_preview,250,1;2,ex-balance-feet-together-hold-next-v21;target-balance-feet-together-hold-v21,Feet-together hold.;Hold for twenty seconds.,2,3290,3540,3540,6540,later_set_reminder,4000,6000,true,true,No total set count.
training-balance-feet-together-hold-side-change-clara-gap0,training,balance-feet-together-hold,clara,side_change_path,implementation_required_before_preview,0,1,ex-balance-feet-together-hold-next-v21,Feet-together hold.,1,1500,1500,1500,4500,later_set_reminder,4000,6000,true,true,Not side-specific.
training-balance-feet-together-hold-side-change-clara-gap100,training,balance-feet-together-hold,clara,side_change_path,implementation_required_before_preview,100,1,ex-balance-feet-together-hold-next-v21,Feet-together hold.,1,1500,1500,1500,4500,later_set_reminder,4000,6000,true,true,Not side-specific.
training-balance-feet-together-hold-side-change-clara-gap250,training,balance-feet-together-hold,clara,side_change_path,implementation_required_before_preview,250,1,ex-balance-feet-together-hold-next-v21,Feet-together hold.,1,1500,1500,1500,4500,later_set_reminder,4000,6000,true,true,Not side-specific.
training-balance-feet-together-hold-side-change-marcus-gap0,training,balance-feet-together-hold,marcus,side_change_path,implementation_required_before_preview,0,1,ex-balance-feet-together-hold-next-v21,Feet-together hold.,1,1470,1470,1470,4470,later_set_reminder,4000,6000,true,true,Not side-specific.
training-balance-feet-together-hold-side-change-marcus-gap100,training,balance-feet-together-hold,marcus,side_change_path,implementation_required_before_preview,100,1,ex-balance-feet-together-hold-next-v21,Feet-together hold.,1,1470,1470,1470,4470,later_set_reminder,4000,6000,true,true,Not side-specific.
training-balance-feet-together-hold-side-change-marcus-gap250,training,balance-feet-together-hold,marcus,side_change_path,implementation_required_before_preview,250,1,ex-balance-feet-together-hold-next-v21,Feet-together hold.,1,1470,1470,1470,4470,later_set_reminder,4000,6000,true,true,Not side-specific.
training-balance-feet-together-hold-repeat-clara-gap0,training,balance-feet-together-hold,clara,repeat_instructions,implementation_required_before_preview,0,1;2,ex-balance-feet-together-hold-first-v21;target-balance-feet-together-hold-v21,"Feet-together hold. Stand with feet together, fingertips near support, eyes open.;Hold for twenty seconds.",2,6600,6600,6600,9600,repeat_instructions,10000,14000,true,true,No set count.
training-balance-feet-together-hold-repeat-clara-gap100,training,balance-feet-together-hold,clara,repeat_instructions,implementation_required_before_preview,100,1;2,ex-balance-feet-together-hold-first-v21;target-balance-feet-together-hold-v21,"Feet-together hold. Stand with feet together, fingertips near support, eyes open.;Hold for twenty seconds.",2,6600,6700,6700,9700,repeat_instructions,10000,14000,true,true,No set count.
training-balance-feet-together-hold-repeat-clara-gap250,training,balance-feet-together-hold,clara,repeat_instructions,implementation_required_before_preview,250,1;2,ex-balance-feet-together-hold-first-v21;target-balance-feet-together-hold-v21,"Feet-together hold. Stand with feet together, fingertips near support, eyes open.;Hold for twenty seconds.",2,6600,6850,6850,9850,repeat_instructions,10000,14000,true,true,No set count.
training-balance-feet-together-hold-repeat-marcus-gap0,training,balance-feet-together-hold,marcus,repeat_instructions,implementation_required_before_preview,0,1;2,ex-balance-feet-together-hold-first-v21;target-balance-feet-together-hold-v21,"Feet-together hold. Stand with feet together, fingertips near support, eyes open.;Hold for twenty seconds.",2,6440,6440,6440,9440,repeat_instructions,10000,14000,true,true,No set count.
training-balance-feet-together-hold-repeat-marcus-gap100,training,balance-feet-together-hold,marcus,repeat_instructions,implementation_required_before_preview,100,1;2,ex-balance-feet-together-hold-first-v21;target-balance-feet-together-hold-v21,"Feet-together hold. Stand with feet together, fingertips near support, eyes open.;Hold for twenty seconds.",2,6440,6540,6540,9540,repeat_instructions,10000,14000,true,true,No set count.
training-balance-feet-together-hold-repeat-marcus-gap250,training,balance-feet-together-hold,marcus,repeat_instructions,implementation_required_before_preview,250,1;2,ex-balance-feet-together-hold-first-v21;target-balance-feet-together-hold-v21,"Feet-together hold. Stand with feet together, fingertips near support, eyes open.;Hold for twenty seconds.",2,6440,6690,6690,9690,repeat_instructions,10000,14000,true,true,No set count.
training-balance-feet-together-hold-tracking-recovery-clara-gap0,training,balance-feet-together-hold,clara,tracking_loss_recovery,implementation_required_before_preview,0,1;2,tracking-loss-v21;tracking-recovered-v21,Pause. Return to the setup position.;You're back in position. We'll restart.,2,5160,5160,5160,8160,tracking_loss_recovery_sequence,6500,9000,true,true,Fresh countdown follows.
training-balance-feet-together-hold-tracking-recovery-clara-gap100,training,balance-feet-together-hold,clara,tracking_loss_recovery,implementation_required_before_preview,100,1;2,tracking-loss-v21;tracking-recovered-v21,Pause. Return to the setup position.;You're back in position. We'll restart.,2,5160,5260,5260,8260,tracking_loss_recovery_sequence,6500,9000,true,true,Fresh countdown follows.
training-balance-feet-together-hold-tracking-recovery-clara-gap250,training,balance-feet-together-hold,clara,tracking_loss_recovery,implementation_required_before_preview,250,1;2,tracking-loss-v21;tracking-recovered-v21,Pause. Return to the setup position.;You're back in position. We'll restart.,2,5160,5410,5410,8410,tracking_loss_recovery_sequence,6500,9000,true,true,Fresh countdown follows.
training-balance-feet-together-hold-tracking-recovery-marcus-gap0,training,balance-feet-together-hold,marcus,tracking_loss_recovery,implementation_required_before_preview,0,1;2,tracking-loss-v21;tracking-recovered-v21,Pause. Return to the setup position.;You're back in position. We'll restart.,2,5040,5040,5040,8040,tracking_loss_recovery_sequence,6500,9000,true,true,Fresh countdown follows.
training-balance-feet-together-hold-tracking-recovery-marcus-gap100,training,balance-feet-together-hold,marcus,tracking_loss_recovery,implementation_required_before_preview,100,1;2,tracking-loss-v21;tracking-recovered-v21,Pause. Return to the setup position.;You're back in position. We'll restart.,2,5040,5140,5140,8140,tracking_loss_recovery_sequence,6500,9000,true,true,Fresh countdown follows.
training-balance-feet-together-hold-tracking-recovery-marcus-gap250,training,balance-feet-together-hold,marcus,tracking_loss_recovery,implementation_required_before_preview,250,1;2,tracking-loss-v21;tracking-recovered-v21,Pause. Return to the setup position.;You're back in position. We'll restart.,2,5040,5290,5290,8290,tracking_loss_recovery_sequence,6500,9000,true,true,Fresh countdown follows.
training-balance-feet-together-hold-pause-resume-clara-gap0,training,balance-feet-together-hold,clara,pause_resume,ready_after_audio_generation,0,1;2,paused-v21;resuming-v21,Paused.;Resuming.,2,1800,1800,1800,4800,control_confirmation,2000,3500,true,true,Controls do not replay instructions.
training-balance-feet-together-hold-pause-resume-clara-gap100,training,balance-feet-together-hold,clara,pause_resume,ready_after_audio_generation,100,1;2,paused-v21;resuming-v21,Paused.;Resuming.,2,1800,1900,1900,4900,control_confirmation,2000,3500,true,true,Controls do not replay instructions.
training-balance-feet-together-hold-pause-resume-clara-gap250,training,balance-feet-together-hold,clara,pause_resume,ready_after_audio_generation,250,1;2,paused-v21;resuming-v21,Paused.;Resuming.,2,1800,2050,2050,5050,control_confirmation,2000,3500,false,true,Controls do not replay instructions.
training-balance-feet-together-hold-pause-resume-marcus-gap0,training,balance-feet-together-hold,marcus,pause_resume,ready_after_audio_generation,0,1;2,paused-v21;resuming-v21,Paused.;Resuming.,2,1800,1800,1800,4800,control_confirmation,2000,3500,true,true,Controls do not replay instructions.
training-balance-feet-together-hold-pause-resume-marcus-gap100,training,balance-feet-together-hold,marcus,pause_resume,ready_after_audio_generation,100,1;2,paused-v21;resuming-v21,Paused.;Resuming.,2,1800,1900,1900,4900,control_confirmation,2000,3500,true,true,Controls do not replay instructions.
training-balance-feet-together-hold-pause-resume-marcus-gap250,training,balance-feet-together-hold,marcus,pause_resume,ready_after_audio_generation,250,1;2,paused-v21;resuming-v21,Paused.;Resuming.,2,1800,2050,2050,5050,control_confirmation,2000,3500,false,true,Controls do not replay instructions.
training-balance-single-leg-hold-first-use-cold-clara-gap0,training,balance-single-leg-hold,clara,first_use_cold_equipment,implementation_required_before_preview,0,1;2;3;4,ex-balance-single-leg-hold-first-v21;side-single-leg-left-v21;final-position-set-v21;target-balance-single-leg-hold-v21,Single-leg hold. Keep support close.;Start on your left leg. Lift your right foot slightly.;You're set.;Hold for [duration].,4,9240,9240,9240,12240,ordinary_first_use_pre_countdown,12000,16000,true,true,Actual pre-countdown sequence.
training-balance-single-leg-hold-first-use-cold-clara-gap100,training,balance-single-leg-hold,clara,first_use_cold_equipment,implementation_required_before_preview,100,1;2;3;4,ex-balance-single-leg-hold-first-v21;side-single-leg-left-v21;final-position-set-v21;target-balance-single-leg-hold-v21,Single-leg hold. Keep support close.;Start on your left leg. Lift your right foot slightly.;You're set.;Hold for [duration].,4,9240,9540,9540,12540,ordinary_first_use_pre_countdown,12000,16000,true,true,Actual pre-countdown sequence.
training-balance-single-leg-hold-first-use-cold-clara-gap250,training,balance-single-leg-hold,clara,first_use_cold_equipment,implementation_required_before_preview,250,1;2;3;4,ex-balance-single-leg-hold-first-v21;side-single-leg-left-v21;final-position-set-v21;target-balance-single-leg-hold-v21,Single-leg hold. Keep support close.;Start on your left leg. Lift your right foot slightly.;You're set.;Hold for [duration].,4,9240,9990,9990,12990,ordinary_first_use_pre_countdown,12000,16000,true,true,Actual pre-countdown sequence.
training-balance-single-leg-hold-first-use-cold-marcus-gap0,training,balance-single-leg-hold,marcus,first_use_cold_equipment,implementation_required_before_preview,0,1;2;3;4,ex-balance-single-leg-hold-first-v21;side-single-leg-left-v21;final-position-set-v21;target-balance-single-leg-hold-v21,Single-leg hold. Keep support close.;Start on your left leg. Lift your right foot slightly.;You're set.;Hold for [duration].,4,9030,9030,9030,12030,ordinary_first_use_pre_countdown,12000,16000,true,true,Actual pre-countdown sequence.
training-balance-single-leg-hold-first-use-cold-marcus-gap100,training,balance-single-leg-hold,marcus,first_use_cold_equipment,implementation_required_before_preview,100,1;2;3;4,ex-balance-single-leg-hold-first-v21;side-single-leg-left-v21;final-position-set-v21;target-balance-single-leg-hold-v21,Single-leg hold. Keep support close.;Start on your left leg. Lift your right foot slightly.;You're set.;Hold for [duration].,4,9030,9330,9330,12330,ordinary_first_use_pre_countdown,12000,16000,true,true,Actual pre-countdown sequence.
training-balance-single-leg-hold-first-use-cold-marcus-gap250,training,balance-single-leg-hold,marcus,first_use_cold_equipment,implementation_required_before_preview,250,1;2;3;4,ex-balance-single-leg-hold-first-v21;side-single-leg-left-v21;final-position-set-v21;target-balance-single-leg-hold-v21,Single-leg hold. Keep support close.;Start on your left leg. Lift your right foot slightly.;You're set.;Hold for [duration].,4,9030,9780,9780,12780,ordinary_first_use_pre_countdown,12000,16000,true,true,Actual pre-countdown sequence.
training-balance-single-leg-hold-first-use-warm-clara-gap0,training,balance-single-leg-hold,clara,first_use_after_family_introduced,implementation_required_before_preview,0,1;2;3;4,ex-balance-single-leg-hold-first-v21;side-single-leg-left-v21;final-position-set-v21;target-balance-single-leg-hold-v21,Single-leg hold. Keep support close.;Start on your left leg. Lift your right foot slightly.;You're set.;Hold for [duration].,4,9240,9240,9240,12240,ordinary_first_use_pre_countdown,12000,16000,true,true,Family line omitted only when already introduced or absorbed.
training-balance-single-leg-hold-first-use-warm-clara-gap100,training,balance-single-leg-hold,clara,first_use_after_family_introduced,implementation_required_before_preview,100,1;2;3;4,ex-balance-single-leg-hold-first-v21;side-single-leg-left-v21;final-position-set-v21;target-balance-single-leg-hold-v21,Single-leg hold. Keep support close.;Start on your left leg. Lift your right foot slightly.;You're set.;Hold for [duration].,4,9240,9540,9540,12540,ordinary_first_use_pre_countdown,12000,16000,true,true,Family line omitted only when already introduced or absorbed.
training-balance-single-leg-hold-first-use-warm-clara-gap250,training,balance-single-leg-hold,clara,first_use_after_family_introduced,implementation_required_before_preview,250,1;2;3;4,ex-balance-single-leg-hold-first-v21;side-single-leg-left-v21;final-position-set-v21;target-balance-single-leg-hold-v21,Single-leg hold. Keep support close.;Start on your left leg. Lift your right foot slightly.;You're set.;Hold for [duration].,4,9240,9990,9990,12990,ordinary_first_use_pre_countdown,12000,16000,true,true,Family line omitted only when already introduced or absorbed.
training-balance-single-leg-hold-first-use-warm-marcus-gap0,training,balance-single-leg-hold,marcus,first_use_after_family_introduced,implementation_required_before_preview,0,1;2;3;4,ex-balance-single-leg-hold-first-v21;side-single-leg-left-v21;final-position-set-v21;target-balance-single-leg-hold-v21,Single-leg hold. Keep support close.;Start on your left leg. Lift your right foot slightly.;You're set.;Hold for [duration].,4,9030,9030,9030,12030,ordinary_first_use_pre_countdown,12000,16000,true,true,Family line omitted only when already introduced or absorbed.
training-balance-single-leg-hold-first-use-warm-marcus-gap100,training,balance-single-leg-hold,marcus,first_use_after_family_introduced,implementation_required_before_preview,100,1;2;3;4,ex-balance-single-leg-hold-first-v21;side-single-leg-left-v21;final-position-set-v21;target-balance-single-leg-hold-v21,Single-leg hold. Keep support close.;Start on your left leg. Lift your right foot slightly.;You're set.;Hold for [duration].,4,9030,9330,9330,12330,ordinary_first_use_pre_countdown,12000,16000,true,true,Family line omitted only when already introduced or absorbed.
training-balance-single-leg-hold-first-use-warm-marcus-gap250,training,balance-single-leg-hold,marcus,first_use_after_family_introduced,implementation_required_before_preview,250,1;2;3;4,ex-balance-single-leg-hold-first-v21;side-single-leg-left-v21;final-position-set-v21;target-balance-single-leg-hold-v21,Single-leg hold. Keep support close.;Start on your left leg. Lift your right foot slightly.;You're set.;Hold for [duration].,4,9030,9780,9780,12780,ordinary_first_use_pre_countdown,12000,16000,true,true,Family line omitted only when already introduced or absorbed.
training-balance-single-leg-hold-later-set-clara-gap0,training,balance-single-leg-hold,clara,later_set_same_side_context,implementation_required_before_preview,0,1;2,ex-balance-single-leg-hold-next-v21;target-balance-single-leg-hold-v21,Single-leg hold.;Hold for [duration].,2,3000,3000,3000,6000,later_set_reminder,4000,6000,true,true,No total set count.
training-balance-single-leg-hold-later-set-clara-gap100,training,balance-single-leg-hold,clara,later_set_same_side_context,implementation_required_before_preview,100,1;2,ex-balance-single-leg-hold-next-v21;target-balance-single-leg-hold-v21,Single-leg hold.;Hold for [duration].,2,3000,3100,3100,6100,later_set_reminder,4000,6000,true,true,No total set count.
training-balance-single-leg-hold-later-set-clara-gap250,training,balance-single-leg-hold,clara,later_set_same_side_context,implementation_required_before_preview,250,1;2,ex-balance-single-leg-hold-next-v21;target-balance-single-leg-hold-v21,Single-leg hold.;Hold for [duration].,2,3000,3250,3250,6250,later_set_reminder,4000,6000,true,true,No total set count.
training-balance-single-leg-hold-later-set-marcus-gap0,training,balance-single-leg-hold,marcus,later_set_same_side_context,implementation_required_before_preview,0,1;2,ex-balance-single-leg-hold-next-v21;target-balance-single-leg-hold-v21,Single-leg hold.;Hold for [duration].,2,2940,2940,2940,5940,later_set_reminder,4000,6000,true,true,No total set count.
training-balance-single-leg-hold-later-set-marcus-gap100,training,balance-single-leg-hold,marcus,later_set_same_side_context,implementation_required_before_preview,100,1;2,ex-balance-single-leg-hold-next-v21;target-balance-single-leg-hold-v21,Single-leg hold.;Hold for [duration].,2,2940,3040,3040,6040,later_set_reminder,4000,6000,true,true,No total set count.
training-balance-single-leg-hold-later-set-marcus-gap250,training,balance-single-leg-hold,marcus,later_set_same_side_context,implementation_required_before_preview,250,1;2,ex-balance-single-leg-hold-next-v21;target-balance-single-leg-hold-v21,Single-leg hold.;Hold for [duration].,2,2940,3190,3190,6190,later_set_reminder,4000,6000,true,true,No total set count.
training-balance-single-leg-hold-side-change-clara-gap0,training,balance-single-leg-hold,clara,side_change_path,implementation_required_before_preview,0,1;2,switch-legs-v21;side-single-leg-right-v21,Switch legs.;Start on your right leg. Lift your left foot slightly.,2,5160,5160,5160,8160,later_set_reminder,4000,6000,false,true,Both-sides round path.
training-balance-single-leg-hold-side-change-clara-gap100,training,balance-single-leg-hold,clara,side_change_path,implementation_required_before_preview,100,1;2,switch-legs-v21;side-single-leg-right-v21,Switch legs.;Start on your right leg. Lift your left foot slightly.,2,5160,5260,5260,8260,later_set_reminder,4000,6000,false,true,Both-sides round path.
training-balance-single-leg-hold-side-change-clara-gap250,training,balance-single-leg-hold,clara,side_change_path,implementation_required_before_preview,250,1;2,switch-legs-v21;side-single-leg-right-v21,Switch legs.;Start on your right leg. Lift your left foot slightly.,2,5160,5410,5410,8410,later_set_reminder,4000,6000,false,true,Both-sides round path.
training-balance-single-leg-hold-side-change-marcus-gap0,training,balance-single-leg-hold,marcus,side_change_path,implementation_required_before_preview,0,1;2,switch-legs-v21;side-single-leg-right-v21,Switch legs.;Start on your right leg. Lift your left foot slightly.,2,5040,5040,5040,8040,later_set_reminder,4000,6000,false,true,Both-sides round path.
training-balance-single-leg-hold-side-change-marcus-gap100,training,balance-single-leg-hold,marcus,side_change_path,implementation_required_before_preview,100,1;2,switch-legs-v21;side-single-leg-right-v21,Switch legs.;Start on your right leg. Lift your left foot slightly.,2,5040,5140,5140,8140,later_set_reminder,4000,6000,false,true,Both-sides round path.
training-balance-single-leg-hold-side-change-marcus-gap250,training,balance-single-leg-hold,marcus,side_change_path,implementation_required_before_preview,250,1;2,switch-legs-v21;side-single-leg-right-v21,Switch legs.;Start on your right leg. Lift your left foot slightly.,2,5040,5290,5290,8290,later_set_reminder,4000,6000,false,true,Both-sides round path.
training-balance-single-leg-hold-repeat-clara-gap0,training,balance-single-leg-hold,clara,repeat_instructions,implementation_required_before_preview,0,1;2;3,ex-balance-single-leg-hold-first-v21;side-single-leg-left-v21;target-balance-single-leg-hold-v21,Single-leg hold. Keep support close.;Start on your left leg. Lift your right foot slightly.;Hold for [duration].,3,8100,8100,8100,11100,repeat_instructions,10000,14000,true,true,No set count.
training-balance-single-leg-hold-repeat-clara-gap100,training,balance-single-leg-hold,clara,repeat_instructions,implementation_required_before_preview,100,1;2;3,ex-balance-single-leg-hold-first-v21;side-single-leg-left-v21;target-balance-single-leg-hold-v21,Single-leg hold. Keep support close.;Start on your left leg. Lift your right foot slightly.;Hold for [duration].,3,8100,8300,8300,11300,repeat_instructions,10000,14000,true,true,No set count.
training-balance-single-leg-hold-repeat-clara-gap250,training,balance-single-leg-hold,clara,repeat_instructions,implementation_required_before_preview,250,1;2;3,ex-balance-single-leg-hold-first-v21;side-single-leg-left-v21;target-balance-single-leg-hold-v21,Single-leg hold. Keep support close.;Start on your left leg. Lift your right foot slightly.;Hold for [duration].,3,8100,8600,8600,11600,repeat_instructions,10000,14000,true,true,No set count.
