newCueKey,action,oldCueKeys,flow,category,policyId,proposedNumericPriority,trigger,exactScript,isComposable,compositionRole,firstUseOrRepeat,blocksProgression,mayInterrupt,mayBeInterruptedBy,dropIfBusy,cancelOnStateExit,estimatedClaraMs,estimatedMarcusMs,targetMaxMs,hardMaxMs,wordCount,requiredForVoiceFirst,sourceContract,implementationPhase,humanReviewStatus,runtimeReadiness,implementationRequirementIds,legacyStatus,notes
equip-floor-transition-v21,rewrite_existing_key,floor_slow_transition,training,safety.equipment_family,instruction,60,,Move down to the floor and settle into the start position.,false,whole_recording,shared,true,low_reassurance,critical_stop;critical_window;result_transition,false,true,4380,4270,12000,16000,11,true,,v21_script_review,ready_for_human_review,ready_after_audio_generation,,active,
floor-gate-question-v21,new_asset,,profile,safety.floor_gate,instruction,60,,Can you safely get down to the floor and back up without assistance?,false,whole_recording,shared,true,low_reassurance,critical_stop;critical_window;result_transition,false,true,5100,4970,12000,16000,13,true,,v21_script_review,ready_for_human_review,ready_after_audio_generation,,active,
switch-legs-v21,new_composable_fragment,,training,side_change,instruction,60,,Switch legs.,false,whole_recording,shared,true,low_reassurance,critical_stop;critical_window;result_transition,false,true,1140,1120,12000,16000,2,true,,v21_script_review,ready_for_human_review,ready_after_audio_generation,,active,
switch-foot-positions-v21,new_composable_fragment,,training,side_change,instruction,60,,Switch foot positions.,false,whole_recording,shared,true,low_reassurance,critical_stop;critical_window;result_transition,false,true,1500,1470,12000,16000,3,true,,v21_script_review,ready_for_human_review,ready_after_audio_generation,,active,
switch-sides-v21,new_composable_fragment,,training,side_change,instruction,60,,Switch sides.,false,whole_recording,shared,true,low_reassurance,critical_stop;critical_window;result_transition,false,true,1140,1120,12000,16000,2,true,,v21_script_review,ready_for_human_review,ready_after_audio_generation,,active,
ex-balance-feet-together-hold-first-v21,new_asset,,training,exact_training_instruction,instruction,60,,"Feet-together hold. Stand with feet together, fingertips near support, eyes open.",false,whole_recording,first_use,true,low_reassurance,critical_stop;critical_window;result_transition,false,true,4740,4620,12000,16000,12,true,balance-feet-together-hold,v21_script_review,ready_for_human_review,implementation_required_before_preview,IR-VOICE-SAFETY-SUBSUMPTION,active,
ex-balance-feet-together-hold-next-v21,new_asset,,training,later_set_reminder,instruction,60,,Feet-together hold.,false,whole_recording,later_set,true,low_reassurance,critical_stop;critical_window;result_transition,false,true,1500,1470,4000,6000,3,true,balance-feet-together-hold,v21_script_review,ready_for_human_review,implementation_required_before_preview,IR-VOICE-SAFETY-SUBSUMPTION,active,
target-balance-feet-together-hold-v21,new_composable_fragment,,training,target,instruction,60,,Hold for twenty seconds.,true,target_fragment,target,true,low_reassurance,critical_stop;critical_window;result_transition,false,true,1860,1820,4000,6000,4,true,balance-feet-together-hold,v21_script_review,ready_for_human_review,implementation_required_before_preview,IR-VOICE-SAFETY-SUBSUMPTION,active,
ex-balance-single-leg-hold-first-v21,new_asset,,training,exact_training_instruction,instruction,60,,Single-leg hold. Keep support close.,false,whole_recording,first_use,true,low_reassurance,critical_stop;critical_window;result_transition,false,true,2580,2520,12000,16000,6,true,balance-single-leg-hold,v21_script_review,ready_for_human_review,implementation_required_before_preview,IR-VOICE-ROUND-STATE;IR-VOICE-DOSE-CONVERSION;IR-VOICE-SAFETY-SUBSUMPTION,active,
ex-balance-single-leg-hold-next-v21,new_asset,,training,later_set_reminder,instruction,60,,Single-leg hold.,false,whole_recording,later_set,true,low_reassurance,critical_stop;critical_window;result_transition,false,true,1500,1470,4000,6000,3,true,balance-single-leg-hold,v21_script_review,ready_for_human_review,implementation_required_before_preview,IR-VOICE-ROUND-STATE;IR-VOICE-DOSE-CONVERSION;IR-VOICE-SAFETY-SUBSUMPTION,active,
target-balance-single-leg-hold-v21,new_composable_fragment,,training,target,instruction,60,,Hold for [duration].,true,target_fragment,target,true,low_reassurance,critical_stop;critical_window;result_transition,false,true,1500,1470,4000,6000,3,true,balance-single-leg-hold,v21_script_review,ready_for_human_review,implementation_required_before_preview,IR-VOICE-ROUND-STATE;IR-VOICE-DOSE-CONVERSION;IR-VOICE-SAFETY-SUBSUMPTION,active,
side-single-leg-left-v21,new_asset,,training,side_instruction,instruction,60,,Start on your left leg. Lift your right foot slightly.,false,whole_recording,shared,true,low_reassurance,critical_stop;critical_window;result_transition,false,true,4020,3920,12000,16000,10,true,balance-single-leg-hold,v21_script_review,ready_for_human_review,implementation_required_before_preview,IR-VOICE-ROUND-STATE,active,
side-single-leg-right-v21,new_asset,,training,side_instruction,instruction,60,,Start on your right leg. Lift your left foot slightly.,false,whole_recording,shared,true,low_reassurance,critical_stop;critical_window;result_transition,false,true,4020,3920,12000,16000,10,true,balance-single-leg-hold,v21_script_review,ready_for_human_review,implementation_required_before_preview,IR-VOICE-ROUND-STATE,active,
ex-balance-tandem-hold-first-v21,new_asset,,training,exact_training_instruction,instruction,60,,Tandem hold. Keep support close.,false,whole_recording,first_use,true,low_reassurance,critical_stop;critical_window;result_transition,false,true,2220,2170,12000,16000,5,true,balance-tandem-hold,v21_script_review,ready_for_human_review,implementation_required_before_preview,IR-VOICE-ROUND-STATE;IR-VOICE-DOSE-CONVERSION;IR-VOICE-SAFETY-SUBSUMPTION,active,
ex-balance-tandem-hold-next-v21,new_asset,,training,later_set_reminder,instruction,60,,Tandem hold.,false,whole_recording,later_set,true,low_reassurance,critical_stop;critical_window;result_transition,false,true,1140,1120,4000,6000,2,true,balance-tandem-hold,v21_script_review,ready_for_human_review,implementation_required_before_preview,IR-VOICE-ROUND-STATE;IR-VOICE-DOSE-CONVERSION;IR-VOICE-SAFETY-SUBSUMPTION,active,
target-balance-tandem-hold-v21,new_composable_fragment,,training,target,instruction,60,,Hold for [duration].,true,target_fragment,target,true,low_reassurance,critical_stop;critical_window;result_transition,false,true,1500,1470,4000,6000,3,true,balance-tandem-hold,v21_script_review,ready_for_human_review,implementation_required_before_preview,IR-VOICE-ROUND-STATE;IR-VOICE-DOSE-CONVERSION;IR-VOICE-SAFETY-SUBSUMPTION,active,
side-tandem-left-front-v21,new_asset,,training,side_instruction,instruction,60,,"Place your left foot in front, heel to toe.",false,whole_recording,shared,true,low_reassurance,critical_stop;critical_window;result_transition,false,true,3660,3570,12000,16000,9,true,balance-tandem-hold,v21_script_review,ready_for_human_review,implementation_required_before_preview,IR-VOICE-ROUND-STATE,active,
side-tandem-right-front-v21,new_asset,,training,side_instruction,instruction,60,,"Place your right foot in front, heel to toe.",false,whole_recording,shared,true,low_reassurance,critical_stop;critical_window;result_transition,false,true,3660,3570,12000,16000,9,true,balance-tandem-hold,v21_script_review,ready_for_human_review,implementation_required_before_preview,IR-VOICE-ROUND-STATE,active,
ex-band-pull-apart-first-v21,new_asset,,training,exact_training_instruction,instruction,60,,"Band pull-apart. Hold a light band at chest height. Pull your hands wide, then return slowly.",false,whole_recording,first_use,true,low_reassurance,critical_stop;critical_window;result_transition,false,true,6540,6370,12000,16000,17,true,band-pull-apart,v21_script_review,ready_for_human_review,implementation_required_before_preview,IR-VOICE-SAFETY-SUBSUMPTION,active,
ex-band-pull-apart-next-v21,new_asset,,training,later_set_reminder,instruction,60,,Band pull-apart.,false,whole_recording,later_set,true,low_reassurance,critical_stop;critical_window;result_transition,false,true,1500,1470,4000,6000,3,true,band-pull-apart,v21_script_review,ready_for_human_review,implementation_required_before_preview,IR-VOICE-SAFETY-SUBSUMPTION,active,
target-band-pull-apart-v21,new_composable_fragment,,training,target,instruction,60,,Move for thirty seconds.,true,target_fragment,target,true,low_reassurance,critical_stop;critical_window;result_transition,false,true,1860,1820,4000,6000,4,true,band-pull-apart,v21_script_review,ready_for_human_review,implementation_required_before_preview,IR-VOICE-SAFETY-SUBSUMPTION,active,
ex-chair-supported-split-squat-first-v21,new_asset,,training,exact_training_instruction,instruction,60,,Supported split squat. Keep fingertips near support.,false,whole_recording,first_use,true,low_reassurance,critical_stop;critical_window;result_transition,false,true,2940,2870,12000,16000,7,true,chair-supported-split-squat,v21_script_review,ready_for_human_review,implementation_required_before_preview,IR-VOICE-ROUND-STATE;IR-VOICE-DOSE-CONVERSION;IR-VOICE-SAFETY-SUBSUMPTION,active,
ex-chair-supported-split-squat-next-v21,new_asset,,training,later_set_reminder,instruction,60,,Supported split squat.,false,whole_recording,later_set,true,low_reassurance,critical_stop;critical_window;result_transition,false,true,1500,1470,4000,6000,3,true,chair-supported-split-squat,v21_script_review,ready_for_human_review,implementation_required_before_preview,IR-VOICE-ROUND-STATE;IR-VOICE-DOSE-CONVERSION;IR-VOICE-SAFETY-SUBSUMPTION,active,
target-chair-supported-split-squat-v21,new_composable_fragment,,training,target,instruction,60,,Aim for [reps] reps.,true,target_fragment,target,true,low_reassurance,critical_stop;critical_window;result_transition,false,true,1860,1820,4000,6000,4,true,chair-supported-split-squat,v21_script_review,ready_for_human_review,implementation_required_before_preview,IR-VOICE-ROUND-STATE;IR-VOICE-DOSE-CONVERSION;IR-VOICE-SAFETY-SUBSUMPTION,active,
side-split-squat-left-forward-v21,new_asset,,training,side_instruction,instruction,60,,"Left foot forward, small split stance.",false,whole_recording,shared,true,low_reassurance,critical_stop;critical_window;result_transition,false,true,2580,2520,12000,16000,6,true,chair-supported-split-squat,v21_script_review,ready_for_human_review,implementation_required_before_preview,IR-VOICE-ROUND-STATE,active,
side-split-squat-right-forward-v21,new_asset,,training,side_instruction,instruction,60,,"Right foot forward, small split stance.",false,whole_recording,shared,true,low_reassurance,critical_stop;critical_window;result_transition,false,true,2580,2520,12000,16000,6,true,chair-supported-split-squat,v21_script_review,ready_for_human_review,implementation_required_before_preview,IR-VOICE-ROUND-STATE,active,
ex-glute-bridge-hold-first-v21,new_asset,,training,exact_training_instruction,instruction,60,,"Bridge hold. Lie on your back, knees bent, feet flat. Lift your hips and hold.",false,whole_recording,first_use,true,low_reassurance,critical_stop;critical_window;result_transition,false,true,5820,5670,12000,16000,15,true,glute-bridge-hold,v21_script_review,ready_for_human_review,implementation_required_before_preview,IR-VOICE-FLOOR-GATE;IR-VOICE-FINAL-POSITION-READINESS;IR-VOICE-SAFETY-SUBSUMPTION,active,
ex-glute-bridge-hold-next-v21,new_asset,,training,later_set_reminder,instruction,60,,Bridge hold.,false,whole_recording,later_set,true,low_reassurance,critical_stop;critical_window;result_transition,false,true,1140,1120,4000,6000,2,true,glute-bridge-hold,v21_script_review,ready_for_human_review,implementation_required_before_preview,IR-VOICE-FLOOR-GATE;IR-VOICE-FINAL-POSITION-READINESS;IR-VOICE-SAFETY-SUBSUMPTION,active,
target-glute-bridge-hold-v21,new_composable_fragment,,training,target,instruction,60,,Hold for twenty seconds.,true,target_fragment,target,true,low_reassurance,critical_stop;critical_window;result_transition,false,true,1860,1820,4000,6000,4,true,glute-bridge-hold,v21_script_review,ready_for_human_review,implementation_required_before_preview,IR-VOICE-FLOOR-GATE;IR-VOICE-FINAL-POSITION-READINESS;IR-VOICE-SAFETY-SUBSUMPTION,active,
ex-glute-bridge-reps-first-v21,new_asset,,training,exact_training_instruction,instruction,60,,"Glute bridge. Lie on your back, knees bent, feet flat. Lift your hips, then lower with control.",false,whole_recording,first_use,true,low_reassurance,critical_stop;critical_window;result_transition,false,true,6540,6370,12000,16000,17,true,glute-bridge-reps,v21_script_review,ready_for_human_review,implementation_required_before_preview,IR-VOICE-FLOOR-GATE;IR-VOICE-FINAL-POSITION-READINESS;IR-VOICE-SAFETY-SUBSUMPTION,active,
ex-glute-bridge-reps-next-v21,new_asset,,training,later_set_reminder,instruction,60,,Glute bridge.,false,whole_recording,later_set,true,low_reassurance,critical_stop;critical_window;result_transition,false,true,1140,1120,4000,6000,2,true,glute-bridge-reps,v21_script_review,ready_for_human_review,implementation_required_before_preview,IR-VOICE-FLOOR-GATE;IR-VOICE-FINAL-POSITION-READINESS;IR-VOICE-SAFETY-SUBSUMPTION,active,
target-glute-bridge-reps-v21,new_composable_fragment,,training,target,instruction,60,,Aim for twelve reps.,true,target_fragment,target,true,low_reassurance,critical_stop;critical_window;result_transition,false,true,1860,1820,4000,6000,4,true,glute-bridge-reps,v21_script_review,ready_for_human_review,implementation_required_before_preview,IR-VOICE-FLOOR-GATE;IR-VOICE-FINAL-POSITION-READINESS;IR-VOICE-SAFETY-SUBSUMPTION,active,
ex-heel-raise-free-first-v21,new_asset,,training,exact_training_instruction,instruction,60,,"Heel raise. Stand tall. Rise onto the balls of your feet, then lower slowly.",false,whole_recording,first_use,true,low_reassurance,critical_stop;critical_window;result_transition,false,true,5460,5320,12000,16000,14,true,heel-raise-free,v21_script_review,ready_for_human_review,ready_after_audio_generation,,active,
ex-heel-raise-free-next-v21,new_asset,,training,later_set_reminder,instruction,60,,Heel raise.,false,whole_recording,later_set,true,low_reassurance,critical_stop;critical_window;result_transition,false,true,1140,1120,4000,6000,2,true,heel-raise-free,v21_script_review,ready_for_human_review,ready_after_audio_generation,,active,
target-heel-raise-free-v21,new_composable_fragment,,training,target,instruction,60,,Aim for eighteen reps.,true,target_fragment,target,true,low_reassurance,critical_stop;critical_window;result_transition,false,true,1860,1820,4000,6000,4,true,heel-raise-free,v21_script_review,ready_for_human_review,ready_after_audio_generation,,active,
ex-heel-raise-supported-first-v21,new_asset,,training,exact_training_instruction,instruction,60,,"Supported heel raise. Fingertips near support. Rise onto the balls of your feet, then lower slowly.",false,whole_recording,first_use,true,low_reassurance,critical_stop;critical_window;result_transition,false,true,6180,6020,12000,16000,16,true,heel-raise-supported,v21_script_review,ready_for_human_review,implementation_required_before_preview,IR-VOICE-SAFETY-SUBSUMPTION,active,
ex-heel-raise-supported-next-v21,new_asset,,training,later_set_reminder,instruction,60,,Supported heel raise.,false,whole_recording,later_set,true,low_reassurance,critical_stop;critical_window;result_transition,false,true,1500,1470,4000,6000,3,true,heel-raise-supported,v21_script_review,ready_for_human_review,implementation_required_before_preview,IR-VOICE-SAFETY-SUBSUMPTION,active,
target-heel-raise-supported-v21,new_composable_fragment,,training,target,instruction,60,,Aim for fifteen reps.,true,target_fragment,target,true,low_reassurance,critical_stop;critical_window;result_transition,false,true,1860,1820,4000,6000,4,true,heel-raise-supported,v21_script_review,ready_for_human_review,implementation_required_before_preview,IR-VOICE-SAFETY-SUBSUMPTION,active,
ex-hip-hinge-free-first-v21,new_asset,,training,exact_training_instruction,instruction,60,,"Hip hinge. Feet under hips. Send hips back with a long spine, then stand tall.",false,whole_recording,first_use,true,low_reassurance,critical_stop;critical_window;result_transition,false,true,5820,5670,12000,16000,15,true,hip-hinge-free,v21_script_review,ready_for_human_review,ready_after_audio_generation,,active,
ex-hip-hinge-free-next-v21,new_asset,,training,later_set_reminder,instruction,60,,Hip hinge.,false,whole_recording,later_set,true,low_reassurance,critical_stop;critical_window;result_transition,false,true,1140,1120,4000,6000,2,true,hip-hinge-free,v21_script_review,ready_for_human_review,ready_after_audio_generation,,active,
target-hip-hinge-free-v21,new_composable_fragment,,training,target,instruction,60,,Aim for twelve reps.,true,target_fragment,target,true,low_reassurance,critical_stop;critical_window;result_transition,false,true,1860,1820,4000,6000,4,true,hip-hinge-free,v21_script_review,ready_for_human_review,ready_after_audio_generation,,active,
ex-hip-hinge-wall-first-v21,new_asset,,training,exact_training_instruction,instruction,60,,"Wall-tap hinge. Stand a step from the wall. Send hips back to tap the wall, then stand tall.",false,whole_recording,first_use,true,low_reassurance,critical_stop;critical_window;result_transition,false,true,7260,7070,12000,16000,19,true,hip-hinge-wall,v21_script_review,ready_for_human_review,implementation_required_before_preview,IR-VOICE-SAFETY-SUBSUMPTION,active,
ex-hip-hinge-wall-next-v21,new_asset,,training,later_set_reminder,instruction,60,,Wall-tap hinge.,false,whole_recording,later_set,true,low_reassurance,critical_stop;critical_window;result_transition,false,true,1500,1470,4000,6000,3,true,hip-hinge-wall,v21_script_review,ready_for_human_review,implementation_required_before_preview,IR-VOICE-SAFETY-SUBSUMPTION,active,
target-hip-hinge-wall-v21,new_composable_fragment,,training,target,instruction,60,,Aim for ten reps.,true,target_fragment,target,true,low_reassurance,critical_stop;critical_window;result_transition,false,true,1860,1820,4000,6000,4,true,hip-hinge-wall,v21_script_review,ready_for_human_review,implementation_required_before_preview,IR-VOICE-SAFETY-SUBSUMPTION,active,
ex-loaded-march-first-v21,new_asset,,training,exact_training_instruction,instruction,60,,March in place. Stand tall near support and march with a steady rhythm.,false,whole_recording,first_use,true,low_reassurance,critical_stop;critical_window;result_transition,false,true,5100,4970,12000,16000,13,true,loaded-march,v21_script_review,ready_for_human_review,implementation_required_before_preview,IR-VOICE-SAFETY-SUBSUMPTION,active,
