scenarioId,voiceId,gapMs,budgetClass,cueKeys,scripts,assetStatus,estimatedSpeechMs,estimatedTotalMs,targetMs,hardMaxMs,passesTarget,passesHardMax,activeStartBoundary,restStartBoundary,notes
resume_step_up,clara,100,control_confirmation,resuming-v21;countdown-three;countdown-two;countdown-one;go,Resuming. | Three. | Two. | One. | Go!,reuse_exact_existing_pair;reuse_exact_existing_pair;reuse_exact_existing_pair;reuse_exact_existing_pair;reuse_exact_existing_pair,3400,3800,2000,3500,false,true,go_playback_start,not_applicable,do_not_start_active_work; keep visible fallback with retry_or_exit_controls
resume_both_sides,clara,100,control_confirmation,resuming-v21;countdown-three;countdown-two;countdown-one;go,Resuming. | Three. | Two. | One. | Go!,reuse_exact_existing_pair;reuse_exact_existing_pair;reuse_exact_existing_pair;reuse_exact_existing_pair;reuse_exact_existing_pair,3400,3800,2000,3500,false,true,go_playback_start,not_applicable,do_not_start_active_work; keep visible fallback with retry_or_exit_controls
resume_floor,clara,100,setup_countdown_sequence,resuming-v21;final-position-set-v21;countdown-three;countdown-two;countdown-one;go,Resuming. | You're set. | Three. | Two. | One. | Go!,reuse_exact_existing_pair;reuse_exact_existing_pair;reuse_exact_existing_pair;reuse_exact_existing_pair;reuse_exact_existing_pair;reuse_exact_existing_pair,4900,5400,6500,9000,true,true,go_playback_start,not_applicable,do_not_start_active_work; keep visible fallback with retry_or_exit_controls
repeat_instructions_setup,clara,100,repeat_instructions,ex-squat-free-first-v21;target-squat-free-v21,"Squat. Feet about hip width. Lower as if to sit, then stand with control. | Aim for twelve reps.",reuse_exact_existing_pair;reuse_exact_existing_pair,3000,3100,10000,14000,true,true,not_applicable,not_applicable,Estimated from logical scripts; physical onset remains device QA.
repeat_instructions_paused,clara,100,repeat_instructions,ex-squat-free-first-v21;target-squat-free-v21,"Squat. Feet about hip width. Lower as if to sit, then stand with control. | Aim for twelve reps.",reuse_exact_existing_pair;reuse_exact_existing_pair,3000,3100,10000,14000,true,true,not_applicable,not_applicable,visible_paused_state_remains_authoritative_even_if_confirmation_audio_fails
retry_audio_failure,clara,100,control_confirmation,retry-v21,Let's try that again.,reuse_exact_existing_pair,1500,1500,2000,3500,true,true,not_applicable,not_applicable,retry_cue_failure_does_not_skip_required_setup_or_countdown
retry_tracking_recovery,clara,100,tracking_recovery,retry-v21,Let's try that again.,reuse_exact_existing_pair,1500,1500,2500,4000,true,true,not_applicable,not_applicable,retry_cue_failure_does_not_skip_required_setup_or_countdown
rapid_double_retry,clara,100,control_confirmation,retry-v21,Let's try that again.,reuse_exact_existing_pair,1500,1500,2000,3500,true,true,not_applicable,not_applicable,retry_cue_failure_does_not_skip_required_setup_or_countdown
skip_nonfinal_item,clara,100,control_confirmation,training-skip-v21,Skipped. Moving on.,reuse_exact_existing_pair,1500,1500,2000,3500,true,true,not_applicable,not_applicable,Estimated from logical scripts; physical onset remains device QA.
skip_final_item,clara,100,control_confirmation,training-skip-v21;session-complete-v21,Skipped. Moving on. | Session complete.,reuse_exact_existing_pair;reuse_exact_existing_pair,3000,3100,2000,3500,false,true,not_applicable,not_applicable,Estimated from logical scripts; physical onset remains device QA.
rapid_double_skip,clara,100,control_confirmation,training-skip-v21,Skipped. Moving on.,reuse_exact_existing_pair,1500,1500,2000,3500,true,true,not_applicable,not_applicable,Estimated from logical scripts; physical onset remains device QA.
progress_15_second,clara,100,control_confirmation,five-seconds-left-v21,Five seconds left.,reuse_exact_existing_pair,1000,1000,2000,3500,true,true,not_applicable,not_applicable,Estimated from logical scripts; physical onset remains device QA.
progress_20_second,clara,100,control_confirmation,halfway-v21;five-seconds-left-v21,Halfway. | Five seconds left.,reuse_exact_existing_pair;reuse_exact_existing_pair,1700,1800,2000,3500,true,true,not_applicable,not_applicable,Estimated from logical scripts; physical onset remains device QA.
progress_30_second,clara,100,control_confirmation,halfway-v21;five-seconds-left-v21,Halfway. | Five seconds left.,reuse_exact_existing_pair;reuse_exact_existing_pair,1700,1800,2000,3500,true,true,not_applicable,not_applicable,Estimated from logical scripts; physical onset remains device QA.
progress_side_15_second,clara,100,control_confirmation,five-seconds-left-v21,Five seconds left.,reuse_exact_existing_pair,1000,1000,2000,3500,true,true,not_applicable,not_applicable,Estimated from logical scripts; physical onset remains device QA.
times_up_interrupts_progress,clara,100,control_confirmation,times-up-v21,Time.,reuse_exact_existing_pair,700,700,2000,3500,true,true,not_applicable,not_applicable,Estimated from logical scripts; physical onset remains device QA.
tracking_loss_before_times_up,clara,100,tracking_loss,tracking-loss-v21,Pause. Return to the setup position.,reuse_exact_existing_pair,2200,2200,3500,5000,true,true,not_applicable,not_applicable,Estimated from logical scripts; physical onset remains device QA.
times_up_before_tracking_loss,clara,100,tracking_loss,times-up-v21,Time.,reuse_exact_existing_pair,700,700,3500,5000,true,true,not_applicable,not_applicable,Estimated from logical scripts; physical onset remains device QA.
same_frame_times_up_tracking_precedence,clara,100,control_confirmation,times-up-v21,Time.,reuse_exact_existing_pair,700,700,2000,3500,true,true,not_applicable,not_applicable,Estimated from logical scripts; physical onset remains device QA.
rep_set_complete_then_rest,clara,100,control_confirmation,set-complete-v21;rest-now-v21,Set complete. | Rest now.,reuse_exact_existing_pair;reuse_exact_existing_pair,3000,3100,2000,3500,false,true,not_applicable,rest-now_playback_start,Estimated from logical scripts; physical onset remains device QA.
timed_set_time_then_rest,clara,100,control_confirmation,times-up-v21;rest-now-v21,Time. | Rest now.,reuse_exact_existing_pair;reuse_exact_existing_pair,2200,2300,2000,3500,false,true,not_applicable,rest-now_playback_start,Estimated from logical scripts; physical onset remains device QA.
rest_boundary_not_shortened,clara,100,control_confirmation,rest-now-v21,Rest now.,reuse_exact_existing_pair,1500,1500,2000,3500,true,true,not_applicable,rest-now_playback_start,Estimated from logical scripts; physical onset remains device QA.
last_set_multi_set_only,clara,100,control_confirmation,last-set-v21,Last set.,reuse_exact_existing_pair,1500,1500,2000,3500,true,true,not_applicable,not_applicable,Estimated from logical scripts; physical onset remains device QA.
next_exercise_once,clara,100,control_confirmation,next-exercise-v21,Next exercise.,reuse_exact_existing_pair,1500,1500,2000,3500,true,true,not_applicable,not_applicable,Estimated from logical scripts; physical onset remains device QA.
session_complete_once,clara,100,control_confirmation,session-complete-v21,Session complete.,reuse_exact_existing_pair,1500,1500,2000,3500,true,true,not_applicable,not_applicable,Estimated from logical scripts; physical onset remains device QA.
skip_no_next_exercise_duplicate,clara,100,control_confirmation,training-skip-v21,Skipped. Moving on.,reuse_exact_existing_pair,1500,1500,2000,3500,true,true,not_applicable,not_applicable,Estimated from logical scripts; physical onset remains device QA.
both_sides_first_side_switch_no_rest,clara,100,control_confirmation,switch-legs-v21,Switch legs.,reuse_exact_existing_pair,1500,1500,2000,3500,true,true,not_applicable,not_applicable,Estimated from logical scripts; physical onset remains device QA.
both_sides_second_side_round_complete,clara,100,control_confirmation,set-complete-v21,Set complete.,reuse_exact_existing_pair,1500,1500,2000,3500,true,true,not_applicable,not_applicable,Estimated from logical scripts; physical onset remains device QA.
both_sides_recovery_preserves_first_side,clara,100,tracking_recovery,tracking-loss-v21,Pause. Return to the setup position.,reuse_exact_existing_pair,2200,2200,2500,4000,true,true,not_applicable,not_applicable,Estimated from logical scripts; physical onset remains device QA.
both_sides_pause_preserves_side,clara,100,control_confirmation,paused-v21,Paused.,reuse_exact_existing_pair,1500,1500,2000,3500,true,true,not_applicable,not_applicable,visible_paused_state_remains_authoritative_even_if_confirmation_audio_fails
both_sides_voice_switch_preserves_side,clara,100,control_confirmation,switch-sides-v21,Switch sides.,reuse_exact_existing_pair,1500,1500,2000,3500,true,true,not_applicable,not_applicable,Estimated from logical scripts; physical onset remains device QA.
step_up_wrong_lead_correction_only,clara,100,control_confirmation,step-up-wrong-left-v21,No rep. Start the next one with your left leg.,reuse_exact_existing_pair,1500,1500,2000,3500,true,true,not_applicable,not_applicable,Estimated from logical scripts; physical onset remains device QA.
step_up_tracking_recovery_expected_lead,clara,100,tracking_recovery,tracking-loss-v21,Pause. Return to the setup position.,reuse_exact_existing_pair,2200,2200,2500,4000,true,true,not_applicable,not_applicable,Estimated from logical scripts; physical onset remains device QA.
step_up_pause_resume_expected_lead,clara,100,control_confirmation,paused-v21;resuming-v21,Paused. | Resuming.,reuse_exact_existing_pair;reuse_exact_existing_pair,3000,3100,2000,3500,false,true,not_applicable,not_applicable,visible_paused_state_remains_authoritative_even_if_confirmation_audio_fails
step_up_set_transition_once,clara,100,control_confirmation,set-complete-v21,Set complete.,reuse_exact_existing_pair,1500,1500,2000,3500,true,true,not_applicable,not_applicable,Estimated from logical scripts; physical onset remains device QA.
floor_pause_resume_final_position,clara,100,loss_recovery_sequence,paused-v21;resuming-v21;final-position-set-v21,Paused. | Resuming. | You're set.,reuse_exact_existing_pair;reuse_exact_existing_pair;reuse_exact_existing_pair,4500,4700,6500,9000,true,true,not_applicable,not_applicable,visible_paused_state_remains_authoritative_even_if_confirmation_audio_fails
floor_retry_no_duplicate_transition,clara,100,control_confirmation,retry-v21,Let's try that again.,reuse_exact_existing_pair,1500,1500,2000,3500,true,true,not_applicable,not_applicable,retry_cue_failure_does_not_skip_required_setup_or_countdown
floor_tracking_recovery_final_position,clara,100,loss_recovery_sequence,tracking-loss-v21;tracking-recovered-v21,Pause. Return to the setup position. | You're back in position. We'll restart.,reuse_exact_existing_pair;reuse_exact_existing_pair,4400,4500,6500,9000,true,true,not_applicable,not_applicable,Estimated from logical scripts; physical onset remains device QA.
tracking_loss_generic_rep,clara,100,tracking_loss,tracking-loss-v21,Pause. Return to the setup position.,reuse_exact_existing_pair,2200,2200,3500,5000,true,true,not_applicable,not_applicable,Estimated from logical scripts; physical onset remains device QA.
tracking_loss_timed_set,clara,100,tracking_loss,tracking-loss-v21,Pause. Return to the setup position.,reuse_exact_existing_pair,2200,2200,3500,5000,true,true,not_applicable,not_applicable,Estimated from logical scripts; physical onset remains device QA.
tracking_loss_rom,clara,100,tracking_loss,tracking-loss-v21,Pause. Return to the setup position.,reuse_exact_existing_pair,2200,2200,3500,5000,true,true,not_applicable,not_applicable,Estimated from logical scripts; physical onset remains device QA.
tracking_repeated_same_episode,clara,100,repeat_instructions,tracking-loss-v21,Pause. Return to the setup position.,reuse_exact_existing_pair,2200,2200,10000,14000,true,true,not_applicable,not_applicable,Estimated from logical scripts; physical onset remains device QA.
tracking_new_episode_after_restart,clara,100,control_confirmation,tracking-loss-v21,Pause. Return to the setup position.,reuse_exact_existing_pair,2200,2200,2000,3500,false,true,not_applicable,not_applicable,Estimated from logical scripts; physical onset remains device QA.
tracking_recovered_fresh_countdown,clara,100,setup_countdown_sequence,tracking-recovered-v21;countdown-three;countdown-two;countdown-one;go,You're back in position. We'll restart. | Three. | Two. | One. | Go!,reuse_exact_existing_pair;reuse_exact_existing_pair;reuse_exact_existing_pair;reuse_exact_existing_pair;reuse_exact_existing_pair,4100,4500,6500,9000,true,true,go_playback_start,not_applicable,Estimated from logical scripts; physical onset remains device QA.
reactive_tracking_mapped,clara,100,control_confirmation,tracking-loss-v21,Pause. Return to the setup position.,reuse_exact_existing_pair,2200,2200,2000,3500,false,true,not_applicable,not_applicable,Estimated from logical scripts; physical onset remains device QA.
reactive_equipment_event_retry_required,clara,100,control_confirmation,retry-v21,Let's try that again.,reuse_exact_existing_pair,1500,1500,2000,3500,true,true,not_applicable,not_applicable,retry_cue_failure_does_not_skip_required_setup_or_countdown
voice_switch_required_setup,clara,100,control_confirmation,ex-squat-free-first-v21,"Squat. Feet about hip width. Lower as if to sit, then stand with control.",reuse_exact_existing_pair,1500,1500,2000,3500,true,true,not_applicable,not_applicable,Estimated from logical scripts; physical onset remains device QA.
voice_switch_paused,clara,100,control_confirmation,resuming-v21,Resuming.,reuse_exact_existing_pair,1500,1500,2000,3500,true,true,not_applicable,not_applicable,visible_paused_state_remains_authoritative_even_if_confirmation_audio_fails
voice_switch_recovery,clara,100,tracking_recovery,tracking-recovered-v21,You're back in position. We'll restart.,reuse_exact_existing_pair,2200,2200,2500,4000,true,true,not_applicable,not_applicable,Estimated from logical scripts; physical onset remains device QA.
