scenarioId,variantId,category,evidenceMethod,sourceFunctions,initialState,eventSequence,expectedOutcome,observedOutcome,passed,findingRuleIds,metricTags,testCoverage,notes
one_foot_remains_on_step,base,boundary_duplicate,state_machine,resolveStepUpRepEvidence,{},[],"{""credited"":false}","{""endReason"":""invalid_phase"",""acceptedRepCount"":0}",true,,floor_boundary,,
duplicate_completion_callback,base,boundary_duplicate,state_machine,advanceStepUpAlternationState,{},[],"{""acceptedRepCount"":1,""duplicateSuppressedCount"":1}","{""acceptedRepCount"":1,""duplicateSuppressedCount"":1}",true,,duplicate,,
stale_callback_after_next_rep_started,base,boundary_duplicate,state_machine,advanceStepUpAlternationState,{},[],"{""acceptedRepCount"":0,""ignoredStaleActionCount"":1}","{""acceptedRepCount"":0,""ignoredStaleActionCount"":1}",true,,stale,,
threshold_noise_single_credit,base,boundary_duplicate,state_machine_duplicate_suppression,advanceStepUpAlternationState,{},[],"{""creditedReps"":1}","{""acceptedRepCount"":1,""duplicateSuppressedCount"":1}",true,,threshold_noise,,
descent_order_not_overconstrained,base,boundary_duplicate,state_machine,resolveStepUpRepEvidence,{},[],"{""acceptedWithoutDescentOrderField"":true}","{""endReason"":""accepted"",""hasDescentOrderField"":false}",true,,descent_order,,
tracking_loss_mid_left_lead_rep,base,interruption_restore,state_machine,advanceStepUpAlternationState,{},[],"{""credited"":false,""phase"":""tracking_recovery""}","{""phase"":""tracking_recovery"",""acceptedRepCount"":0,""expectedLeadSide"":""left""}",true,,tracking,,
tracking_loss_mid_right_lead_rep,base,interruption_restore,state_machine,advanceStepUpAlternationState,{},[],"{""credited"":false,""phase"":""tracking_recovery""}","{""phase"":""tracking_recovery"",""acceptedRepCount"":0,""expectedLeadSide"":""right""}",true,,tracking,,
pause_mid_rep,base,interruption_restore,state_machine,advanceStepUpAlternationState,{},[],"{""partialRepCredited"":false}","{""acceptedRepCount"":0,""ignoredStaleActionCount"":1,""phaseAfterAction"":""ready_both_feet_floor""}",true,,pause_callback,,
background_mid_rep,base,interruption_restore,state_machine,advanceStepUpAlternationState,{},[],"{""partialRepCredited"":false}","{""acceptedRepCount"":0,""ignoredStaleActionCount"":1,""phaseAfterAction"":""ready_both_feet_floor""}",true,,background_callback,,
restore_after_six_reps,base,interruption_restore,serialization_roundtrip,serializeStepUpAlternationRuntimeState;deserializeStepUpAlternationRuntimeState,{},[],"{""acceptedRepCount"":6,""expectedLeadSide"":""left""}","{""acceptedRepCount"":6,""expectedLeadSide"":""left"",""planFingerprintPreserved"":true}",true,,restore,,
restore_mid_rep,base,interruption_restore,serialization_restore_state_machine,serializeStepUpAlternationRuntimeState;deserializeStepUpAlternationRuntimeState;restoreStepUpAlternationRuntimeState,{},[],"{""partialRepCredited"":false}","{""acceptedRepCount"":0,""ignoredStaleActionCount"":1}",true,,restore,,
cancel_mid_set,base,interruption_restore,state_machine,advanceStepUpAlternationState,{},[],"{""phase"":""cancelled"",""acceptedRepCount"":0}","{""phase"":""cancelled"",""acceptedRepCount"":0}",true,,cancel_skip,,
skip_mid_set,base,interruption_restore,seed_helper,applyBothSidesExerciseCompletionToStartSideSeed,{},[],"{""seedFlipped"":false}","{""nextSide"":""left""}",true,,cancel_skip;seed,,
default_target_12,base,target_generated,planner,deriveStepUpAlternationPlanForExerciseId;getExercise,{},[],"{""targetTotalReps"":12,""setCount"":3}","{""targetTotalReps"":12,""setCount"":3,""sourceTargetRepsPerSet"":12}",true,,target,,
even_scaled_target_10,base,target_generated,planner,deriveStepUpAlternationPlan,{},[],"{""runtimeSelectable"":true,""targetLeftLeadReps"":5,""targetRightLeadReps"":5}","{""version"":1,""exerciseId"":""step-up"",""targetTotalReps"":10,""targetLeftLeadReps"":5,""targetRightLeadReps"":5,""setCount"":2,""initialLeadSide"":""right"",""setStartLeadSides"":[""right"",""left""],""sourceSetCount"":2,""sourceTargetRepsPerSet"":10,""sourcePrescriptionFingerprint"":""step-up-source_5cd29c7a"",""planFingerprint"":""sua1_e364a49b"",""runtimeSelectable"":true,""blockerReasonCodes"":[""STEP_UP_ALTERNATION_READY""]}",true,,target,,
odd_scaled_target_9_blocked,base,target_generated,planner,deriveStepUpAlternationPlan,{},[],"{""runtimeSelectable"":false,""blocker"":""ODD_STEP_UP_TARGET""}","{""version"":1,""exerciseId"":""step-up"",""targetTotalReps"":9,""targetLeftLeadReps"":0,""targetRightLeadReps"":0,""setCount"":2,""initialLeadSide"":""left"",""setStartLeadSides"":[],""sourceSetCount"":2,""sourceTargetRepsPerSet"":9,""sourcePrescriptionFingerprint"":""step-up-source_b96d1956"",""planFingerprint"":""sua1_468b17d8"",""runtimeSelectable"":false,""blockerReasonCodes"":[""ODD_STEP_UP_TARGET""]}",true,,target_odd,,
noninteger_target_blocked,base,target_generated,planner,deriveStepUpAlternationPlan,{},[],"{""runtimeSelectable"":false,""blocker"":""NON_INTEGER_STEP_UP_TARGET""}","{""version"":1,""exerciseId"":""step-up"",""targetTotalReps"":7.5,""targetLeftLeadReps"":0,""targetRightLeadReps"":0,""setCount"":2,""initialLeadSide"":""left"",""setStartLeadSides"":[],""sourceSetCount"":2,""sourceTargetRepsPerSet"":7.5,""sourcePrescriptionFingerprint"":""step-up-source_48dfd3a1"",""planFingerprint"":""sua1_6b2eb346"",""runtimeSelectable"":false,""blockerReasonCodes"":[""NON_INTEGER_STEP_UP_TARGET""]}",true,,target_noninteger,,
short_session_final_target,base,target_generated,planner,deriveStepUpAlternationPlan,{},[],"{""targetTotalReps"":12,""setCount"":2}","{""targetTotalReps"":12,""setCount"":2,""setStartLeadSides"":[""left"",""right""]}",true,,target,,
visible_voice_runtime_target_match,base,target_generated,voice_planner,planTrainingVoiceSequenceV21;resolveTrainingVoiceTargetV21,{},[],"{""spokenText"":""Do twelve total reps."",""value"":12}","{""spokenText"":""Do twelve total reps."",""visibleText"":""Do twelve total reps."",""value"":12}",true,,target_voice,,
seed_defaults_left,base,seed_order,seed_helper,applyBothSidesExerciseCompletionToStartSideSeed;nextBothSidesStartSideForExercise,{},[],"{""nextSide"":""left""}","{""nextSide"":""left""}",true,,seed,,
successful_completion_flips_seed,base,seed_order,seed_helper,applyBothSidesExerciseCompletionToStartSideSeed;nextBothSidesStartSideForExercise,{},[],"{""nextSide"":""right""}","{""nextSide"":""right"",""seedState"":{""nextBothSidesStartSideByExercise"":{""step-up"":""right""},""appliedBothSidesStartSideFlipEventIds"":[""main-complete""]}}",true,,seed,,
skip_does_not_flip_seed,base,seed_order,seed_helper,applyBothSidesExerciseCompletionToStartSideSeed;nextBothSidesStartSideForExercise,{},[],"{""nextSide"":""left""}","{""nextSide"":""left"",""seedState"":{""nextBothSidesStartSideByExercise"":{},""appliedBothSidesStartSideFlipEventIds"":[]}}",true,,seed,,
manual_practice_does_not_flip_seed,base,seed_order,seed_helper,applyBothSidesExerciseCompletionToStartSideSeed;nextBothSidesStartSideForExercise,{},[],"{""nextSide"":""left""}","{""nextSide"":""left"",""seedState"":{""nextBothSidesStartSideByExercise"":{},""appliedBothSidesStartSideFlipEventIds"":[]}}",true,,seed,,
duplicate_completion_idempotent,base,seed_order,seed_helper,applyBothSidesExerciseCompletionToStartSideSeed;nextBothSidesStartSideForExercise,{},[],"{""nextSide"":""right""}","{""nextSide"":""right"",""seedState"":{""nextBothSidesStartSideByExercise"":{""step-up"":""right""},""appliedBothSidesStartSideFlipEventIds"":[""main-complete""]}}",true,,seed,,
sync_restore_preserves_seed,base,seed_order,seed_helper,applyBothSidesExerciseCompletionToStartSideSeed;nextBothSidesStartSideForExercise,{},[],"{""nextSide"":""right""}","{""nextSide"":""right"",""seedState"":{""nextBothSidesStartSideByExercise"":{""step-up"":""right""},""appliedBothSidesStartSideFlipEventIds"":[""main-complete""]}}",true,,seed,,
one_set_one_progression_event,base,progression_result,aggregation_progression,stepUpSetResultToLegacySetResult;summarizeItem,{},[],"{""setResultCount"":3,""totalReps"":36,""reachedAllTargets"":true}","{""setResultCount"":3,""totalReps"":36,""reachedAllTargets"":true}",true,,progression,,
lead_counts_do_not_double_set_count,base,progression_result,aggregation,stepUpSetResultToLegacySetResult,{},[],"{""setResultCount"":3}","{""setResultCount"":3,""totalLeadCount"":36}",true,,progression;set_count,,
valid_time_not_doubled,base,progression_result,valid_time_summary,summarizeValidTimeSets,{},[],"{""validTimeSummary"":null}","{""validTimeSummary"":null}",true,,valid_time,,
twelve_total_unequal_sides_rejected,base,progression_result,aggregation,summarizeStepUpAlternationProgression,{},[],"{""progressionEligible"":false}","{""progressionEligible"":false,""leftLeadRepCount"":7,""rightLeadRepCount"":5}",true,,progression_invalid,,
broken_alternation_not_progression_eligible,base,progression_result,aggregation,summarizeStepUpAlternationProgression,{},[],"{""progressionEligible"":false}","{""progressionEligible"":false,""alternationValid"":false,""completedTarget"":true}",true,,progression_invalid,,
legacy_result_still_parses,base,progression_result,progression_legacy,summarizeItem,{},[],"{""totalReps"":12}","{""totalReps"":12,""measured"":true}",true,,legacy_parse,,
step_up_start_left_logical_plan,base,voice_isolation,voice_planner,planTrainingVoiceSequenceV21,{},[],"{""cueKey"":""step-up-start-left-v21""}","{""cueKeys"":[""ex-step-up-first-v21"",""step-up-start-left-v21"",""final-position-set-v21"",""target-step-up-v21""],""targetPlan"":{""supported"":true,""cueKey"":""target-step-up-v21"",""exactScript"":""Do twelve total reps."",""visibleText"":""Do twelve total reps."",""spokenText"":""Do twelve total reps."",""value"":12,""unit"":""rep"",""singular"":false,""reasonCodes"":[""target_derived_from_step_up_alternation_plan""]}}",true,,voice_start_lead,,
step_up_start_right_logical_plan,base,voice_isolation,voice_planner,planTrainingVoiceSequenceV21,{},[],"{""cueKey"":""step-up-start-right-v21""}","{""cueKeys"":[""ex-step-up-next-v21"",""step-up-start-right-v21"",""final-position-set-v21"",""target-step-up-v21""],""targetPlan"":{""supported"":true,""cueKey"":""target-step-up-v21"",""exactScript"":""Do twelve total reps."",""visibleText"":""Do twelve total reps."",""spokenText"":""Do twelve total reps."",""value"":12,""unit"":""rep"",""singular"":false,""reasonCodes"":[""target_derived_from_step_up_alternation_plan""]}}",true,,voice_start_lead,,
wrong_lead_left_correction_plan,base,voice_isolation,voice_planner,planTrainingVoiceSequenceV21,{},[],"{""cueKey"":""step-up-wrong-left-v21""}","{""cueKeys"":[""step-up-wrong-left-v21"",""final-position-set-v21""]}",true,,voice_wrong_lead,,
wrong_lead_right_correction_plan,base,voice_isolation,voice_planner,planTrainingVoiceSequenceV21,{},[],"{""cueKey"":""step-up-wrong-right-v21""}","{""cueKeys"":[""step-up-wrong-right-v21"",""final-position-set-v21""]}",true,,voice_wrong_lead,,
no_per_rep_spoken_switch,base,voice_isolation,voice_planner,planTrainingVoiceSequenceV21,{},[],"{""switchCueCount"":0}","{""cueKeys"":[""ex-step-up-first-v21"",""step-up-start-left-v21"",""final-position-set-v21"",""target-step-up-v21"",""ex-step-up-next-v21"",""step-up-start-right-v21"",""final-position-set-v21"",""target-step-up-v21"",""step-up-wrong-right-v21"",""final-position-set-v21""],""switchCueCount"":0}",true,,voice_switch,,
feature_off_legacy_unchanged,base,voice_isolation,feature_selector,attachStepUpAlternationPlansToGeneratedSession,{},[],"{""planAttached"":false}","{""planAttached"":false,""sameReference"":true}",true,,feature_isolation,,
alternation_flag_alone_no_half_activation,base,voice_isolation,feature_selector,selectTrainingStepUpAlternationMode,{},[],"{""selectable"":false}","{""mode"":""legacy"",""featureEnabled"":true,""internalV21RuntimeReady"":false,""selectable"":false,""reasonCodes"":[""internal_v21_runtime_not_ready""]}",true,,feature_isolation,,
training_voice_remains_default_closed,base,voice_isolation,voice_readiness,resolveTrainingVoiceRuntimeReadinessV21;getTrainingVoiceContractV21,{},[],"{""selectable"":false,""audioReady"":false,""behaviorReady"":false,""noStepAlternationRequirement"":true}","{""selectable"":false,""blockers"":[""behavior_dependency:IR-VOICE-SAFETY-SUBSUMPTION"",""global_behavior_ready_false"",""global_audio_ready_false"",""missing_audio:ex-step-up-first-v21"",""missing_audio:ex-step-up-next-v21"",""missing_audio:step-up-start-left-v21"",""missing_audio:step-up-start-right-v21"",""missing_audio:target-step-up-v21""],""audioReady"":false,""behaviorReady"":false,""implementationRequirements"":[""IR-VOICE-SAFETY-SUBSUMPTION""]}",true,,voice_default_closed;ir_requirement,,
balance_v2_remains_default_closed,base,voice_isolation,config_constants,EYES_OPEN_BALANCE_PROTOCOL_V2_AUDIO_READY;EYES_OPEN_BALANCE_PROTOCOL_V2_SELECTABLE,{},[],"{""selectable"":false,""audioReady"":false}","{""selectable"":false,""audioReady"":false}",true,,balance_v2,,
audio_assets_unchanged,base,project_gate,git_diff,git diff --name-only -- assets/audio,{},[],"{""audioAssetDiffCount"":0}","{""audioAssetDiffNameOnly"":[]}",true,,audio_assets,,Additional project-gate scenario beyond the 53 canonical ids.
