physicalCueKey,logicalCueKeys,voiceId,path,exists,sha256,durationMs,fileSizeBytes,sampleRateHz,channels,manifestRegistered,verifyAudioCovered,metadataStatus,fingerprintStatus,decodeStatus,classification,notes
comfortable_range_only,,clara,assets/audio/voice/clara/comfortable_range_only.mp3,true,60583faa7b2fcf7cb8f132d42bf741a0cc73d5421b0d39567b1ced8480868986,2136,35152,44100,1,true,true,covered_by_required_audio_metadata,verified_by_verify_audio,ok,legacy_only,Measured from current task-start physical corpus.
cooldown-now,,clara,assets/audio/voice/clara/cooldown-now.mp3,true,6bb0a9b428dafc1383c28de59cad1b0cb73ba8afddf146764cab45d50bbec84c,2601,42675,44100,1,true,false,not_required_legacy,not_required_legacy,ok,legacy_only,Measured from current task-start physical corpus.
countdown-one,countdown-one,clara,assets/audio/voice/clara/countdown-one.mp3,true,60897a7add547b8f1226c9bdea8477d732720c8190245fe0752c3524e5df5961,604,10911,44100,1,true,false,not_required_legacy,not_required_legacy,ok,physical_ready_exact_pair,Measured from current task-start physical corpus.
countdown-three,countdown-three,clara,assets/audio/voice/clara/countdown-three.mp3,true,f328b2ce277c8813452f39cf970b34008b7906baa3d51732b1b93707285b9bcf,789,13836,44100,1,true,false,not_required_legacy,not_required_legacy,ok,physical_ready_exact_pair,Measured from current task-start physical corpus.
countdown-two,countdown-two,clara,assets/audio/voice/clara/countdown-two.mp3,true,ffd95b7bd9220c741ce08c80f5e01d5ed06bc8bf31573638175daa4dc8936e6b,743,13000,44100,1,true,false,not_required_legacy,not_required_legacy,ok,physical_ready_exact_pair,Measured from current task-start physical corpus.
door_anchor_follow_manufacturer_setup,,clara,assets/audio/voice/clara/door_anchor_follow_manufacturer_setup.mp3,true,4d0f15b7495800576df2d984dcb22581084086a591b5a87579beaf0ae42cba8e,4040,65663,44100,1,true,true,covered_by_required_audio_metadata,verified_by_verify_audio,ok,legacy_only,Measured from current task-start physical corpus.
door_anchor_fully_closed,,clara,assets/audio/voice/clara/door_anchor_fully_closed.mp3,true,34c3f0da39caaa93bb3335e92047812da861709861d17faa28cf34de95142f0b,3529,57722,44100,1,true,true,covered_by_required_audio_metadata,verified_by_verify_audio,ok,legacy_only,Measured from current task-start physical corpus.
door_anchor_stay_out_of_door_path,,clara,assets/audio/voice/clara/door_anchor_stay_out_of_door_path.mp3,true,4e6ee142b9e234ef97eadc96ae2fedc05c46a68a4f45b988131c8078756a7bfe,3297,53960,44100,1,true,true,covered_by_required_audio_metadata,verified_by_verify_audio,ok,legacy_only,Measured from current task-start physical corpus.
door_anchor_stop_if_moves,,clara,assets/audio/voice/clara/door_anchor_stop_if_moves.mp3,true,2ec77de5e47a867fe6e05c5d3f77f786e0c72c4f9ef4a43edd8a9c93b4a412b2,4830,78202,44100,1,true,true,covered_by_required_audio_metadata,verified_by_verify_audio,ok,legacy_only,Measured from current task-start physical corpus.
door_anchor_test_light_tension,,clara,assets/audio/voice/clara/door_anchor_test_light_tension.mp3,true,68d4880f66db25734091129a890e3fdcf211cef2760a77231b97de87de33c043,3297,53960,44100,1,true,true,covered_by_required_audio_metadata,verified_by_verify_audio,ok,legacy_only,Measured from current task-start physical corpus.
equip-balance-support-v21,equip-balance-support-v21,clara,assets/audio/voice/clara/equip-balance-support-v21.mp3,true,13c9f0ff04f94fe4a99d8255148bf937d2c62437d0dbca9f3603bd0c990a0285,2043,33898,44100,1,true,true,current_generated_metadata,current,ok,physical_ready_exact_pair,Generated Voice V2.1 asset measured from current disk bytes.
equip-chair-stable-v21,equip-chair-stable-v21,clara,assets/audio/voice/clara/equip-chair-stable-v21.mp3,true,18a902ce08f14f2bb0b9072224203aa93be9a2e095b880578e688c404fb92dcf,2461,40586,44100,1,true,true,current_generated_metadata,current,ok,physical_ready_exact_pair,Generated Voice V2.1 asset measured from current disk bytes.
equip-door-anchor-v21,equip-door-anchor-v21,clara,assets/audio/voice/clara/equip-door-anchor-v21.mp3,true,d54a3a900ca8e7dfd510191264d085cef6a413fb98f1e6f5fc69bac782a8353e,3994,64827,44100,1,true,true,current_generated_metadata,current,ok,physical_ready_exact_pair,Generated Voice V2.1 asset measured from current disk bytes.
equip-floor-transition-v21,equip-floor-transition-v21,clara,assets/audio/voice/clara/equip-floor-transition-v21.mp3,true,9ebe95f23a8a91a862f1b729bd77687ffa90b2b804162ed3d3e74c4d881167f1,3019,49363,44100,1,true,true,current_generated_metadata,current,ok,physical_ready_exact_pair,Generated Voice V2.1 asset measured from current disk bytes.
equip-long-band-v21,equip-long-band-v21,clara,assets/audio/voice/clara/equip-long-band-v21.mp3,true,deff1493c316176370a3a59191ed0e06d30d8d4aecb15b8a2acde9520912911b,3111,51035,44100,1,true,true,current_generated_metadata,current,ok,physical_ready_exact_pair,Generated Voice V2.1 asset measured from current disk bytes.
equip-step-stable-v21,equip-step-stable-v21,clara,assets/audio/voice/clara/equip-step-stable-v21.mp3,true,cefbc5ce6f222e3072f4b5ae590fc679b585db91cb1dfc76f07521fdfc9e0034,2926,47691,44100,1,true,true,current_generated_metadata,current,ok,physical_ready_exact_pair,Generated Voice V2.1 asset measured from current disk bytes.
equip-support-close-v21,equip-support-close-v21,clara,assets/audio/voice/clara/equip-support-close-v21.mp3,true,075fae70b8d82a6c84fb96b6d1dc3a6d8e740b8d2dae04024d28ce186c8bbb72,2322,38078,44100,1,true,true,current_generated_metadata,current,ok,physical_ready_exact_pair,Generated Voice V2.1 asset measured from current disk bytes.
ex-balance-feet-together-hold-first-v21,ex-balance-feet-together-hold-first-v21,clara,assets/audio/voice/clara/ex-balance-feet-together-hold-first-v21.mp3,true,c3737f7224b6b1ab92e8104cafa909aee430ff6fedaedf30d37e42291cf4c1fa,5480,88651,44100,1,true,true,current_generated_metadata,current,ok,physical_ready_exact_pair,Generated Voice V2.1 asset measured from current disk bytes.
ex-balance-feet-together-hold-next-v21,ex-balance-feet-together-hold-next-v21,clara,assets/audio/voice/clara/ex-balance-feet-together-hold-next-v21.mp3,true,3eb15fed29d81da7c7b083c91b34643156136df0caf41d786629f2f7d74233e9,1440,24285,44100,1,true,true,current_generated_metadata,current,ok,physical_ready_exact_pair,Generated Voice V2.1 asset measured from current disk bytes.
ex-balance-single-leg-hold-first-v21,ex-balance-single-leg-hold-first-v21,clara,assets/audio/voice/clara/ex-balance-single-leg-hold-first-v21.mp3,true,c2dabe27288d3ec9d22ad3941cb74ab4f2b4fcafa013af80fddca1db9939f5db,2647,43511,44100,1,true,true,current_generated_metadata,current,ok,physical_ready_exact_pair,Generated Voice V2.1 asset measured from current disk bytes.
ex-balance-single-leg-hold-next-v21,ex-balance-single-leg-hold-next-v21,clara,assets/audio/voice/clara/ex-balance-single-leg-hold-next-v21.mp3,true,17d6658a1fc096865c56056f08df85775c3b1b8d5d3307dc17bfa58fb7960e84,1393,23449,44100,1,true,true,current_generated_metadata,current,ok,physical_ready_exact_pair,Generated Voice V2.1 asset measured from current disk bytes.
ex-balance-tandem-hold-first-v21,ex-balance-tandem-hold-first-v21,clara,assets/audio/voice/clara/ex-balance-tandem-hold-first-v21.mp3,true,2e913c0f0755d3a287699484b1a1f4e0d8102b729046b3342ac825750348a8a7,2322,38078,44100,1,true,true,current_generated_metadata,current,ok,physical_ready_exact_pair,Generated Voice V2.1 asset measured from current disk bytes.
ex-balance-tandem-hold-next-v21,ex-balance-tandem-hold-next-v21,clara,assets/audio/voice/clara/ex-balance-tandem-hold-next-v21.mp3,true,c0b16998f9d05e96ed4f7f22ef2b67b8790cc3e34e721d9d4c910ef79aaf521e,1161,19688,44100,1,true,true,current_generated_metadata,current,ok,physical_ready_exact_pair,Generated Voice V2.1 asset measured from current disk bytes.
ex-balance,,clara,assets/audio/voice/clara/ex-balance.mp3,true,ea2b4e90e176988c6512a6daa67b5ad2d34aaf9aa17c36a06e5db8aff83816dc,8081,130447,44100,1,true,false,not_required_legacy,not_required_legacy,ok,legacy_only,Measured from current task-start physical corpus.
ex-band-pull-apart-first-v21,ex-band-pull-apart-first-v21,clara,assets/audio/voice/clara/ex-band-pull-apart-first-v21.mp3,true,b7c0a6920f8f16f370c7f3a9e8cc7aa555cefbb179162328fab9e86d9d3d89b5,6594,106623,44100,1,true,true,current_generated_metadata,current,ok,physical_ready_exact_pair,Generated Voice V2.1 asset measured from current disk bytes.
ex-band-pull-apart-next-v21,ex-band-pull-apart-next-v21,clara,assets/audio/voice/clara/ex-band-pull-apart-next-v21.mp3,true,1f71b4f2b893c7451a3ecffd594bfd8e21d043bfed82395dfb1cb73511cabf37,1486,24703,44100,1,true,true,current_generated_metadata,current,ok,physical_ready_exact_pair,Generated Voice V2.1 asset measured from current disk bytes.
ex-chair-supported-split-squat-first-v21,ex-chair-supported-split-squat-first-v21,clara,assets/audio/voice/clara/ex-chair-supported-split-squat-first-v21.mp3,true,611c8e0c1ca26d42dfaa6166455905ed044dfff74abffc63c83bfcf47059560b,3669,59812,44100,1,true,true,current_generated_metadata,current,ok,physical_ready_exact_pair,Generated Voice V2.1 asset measured from current disk bytes.
ex-chair-supported-split-squat-next-v21,ex-chair-supported-split-squat-next-v21,clara,assets/audio/voice/clara/ex-chair-supported-split-squat-next-v21.mp3,true,41f14ac6f92cccca0684f615409004fa18fe12bb0920602cafa35d0bacf480e6,1393,23449,44100,1,true,true,current_generated_metadata,current,ok,physical_ready_exact_pair,Generated Voice V2.1 asset measured from current disk bytes.
ex-glute-bridge-hold-first-v21,ex-glute-bridge-hold-first-v21,clara,assets/audio/voice/clara/ex-glute-bridge-hold-first-v21.mp3,true,b723ae8d4f442b80af2703009ca5dc66f24384d468b667c6c3988e9a57e716ed,5480,88651,44100,1,true,true,current_generated_metadata,current,ok,physical_ready_exact_pair,Generated Voice V2.1 asset measured from current disk bytes.
ex-glute-bridge-hold-next-v21,ex-glute-bridge-hold-next-v21,clara,assets/audio/voice/clara/ex-glute-bridge-hold-next-v21.mp3,true,fda5cbd2cab31882f9d15c4de722ea62814bf0bcfecae66331f37168e02e171e,1068,18016,44100,1,true,true,current_generated_metadata,current,ok,physical_ready_exact_pair,Generated Voice V2.1 asset measured from current disk bytes.
ex-glute-bridge-reps-first-v21,ex-glute-bridge-reps-first-v21,clara,assets/audio/voice/clara/ex-glute-bridge-reps-first-v21.mp3,true,cc3ee235fd1fe93ab4927721c706dc22360254c730e4913fc9fe96dd69f043aa,8034,129611,44100,1,true,true,current_generated_metadata,current,ok,physical_ready_exact_pair,Generated Voice V2.1 asset measured from current disk bytes.
ex-glute-bridge-reps-next-v21,ex-glute-bridge-reps-next-v21,clara,assets/audio/voice/clara/ex-glute-bridge-reps-next-v21.mp3,true,309d1b2b5bba0c3fd0f440417aedd7fb465a05cac90a983438670d6d48d9cb11,1161,19688,44100,1,true,true,current_generated_metadata,current,ok,physical_ready_exact_pair,Generated Voice V2.1 asset measured from current disk bytes.
ex-glute-bridge,,clara,assets/audio/voice/clara/ex-glute-bridge.mp3,true,309733ea2a3d8a44fe6bdaffac9282192405ec76c20970792150e838e32035c6,8731,140896,44100,1,true,false,not_required_legacy,not_required_legacy,ok,legacy_only,Measured from current task-start physical corpus.
ex-hamstring-reach,,clara,assets/audio/voice/clara/ex-hamstring-reach.mp3,true,f317ec4c73a02cf05d36a469c9c91bc029a62e28b5057401a292e486e86f748d,10077,162212,44100,1,true,false,not_required_legacy,not_required_legacy,ok,legacy_only,Measured from current task-start physical corpus.
ex-heel-raise-free-first-v21,ex-heel-raise-free-first-v21,clara,assets/audio/voice/clara/ex-heel-raise-free-first-v21.mp3,true,643b3f8f7631aacff2b2967233e7bef648a219668a7548c539ec216605aeaa43,5805,94084,44100,1,true,true,current_generated_metadata,current,ok,physical_ready_exact_pair,Generated Voice V2.1 asset measured from current disk bytes.
ex-heel-raise-free-next-v21,ex-heel-raise-free-next-v21,clara,assets/audio/voice/clara/ex-heel-raise-free-next-v21.mp3,true,ffee03f0647e7d4ea2f6170bd0b4009f6e32683a309929fe1f2f702fdf57cbb2,1207,20524,44100,1,true,true,current_generated_metadata,current,ok,physical_ready_exact_pair,Generated Voice V2.1 asset measured from current disk bytes.
ex-heel-raise-supported-first-v21,ex-heel-raise-supported-first-v21,clara,assets/audio/voice/clara/ex-heel-raise-supported-first-v21.mp3,true,db79e2723bf24df8937e648d35fbd375d5a0bf52148baf1471d830ba3c3e72eb,7384,119162,44100,1,true,true,current_generated_metadata,current,ok,physical_ready_exact_pair,Generated Voice V2.1 asset measured from current disk bytes.
ex-heel-raise-supported-next-v21,ex-heel-raise-supported-next-v21,clara,assets/audio/voice/clara/ex-heel-raise-supported-next-v21.mp3,true,be9fea84385aa0a38d75b41781d2124b13817e077f4a82fd5bf3c21447115b7a,1579,26375,44100,1,true,true,current_generated_metadata,current,ok,physical_ready_exact_pair,Generated Voice V2.1 asset measured from current disk bytes.
