changeId,classification,pathOrKey,baselineValue,currentValue,gitState,commitEvidence,evidenceConfidence,currentRuntimeImpact,v21Impact,requiredAction,blocksProceeding,notes
CH-0017,asset_added,assets/audio/voice/clara/mpv2_balance_ready_after_30.mp3,absent,38078 bytes; sha256=fb9a0c982aaf2f43fc685719be023e0c89b4429fd12fb61a1852d4b5bb13b522; durationMs=2322,??,untracked current worktree,high,new bundled mapping in modified manifest,Movement Profile V2 fallback asset outside V2.1 manifest,Reconcile with V2.1 manifest and commit or remove intentionally after review.,true,no_prior_duration_row; current_worktree_addition
CH-0018,asset_added,assets/audio/voice/clara/mpv2_balance_ready_after_60.mp3,absent,30137 bytes; sha256=c1f227cf9b222fe378f4d08ff19cf32ea2c18900fc0f7ec9e47c33b70146546f; durationMs=1811,??,untracked current worktree,high,new bundled mapping in modified manifest,Movement Profile V2 fallback asset outside V2.1 manifest,Reconcile with V2.1 manifest and commit or remove intentionally after review.,true,no_prior_duration_row; current_worktree_addition
CH-0019,asset_added,assets/audio/voice/clara/mpv2_balance_rest.mp3,absent,67753 bytes; sha256=05c77b0d43c4092ac7d178efa88c7a9c9c4f470ad34941b552f5e404ebe4686f; durationMs=4180,??,untracked current worktree,high,new bundled mapping in modified manifest,Movement Profile V2 fallback asset outside V2.1 manifest,Reconcile with V2.1 manifest and commit or remove intentionally after review.,true,no_prior_duration_row; current_worktree_addition
CH-0020,asset_added,assets/audio/voice/clara/mpv2_balance_tracking_retry.mp3,absent,97846 bytes; sha256=4e3aa78182cc475f42d19f9c46d52c7efa047201a45fc7647305cc1c760efa23; durationMs=6037,??,untracked current worktree,high,new bundled mapping in modified manifest,Movement Profile V2 fallback asset outside V2.1 manifest,Reconcile with V2.1 manifest and commit or remove intentionally after review.,true,no_prior_duration_row; current_worktree_addition
CH-0021,asset_added,assets/audio/voice/clara/mpv2_balance_use_best.mp3,absent,25539 bytes; sha256=36f091fec6b72e68c5691c1bcede80040c9241cbe4f390570650784ffe0fe572; durationMs=1533,??,untracked current worktree,high,new bundled mapping in modified manifest,Movement Profile V2 fallback asset outside V2.1 manifest,Reconcile with V2.1 manifest and commit or remove intentionally after review.,true,no_prior_duration_row; current_worktree_addition
CH-0022,asset_added,assets/audio/voice/clara/mpv2_chair_official_ready.mp3,absent,56886 bytes; sha256=ca9472fdcc4c22d52b996bca716e33715468743bbad28d7e84d55523bb80fe39; durationMs=3483,??,untracked current worktree,high,new bundled mapping in modified manifest,Movement Profile V2 fallback asset outside V2.1 manifest,Reconcile with V2.1 manifest and commit or remove intentionally after review.,true,no_prior_duration_row; current_worktree_addition
CH-0023,asset_added,assets/audio/voice/clara/mpv2_chair_practice_start.mp3,absent,48527 bytes; sha256=49ace7883b366e8c9a8aef7c1a1c078826a15d69e0b9410fcc78830e7c7d84c1; durationMs=2972,??,untracked current worktree,high,new bundled mapping in modified manifest,Movement Profile V2 fallback asset outside V2.1 manifest,Reconcile with V2.1 manifest and commit or remove intentionally after review.,true,no_prior_duration_row; current_worktree_addition
CH-0024,asset_added,assets/audio/voice/clara/mpv2_checkup_intro.mp3,absent,81128 bytes; sha256=4a6a1b6ed3ef9e908e680b052a771273b39d4765beef1709253c755de8929dae; durationMs=5016,??,untracked current worktree,high,new bundled mapping in modified manifest,Movement Profile V2 fallback asset outside V2.1 manifest,Reconcile with V2.1 manifest and commit or remove intentionally after review.,true,no_prior_duration_row; current_worktree_addition
CH-0025,asset_added,assets/audio/voice/clara/mpv2_hinge_complete.mp3,absent,22613 bytes; sha256=07daf6c4e8fea6be56a5baa32615e882ec4a79869983523aeed075f5302d35ab; durationMs=1347,??,untracked current worktree,high,new bundled mapping in modified manifest,Movement Profile V2 fallback asset outside V2.1 manifest,Reconcile with V2.1 manifest and commit or remove intentionally after review.,true,no_prior_duration_row; current_worktree_addition
CH-0026,asset_added,assets/audio/voice/clara/mpv2_hinge_no_measurement.mp3,absent,58140 bytes; sha256=a13c3b1b095c4554f4ba2108c08d883b3307cc19a949b2b94ff53cec4cecc7cd; durationMs=3576,??,untracked current worktree,high,new bundled mapping in modified manifest,Movement Profile V2 fallback asset outside V2.1 manifest,Reconcile with V2.1 manifest and commit or remove intentionally after review.,true,no_prior_duration_row; current_worktree_addition
CH-0027,asset_added,assets/audio/voice/clara/mpv2_shoulder_tracking_retry.mp3,absent,87815 bytes; sha256=f704009108f6596db93803028e8eb238ae4f587070aa92c8ce8c725e409ca49e; durationMs=5433,??,untracked current worktree,high,new bundled mapping in modified manifest,Movement Profile V2 fallback asset outside V2.1 manifest,Reconcile with V2.1 manifest and commit or remove intentionally after review.,true,no_prior_duration_row; current_worktree_addition
CH-0028,asset_added,assets/audio/voice/clara/retry-v21.mp3,absent,20524 bytes; sha256=f4019dd660dbf5f9a7846b8c3291717a3c5de9888941e6fbb168c5175c6ec8fc; durationMs=1207,??,untracked current worktree,high,new bundled mapping in modified manifest,partial V2.1 asset already exists,Reconcile with V2.1 manifest and commit or remove intentionally after review.,true,no_prior_duration_row; current_worktree_addition
CH-0029,asset_added,assets/audio/voice/clara/times-up-v21.mp3,absent,13000 bytes; sha256=8bbb2a9ba2fd03f2b680fb6b774472249193bb362af0e0adcb733144b11d38b0; durationMs=743,??,untracked current worktree,high,new bundled mapping in modified manifest,partial V2.1 asset already exists,Reconcile with V2.1 manifest and commit or remove intentionally after review.,true,no_prior_duration_row; current_worktree_addition
CH-0030,asset_added,assets/audio/voice/clara/tracking-loss-v21.mp3,absent,39750 bytes; sha256=e19c3f74db52f97bcea439482dc9b9b78e530ed05218550406de17fa44391585; durationMs=2415,??,untracked current worktree,high,new bundled mapping in modified manifest,partial V2.1 asset already exists,Reconcile with V2.1 manifest and commit or remove intentionally after review.,true,no_prior_duration_row; current_worktree_addition
CH-0031,asset_added,assets/audio/voice/clara/tracking-recovered-v21.mp3,absent,37660 bytes; sha256=432ed99cf776b785eba8a32b574fc2bb8b63f611e03fa37e6388283bf0d76262; durationMs=2276,??,untracked current worktree,high,new bundled mapping in modified manifest,partial V2.1 asset already exists,Reconcile with V2.1 manifest and commit or remove intentionally after review.,true,no_prior_duration_row; current_worktree_addition
CH-0032,asset_added,assets/audio/voice/marcus/checkup-balance-intro-v21.mp3,absent,75276 bytes; sha256=a201a56394816cd7865ad9de3306e4a3c1627f34feedeb1376d1e7948cda43cc; durationMs=4644,??,untracked current worktree,high,new bundled mapping in modified manifest,partial V2.1 asset already exists,Reconcile with V2.1 manifest and commit or remove intentionally after review.,true,no_prior_duration_row; current_worktree_addition
CH-0033,asset_added,assets/audio/voice/marcus/checkup-balance-single-leg-v21.mp3,absent,71515 bytes; sha256=557055a574d8e645ea2480c648fa7a5b5f5931fab4e9b35c83490bfcd163a0d3; durationMs=4412,??,untracked current worktree,high,new bundled mapping in modified manifest,partial V2.1 asset already exists,Reconcile with V2.1 manifest and commit or remove intentionally after review.,true,no_prior_duration_row; current_worktree_addition
CH-0034,asset_added,assets/audio/voice/marcus/checkup-chair-stand-intro-v21.mp3,absent,74022 bytes; sha256=4938eb162ef79ba51a02d303183883faabdf0c2643935a300bf08a212f32069c; durationMs=4551,??,untracked current worktree,high,new bundled mapping in modified manifest,partial V2.1 asset already exists,Reconcile with V2.1 manifest and commit or remove intentionally after review.,true,no_prior_duration_row; current_worktree_addition
CH-0035,asset_added,assets/audio/voice/marcus/checkup-chair-stand-setup-v21.mp3,absent,79874 bytes; sha256=3b802577cb5552742ed621abff14d1655be146f969588338d176da342b2c02ab; durationMs=4923,??,untracked current worktree,high,new bundled mapping in modified manifest,partial V2.1 asset already exists,Reconcile with V2.1 manifest and commit or remove intentionally after review.,true,no_prior_duration_row; current_worktree_addition
CH-0036,asset_added,assets/audio/voice/marcus/checkup-complete-v21.mp3,absent,40586 bytes; sha256=4de7da4dd772f85bc5bc627bb6b04c819025ce98312c8d98af59a7c11600a837; durationMs=2461,??,untracked current worktree,high,new bundled mapping in modified manifest,partial V2.1 asset already exists,Reconcile with V2.1 manifest and commit or remove intentionally after review.,true,no_prior_duration_row; current_worktree_addition
CH-0037,asset_added,assets/audio/voice/marcus/checkup-hinge-setup-v21.mp3,absent,79038 bytes; sha256=ebf20d9b70ccb70632fbbc6337ad112f192fe84263a6eaa92e085a14b8d27692; durationMs=4876,??,untracked current worktree,high,new bundled mapping in modified manifest,partial V2.1 asset already exists,Reconcile with V2.1 manifest and commit or remove intentionally after review.,true,no_prior_duration_row; current_worktree_addition
CH-0038,asset_added,assets/audio/voice/marcus/checkup-shoulder-raise-left-v21.mp3,absent,76948 bytes; sha256=5b05b23888323fee15355f2f50493eecef26f5f93c4761701321dce2cd9dcfef; durationMs=4737,??,untracked current worktree,high,new bundled mapping in modified manifest,partial V2.1 asset already exists,Reconcile with V2.1 manifest and commit or remove intentionally after review.,true,no_prior_duration_row; current_worktree_addition
CH-0039,asset_added,assets/audio/voice/marcus/checkup-shoulder-raise-right-v21.mp3,absent,64827 bytes; sha256=bec3f3d0e51639784eb9f676e40c7759d71fc0a4da55fe2796ef17fe85fe276f; durationMs=3994,??,untracked current worktree,high,new bundled mapping in modified manifest,partial V2.1 asset already exists,Reconcile with V2.1 manifest and commit or remove intentionally after review.,true,no_prior_duration_row; current_worktree_addition
CH-0040,asset_added,assets/audio/voice/marcus/checkup-shoulder-turn-left-v21.mp3,absent,39750 bytes; sha256=248cdc7603a6dab412048ca5352bef3bd129b53098df8cba009dc1b44f7deff2; durationMs=2415,??,untracked current worktree,high,new bundled mapping in modified manifest,partial V2.1 asset already exists,Reconcile with V2.1 manifest and commit or remove intentionally after review.,true,no_prior_duration_row; current_worktree_addition
CH-0041,asset_added,assets/audio/voice/marcus/checkup-shoulder-turn-right-v21.mp3,absent,36824 bytes; sha256=85174dd789c0b74cf10c8ec05ceb0cbdf857c293cc0faa78c9277f76c81cd243; durationMs=2229,??,untracked current worktree,high,new bundled mapping in modified manifest,partial V2.1 asset already exists,Reconcile with V2.1 manifest and commit or remove intentionally after review.,true,no_prior_duration_row; current_worktree_addition
CH-0042,asset_added,assets/audio/voice/marcus/final-position-set-v21.mp3,absent,16762 bytes; sha256=aee3e31392e3c55237ae9bb00c02fa0880746576ed557ad93d802ba1a95c73b0; durationMs=975,??,untracked current worktree,high,new bundled mapping in modified manifest,partial V2.1 asset already exists,Reconcile with V2.1 manifest and commit or remove intentionally after review.,true,no_prior_duration_row; current_worktree_addition
CH-0043,asset_added,assets/audio/voice/marcus/item-complete-v21.mp3,absent,13836 bytes; sha256=2c0507a3a6b9d4e920eb5e25779a3124de31122bc1377b1d10ae7052737b2bab; durationMs=789,??,untracked current worktree,high,new bundled mapping in modified manifest,partial V2.1 asset already exists,Reconcile with V2.1 manifest and commit or remove intentionally after review.,true,no_prior_duration_row; current_worktree_addition
CH-0044,asset_added,assets/audio/voice/marcus/mpv2_balance_attempt_saved.mp3,absent,24703 bytes; sha256=4ac8ba5bb3834ae0b45c988c4b2301a4f9d65b2a26e129de6ef92357769d6dd8; durationMs=1486,??,untracked current worktree,high,new bundled mapping in modified manifest,Movement Profile V2 fallback asset outside V2.1 manifest,Reconcile with V2.1 manifest and commit or remove intentionally after review.,true,no_prior_duration_row; current_worktree_addition
CH-0045,asset_added,assets/audio/voice/marcus/mpv2_balance_attempt_start.mp3,absent,71515 bytes; sha256=a78a2d42ac8321cb0951da322f3298f67212340339b05177cd80c9338cffd287; durationMs=4412,??,untracked current worktree,high,new bundled mapping in modified manifest,Movement Profile V2 fallback asset outside V2.1 manifest,Reconcile with V2.1 manifest and commit or remove intentionally after review.,true,no_prior_duration_row; current_worktree_addition
CH-0046,asset_added,assets/audio/voice/marcus/mpv2_balance_complete.mp3,absent,21777 bytes; sha256=f9ffcaaccc94f5becc0aeaa46bf0db22a8cede2e0e97f8312e5f3fd0c730fc6b; durationMs=1300,??,untracked current worktree,high,new bundled mapping in modified manifest,Movement Profile V2 fallback asset outside V2.1 manifest,Reconcile with V2.1 manifest and commit or remove intentionally after review.,true,no_prior_duration_row; current_worktree_addition
CH-0047,asset_added,assets/audio/voice/marcus/mpv2_balance_full_hold.mp3,absent,35988 bytes; sha256=d1ece4b507e73d507b76353715a8c4979c06790099cd8b31234f3aa3ccdec290; durationMs=2183,??,untracked current worktree,high,new bundled mapping in modified manifest,Movement Profile V2 fallback asset outside V2.1 manifest,Reconcile with V2.1 manifest and commit or remove intentionally after review.,true,no_prior_duration_row; current_worktree_addition
CH-0048,asset_added,assets/audio/voice/marcus/mpv2_balance_ready_after_30.mp3,absent,36824 bytes; sha256=327223dc0fb6be740392d837ad2b83f13d8df2c17d7ea89931e4dcf6f460e831; durationMs=2229,??,untracked current worktree,high,new bundled mapping in modified manifest,Movement Profile V2 fallback asset outside V2.1 manifest,Reconcile with V2.1 manifest and commit or remove intentionally after review.,true,no_prior_duration_row; current_worktree_addition
CH-0049,asset_added,assets/audio/voice/marcus/mpv2_balance_ready_after_60.mp3,absent,24703 bytes; sha256=7bc2807280dd932d816c441761a341153d74526dd9e4a7f79d10a6275a74b859; durationMs=1486,??,untracked current worktree,high,new bundled mapping in modified manifest,Movement Profile V2 fallback asset outside V2.1 manifest,Reconcile with V2.1 manifest and commit or remove intentionally after review.,true,no_prior_duration_row; current_worktree_addition
CH-0050,asset_added,assets/audio/voice/marcus/mpv2_balance_rest.mp3,absent,66499 bytes; sha256=97ab38ebcb035eefdbec3bb1179dfab3ea1dce13c9d30816d28838d314c680e0; durationMs=4087,??,untracked current worktree,high,new bundled mapping in modified manifest,Movement Profile V2 fallback asset outside V2.1 manifest,Reconcile with V2.1 manifest and commit or remove intentionally after review.,true,no_prior_duration_row; current_worktree_addition
CH-0051,asset_added,assets/audio/voice/marcus/mpv2_balance_tracking_retry.mp3,absent,91577 bytes; sha256=69a96bf58ed4cc687423bdd188dcd6ab2260e7d647dc961b6a9c64cfc856761c; durationMs=5666,??,untracked current worktree,high,new bundled mapping in modified manifest,Movement Profile V2 fallback asset outside V2.1 manifest,Reconcile with V2.1 manifest and commit or remove intentionally after review.,true,no_prior_duration_row; current_worktree_addition
CH-0052,asset_added,assets/audio/voice/marcus/mpv2_balance_use_best.mp3,absent,20942 bytes; sha256=f0c75bfee430be64e8237a0052103b79421d10e294aa3bbd15dd0ee66783879a; durationMs=1254,??,untracked current worktree,high,new bundled mapping in modified manifest,Movement Profile V2 fallback asset outside V2.1 manifest,Reconcile with V2.1 manifest and commit or remove intentionally after review.,true,no_prior_duration_row; current_worktree_addition
CH-0053,asset_added,assets/audio/voice/marcus/mpv2_chair_official_ready.mp3,absent,58976 bytes; sha256=a6dbc0b8ee399fca106eacb440b5b7f8d1420f68ce6e92a31b5ee02cc0aca6f6; durationMs=3622,??,untracked current worktree,high,new bundled mapping in modified manifest,Movement Profile V2 fallback asset outside V2.1 manifest,Reconcile with V2.1 manifest and commit or remove intentionally after review.,true,no_prior_duration_row; current_worktree_addition
CH-0054,asset_added,assets/audio/voice/marcus/mpv2_chair_practice_start.mp3,absent,44347 bytes; sha256=74a9c7d6b9b3216319fc79dd3427f994b969c84e6689d54c56f0d0107718e0d2; durationMs=2694,??,untracked current worktree,high,new bundled mapping in modified manifest,Movement Profile V2 fallback asset outside V2.1 manifest,Reconcile with V2.1 manifest and commit or remove intentionally after review.,true,no_prior_duration_row; current_worktree_addition
CH-0055,asset_added,assets/audio/voice/marcus/mpv2_checkup_intro.mp3,absent,79038 bytes; sha256=b4d81972d706347602030597af5642eff509fc4a933fe5daffe4ec815acc888d; durationMs=4876,??,untracked current worktree,high,new bundled mapping in modified manifest,Movement Profile V2 fallback asset outside V2.1 manifest,Reconcile with V2.1 manifest and commit or remove intentionally after review.,true,no_prior_duration_row; current_worktree_addition
CH-0056,asset_added,assets/audio/voice/marcus/mpv2_hinge_complete.mp3,absent,22613 bytes; sha256=95b5d78431b5c886452a70e38f618e6ae56a4af0f20357446950bd3d15dc19a6; durationMs=1347,??,untracked current worktree,high,new bundled mapping in modified manifest,Movement Profile V2 fallback asset outside V2.1 manifest,Reconcile with V2.1 manifest and commit or remove intentionally after review.,true,no_prior_duration_row; current_worktree_addition
CH-0057,asset_added,assets/audio/voice/marcus/mpv2_hinge_no_measurement.mp3,absent,54378 bytes; sha256=5b11bf570bbdc0ab325178c826ea159542beb70fc3ec2d4f486bc64af1185ec9; durationMs=3344,??,untracked current worktree,high,new bundled mapping in modified manifest,Movement Profile V2 fallback asset outside V2.1 manifest,Reconcile with V2.1 manifest and commit or remove intentionally after review.,true,no_prior_duration_row; current_worktree_addition
CH-0058,asset_added,assets/audio/voice/marcus/mpv2_shoulder_tracking_retry.mp3,absent,76112 bytes; sha256=ac9428647282775425445dcd83e2a6188652923d338cf5a14abed9e3451fc2d8; durationMs=4690,??,untracked current worktree,high,new bundled mapping in modified manifest,Movement Profile V2 fallback asset outside V2.1 manifest,Reconcile with V2.1 manifest and commit or remove intentionally after review.,true,no_prior_duration_row; current_worktree_addition
CH-0059,asset_added,assets/audio/voice/marcus/retry-v21.mp3,absent,19688 bytes; sha256=bc48a551c24d6d43f365590818c4e5a67a850ec768ff5fdb09f3f69d144d8a59; durationMs=1161,??,untracked current worktree,high,new bundled mapping in modified manifest,partial V2.1 asset already exists,Reconcile with V2.1 manifest and commit or remove intentionally after review.,true,no_prior_duration_row; current_worktree_addition
CH-0060,asset_added,assets/audio/voice/marcus/times-up-v21.mp3,absent,13000 bytes; sha256=fb72dd65880bc5e1f0bf052abf7b1fb08005c50c4c9954b6ba9aaf2ba6fcf423; durationMs=743,??,untracked current worktree,high,new bundled mapping in modified manifest,partial V2.1 asset already exists,Reconcile with V2.1 manifest and commit or remove intentionally after review.,true,no_prior_duration_row; current_worktree_addition
CH-0061,asset_added,assets/audio/voice/marcus/tracking-loss-v21.mp3,absent,35988 bytes; sha256=6e1697c29f8d9a1fbb030943447dc54b663472b88a41ca606f7a2b37c625d729; durationMs=2183,??,untracked current worktree,high,new bundled mapping in modified manifest,partial V2.1 asset already exists,Reconcile with V2.1 manifest and commit or remove intentionally after review.,true,no_prior_duration_row; current_worktree_addition
CH-0062,asset_added,assets/audio/voice/marcus/tracking-recovered-v21.mp3,absent,32226 bytes; sha256=e83aefd7c25ab4d755272312730d288b81c8d15df4480ba2de8a4f831a2ec6e9; durationMs=1950,??,untracked current worktree,high,new bundled mapping in modified manifest,partial V2.1 asset already exists,Reconcile with V2.1 manifest and commit or remove intentionally after review.,true,no_prior_duration_row; current_worktree_addition
CH-0063,unknown,App.tsx,baseline committed state, M current worktree state,unstaged,current worktree; not committed,medium,No direct runtime impact identified in this audit.,NO_IMPACT,Review and either incorporate into the V2.1 baseline or separate from voice work.,false,
CH-0064,source_script_added,scripts/generate-audio.ts,baseline committed state, M current worktree state,unstaged,current worktree; not committed,medium,No direct runtime impact identified in this audit.,MANIFEST_RECONCILIATION,Review and either incorporate into the V2.1 baseline or separate from voice work.,true,
CH-0065,unknown,scripts/verify-audio.ts,baseline committed state, M current worktree state,unstaged,current worktree; not committed,medium,No direct runtime impact identified in this audit.,NO_IMPACT,Review and either incorporate into the V2.1 baseline or separate from voice work.,false,
CH-0066,runtime_reference_changed,src/audio/__tests__/voicePlayer.test.ts,baseline committed state, M current worktree state,unstaged,current worktree; not committed,medium,Runtime timing/priority/reference behavior may differ from prior audit.,NO_IMPACT,Review and either incorporate into the V2.1 baseline or separate from voice work.,true,
CH-0067,runtime_reference_changed,src/audio/cues.ts,baseline committed state, M current worktree state,unstaged,current worktree; not committed,medium,No direct runtime impact identified in this audit.,NO_IMPACT,Review and either incorporate into the V2.1 baseline or separate from voice work.,true,
CH-0068,manifest_mapping_changed,src/audio/manifest.ts,baseline committed state, M current worktree state,unstaged,current worktree; not committed,medium,Asset mapping/provenance changed.,MANIFEST_RECONCILIATION,Review and either incorporate into the V2.1 baseline or separate from voice work.,true,
CH-0069,runtime_reference_changed,src/audio/voicePlayer.ts,baseline committed state, M current worktree state,unstaged,current worktree; not committed,medium,Runtime timing/priority/reference behavior may differ from prior audit.,NO_IMPACT,Review and either incorporate into the V2.1 baseline or separate from voice work.,true,
CH-0070,assessment_protocol_changed,src/checkup/movementProfileV2.ts,baseline committed state, M current worktree state,unstaged,current worktree; not committed,medium,No direct runtime impact identified in this audit.,SPEC_REVIEW_UPDATE,Review and either incorporate into the V2.1 baseline or separate from voice work.,true,
CH-0071,unknown,src/checkup/protocolEvidence.ts,baseline committed state, M current worktree state,unstaged,current worktree; not committed,medium,No direct runtime impact identified in this audit.,NO_IMPACT,Review and either incorporate into the V2.1 baseline or separate from voice work.,false,
CH-0072,unknown,src/movements/__tests__/hingeReach.test.ts,baseline committed state, M current worktree state,unstaged,current worktree; not committed,medium,No direct runtime impact identified in this audit.,NO_IMPACT,Review and either incorporate into the V2.1 baseline or separate from voice work.,false,
CH-0073,unknown,src/movements/hingeReach.ts,baseline committed state, M current worktree state,unstaged,current worktree; not committed,medium,No direct runtime impact identified in this audit.,NO_IMPACT,Review and either incorporate into the V2.1 baseline or separate from voice work.,false,
CH-0074,assessment_protocol_changed,src/screens/MovementProfileV2CheckUpScreen.tsx,baseline committed state, M current worktree state,unstaged,current worktree; not committed,medium,Runtime timing/priority/reference behavior may differ from prior audit.,SPEC_REVIEW_UPDATE,Review and either incorporate into the V2.1 baseline or separate from voice work.,true,
