scenarioId,exerciseId,sourcePrescription,dosePlanVersion,initialStartSide,roundIndex,sideOrder,currentSide,event,target,completedDose,leftTotal,rightTotal,restEntered,roundCompleted,exerciseCompleted,progressionEligible,restoreOutcome,featureState,testCoverage,notes
main_plan_seed_defaults_left,balance-single-leg-hold,3 x 15000 hold_ms,1,left,0,left->right,left,left,0,0,22500,22500,false,false,false,false,,default_closed,src/training/bothSidesRounds/__tests__/bothSidesRounds.test.ts,
successful_completion_flips_seed,balance-single-leg-hold,3 x 15000 hold_ms,1,left,0,left->right,left,right,0,0,22500,22500,false,false,false,false,,default_closed,src/training/bothSidesRounds/__tests__/bothSidesRounds.test.ts,
skip_does_not_flip_seed,balance-single-leg-hold,3 x 15000 hold_ms,1,left,0,left->right,left,left,0,0,22500,22500,false,false,false,false,,default_closed,src/training/bothSidesRounds/__tests__/bothSidesRounds.test.ts,
manual_practice_does_not_flip_main_seed,balance-single-leg-hold,3 x 15000 hold_ms,1,left,0,left->right,left,left,0,0,22500,22500,false,false,false,false,,default_closed,src/training/bothSidesRounds/__tests__/bothSidesRounds.test.ts,
sync_restore_preserves_seed,balance-single-leg-hold,3 x 15000 hold_ms,1,left,0,left->right,left,right,0,0,22500,22500,false,false,false,false,,default_closed,src/training/bothSidesRounds/__tests__/bothSidesRounds.test.ts,
round_counts_as_one_set,chair-supported-split-squat,2 x 8 reps,1,left,0,left->right,left,one_round_one_set,8,0,8,8,false,false,false,true,,default_closed,src/training/bothSidesRounds/__tests__/bothSidesRounds.test.ts,
side_segments_do_not_double_valid_time,balance-single-leg-hold,3 x 15000 hold_ms,1,left,0,left->right,left,valid_time_once,15000,0,22500,22500,false,false,false,false,,default_closed,src/training/bothSidesRounds/__tests__/bothSidesRounds.test.ts,
weaker_side_governs_progression,balance-single-leg-hold,3 x 15000 hold_ms,1,left,0,left->right,left,conservative_completion,7500,0,22500,22500,false,false,false,false,,default_closed,src/training/bothSidesRounds/__tests__/bothSidesRounds.test.ts,
one_side_incomplete_blocks_progression,balance-single-leg-hold,3 x 15000 hold_ms,1,left,0,left->right,left,progression_blocked,7500,0,22500,22500,false,false,false,false,,default_closed,src/training/bothSidesRounds/__tests__/bothSidesRounds.test.ts,
legacy_result_still_parses,balance-single-leg-hold,3 x 15000 hold_ms,1,left,0,left->right,left,legacy_readable,0,0,22500,22500,false,false,false,false,,default_closed,src/training/bothSidesRounds/__tests__/bothSidesRounds.test.ts,
feature_off_legacy_unchanged,balance-single-leg-hold,3 x 15000 hold_ms,1,left,0,left->right,left,legacy,0,0,22500,22500,false,false,false,false,,off,src/training/bothSidesRounds/__tests__/bothSidesRounds.test.ts,
round_flag_alone_does_not_half_activate,balance-single-leg-hold,3 x 15000 hold_ms,1,left,0,left->right,left,legacy,0,0,22500,22500,false,false,false,false,,round_flag_only,src/training/bothSidesRounds/__tests__/bothSidesRounds.test.ts,
training_v21_stays_default_closed,balance-single-leg-hold,3 x 15000 hold_ms,1,left,0,left->right,left,legacy,0,0,22500,22500,false,false,false,false,,training_voice_v21_off,src/training/bothSidesRounds/__tests__/bothSidesRounds.test.ts,
balance_v2_stays_default_closed,balance-single-leg-hold,3 x 15000 hold_ms,1,left,0,left->right,left,default_closed,0,0,22500,22500,false,false,false,false,,balance_v2_off,src/training/bothSidesRounds/__tests__/bothSidesRounds.test.ts,
