logicalCueKey,exactScript,category,policyId,exerciseIds,usageRole,safetyFamily,sideVariant,currentCandidateKey,currentCandidateScript,claraExists,marcusExists,semanticMatch,reuseDecision,generationRequiredLater,requiredForVoiceFirst,budgetClass,implementationBlockers,notes
ex-sts-cushion-first-v21,"Cushion sit-to-stand. Sit tall on the cushion, feet flat. Stand fully, then sit with control.",exercise_first_use,instruction,sts-cushion,first_use,,,ex-sts-cushion-first-v21,"Cushion sit-to-stand. Sit tall on the cushion, feet flat. Stand fully, then sit with control.",true,true,true,reuse_exact_existing_pair,false,true,ordinary_first_use_pre_countdown,,Exact Clara/Marcus pair exists in the current physical manifest.
ex-sts-cushion-next-v21,Cushion sit-to-stand.,exercise_later_set,instruction,sts-cushion,later_set,,,ex-sts-cushion-next-v21,Cushion sit-to-stand.,true,true,true,reuse_exact_existing_pair,false,true,later_set_reminder,,Exact Clara/Marcus pair exists in the current physical manifest.
ex-sts-power-first-v21,"Power sit-to-stand. Sit tall, drive up briskly to standing, then sit with control.",exercise_first_use,instruction,sts-power,first_use,,,ex-sts-power-first-v21,"Power sit-to-stand. Sit tall, drive up briskly to standing, then sit with control.",true,true,true,reuse_exact_existing_pair,false,true,ordinary_first_use_pre_countdown,,Exact Clara/Marcus pair exists in the current physical manifest.
ex-sts-power-next-v21,Power sit-to-stand.,exercise_later_set,instruction,sts-power,later_set,,,ex-sts-power-next-v21,Power sit-to-stand.,true,true,true,reuse_exact_existing_pair,false,true,later_set_reminder,,Exact Clara/Marcus pair exists in the current physical manifest.
ex-sts-slow-eccentric-first-v21,"Slow-lower sit-to-stand. Stand fully, then lower slowly and steadily before the next rep.",exercise_first_use,instruction,sts-slow-eccentric,first_use,,,ex-sts-slow-eccentric-first-v21,"Slow-lower sit-to-stand. Stand fully, then lower slowly and steadily before the next rep.",true,true,true,reuse_exact_existing_pair,false,true,ordinary_first_use_pre_countdown,,Exact Clara/Marcus pair exists in the current physical manifest.
ex-sts-slow-eccentric-next-v21,Slow-lower sit-to-stand.,exercise_later_set,instruction,sts-slow-eccentric,later_set,,,ex-sts-slow-eccentric-next-v21,Slow-lower sit-to-stand.,true,true,true,reuse_exact_existing_pair,false,true,later_set_reminder,,Exact Clara/Marcus pair exists in the current physical manifest.
ex-sts-standard-first-v21,"Sit-to-stand. Sit tall in the middle of the chair, feet flat. Stand fully, then sit with control.",exercise_first_use,instruction,sts-standard,first_use,,,ex-sts-standard-first-v21,"Sit-to-stand. Sit tall in the middle of the chair, feet flat. Stand fully, then sit with control.",true,true,true,reuse_exact_existing_pair,false,true,ordinary_first_use_pre_countdown,,Exact Clara/Marcus pair exists in the current physical manifest.
ex-sts-standard-next-v21,Sit-to-stand.,exercise_later_set,instruction,sts-standard,later_set,,,ex-sts-standard-next-v21,Sit-to-stand.,true,true,true,reuse_exact_existing_pair,false,true,later_set_reminder,,Exact Clara/Marcus pair exists in the current physical manifest.
ex-supported-hip-flexor-stretch-first-v21,Supported hip-flexor stretch. Keep fingertips near support.,exercise_first_use,instruction,supported-hip-flexor-stretch,first_use,,,ex-supported-hip-flexor-stretch-first-v21,Supported hip-flexor stretch. Keep fingertips near support.,true,true,true,reuse_exact_existing_pair,false,true,ordinary_first_use_pre_countdown,,Exact Clara/Marcus pair exists in the current physical manifest.
ex-supported-hip-flexor-stretch-next-v21,Supported hip-flexor stretch.,exercise_later_set,instruction,supported-hip-flexor-stretch,later_set,,,ex-supported-hip-flexor-stretch-next-v21,Supported hip-flexor stretch.,true,true,true,reuse_exact_existing_pair,false,true,later_set_reminder,,Exact Clara/Marcus pair exists in the current physical manifest.
ex-supported-side-step-first-v21,"Supported side step. Stand near a counter. Step to the side, bring the other foot in, and continue with control.",exercise_first_use,instruction,supported-side-step,first_use,,,ex-supported-side-step-first-v21,"Supported side step. Stand near a counter. Step to the side, bring the other foot in, and continue with control.",true,true,true,reuse_exact_existing_pair,false,true,ordinary_first_use_pre_countdown,,Exact Clara/Marcus pair exists in the current physical manifest.
ex-supported-side-step-next-v21,Supported side step.,exercise_later_set,instruction,supported-side-step,later_set,,,ex-supported-side-step-next-v21,Supported side step.,true,true,true,reuse_exact_existing_pair,false,true,later_set_reminder,,Exact Clara/Marcus pair exists in the current physical manifest.
ex-thoracic-rotation-first-v21,"Thoracic rotation. Sit or stand tall with arms crossed. Rotate one way, return to center, then rotate the other way.",exercise_first_use,instruction,thoracic-rotation,first_use,,,ex-thoracic-rotation-first-v21,"Thoracic rotation. Sit or stand tall with arms crossed. Rotate one way, return to center, then rotate the other way.",true,true,true,reuse_exact_existing_pair,false,true,ordinary_first_use_pre_countdown,,Exact Clara/Marcus pair exists in the current physical manifest.
ex-thoracic-rotation-next-v21,Thoracic rotation.,exercise_later_set,instruction,thoracic-rotation,later_set,,,ex-thoracic-rotation-next-v21,Thoracic rotation.,true,true,true,reuse_exact_existing_pair,false,true,later_set_reminder,,Exact Clara/Marcus pair exists in the current physical manifest.
ex-toe-raise-supported-first-v21,"Supported toe raise. Keep heels down, lift the front of your feet, then lower slowly.",exercise_first_use,instruction,toe-raise-supported,first_use,,,ex-toe-raise-supported-first-v21,"Supported toe raise. Keep heels down, lift the front of your feet, then lower slowly.",true,true,true,reuse_exact_existing_pair,false,true,ordinary_first_use_pre_countdown,,Exact Clara/Marcus pair exists in the current physical manifest.
ex-toe-raise-supported-next-v21,Supported toe raise.,exercise_later_set,instruction,toe-raise-supported,later_set,,,ex-toe-raise-supported-next-v21,Supported toe raise.,true,true,true,reuse_exact_existing_pair,false,true,later_set_reminder,,Exact Clara/Marcus pair exists in the current physical manifest.
ex-wall-calf-stretch-first-v21,Wall calf stretch. Hands on the wall.,exercise_first_use,instruction,wall-calf-stretch,first_use,,,ex-wall-calf-stretch-first-v21,Wall calf stretch. Hands on the wall.,true,true,true,reuse_exact_existing_pair,false,true,ordinary_first_use_pre_countdown,,Exact Clara/Marcus pair exists in the current physical manifest.
ex-wall-calf-stretch-next-v21,Wall calf stretch.,exercise_later_set,instruction,wall-calf-stretch,later_set,,,ex-wall-calf-stretch-next-v21,Wall calf stretch.,true,true,true,reuse_exact_existing_pair,false,true,later_set_reminder,,Exact Clara/Marcus pair exists in the current physical manifest.
