scenarioId,variantId,voiceId,latencyProfile,eventIndex,eventId,controllerStateBefore,controllerStateAfter,eventScheduledAtMs,speakCalledAtMs,cueKeys,incomingPriority,voiceBusyBefore,currentPriority,audibleStartEstimatedAtMs,assetDurationMs,sequenceDurationMs,playbackEndEstimatedAtMs,completionCallbackAtMs,measurementStartsAtMs,measurementEndsAtMs,stateExitAtMs,outcome,timingMarginMs,staleAfterStateExit,userImpact,confidence,notes
"full_normal_mpv2_checkup_marcus","full_normal_mpv2_checkup_marcus:marcus:L0:default","marcus","L0","55","balance_lift_detected_to_trial","balance_ready","balance_trial","68255","68255","mpv2_balance_attempt_start","60","false","","68255","4412","4412","72667","72667","68255","","","played_fully","-4412","false","","confirmed_deterministic_model","Foot lift starts balance measurement."
"full_normal_mpv2_checkup_marcus","full_normal_mpv2_checkup_marcus:marcus:L0:default","marcus","L0","56","balance_valid_trial_to_rest","balance_trial","balance_rest","78255","78255","mpv2_balance_attempt_saved;mpv2_balance_rest","70","false","","78255","5573","5573","83828","83828","","78255","","played_fully","","false","","confirmed_deterministic_model",""
"full_normal_mpv2_checkup_marcus","full_normal_mpv2_checkup_marcus:marcus:L0:default","marcus","L0","57","balance_rest_ready_after_30","balance_rest","balance_ready","108255","108255","mpv2_balance_ready_after_30","70","false","","108255","2229","2229","110484","110484","","","","played_fully","","false","","confirmed_deterministic_model",""
"full_normal_mpv2_checkup_marcus","full_normal_mpv2_checkup_marcus:marcus:L0:default","marcus","L0","58","balance_user_accepted_best","balance_ready","shoulder_setup","111484","111484","mpv2_balance_use_best;mpv2_balance_complete","70","false","","111484","2554","2554","114038","114038","","","","played_fully","","false","","confirmed_deterministic_model",""
"full_normal_mpv2_checkup_marcus","full_normal_mpv2_checkup_marcus:marcus:L0:default","marcus","L0","59","shoulder_setup_confirmed_right","shoulder_setup","shoulder_ready","114538","114538","checkup-shoulder-turn-right-v21;checkup-shoulder-raise-right-v21;final-position-set-v21","60","false","","114538","7198","7198","121736","121736","","","","played_fully","","false","","confirmed_deterministic_model",""
"full_normal_mpv2_checkup_marcus","full_normal_mpv2_checkup_marcus:marcus:L0:default","marcus","L0","60","shoulder_capture_started","shoulder_ready","shoulder_active","122236","","","","false","","","","","","","122236","","","not_emitted","","false","","confirmed_source","Shoulder capture starts on button action; no active-start voice cue."
"full_normal_mpv2_checkup_marcus","full_normal_mpv2_checkup_marcus:marcus:L0:default","marcus","L0","61","shoulder_section_complete_to_hinge","shoulder_active","hinge_setup","131236","131236","item-complete-v21;checkup-hinge-setup-v21;final-position-set-v21","70","false","","131236","6640","6640","137876","137876","","131236","","played_fully","","false","","confirmed_deterministic_model",""
"full_normal_mpv2_checkup_marcus","full_normal_mpv2_checkup_marcus:marcus:L0:default","marcus","L0","62","hinge_capture_started","hinge_setup","hinge_active","138376","","","","false","","","","","","","138376","","","not_emitted","","false","","confirmed_source","Hinge capture starts on button action; no active-start voice cue."
"full_normal_mpv2_checkup_marcus","full_normal_mpv2_checkup_marcus:marcus:L0:default","marcus","L0","63","hinge_recorded_valid","hinge_active","raw_complete","147376","147376","mpv2_hinge_complete;checkup-complete-v21","70","false","","147376","3808","3808","151184","151184","","147376","151684","played_fully","","false","","confirmed_deterministic_model",""
"full_normal_mpv2_checkup_marcus","full_normal_mpv2_checkup_marcus:marcus:L0:default","marcus","L0","64","navigation_state_exit","raw_complete","unmounted","151684","","","","false","","","","","","","","","151684","not_applicable","","false","voice channel stopped and pending cues cleared","confirmed_source",""
"full_normal_mpv2_checkup_marcus","full_normal_mpv2_checkup_marcus:marcus:L100:default","marcus","L100","65","mpv2_entry_initial_intro","screen_mount","chair_setup","0","0","mpv2_checkup_intro;checkup-chair-stand-intro-v21;checkup-chair-stand-setup-v21","60","false","","100","14350","14950","14850","14950","","","","played_fully","","false","","confirmed_deterministic_model","Initial intro sequence; in normal path user waits for speech."
"full_normal_mpv2_checkup_marcus","full_normal_mpv2_checkup_marcus:marcus:L100:default","marcus","L100","66","chair_setup_confirmed_to_practice","chair_setup","chair_practice","15450","15450","mpv2_chair_practice_start","60","false","","15550","2694","2894","18244","18344","","","","played_fully","","false","","confirmed_deterministic_model",""
"full_normal_mpv2_checkup_marcus","full_normal_mpv2_checkup_marcus:marcus:L100:default","marcus","L100","67","chair_practice_completed_to_countdown","chair_practice","chair_countdown","20344","20344","mpv2_chair_official_ready","90","false","","20444","3622","3822","24066","24166","23344","","","played_fully","-722","false","chair active window starts without spoken go and before this cue ends","confirmed_deterministic_model","Internal countdown starts with this cue."
"full_normal_mpv2_checkup_marcus","full_normal_mpv2_checkup_marcus:marcus:L100:default","marcus","L100","68","chair_countdown_elapsed_to_active","chair_countdown","chair_active","23344","","","","true","90","","","","","","23344","","","not_emitted","","false","no countdown-three/two/one/go cue emitted","confirmed_source","Measurement starts from coordinator timer only."
"full_normal_mpv2_checkup_marcus","full_normal_mpv2_checkup_marcus:marcus:L100:default","marcus","L100","69","chair_deadline_to_balance_setup","chair_active","balance_setup","53344","53344","times-up-v21;checkup-balance-intro-v21;checkup-balance-single-leg-v21","100","false","","53444","9799","10399","63643","63743","","53344","","played_fully","","false","","confirmed_deterministic_model","Chair measurement stops independent of speech."
"full_normal_mpv2_checkup_marcus","full_normal_mpv2_checkup_marcus:marcus:L100:default","marcus","L100","70","balance_setup_confirmed_to_ready","balance_setup","balance_ready","64243","64243","mpv2_balance_attempt_start","60","false","","64343","4412","4612","68755","68855","","","","played_fully","","false","","confirmed_deterministic_model",""
"full_normal_mpv2_checkup_marcus","full_normal_mpv2_checkup_marcus:marcus:L100:default","marcus","L100","71","balance_lift_detected_to_trial","balance_ready","balance_trial","69855","69855","mpv2_balance_attempt_start","60","false","","69955","4412","4612","74367","74467","69855","","","played_fully","-4512","false","","confirmed_deterministic_model","Foot lift starts balance measurement."
"full_normal_mpv2_checkup_marcus","full_normal_mpv2_checkup_marcus:marcus:L100:default","marcus","L100","72","balance_valid_trial_to_rest","balance_trial","balance_rest","79855","79855","mpv2_balance_attempt_saved;mpv2_balance_rest","70","false","","79955","5573","5973","85728","85828","","79855","","played_fully","","false","","confirmed_deterministic_model",""
"full_normal_mpv2_checkup_marcus","full_normal_mpv2_checkup_marcus:marcus:L100:default","marcus","L100","73","balance_rest_ready_after_30","balance_rest","balance_ready","109855","109855","mpv2_balance_ready_after_30","70","false","","109955","2229","2429","112184","112284","","","","played_fully","","false","","confirmed_deterministic_model",""
"full_normal_mpv2_checkup_marcus","full_normal_mpv2_checkup_marcus:marcus:L100:default","marcus","L100","74","balance_user_accepted_best","balance_ready","shoulder_setup","113284","113284","mpv2_balance_use_best;mpv2_balance_complete","70","false","","113384","2554","2954","116138","116238","","","","played_fully","","false","","confirmed_deterministic_model",""
"full_normal_mpv2_checkup_marcus","full_normal_mpv2_checkup_marcus:marcus:L100:default","marcus","L100","75","shoulder_setup_confirmed_right","shoulder_setup","shoulder_ready","116738","116738","checkup-shoulder-turn-right-v21;checkup-shoulder-raise-right-v21;final-position-set-v21","60","false","","116838","7198","7798","124436","124536","","","","played_fully","","false","","confirmed_deterministic_model",""
"full_normal_mpv2_checkup_marcus","full_normal_mpv2_checkup_marcus:marcus:L100:default","marcus","L100","76","shoulder_capture_started","shoulder_ready","shoulder_active","125036","","","","false","","","","","","","125036","","","not_emitted","","false","","confirmed_source","Shoulder capture starts on button action; no active-start voice cue."
"full_normal_mpv2_checkup_marcus","full_normal_mpv2_checkup_marcus:marcus:L100:default","marcus","L100","77","shoulder_section_complete_to_hinge","shoulder_active","hinge_setup","134036","134036","item-complete-v21;checkup-hinge-setup-v21;final-position-set-v21","70","false","","134136","6640","7240","141176","141276","","134036","","played_fully","","false","","confirmed_deterministic_model",""
"full_normal_mpv2_checkup_marcus","full_normal_mpv2_checkup_marcus:marcus:L100:default","marcus","L100","78","hinge_capture_started","hinge_setup","hinge_active","141776","","","","false","","","","","","","141776","","","not_emitted","","false","","confirmed_source","Hinge capture starts on button action; no active-start voice cue."
"full_normal_mpv2_checkup_marcus","full_normal_mpv2_checkup_marcus:marcus:L100:default","marcus","L100","79","hinge_recorded_valid","hinge_active","raw_complete","150776","150776","mpv2_hinge_complete;checkup-complete-v21","70","false","","150876","3808","4208","154884","154984","","150776","155484","played_fully","","false","","confirmed_deterministic_model",""
"full_normal_mpv2_checkup_marcus","full_normal_mpv2_checkup_marcus:marcus:L100:default","marcus","L100","80","navigation_state_exit","raw_complete","unmounted","155484","","","","false","","","","","","","","","155484","not_applicable","","false","voice channel stopped and pending cues cleared","confirmed_source",""
"full_normal_mpv2_checkup_marcus","full_normal_mpv2_checkup_marcus:marcus:L250:default","marcus","L250","81","mpv2_entry_initial_intro","screen_mount","chair_setup","0","0","mpv2_checkup_intro;checkup-chair-stand-intro-v21;checkup-chair-stand-setup-v21","60","false","","250","14350","15850","15600","15850","","","","played_fully","","false","","confirmed_deterministic_model","Initial intro sequence; in normal path user waits for speech."
"full_normal_mpv2_checkup_marcus","full_normal_mpv2_checkup_marcus:marcus:L250:default","marcus","L250","82","chair_setup_confirmed_to_practice","chair_setup","chair_practice","16350","16350","mpv2_chair_practice_start","60","false","","16600","2694","3194","19294","19544","","","","played_fully","","false","","confirmed_deterministic_model",""
"full_normal_mpv2_checkup_marcus","full_normal_mpv2_checkup_marcus:marcus:L250:default","marcus","L250","83","chair_practice_completed_to_countdown","chair_practice","chair_countdown","21544","21544","mpv2_chair_official_ready","90","false","","21794","3622","4122","25416","25666","24544","","","played_fully","-872","false","chair active window starts without spoken go and before this cue ends","confirmed_deterministic_model","Internal countdown starts with this cue."
"full_normal_mpv2_checkup_marcus","full_normal_mpv2_checkup_marcus:marcus:L250:default","marcus","L250","84","chair_countdown_elapsed_to_active","chair_countdown","chair_active","24544","","","","true","90","","","","","","24544","","","not_emitted","","false","no countdown-three/two/one/go cue emitted","confirmed_source","Measurement starts from coordinator timer only."
"full_normal_mpv2_checkup_marcus","full_normal_mpv2_checkup_marcus:marcus:L250:default","marcus","L250","85","chair_deadline_to_balance_setup","chair_active","balance_setup","54544","54544","times-up-v21;checkup-balance-intro-v21;checkup-balance-single-leg-v21","100","false","","54794","9799","11299","65593","65843","","54544","","played_fully","","false","","confirmed_deterministic_model","Chair measurement stops independent of speech."
"full_normal_mpv2_checkup_marcus","full_normal_mpv2_checkup_marcus:marcus:L250:default","marcus","L250","86","balance_setup_confirmed_to_ready","balance_setup","balance_ready","66343","66343","mpv2_balance_attempt_start","60","false","","66593","4412","4912","71005","71255","","","","played_fully","","false","","confirmed_deterministic_model",""
