scenarioId,variantId,lifecycleType,entityId,operationIndex,operation,inputFingerprint,outputFingerprint,canonicalFieldsBefore,canonicalFieldsAfter,equal,duplicateSuppressed,errorCode,productionFunction,notes
successful_completion_flips_seed,base,seed_update,step-up-seed-main,1,main_plan_completion_flips_once,76e8b30322a3cf6d93a04b700345911880ae6ba49bbac5f7cbb458434a645c44,72490bcd517ba8b136be4d14bd03fa7263f14b2cd1881a95ee3d899f78322549,"{""seed"":""left""}","{""seed"":""right""}",true,false,,applyBothSidesExerciseCompletionToStartSideSeed;nextBothSidesStartSideForExercise,seed_update proof generated from current production path.
duplicate_completion_idempotent,base,seed_update,step-up-seed-duplicate,1,duplicate_completion_idempotent,72490bcd517ba8b136be4d14bd03fa7263f14b2cd1881a95ee3d899f78322549,72490bcd517ba8b136be4d14bd03fa7263f14b2cd1881a95ee3d899f78322549,"{""seed"":""right""}","{""seed"":""right""}",true,true,,applyBothSidesExerciseCompletionToStartSideSeed,seed_update proof generated from current production path.
skip_does_not_flip_seed,base,seed_update,step-up-seed-skip,1,skip_cancel_incomplete_no_flip,76e8b30322a3cf6d93a04b700345911880ae6ba49bbac5f7cbb458434a645c44,76e8b30322a3cf6d93a04b700345911880ae6ba49bbac5f7cbb458434a645c44,"{""seed"":""left""}","{""seed"":""left""}",true,true,,applyBothSidesExerciseCompletionToStartSideSeed,seed_update proof generated from current production path.
manual_practice_does_not_flip_seed,base,seed_update,step-up-seed-manual-explore,1,manual_explore_no_flip,76e8b30322a3cf6d93a04b700345911880ae6ba49bbac5f7cbb458434a645c44,76e8b30322a3cf6d93a04b700345911880ae6ba49bbac5f7cbb458434a645c44,"{""seed"":""left""}","{""seed"":""left""}",true,true,,applyBothSidesExerciseCompletionToStartSideSeed,seed_update proof generated from current production path.
integration_live_expected_lead_reaches_voice_planner,base,voice_context,voice-left-right-target,1,expected_lead_and_target_match,4e9da7c21c5152e59cf90a66a26213ab179d0509fa58a8bd8edf44961631423f,fe1e0c77733b8901bcc40754ed05598589997649755d640d569aed4c07064ebb,"{""expectedLead"":""left"",""target"":""12""}","{""expectedLead"":""left"",""target"":""Do twelve total reps.""}",false,false,,planTrainingVoiceSequenceV21,voice_context proof generated from current production path.
integration_wrong_lead_context_reaches_voice_planner,base,voice_context,voice-wrong-lead,1,wrong_lead_cue_uses_expected_lead,00b905dc1a33e0927de3b35f459ff32bbb8b4a5a1b0c589a4f2571601dc48853,00b905dc1a33e0927de3b35f459ff32bbb8b4a5a1b0c589a4f2571601dc48853,"{""cue"":""step-up-wrong-left-v21""}","{""cue"":""step-up-wrong-left-v21""}",true,false,,planTrainingVoiceSequenceV21,voice_context proof generated from current production path.
no_per_rep_spoken_switch,base,voice_context,voice-no-per-rep-switch,1,per_rep_switch_suppressed,f9f298a6dd6abc10df52e842241999db4fa6393cf5c9c192ae76d5adf4cc8ad8,f9f298a6dd6abc10df52e842241999db4fa6393cf5c9c192ae76d5adf4cc8ad8,"{""perRepSwitch"":false}","{""perRepSwitch"":false}",true,true,,planTrainingVoiceSequenceV21,voice_context proof generated from current production path.
no_per_rep_spoken_switch,base,voice_context,voice-no-set-count-cue,1,spoken_set_count_suppressed,076b1a5c33b1c32df6485b13300478b7dd5fba2990e9910758b4b86f1c7d9280,076b1a5c33b1c32df6485b13300478b7dd5fba2990e9910758b4b86f1c7d9280,"{""spokenSetCount"":false}","{""spokenSetCount"":false}",true,true,,planTrainingVoiceSequenceV21,voice_context proof generated from current production path.
integration_one_runtime_owner,base,runtime_ownership,step-up-runtime-owner,1,single_owner_selected,9bcc13b6e0b60c85d452b317153d4799b309e16877f01d761c95128f50a787e8,9bcc13b6e0b60c85d452b317153d4799b309e16877f01d761c95128f50a787e8,"{""ownerCount"":1}","{""ownerCount"":1}",true,false,,selectTrainingSetRuntime;createTrainingSetRuntime,runtime_ownership proof generated from current production path.
audio,base,validation_command,audio,20,npm run verify:audio,46573d619c9591bd76e539be61466b6d588e45c651815183c7998ebdb700e3d5,d3fb1f132ef46cc253f48223c329a8b9cbaac4a7eccace235c7f8bd404ddf014,"{""command"":""npm run verify:audio""}","{""exitCode"":0,""status"":""passed""}",true,false,,spawnSync validation command,validation_command proof generated from current production path.
typescript,base,validation_command,typescript,21,npx tsc --noEmit --pretty false,87bef5cd0d57e6caddee61e55948841fcdb577f72192c36083ebdbdfc7ef08fe,d3fb1f132ef46cc253f48223c329a8b9cbaac4a7eccace235c7f8bd404ddf014,"{""command"":""npx tsc --noEmit --pretty false""}","{""exitCode"":0,""status"":""passed""}",true,false,,spawnSync validation command,validation_command proof generated from current production path.
focused_jest,base,validation_command,focused_jest,22,npx jest src/training/stepUpAlternation/__tests__/stepUpAlternation.test.ts src/training/stepUpAlternation/__tests__/stepUpRuntimeIntegration.test.ts src/training/__tests__/sessionPlayer.test.ts src/training/__tests__/progression.test.ts src/training/__tests__/validTimeProgression.test.ts src/training/__tests__/store.test.ts src/services/backend/__tests__/trainingStateSyncService.test.ts src/services/backend/__tests__/restoreService.test.ts src/training/bothSidesRounds/__tests__/bothSidesRounds.test.ts src/training/voiceV21/__tests__/foundation.test.ts --runInBand,96e984efc25e302406c2e0545ff285306876d5cfc82b7c6d5f5ada9f89f92812,d3fb1f132ef46cc253f48223c329a8b9cbaac4a7eccace235c7f8bd404ddf014,"{""command"":""npx jest src/training/stepUpAlternation/__tests__/stepUpAlternation.test.ts src/training/stepUpAlternation/__tests__/stepUpRuntimeIntegration.test.ts src/training/__tests__/sessionPlayer.test.ts src/training/__tests__/progression.test.ts src/training/__tests__/validTimeProgression.test.ts src/training/__tests__/store.test.ts src/services/backend/__tests__/trainingStateSyncService.test.ts src/services/backend/__tests__/restoreService.test.ts src/training/bothSidesRounds/__tests__/bothSidesRounds.test.ts src/training/voiceV21/__tests__/foundation.test.ts --runInBand""}","{""exitCode"":0,""status"":""passed""}",true,false,,spawnSync validation command,validation_command proof generated from current production path.
full_jest,base,validation_command,full_jest,23,npm test -- --runInBand,10efe2e952360835e132570bd0aeed53409c5f89195b2b042a2ab8bd0b12a523,d3fb1f132ef46cc253f48223c329a8b9cbaac4a7eccace235c7f8bd404ddf014,"{""command"":""npm test -- --runInBand""}","{""exitCode"":0,""status"":""passed""}",true,false,,spawnSync validation command,validation_command proof generated from current production path.
generation_mode,base,validation_command,generation_mode,24,node scripts/audits/audit-training-step-up-runtime-evidence-closure.mjs,d79a82293aa248e863c2c2bd874539df2e4c238bd88d950ccb03a2996ed549e0,d3fb1f132ef46cc253f48223c329a8b9cbaac4a7eccace235c7f8bd404ddf014,"{""command"":""node scripts/audits/audit-training-step-up-runtime-evidence-closure.mjs""}","{""exitCode"":0,""status"":""passed""}",true,false,,spawnSync validation command,validation_command proof generated from current production path.
verify_existing_mode,base,validation_command,verify_existing_mode,25,node scripts/audits/audit-training-step-up-runtime-evidence-closure.mjs --verify-existing,62a5f97f18a6ad3012e3465492debd2bb0d8d83b89e461f0ed4f1a82f9f75b88,d3fb1f132ef46cc253f48223c329a8b9cbaac4a7eccace235c7f8bd404ddf014,"{""command"":""node scripts/audits/audit-training-step-up-runtime-evidence-closure.mjs --verify-existing""}","{""exitCode"":0,""status"":""passed""}",true,false,,spawnSync validation command,validation_command proof generated from current production path.
