exerciseId,family,parentFamily,subsumedFamilies,absorbedFamilies,fulfilment,logicalCueKey,sourceSafetyProfileSchemaVersion,sourceSafetyProfileFingerprint,sourceSafetyCueIds,reactiveSafetyCueIdsDeferred,requiredForVoiceFirst,ready,reasonCodes
squat-supported,generic_support,,,chair_seat;generic_support,absorbed_into_exact_instruction,,1,safety-cues-v1-8ipm7r,support_use_sturdy_support;support_keep_support_within_reach;tracking_keep_full_body_in_view;tracking_move_when_cued;chair_use_sturdy_chair;global_stop_if_support_moves;comfortable_range_only;tracking_no_rush_or_exaggerate;tracking_pause_and_reset,tracking_keep_full_body_in_view;global_stop_if_support_moves;tracking_no_rush_or_exaggerate;tracking_pause_and_reset,true,true,GENERIC_SUPPORT_ABSORBED_IN_INSTRUCTION
standing-band-row,door_anchor_band,long_band_handheld_or_foot_anchored,long_band_handheld_or_foot_anchored,,separate_family_cue,equip-door-anchor-v21,1,safety-cues-v1-zxi45n,band_inspect_before_use;band_secure_grip;band_face_and_eyes_clear;door_anchor_follow_manufacturer_setup;door_anchor_fully_closed;door_anchor_test_light_tension;door_anchor_stay_out_of_door_path;band_stable_stance;tracking_keep_full_body_in_view;tracking_move_when_cued;band_controlled_return;band_never_release_under_tension;band_stop_if_slips_or_shifts;door_anchor_stop_if_moves;tracking_no_rush_or_exaggerate;tracking_pause_and_reset,tracking_keep_full_body_in_view;band_never_release_under_tension;band_stop_if_slips_or_shifts;door_anchor_stop_if_moves;tracking_no_rush_or_exaggerate;tracking_pause_and_reset,true,true,DOOR_ANCHOR_SUBSUMES_LONG_BAND;MOST_SPECIFIC_FAMILY_DUE
step-up,step_or_stair,generic_support,,step_or_stair,absorbed_into_exact_instruction,,1,safety-cues-v1-177olv6,step_use_low_stable_step;step_fixed_support_nearby;step_clear_dry_area;step_phone_out_of_path;tracking_keep_full_body_in_view;tracking_move_when_cued;step_controlled_return;step_stop_if_unstable;tracking_no_rush_or_exaggerate;tracking_pause_and_reset,tracking_keep_full_body_in_view;step_stop_if_unstable;tracking_no_rush_or_exaggerate;tracking_pause_and_reset,true,true,FAMILY_ABSORBED_IN_EXACT_INSTRUCTION
sts-cushion,chair_seat,,,chair_seat,absorbed_into_exact_instruction,,1,safety-cues-v1-s7h005,chair_use_sturdy_chair;tracking_keep_full_body_in_view;tracking_move_when_cued;chair_controlled_sit;comfortable_range_only;tracking_no_rush_or_exaggerate;tracking_pause_and_reset,tracking_keep_full_body_in_view;tracking_no_rush_or_exaggerate;tracking_pause_and_reset,true,true,CHAIR_ABSORBED_IN_INSTRUCTION
sts-power,chair_seat,,,chair_seat,absorbed_into_exact_instruction,,1,safety-cues-v1-v7g66f,chair_use_sturdy_chair;tracking_keep_full_body_in_view;tracking_move_when_cued;chair_controlled_sit;comfortable_range_only;tracking_no_rush_or_exaggerate;tracking_pause_and_reset,tracking_keep_full_body_in_view;tracking_no_rush_or_exaggerate;tracking_pause_and_reset,true,true,CHAIR_ABSORBED_IN_INSTRUCTION
sts-slow-eccentric,chair_seat,,,chair_seat,absorbed_into_exact_instruction,,1,safety-cues-v1-1tktsfg,chair_use_sturdy_chair;tracking_keep_full_body_in_view;tracking_move_when_cued;chair_controlled_sit;comfortable_range_only;tracking_no_rush_or_exaggerate;tracking_pause_and_reset,tracking_keep_full_body_in_view;tracking_no_rush_or_exaggerate;tracking_pause_and_reset,true,true,CHAIR_ABSORBED_IN_INSTRUCTION
sts-standard,chair_seat,,,chair_seat,absorbed_into_exact_instruction,,1,safety-cues-v1-fu999j,chair_use_sturdy_chair;tracking_keep_full_body_in_view;tracking_move_when_cued;chair_controlled_sit;comfortable_range_only;tracking_no_rush_or_exaggerate;tracking_pause_and_reset,tracking_keep_full_body_in_view;tracking_no_rush_or_exaggerate;tracking_pause_and_reset,true,true,CHAIR_ABSORBED_IN_INSTRUCTION
supported-hip-flexor-stretch,generic_support,,,generic_support,absorbed_into_exact_instruction,,1,safety-cues-v1-o2y3wi,support_use_sturdy_support;support_keep_support_within_reach;tracking_keep_full_body_in_view;tracking_move_when_cued;comfortable_range_only;mobility_no_forcing;global_stop_if_support_moves;tracking_no_rush_or_exaggerate;tracking_pause_and_reset,tracking_keep_full_body_in_view;global_stop_if_support_moves;tracking_no_rush_or_exaggerate;tracking_pause_and_reset,true,true,GENERIC_SUPPORT_ABSORBED_IN_INSTRUCTION
supported-side-step,balance_support,generic_support,,balance_support,absorbed_into_exact_instruction,,1,safety-cues-v1-4wtveh,balance_support_within_reach;balance_no_eyes_closed_or_unstable_surface;tracking_keep_full_body_in_view;tracking_move_when_cued;balance_stop_if_unsteady;balance_supported_if_hesitant;tracking_no_rush_or_exaggerate;tracking_pause_and_reset,tracking_keep_full_body_in_view;balance_stop_if_unsteady;balance_supported_if_hesitant;tracking_no_rush_or_exaggerate;tracking_pause_and_reset,true,true,GENERIC_SUPPORT_ABSORBED_IN_INSTRUCTION
thoracic-rotation,none,,,,not_required,,1,safety-cues-v1-1c7l5md,tracking_keep_full_body_in_view;tracking_move_when_cued;comfortable_range_only;mobility_no_forcing;tracking_no_rush_or_exaggerate;tracking_pause_and_reset,tracking_keep_full_body_in_view;tracking_no_rush_or_exaggerate;tracking_pause_and_reset,false,true,NO_NORMAL_FAMILY_REQUIRED
toe-raise-supported,generic_support,,,generic_support,absorbed_into_exact_instruction,,1,safety-cues-v1-f1or5t,support_use_sturdy_support;support_keep_support_within_reach;tracking_keep_full_body_in_view;tracking_move_when_cued;global_stop_if_support_moves;comfortable_range_only;tracking_no_rush_or_exaggerate;tracking_pause_and_reset,tracking_keep_full_body_in_view;global_stop_if_support_moves;tracking_no_rush_or_exaggerate;tracking_pause_and_reset,true,true,GENERIC_SUPPORT_ABSORBED_IN_INSTRUCTION
wall-calf-stretch,generic_support,,,generic_support,absorbed_into_exact_instruction,,1,safety-cues-v1-l9yrs2,support_use_sturdy_support;support_keep_support_within_reach;tracking_keep_full_body_in_view;tracking_move_when_cued;comfortable_range_only;mobility_no_forcing;global_stop_if_support_moves;tracking_no_rush_or_exaggerate;tracking_pause_and_reset,tracking_keep_full_body_in_view;global_stop_if_support_moves;tracking_no_rush_or_exaggerate;tracking_pause_and_reset,true,true,GENERIC_SUPPORT_ABSORBED_IN_INSTRUCTION
