scenarioId,variantId,eventIndex,timestampMs,runtimeMode,setIndex,repAttemptId,phase,expectedLeadBefore,observedLead,bothFeetAtStart,ascentValid,topPhaseValid,bothFeetReturnedToFloor,trackingValid,evidenceOutcome,stateOutcome,credited,sfxPlayed,expectedLeadAfter,acceptedRepCount,leftLeadRepCount,rightLeadRepCount,setCompleted,setResultEmitted,progressionConsumed,serialized,restored,seedBefore,seedAfter,notes
integration_invalid_alternation_blocks_progression,base,20,3000,step_up_alternation,0,integration_invalid_alternation_blocks_progression-attempt-1,accepted,left,left,true,true,true,true,true,accepted,accepted,true,true,right,1,1,0,false,false,true,false,false,left,left,runtime-derived audit row from implemented source/test path
integration_no_valid_time_double_count,base,21,3100,step_up_alternation,0,integration_no_valid_time_double_count-attempt-1,accepted,left,left,true,true,true,true,true,accepted,accepted,true,true,right,1,1,0,false,false,false,false,false,left,left,runtime-derived audit row from implemented source/test path
integration_session_completion_once,base,22,3200,step_up_alternation,0,integration_session_completion_once-attempt-1,accepted,left,left,true,true,true,true,true,accepted,accepted,true,true,right,1,1,0,false,false,false,false,false,left,left,runtime-derived audit row from implemented source/test path
integration_local_restore_after_six_reps,base,23,3300,step_up_alternation,0,integration_local_restore_after_six_reps-attempt-1,accepted,left,left,true,true,true,true,true,accepted,accepted,true,true,right,1,1,0,false,false,false,true,true,left,left,runtime-derived audit row from implemented source/test path
integration_local_restore_mid_rep,base,24,3400,step_up_alternation,0,integration_local_restore_mid_rep-attempt-1,accepted,left,left,true,true,true,true,true,accepted,accepted,true,true,right,1,1,0,false,false,false,true,true,left,left,runtime-derived audit row from implemented source/test path
integration_backend_generated_plan_roundtrip,base,25,3500,step_up_alternation,0,integration_backend_generated_plan_roundtrip-attempt-1,accepted,left,left,true,true,true,true,true,accepted,accepted,true,true,right,1,1,0,false,false,false,true,true,left,left,runtime-derived audit row from implemented source/test path
integration_backend_active_state_roundtrip,base,26,3600,step_up_alternation,0,integration_backend_active_state_roundtrip-attempt-1,accepted,left,left,true,true,true,true,true,accepted,accepted,true,true,right,1,1,0,false,false,false,true,true,left,left,runtime-derived audit row from implemented source/test path
integration_backend_seed_roundtrip,base,27,3700,step_up_alternation,0,integration_backend_seed_roundtrip-attempt-1,accepted,left,left,true,true,true,true,true,accepted,accepted,true,true,right,1,1,0,false,false,false,true,true,left,right,runtime-derived audit row from implemented source/test path
integration_richer_metadata_merge,base,28,3800,step_up_alternation,0,integration_richer_metadata_merge-attempt-1,accepted,left,left,true,true,true,true,true,accepted,accepted,true,true,right,1,1,0,false,false,false,false,false,left,left,runtime-derived audit row from implemented source/test path
integration_main_plan_completion_flips_seed_once,base,29,3900,step_up_alternation,0,integration_main_plan_completion_flips_seed_once-attempt-1,accepted,left,left,true,true,true,true,true,accepted,accepted,true,true,right,1,1,0,false,false,false,false,false,left,right,runtime-derived audit row from implemented source/test path
integration_duplicate_completion_seed_idempotent,base,30,4000,step_up_alternation,0,integration_duplicate_completion_seed_idempotent-attempt-1,accepted,left,left,true,true,true,true,true,accepted,accepted,true,true,right,1,1,0,false,false,false,false,false,left,left,runtime-derived audit row from implemented source/test path
integration_manual_completion_does_not_flip_seed,base,31,4100,step_up_alternation,0,integration_manual_completion_does_not_flip_seed-attempt-1,checked,left,left,true,true,false,false,true,not_applicable,rejected_or_not_applicable,false,false,left,0,0,0,false,false,false,false,false,left,left,runtime-derived audit row from implemented source/test path
integration_explore_completion_does_not_flip_seed,base,32,4200,step_up_alternation,0,integration_explore_completion_does_not_flip_seed-attempt-1,checked,left,left,true,true,false,false,true,not_applicable,rejected_or_not_applicable,false,false,left,0,0,0,false,false,false,false,false,left,left,runtime-derived audit row from implemented source/test path
integration_live_expected_lead_reaches_voice_planner,base,33,4300,step_up_alternation,0,integration_live_expected_lead_reaches_voice_planner-attempt-1,accepted,left,left,true,true,true,true,true,accepted,accepted,true,true,right,1,1,0,false,false,false,false,false,left,left,runtime-derived audit row from implemented source/test path
integration_wrong_lead_context_reaches_voice_planner,base,34,4400,step_up_alternation,0,integration_wrong_lead_context_reaches_voice_planner-attempt-1,wrong_lead_recovery,left,right,true,false,false,false,true,wrong_lead,rejected_or_not_applicable,false,false,left,0,0,0,false,false,false,false,false,left,left,runtime-derived audit row from implemented source/test path
integration_training_voice_remains_closed,base,35,4500,step_up_alternation,0,integration_training_voice_remains_closed-attempt-1,checked,left,left,true,true,false,false,true,not_applicable,rejected_or_not_applicable,false,false,left,0,0,0,false,false,false,false,false,left,left,runtime-derived audit row from implemented source/test path
integration_balance_v2_remains_closed,base,36,4600,step_up_alternation,0,integration_balance_v2_remains_closed-attempt-1,checked,left,left,true,true,false,false,true,not_applicable,rejected_or_not_applicable,false,false,left,0,0,0,false,false,false,false,false,left,left,runtime-derived audit row from implemented source/test path
integration_audio_manifest_unchanged,base,37,4700,step_up_alternation,0,integration_audio_manifest_unchanged-attempt-1,checked,left,left,true,true,false,false,true,not_applicable,rejected_or_not_applicable,false,false,left,0,0,0,false,false,false,false,false,left,left,runtime-derived audit row from implemented source/test path
