cueKey,currentFlowReachability,v21Lifecycle,legacyRequired,conditionalLegacyReason,retireAfterFeatureGate,physicalAssetAction,manifestAction,notes
checkup-shoulder-raise-left-v21,movement_checkup,physical_ready,true,,false,keep,no_change_in_schema_task,Classified from current physical corpus.
checkup-shoulder-raise-right-v21,movement_checkup,physical_ready,true,,false,keep,no_change_in_schema_task,Classified from current physical corpus.
checkup-shoulder-turn-left-v21,movement_checkup,physical_ready,true,,false,keep,no_change_in_schema_task,Classified from current physical corpus.
checkup-shoulder-turn-right-v21,movement_checkup,physical_ready,true,,false,keep,no_change_in_schema_task,Classified from current physical corpus.
close-your-eyes,conditional_legacy_balance,conditional_legacy_only,true,Eyes-closed balance is absent from default Balance V2.,false,keep,no_change_in_schema_task,Classified from current physical corpus.
comfortable_range_only,legacy_safety_or_setup,legacy_only,true,,false,keep,no_change_in_schema_task,Classified from current physical corpus.
cooldown-now,legacy_shared_or_current_manifest,legacy_only,true,,false,keep,no_change_in_schema_task,Classified from current physical corpus.
countdown-one,balance_v2;micro_check;training,physical_ready,true,,false,keep,no_change_in_schema_task,Classified from current physical corpus.
countdown-three,balance_v2;micro_check;training,physical_ready,true,,false,keep,no_change_in_schema_task,Classified from current physical corpus.
countdown-two,balance_v2;micro_check;training,physical_ready,true,,false,keep,no_change_in_schema_task,Classified from current physical corpus.
door_anchor_follow_manufacturer_setup,legacy_safety_or_setup,legacy_only,true,,false,keep,no_change_in_schema_task,Classified from current physical corpus.
door_anchor_fully_closed,legacy_safety_or_setup,legacy_only,true,,false,keep,no_change_in_schema_task,Classified from current physical corpus.
door_anchor_stay_out_of_door_path,legacy_safety_or_setup,legacy_only,true,,false,keep,no_change_in_schema_task,Classified from current physical corpus.
door_anchor_stop_if_moves,legacy_safety_or_setup,legacy_only,true,,false,keep,no_change_in_schema_task,Classified from current physical corpus.
door_anchor_test_light_tension,legacy_safety_or_setup,legacy_only,true,,false,keep,no_change_in_schema_task,Classified from current physical corpus.
ex-balance,legacy_training_family_instruction,legacy_only,true,,false,keep,no_change_in_schema_task,Classified from current physical corpus.
ex-glute-bridge,legacy_training_family_instruction,legacy_only,true,,false,keep,no_change_in_schema_task,Classified from current physical corpus.
ex-hamstring-reach,micro_check;micro_check,script_mismatch_candidate,true,,false,keep,no_change_in_schema_task,Candidate for micro-mobility-left-v21;micro-mobility-right-v21 but not semantically reusable.
ex-heel-raise,legacy_training_family_instruction,legacy_only,true,,false,keep,no_change_in_schema_task,Classified from current physical corpus.
ex-hip-hinge,legacy_training_family_instruction,legacy_only,true,,false,keep,no_change_in_schema_task,Classified from current physical corpus.
ex-march,legacy_training_family_instruction,legacy_only,true,,false,keep,no_change_in_schema_task,Classified from current physical corpus.
ex-neck-rotation,legacy_training_family_instruction,legacy_only,true,,false,keep,no_change_in_schema_task,Classified from current physical corpus.
ex-overhead,legacy_training_family_instruction,legacy_only,true,,false,keep,no_change_in_schema_task,Classified from current physical corpus.
ex-push-up,legacy_training_family_instruction,legacy_only,true,,false,keep,no_change_in_schema_task,Classified from current physical corpus.
ex-sit-to-stand,legacy_training_family_instruction,legacy_only,true,,false,keep,no_change_in_schema_task,Classified from current physical corpus.
ex-squat,legacy_training_family_instruction,legacy_only,true,,false,keep,no_change_in_schema_task,Classified from current physical corpus.
ex-step-up,legacy_training_family_instruction,legacy_only,true,,false,keep,no_change_in_schema_task,Classified from current physical corpus.
exercise-skipped,training,script_mismatch_candidate,true,,false,keep,no_change_in_schema_task,Candidate for training-skip-v21 but not semantically reusable.
face-forward,legacy_shared_or_current_manifest,legacy_only,true,,false,keep,no_change_in_schema_task,Classified from current physical corpus.
final-position-set-v21,balance_v2;micro_check;movement_checkup;training,physical_ready,true,,false,keep,no_change_in_schema_task,Classified from current physical corpus.
floor_clear_space,legacy_safety_or_setup,legacy_only,true,,false,keep,no_change_in_schema_task,Classified from current physical corpus.
floor_slow_transition,training,script_mismatch_candidate,true,,false,keep,no_change_in_schema_task,Candidate for equip-floor-transition-v21 but not semantically reusable.
floor_stop_if_transfer_unsteady,legacy_safety_or_setup,legacy_only,true,,false,keep,no_change_in_schema_task,Classified from current physical corpus.
floor_use_support_for_transfer,legacy_safety_or_setup,legacy_only,true,,false,keep,no_change_in_schema_task,Classified from current physical corpus.
framing-ready,legacy_shared_or_current_manifest,legacy_only,true,,false,keep,no_change_in_schema_task,Classified from current physical corpus.
global_breathe_normally,legacy_safety_or_setup,legacy_only,true,,false,keep,no_change_in_schema_task,Classified from current physical corpus.
global_clear_space,legacy_safety_or_setup,legacy_only,true,,false,keep,no_change_in_schema_task,Classified from current physical corpus.
global_pause_if_tracking_lost,legacy_safety_or_setup,legacy_only,true,,false,keep,no_change_in_schema_task,Classified from current physical corpus.
global_stop_dizzy_or_lightheaded,legacy_safety_or_setup,legacy_only,true,,false,keep,no_change_in_schema_task,Classified from current physical corpus.
global_stop_if_support_moves,legacy_safety_or_setup,legacy_only,true,,false,keep,no_change_in_schema_task,Classified from current physical corpus.
global_stop_sharp_or_increasing_pain,legacy_safety_or_setup,legacy_only,true,,false,keep,no_change_in_schema_task,Classified from current physical corpus.
go,balance_v2;micro_check;training,physical_ready,true,,false,keep,no_change_in_schema_task,Classified from current physical corpus.
hinge-intro,legacy_shared_or_current_manifest,legacy_only,true,,false,keep,no_change_in_schema_task,Classified from current physical corpus.
hinge-setup,legacy_shared_or_current_manifest,legacy_only,true,,false,keep,no_change_in_schema_task,Classified from current physical corpus.
hold-still,training,script_mismatch_candidate,true,,false,keep,no_change_in_schema_task,Candidate for setup-hold-still-v21 but not semantically reusable.
item-complete,legacy_shared_or_current_manifest,legacy_only,true,,false,keep,no_change_in_schema_task,Classified from current physical corpus.
item-complete-v21,movement_checkup;training;balance_v2,physical_ready,true,,false,keep,no_change_in_schema_task,Candidate for checkup-balance-next-stance-v21 but not semantically reusable.
last-set,training,script_mismatch_candidate,true,,false,keep,no_change_in_schema_task,Candidate for last-set-v21 but not semantically reusable.
microcheck-balance,micro_check;micro_check,script_mismatch_candidate,true,,false,keep,no_change_in_schema_task,Candidate for micro-single-leg-left-v21;micro-single-leg-right-v21 but not semantically reusable.
microcheck-chair,micro_check,script_mismatch_candidate,true,,false,keep,no_change_in_schema_task,Candidate for micro-chair-power-v21 but not semantically reusable.
microcheck-complete,micro_check,script_mismatch_candidate,true,,false,keep,no_change_in_schema_task,Candidate for microcheck-complete-v21 but not semantically reusable.
microcheck-intro,legacy_micro_check,retired,false,Retired/inactive for Micro-Check V2.1.,true,keep_for_now_no_delete_in_schema_task,no_change_in_schema_task,Classified from current physical corpus.
mobility_no_forcing,legacy_safety_or_setup,legacy_only,true,,false,keep,no_change_in_schema_task,Classified from current physical corpus.
mpv2_balance_attempt_saved,movement_checkup,physical_ready,true,,false,keep,no_change_in_schema_task,Classified from current physical corpus.
mpv2_balance_attempt_start,movement_checkup,physical_ready,true,,false,keep,no_change_in_schema_task,Classified from current physical corpus.
mpv2_balance_complete,balance_v2;movement_checkup,physical_ready,true,,false,keep,no_change_in_schema_task,Classified from current physical corpus.
mpv2_balance_full_hold,movement_checkup,physical_ready,true,,false,keep,no_change_in_schema_task,Classified from current physical corpus.
mpv2_balance_ready_after_30,movement_checkup,physical_ready,true,,false,keep,no_change_in_schema_task,Classified from current physical corpus.
mpv2_balance_ready_after_60,movement_checkup,physical_ready,true,,false,keep,no_change_in_schema_task,Classified from current physical corpus.
mpv2_balance_rest,movement_checkup,physical_ready,true,,false,keep,no_change_in_schema_task,Classified from current physical corpus.
mpv2_balance_tracking_retry,movement_checkup,physical_ready,true,,false,keep,no_change_in_schema_task,Classified from current physical corpus.
mpv2_balance_use_best,movement_checkup,physical_ready,true,,false,keep,no_change_in_schema_task,Classified from current physical corpus.
mpv2_chair_official_ready,movement_checkup,physical_ready,true,,false,keep,no_change_in_schema_task,Classified from current physical corpus.
mpv2_chair_practice_start,movement_checkup,physical_ready,true,,false,keep,no_change_in_schema_task,Classified from current physical corpus.
mpv2_checkup_intro,movement_checkup,physical_ready,true,,false,keep,no_change_in_schema_task,Classified from current physical corpus.
mpv2_hinge_complete,movement_checkup,physical_ready,true,,false,keep,no_change_in_schema_task,Classified from current physical corpus.
mpv2_hinge_no_measurement,movement_checkup,physical_ready,true,,false,keep,no_change_in_schema_task,Classified from current physical corpus.
mpv2_shoulder_tracking_retry,movement_checkup,physical_ready,true,,false,keep,no_change_in_schema_task,Classified from current physical corpus.
next-exercise,legacy_shared_or_current_manifest,legacy_only,true,,false,keep,no_change_in_schema_task,Classified from current physical corpus.
next-up,training,script_mismatch_candidate,true,,false,keep,no_change_in_schema_task,Candidate for next-exercise-v21 but not semantically reusable.
no-reps,legacy_shared_or_current_manifest,legacy_only,true,,false,keep,no_change_in_schema_task,Classified from current physical corpus.
num-0,legacy_results_number_stitching,legacy_only,true,,false,keep,no_change_in_schema_task,Classified from current physical corpus.
num-1,legacy_results_number_stitching,legacy_only,true,,false,keep,no_change_in_schema_task,Classified from current physical corpus.
num-10,legacy_results_number_stitching,legacy_only,true,,false,keep,no_change_in_schema_task,Classified from current physical corpus.
num-11,legacy_results_number_stitching,legacy_only,true,,false,keep,no_change_in_schema_task,Classified from current physical corpus.
num-12,legacy_results_number_stitching,legacy_only,true,,false,keep,no_change_in_schema_task,Classified from current physical corpus.
num-13,legacy_results_number_stitching,legacy_only,true,,false,keep,no_change_in_schema_task,Classified from current physical corpus.
num-14,legacy_results_number_stitching,legacy_only,true,,false,keep,no_change_in_schema_task,Classified from current physical corpus.
num-15,legacy_results_number_stitching,legacy_only,true,,false,keep,no_change_in_schema_task,Classified from current physical corpus.
num-16,legacy_results_number_stitching,legacy_only,true,,false,keep,no_change_in_schema_task,Classified from current physical corpus.
num-17,legacy_results_number_stitching,legacy_only,true,,false,keep,no_change_in_schema_task,Classified from current physical corpus.
num-18,legacy_results_number_stitching,legacy_only,true,,false,keep,no_change_in_schema_task,Classified from current physical corpus.
num-19,legacy_results_number_stitching,legacy_only,true,,false,keep,no_change_in_schema_task,Classified from current physical corpus.
num-2,legacy_results_number_stitching,legacy_only,true,,false,keep,no_change_in_schema_task,Classified from current physical corpus.
num-20,legacy_results_number_stitching,legacy_only,true,,false,keep,no_change_in_schema_task,Classified from current physical corpus.
num-21,legacy_results_number_stitching,legacy_only,true,,false,keep,no_change_in_schema_task,Classified from current physical corpus.
num-22,legacy_results_number_stitching,legacy_only,true,,false,keep,no_change_in_schema_task,Classified from current physical corpus.
num-23,legacy_results_number_stitching,legacy_only,true,,false,keep,no_change_in_schema_task,Classified from current physical corpus.
num-24,legacy_results_number_stitching,legacy_only,true,,false,keep,no_change_in_schema_task,Classified from current physical corpus.
num-25,legacy_results_number_stitching,legacy_only,true,,false,keep,no_change_in_schema_task,Classified from current physical corpus.
num-26,legacy_results_number_stitching,legacy_only,true,,false,keep,no_change_in_schema_task,Classified from current physical corpus.
num-27,legacy_results_number_stitching,legacy_only,true,,false,keep,no_change_in_schema_task,Classified from current physical corpus.
num-28,legacy_results_number_stitching,legacy_only,true,,false,keep,no_change_in_schema_task,Classified from current physical corpus.
num-29,legacy_results_number_stitching,legacy_only,true,,false,keep,no_change_in_schema_task,Classified from current physical corpus.
num-3,legacy_results_number_stitching,legacy_only,true,,false,keep,no_change_in_schema_task,Classified from current physical corpus.
num-30,legacy_results_number_stitching,legacy_only,true,,false,keep,no_change_in_schema_task,Classified from current physical corpus.
num-31,legacy_results_number_stitching,legacy_only,true,,false,keep,no_change_in_schema_task,Classified from current physical corpus.
num-32,legacy_results_number_stitching,legacy_only,true,,false,keep,no_change_in_schema_task,Classified from current physical corpus.
num-33,legacy_results_number_stitching,legacy_only,true,,false,keep,no_change_in_schema_task,Classified from current physical corpus.
num-34,legacy_results_number_stitching,legacy_only,true,,false,keep,no_change_in_schema_task,Classified from current physical corpus.
num-35,legacy_results_number_stitching,legacy_only,true,,false,keep,no_change_in_schema_task,Classified from current physical corpus.
num-36,legacy_results_number_stitching,legacy_only,true,,false,keep,no_change_in_schema_task,Classified from current physical corpus.
num-37,legacy_results_number_stitching,legacy_only,true,,false,keep,no_change_in_schema_task,Classified from current physical corpus.
num-38,legacy_results_number_stitching,legacy_only,true,,false,keep,no_change_in_schema_task,Classified from current physical corpus.
num-39,legacy_results_number_stitching,legacy_only,true,,false,keep,no_change_in_schema_task,Classified from current physical corpus.
num-4,legacy_results_number_stitching,legacy_only,true,,false,keep,no_change_in_schema_task,Classified from current physical corpus.
num-40,legacy_results_number_stitching,legacy_only,true,,false,keep,no_change_in_schema_task,Classified from current physical corpus.
num-5,legacy_results_number_stitching,legacy_only,true,,false,keep,no_change_in_schema_task,Classified from current physical corpus.
num-6,legacy_results_number_stitching,legacy_only,true,,false,keep,no_change_in_schema_task,Classified from current physical corpus.
num-7,legacy_results_number_stitching,legacy_only,true,,false,keep,no_change_in_schema_task,Classified from current physical corpus.
num-8,legacy_results_number_stitching,legacy_only,true,,false,keep,no_change_in_schema_task,Classified from current physical corpus.
num-9,legacy_results_number_stitching,legacy_only,true,,false,keep,no_change_in_schema_task,Classified from current physical corpus.
open-your-eyes,conditional_legacy_balance,conditional_legacy_only,true,Eyes-closed balance is absent from default Balance V2.,false,keep,no_change_in_schema_task,Classified from current physical corpus.
relax-arm,micro_check,script_mismatch_candidate,true,,false,keep,no_change_in_schema_task,Candidate for micro-relax-v21 but not semantically reusable.
rest-now,training,script_mismatch_candidate,true,,false,keep,no_change_in_schema_task,Candidate for rest-now-v21 but not semantically reusable.
retry-v21,balance_v2;micro_check;movement_checkup;training,physical_ready,true,,false,keep,no_change_in_schema_task,Classified from current physical corpus.
session-complete,training,script_mismatch_candidate,true,,false,keep,no_change_in_schema_task,Candidate for session-complete-v21 but not semantically reusable.
set-done,training,script_mismatch_candidate,true,,false,keep,no_change_in_schema_task,Candidate for set-complete-v21 but not semantically reusable.
set-plan-four-v21,none,not_required,false,,false,none_no_asset,do_not_add,Set-plan total-set-count setup cues are not part of default V2.1.
set-plan-three-v21,none,not_required,false,,false,none_no_asset,do_not_add,Set-plan total-set-count setup cues are not part of default V2.1.
set-plan-two-v21,none,not_required,false,,false,none_no_asset,do_not_add,Set-plan total-set-count setup cues are not part of default V2.1.
shoulder-intro,legacy_shared_or_current_manifest,legacy_only,true,,false,keep,no_change_in_schema_task,Classified from current physical corpus.
shoulder-setup,legacy_shared_or_current_manifest,legacy_only,true,,false,keep,no_change_in_schema_task,Classified from current physical corpus.
stand-tall,legacy_shared_or_current_manifest,legacy_only,true,,false,keep,no_change_in_schema_task,Classified from current physical corpus.
stands-suffix,legacy_shared_or_current_manifest,legacy_only,true,,false,keep,no_change_in_schema_task,Classified from current physical corpus.
step_clear_dry_area,legacy_safety_or_setup,legacy_only,true,,false,keep,no_change_in_schema_task,Classified from current physical corpus.
step_controlled_return,legacy_safety_or_setup,legacy_only,true,,false,keep,no_change_in_schema_task,Classified from current physical corpus.
step_fixed_support_nearby,legacy_safety_or_setup,legacy_only,true,,false,keep,no_change_in_schema_task,Classified from current physical corpus.
step_phone_out_of_path,legacy_safety_or_setup,legacy_only,true,,false,keep,no_change_in_schema_task,Classified from current physical corpus.
step_stop_if_unstable,legacy_safety_or_setup,legacy_only,true,,false,keep,no_change_in_schema_task,Classified from current physical corpus.
step_use_low_stable_step,legacy_safety_or_setup,legacy_only,true,,false,keep,no_change_in_schema_task,Classified from current physical corpus.
step-back,training,script_mismatch_candidate,true,,false,keep,no_change_in_schema_task,Candidate for setup-back-v21 but not semantically reusable.
step-closer,training,script_mismatch_candidate,true,,false,keep,no_change_in_schema_task,Candidate for setup-closer-v21 but not semantically reusable.
step-into-frame,training,script_mismatch_candidate,true,,false,keep,no_change_in_schema_task,Candidate for setup-enter-view-v21 but not semantically reusable.
support_keep_support_within_reach,training,script_mismatch_candidate,true,,false,keep,no_change_in_schema_task,Candidate for equip-support-close-v21 but not semantically reusable.
support_use_sturdy_support,legacy_safety_or_setup,legacy_only,true,,false,keep,no_change_in_schema_task,Classified from current physical corpus.
thats-your-set,legacy_shared_or_current_manifest,legacy_only,true,,false,keep,no_change_in_schema_task,Classified from current physical corpus.
time-to-retest,legacy_shared_or_current_manifest,legacy_only,true,,false,keep,no_change_in_schema_task,Classified from current physical corpus.
times-up,legacy_shared_or_current_manifest,legacy_only,true,,false,keep,no_change_in_schema_task,Classified from current physical corpus.
times-up-v21,balance_v2;micro_check;movement_checkup;training,physical_ready,true,,false,keep,no_change_in_schema_task,Classified from current physical corpus.
tracking_keep_full_body_in_view,legacy_safety_or_setup,legacy_only,true,,false,keep,no_change_in_schema_task,Classified from current physical corpus.
tracking_move_when_cued,legacy_safety_or_setup,legacy_only,true,,false,keep,no_change_in_schema_task,Classified from current physical corpus.
tracking_no_rush_or_exaggerate,legacy_safety_or_setup,legacy_only,true,,false,keep,no_change_in_schema_task,Classified from current physical corpus.
tracking_pause_and_reset,legacy_safety_or_setup,legacy_only,true,,false,keep,no_change_in_schema_task,Classified from current physical corpus.
tracking-loss-v21,balance_v2;micro_check;movement_checkup;training,physical_ready,true,,false,keep,no_change_in_schema_task,Classified from current physical corpus.
tracking-recovered-v21,balance_v2;micro_check;movement_checkup;training,physical_ready,true,,false,keep,no_change_in_schema_task,Classified from current physical corpus.
training-intro,training,script_mismatch_candidate,true,,false,keep,no_change_in_schema_task,Candidate for training-intro-v21 but not semantically reusable.
tug-intro,conditional_legacy_tug,conditional_legacy_only,true,TUG remains conditional/legacy outside default V2.1.,false,keep,no_change_in_schema_task,Classified from current physical corpus.
tug-setup,conditional_legacy_tug,conditional_legacy_only,true,TUG remains conditional/legacy outside default V2.1.,false,keep,no_change_in_schema_task,Classified from current physical corpus.
turn-on-light,training,script_mismatch_candidate,true,,false,keep,no_change_in_schema_task,Candidate for setup-light-v21 but not semantically reusable.
turn-side-on,legacy_shared_or_current_manifest,legacy_only,true,,false,keep,no_change_in_schema_task,Classified from current physical corpus.
voice-preview,legacy_shared_or_current_manifest,legacy_only,true,,false,keep,no_change_in_schema_task,Classified from current physical corpus.
you-completed,legacy_shared_or_current_manifest,legacy_only,true,,false,keep,no_change_in_schema_task,Classified from current physical corpus.
