assetId,voiceId,cueKey,path,extension,sha256,gitBlobId,fileSizeBytes,durationMs,codec,container,sampleRateHz,channels,bitRate,decodeStatus,gitTrackingStatus,worktreeStatus,lfsStatus,inCurrentManifest,hasCurrentCueDefinition,hasCurrentGenerationSource,hasCurrentRuntimeReference,hasCurrentTestReference,pairedVoicePath,pairedVoiceExists,pairedDurationDeltaMs,pairedSourceScriptEqual,duplicateHashPaths,baselineStatus,v21Status,notes
clara:balance_supported_if_hesitant,clara,balance_supported_if_hesitant,assets/audio/voice/clara/balance_supported_if_hesitant.mp3,mp3,4957538bb1295276f75e15c77c5251e10f05de34982f2795f9d0bf8ff945b5dd,a1918d85b047603a1fa6c81a30b84ae380bb1e4c,38914,2368,mp3,mp3,44100,1,128000,ok,tracked,committed,hydrated_binary,true,true,true,true,false,assets/audio/voice/marcus/balance_supported_if_hesitant.mp3,true,325,true,,unchanged_from_baseline,not_in_v21,prior_duration_row_exists
clara:band_anchor_feet_secure,clara,band_anchor_feet_secure,assets/audio/voice/clara/band_anchor_feet_secure.mp3,mp3,c77a2dea7bff6d7b65b84e83ec8422c6491f0d377d5a4c50398db260b6d71458,d4d417517699d7e713d83e4471d14bad921dcc25,69425,4272,mp3,mp3,44100,1,128000,ok,tracked,committed,hydrated_binary,true,true,true,true,true,assets/audio/voice/marcus/band_anchor_feet_secure.mp3,true,139,true,,unchanged_from_baseline,not_in_v21,prior_duration_row_exists
clara:band_controlled_return,clara,band_controlled_return,assets/audio/voice/clara/band_controlled_return.mp3,mp3,b0c5eb1e6f58bc0aa356741912fb37331daefd89894d7106ae82d5de9658dcc2,d44f6766e7d72d07dd6eae77ae29044d055f8e8e,33062,1997,mp3,mp3,44100,1,128000,ok,tracked,committed,hydrated_binary,true,true,true,true,false,assets/audio/voice/marcus/band_controlled_return.mp3,true,-232,true,,unchanged_from_baseline,not_in_v21,prior_duration_row_exists
clara:band_do_not_overstretch,clara,band_do_not_overstretch,assets/audio/voice/clara/band_do_not_overstretch.mp3,mp3,91618fc67c151ec5bc253462e659692e64dd09c8670ffe5666229d90d5a0bedd,e830460a4878a9a0bd6c98197b729a8775dcc29c,49363,3019,mp3,mp3,44100,1,128000,ok,tracked,committed,hydrated_binary,true,true,true,true,false,assets/audio/voice/marcus/band_do_not_overstretch.mp3,true,-92,true,,unchanged_from_baseline,not_in_v21,prior_duration_row_exists
clara:band_face_and_eyes_clear,clara,band_face_and_eyes_clear,assets/audio/voice/clara/band_face_and_eyes_clear.mp3,mp3,b168e1d9c4c2d0a7a3de340110cebe10965d23f13ff494785fcdb1035d99b020,47b225e244bcd6c0086d4d01e318e80b63cdab93,42675,2601,mp3,mp3,44100,1,128000,ok,tracked,committed,hydrated_binary,true,true,true,true,false,assets/audio/voice/marcus/band_face_and_eyes_clear.mp3,true,279,true,,unchanged_from_baseline,not_in_v21,prior_duration_row_exists
clara:band_inspect_before_use,clara,band_inspect_before_use,assets/audio/voice/clara/band_inspect_before_use.mp3,mp3,733ba5f1482512166226d747ab6fb15f998b71c453277f063200da2adfd31e15,963fec964300e91895f6c6804af8e455a441d0a5,74440,4598,mp3,mp3,44100,1,128000,ok,tracked,committed,hydrated_binary,true,true,true,true,false,assets/audio/voice/marcus/band_inspect_before_use.mp3,true,186,true,,unchanged_from_baseline,not_in_v21,prior_duration_row_exists
clara:band_never_release_under_tension,clara,band_never_release_under_tension,assets/audio/voice/clara/band_never_release_under_tension.mp3,mp3,9ec32c95a55cd35a7b3fdcefd28265c4770a028bb2353d7c5e0c2ff23a0633ea,0de28007fd15b60a0a79b35c4f6517be7a86ab33,31391,1904,mp3,mp3,44100,1,128000,ok,tracked,committed,hydrated_binary,true,true,true,true,false,assets/audio/voice/marcus/band_never_release_under_tension.mp3,true,46,true,,unchanged_from_baseline,not_in_v21,prior_duration_row_exists
clara:band_secure_grip,clara,band_secure_grip,assets/audio/voice/clara/band_secure_grip.mp3,mp3,30ddbe37a17490cdcf51e569e58ced1aa6e8a055d5a29ad34b0d1d590e029085,6606c3e6b30f7e44c8e2dc50081a57a40b5bc70d,45601,2786,mp3,mp3,44100,1,128000,ok,tracked,committed,hydrated_binary,true,true,true,true,false,assets/audio/voice/marcus/band_secure_grip.mp3,true,-47,true,,unchanged_from_baseline,not_in_v21,prior_duration_row_exists
clara:band_stable_stance,clara,band_stable_stance,assets/audio/voice/clara/band_stable_stance.mp3,mp3,64c24f59c01a306c1bdb63560da3c54d13a14789ffb6a4f9a134c4692e7f6b05,88d8dd616a37b70a7475d80c8f9bc225323878a9,51035,3111,mp3,mp3,44100,1,128000,ok,tracked,committed,hydrated_binary,true,true,true,true,true,assets/audio/voice/marcus/band_stable_stance.mp3,true,-233,true,,unchanged_from_baseline,not_in_v21,prior_duration_row_exists
clara:band_stop_if_slips_or_shifts,clara,band_stop_if_slips_or_shifts,assets/audio/voice/clara/band_stop_if_slips_or_shifts.mp3,mp3,c1063f702393f5025c1b08498b1694c5ba376e0dffbec20d20409bbde178be06,de66b4259a3f548976fb9b54e8a122c051b0e691,76948,4737,mp3,mp3,44100,1,128000,ok,tracked,committed,hydrated_binary,true,true,true,true,false,assets/audio/voice/marcus/band_stop_if_slips_or_shifts.mp3,true,-418,true,,unchanged_from_baseline,not_in_v21,prior_duration_row_exists
clara:center-yourself,clara,center-yourself,assets/audio/voice/clara/center-yourself.mp3,mp3,9fd10d6903a554d391273cc44167300c54faffe986f4d124ffe06c9404780073,0c37756bc8bf95eaef0640916c32394299ebed2e,29301,1765,mp3,mp3,44100,1,128000,ok,tracked,committed,hydrated_binary,true,true,true,true,true,assets/audio/voice/marcus/center-yourself.mp3,true,-93,true,,unchanged_from_baseline,not_in_v21,prior_duration_row_exists
clara:chair-stand-intro,clara,chair-stand-intro,assets/audio/voice/clara/chair-stand-intro.mp3,mp3,fdf394bec5c438cc672223e196b4fd40df26bd5059769b904dab61c54e6cb40a,6fe0918fd680fa84606a049336e4bc2cba9b99af,141314,8777,mp3,mp3,44100,1,128000,ok,tracked,committed,hydrated_binary,true,true,true,true,true,assets/audio/voice/marcus/chair-stand-intro.mp3,true,-1068,true,,unchanged_from_baseline,not_in_v21,prior_duration_row_exists
clara:chair-stand-setup,clara,chair-stand-setup,assets/audio/voice/clara/chair-stand-setup.mp3,mp3,5fd87e0011689418ed9225d6a92d26653cd59a7212f9f5194361b190803b1c98,87ad6ec54bd6348fd1a68546d77af323e16bc0dd,134208,8313,mp3,mp3,44100,1,128000,ok,tracked,committed,hydrated_binary,true,true,true,true,true,assets/audio/voice/marcus/chair-stand-setup.mp3,true,-650,true,,unchanged_from_baseline,not_in_v21,prior_duration_row_exists
clara:chair_controlled_sit,clara,chair_controlled_sit,assets/audio/voice/clara/chair_controlled_sit.mp3,mp3,b6020dabb3b65252e09e3561bda12ac084cbcbc774567f0d76a5def027eeed00,c329947236462aa11717e8186cdb266092361dc0,44347,2694,mp3,mp3,44100,1,128000,ok,tracked,committed,hydrated_binary,true,true,true,true,false,assets/audio/voice/marcus/chair_controlled_sit.mp3,true,-232,true,,unchanged_from_baseline,not_in_v21,prior_duration_row_exists
clara:chair_use_sturdy_chair,clara,chair_use_sturdy_chair,assets/audio/voice/clara/chair_use_sturdy_chair.mp3,mp3,bb87efb185f8f725ae374433351763be3b1efe69779f0ed085ba16f833ccb517,cdbea927d8f6506e18fb9ea2e1d7846ea84128c5,42675,2601,mp3,mp3,44100,1,128000,ok,tracked,committed,hydrated_binary,true,true,true,true,true,assets/audio/voice/marcus/chair_use_sturdy_chair.mp3,true,-232,true,,unchanged_from_baseline,not_in_v21,prior_duration_row_exists
clara:checkup-balance-intro-v21,clara,checkup-balance-intro-v21,assets/audio/voice/clara/checkup-balance-intro-v21.mp3,mp3,ad53bf6a0e36c2a3f7506f4990ba5ef75b2c96628db45a50d3265d9f19a42794,,66499,4087,mp3,mp3,44100,1,128000,ok,untracked,??,hydrated_binary,true,true,true,true,false,assets/audio/voice/marcus/checkup-balance-intro-v21.mp3,true,-557,true,,added_since_baseline,v21_exact_key_exact_script,no_prior_duration_row; current_worktree_addition
clara:checkup-balance-single-leg-v21,clara,checkup-balance-single-leg-v21,assets/audio/voice/clara/checkup-balance-single-leg-v21.mp3,mp3,3cbdb9004e6957bf32d5ce78912c3d4e04c40ac800fdd9391eaf6e4f04e4a944,,71097,4365,mp3,mp3,44100,1,128000,ok,untracked,??,hydrated_binary,true,true,true,true,false,assets/audio/voice/marcus/checkup-balance-single-leg-v21.mp3,true,-47,true,,added_since_baseline,v21_exact_key_exact_script,no_prior_duration_row; current_worktree_addition
clara:checkup-chair-stand-intro-v21,clara,checkup-chair-stand-intro-v21,assets/audio/voice/clara/checkup-chair-stand-intro-v21.mp3,mp3,756c95a3578d4ba4c191b40c89b6893828694c842ed94b4a09395402c42c2419,,71097,4365,mp3,mp3,44100,1,128000,ok,untracked,??,hydrated_binary,true,true,true,true,true,assets/audio/voice/marcus/checkup-chair-stand-intro-v21.mp3,true,-186,true,,added_since_baseline,v21_exact_key_exact_script,no_prior_duration_row; current_worktree_addition
clara:checkup-chair-stand-setup-v21,clara,checkup-chair-stand-setup-v21,assets/audio/voice/clara/checkup-chair-stand-setup-v21.mp3,mp3,a91387e3639d88347ec811d7822bf6569873cc8bd9c94a622eec87f99cd8bfe8,,78202,4830,mp3,mp3,44100,1,128000,ok,untracked,??,hydrated_binary,true,true,true,true,true,assets/audio/voice/marcus/checkup-chair-stand-setup-v21.mp3,true,-93,true,,added_since_baseline,v21_exact_key_exact_script,no_prior_duration_row; current_worktree_addition
clara:checkup-complete-v21,clara,checkup-complete-v21,assets/audio/voice/clara/checkup-complete-v21.mp3,mp3,bdc357e2084139df6d329e47ed6f5f7689e0e8cd4edfec184c753da182c4f9a7,,37660,2276,mp3,mp3,44100,1,128000,ok,untracked,??,hydrated_binary,true,true,true,true,true,assets/audio/voice/marcus/checkup-complete-v21.mp3,true,-185,true,,added_since_baseline,v21_exact_key_exact_script,no_prior_duration_row; current_worktree_addition
clara:checkup-complete,clara,checkup-complete,assets/audio/voice/clara/checkup-complete.mp3,mp3,f3593b3a4f6c54ac19d2aaf7cb466253bef20f46490cf4a1df573477abd934ec,d86214d4591cf7cb637ea7aab1772ff546f9cc58,77784,4783,mp3,mp3,44100,1,128000,ok,tracked,committed,hydrated_binary,true,true,true,true,true,assets/audio/voice/marcus/checkup-complete.mp3,true,464,true,,unchanged_from_baseline,not_in_v21,prior_duration_row_exists
clara:checkup-hinge-setup-v21,clara,checkup-hinge-setup-v21,assets/audio/voice/clara/checkup-hinge-setup-v21.mp3,mp3,4b990638a6ebed8e18589fc9f383c088e36b95abab7d260275b5930bd2d8c16a,,84889,5248,mp3,mp3,44100,1,128000,ok,untracked,??,hydrated_binary,true,true,true,true,true,assets/audio/voice/marcus/checkup-hinge-setup-v21.mp3,true,372,true,,added_since_baseline,v21_exact_key_exact_script,no_prior_duration_row; current_worktree_addition
clara:checkup-intro,clara,checkup-intro,assets/audio/voice/clara/checkup-intro.mp3,mp3,f1e7cde58f7f95366611ceff9d50bef72b6240fe9502f01d8e6de07c715456ae,6b7bd7a32d6e0bb30c5939e102821b6f5ca9a747,152599,9474,mp3,mp3,44100,1,128000,ok,tracked,committed,hydrated_binary,true,true,true,true,true,assets/audio/voice/marcus/checkup-intro.mp3,true,140,true,,unchanged_from_baseline,not_in_v21,prior_duration_row_exists
clara:checkup-shoulder-raise-left-v21,clara,checkup-shoulder-raise-left-v21,assets/audio/voice/clara/checkup-shoulder-raise-left-v21.mp3,mp3,ffb31b872da861eb1403e1de9a3991aed106e9315b77acb2fd43565e763c46cc,,75276,4644,mp3,mp3,44100,1,128000,ok,untracked,??,hydrated_binary,true,true,true,true,true,assets/audio/voice/marcus/checkup-shoulder-raise-left-v21.mp3,true,-93,true,,added_since_baseline,v21_exact_key_exact_script,no_prior_duration_row; current_worktree_addition
clara:checkup-shoulder-raise-right-v21,clara,checkup-shoulder-raise-right-v21,assets/audio/voice/clara/checkup-shoulder-raise-right-v21.mp3,mp3,b1d43a10eb822dcfb180d9f77baebc19483dd722b950bc0171ccf67030b7229e,,79038,4876,mp3,mp3,44100,1,128000,ok,untracked,??,hydrated_binary,true,true,true,true,false,assets/audio/voice/marcus/checkup-shoulder-raise-right-v21.mp3,true,882,true,,added_since_baseline,v21_exact_key_exact_script,no_prior_duration_row; current_worktree_addition
clara:checkup-shoulder-turn-left-v21,clara,checkup-shoulder-turn-left-v21,assets/audio/voice/clara/checkup-shoulder-turn-left-v21.mp3,mp3,bdb9efaa37c0eb29c65635152cf3ad07e46f7b06f7c35b8481a2f730d30254be,,36824,2229,mp3,mp3,44100,1,128000,ok,untracked,??,hydrated_binary,true,true,true,true,true,assets/audio/voice/marcus/checkup-shoulder-turn-left-v21.mp3,true,-186,true,,added_since_baseline,v21_exact_key_exact_script,no_prior_duration_row; current_worktree_addition
clara:checkup-shoulder-turn-right-v21,clara,checkup-shoulder-turn-right-v21,assets/audio/voice/clara/checkup-shoulder-turn-right-v21.mp3,mp3,67cd18e603c1af00b22885ce7bfe4ee29fc83e58b209bb766316ecfe1d008ef0,,38078,2322,mp3,mp3,44100,1,128000,ok,untracked,??,hydrated_binary,true,true,true,true,false,assets/audio/voice/marcus/checkup-shoulder-turn-right-v21.mp3,true,93,true,,added_since_baseline,v21_exact_key_exact_script,no_prior_duration_row; current_worktree_addition
clara:close-your-eyes,clara,close-your-eyes,assets/audio/voice/clara/close-your-eyes.mp3,mp3,91a06cb6992d42f53a43ea6a8350d0e47c11624b887d9a91d18890b366fe0cd8,4ecc6386ac18f1a70e3ff95751e56ebee5e8d33a,37660,2276,mp3,mp3,44100,1,128000,ok,tracked,committed,hydrated_binary,true,true,true,true,true,assets/audio/voice/marcus/close-your-eyes.mp3,true,0,true,,unchanged_from_baseline,v21_exact_key_exact_script,prior_duration_row_exists
clara:comfortable_range_only,clara,comfortable_range_only,assets/audio/voice/clara/comfortable_range_only.mp3,mp3,af4bca40d2900b20caa483d426f75c0c92dbbe5588815502df8e519c6be24271,f57c1c0ea92f6ae507580457b3a483ecef5591e7,34316,2090,mp3,mp3,44100,1,128000,ok,tracked,committed,hydrated_binary,true,true,true,true,true,assets/audio/voice/marcus/comfortable_range_only.mp3,true,232,true,,unchanged_from_baseline,not_in_v21,prior_duration_row_exists
clara:cooldown-now,clara,cooldown-now,assets/audio/voice/clara/cooldown-now.mp3,mp3,caf057ed32a30cde31a332d087bb02cac489ea590b24108f03343c2c4c6ad5b1,da4ba56e759626732348c8c819f884b997fe62a2,37660,2276,mp3,mp3,44100,1,128000,ok,tracked,committed,hydrated_binary,true,true,true,true,false,assets/audio/voice/marcus/cooldown-now.mp3,true,-185,true,,unchanged_from_baseline,not_in_v21,prior_duration_row_exists
clara:countdown-one,clara,countdown-one,assets/audio/voice/clara/countdown-one.mp3,mp3,026566e345fba6d28e37000217f8030f0446d6181f0dd60faace5698d510bc6a,23f550a6ae965bffa9899c3fd9134a8fff839ff0,9239,511,mp3,mp3,44100,1,128000,ok,tracked,committed,hydrated_binary,true,true,true,true,true,assets/audio/voice/marcus/countdown-one.mp3,true,0,true,,unchanged_from_baseline,v21_exact_key_exact_script,prior_duration_row_exists
clara:countdown-three,clara,countdown-three,assets/audio/voice/clara/countdown-three.mp3,mp3,19f140f8b44e00bd355c7fb31410009e1308496e4ffa40eaf750e1d2de0256f8,2586fbc99eb1c6fac103b721b511401dc3f6cea6,12164,697,mp3,mp3,44100,1,128000,ok,tracked,committed,hydrated_binary,true,true,true,true,true,assets/audio/voice/marcus/countdown-three.mp3,true,47,true,,unchanged_from_baseline,v21_exact_key_exact_script,prior_duration_row_exists
clara:countdown-two,clara,countdown-two,assets/audio/voice/clara/countdown-two.mp3,mp3,4fe3512a288f82086c0a8a19db922aa1911d00b39d61364181ced30ae62938b0,bc408fdeb2198a1ea8072872bcd1829fc28939a3,10911,604,mp3,mp3,44100,1,128000,ok,tracked,committed,hydrated_binary,true,true,true,true,true,assets/audio/voice/marcus/countdown-two.mp3,true,-46,true,,unchanged_from_baseline,v21_exact_key_exact_script,prior_duration_row_exists
clara:door_anchor_follow_manufacturer_setup,clara,door_anchor_follow_manufacturer_setup,assets/audio/voice/clara/door_anchor_follow_manufacturer_setup.mp3,mp3,55beb2b7acda93ce3f5192b82bb6ba0234541f6c83e2a9ce86cc6aaab76f985c,b322bee098c38697ee44fb8d949a578ff7144a2d,62737,3855,mp3,mp3,44100,1,128000,ok,tracked,committed,hydrated_binary,true,true,true,true,false,assets/audio/voice/marcus/door_anchor_follow_manufacturer_setup.mp3,true,604,true,,unchanged_from_baseline,not_in_v21,prior_duration_row_exists
clara:door_anchor_fully_closed,clara,door_anchor_fully_closed,assets/audio/voice/clara/door_anchor_fully_closed.mp3,mp3,2a24981ec58fc55cb09b099e4b6b01bcaee53b8e5c6e390297fa57961db23f58,25a009b23ba30d48e0c1fe665082061a0dbdaf1d,53960,3297,mp3,mp3,44100,1,128000,ok,tracked,committed,hydrated_binary,true,true,true,true,true,assets/audio/voice/marcus/door_anchor_fully_closed.mp3,true,511,true,,unchanged_from_baseline,not_in_v21,prior_duration_row_exists
clara:door_anchor_stay_out_of_door_path,clara,door_anchor_stay_out_of_door_path,assets/audio/voice/clara/door_anchor_stay_out_of_door_path.mp3,mp3,79e7083141fa51a01abe43594abc9103474007a13b1a7323149a8134682cdae9,1f6fb1d97424a6395d2e62eed20ed3fc8b4b9a05,54378,3344,mp3,mp3,44100,1,128000,ok,tracked,committed,hydrated_binary,true,true,true,true,false,assets/audio/voice/marcus/door_anchor_stay_out_of_door_path.mp3,true,-46,true,,unchanged_from_baseline,not_in_v21,prior_duration_row_exists
clara:door_anchor_stop_if_moves,clara,door_anchor_stop_if_moves,assets/audio/voice/clara/door_anchor_stop_if_moves.mp3,mp3,985c81f16b146e3059c2460fe5211c34443cae86519468c37193d8074878ea4f,c6a7d5af99bf5f00fd2c434364a99182b827ec20,74440,4598,mp3,mp3,44100,1,128000,ok,tracked,committed,hydrated_binary,true,true,true,true,false,assets/audio/voice/marcus/door_anchor_stop_if_moves.mp3,true,743,true,,unchanged_from_baseline,not_in_v21,prior_duration_row_exists
clara:door_anchor_test_light_tension,clara,door_anchor_test_light_tension,assets/audio/voice/clara/door_anchor_test_light_tension.mp3,mp3,11317b9f5b9e24f78b4cb5be84af6118f438d2d8385c3c33481dc08610bc3ab1,8854cdceb0ba921a62a597d2c1429805a7abb70c,53960,3297,mp3,mp3,44100,1,128000,ok,tracked,committed,hydrated_binary,true,true,true,true,false,assets/audio/voice/marcus/door_anchor_test_light_tension.mp3,true,46,true,,unchanged_from_baseline,not_in_v21,prior_duration_row_exists
clara:ex-balance,clara,ex-balance,assets/audio/voice/clara/ex-balance.mp3,mp3,ee35eccea10ba3e5b0dda7ab3d2ca88590640a309777237dd017ed5d68add480,ddd1362c1ccdbc19a2ae4698e7ad6718624cbe24,119998,7430,mp3,mp3,44100,1,128000,ok,tracked,committed,hydrated_binary,true,true,true,true,false,assets/audio/voice/marcus/ex-balance.mp3,true,882,true,,unchanged_from_baseline,not_in_v21,prior_duration_row_exists
clara:ex-glute-bridge,clara,ex-glute-bridge,assets/audio/voice/clara/ex-glute-bridge.mp3,mp3,86424aba91e946aebb9876446b40b1b9d50c23156e2af9bd76c311a09a21722a,346f7f5b2cec704f1bbf5d178ca02af01d9c7552,126685,7848,mp3,mp3,44100,1,128000,ok,tracked,committed,hydrated_binary,true,true,true,true,false,assets/audio/voice/marcus/ex-glute-bridge.mp3,true,-418,true,,unchanged_from_baseline,not_in_v21,prior_duration_row_exists
clara:ex-hamstring-reach,clara,ex-hamstring-reach,assets/audio/voice/clara/ex-hamstring-reach.mp3,mp3,c4ec2af571002d541e5a2221da466d687b6cd975e06967757cdbef89fd8e516e,8538547b0a11b68d6ddc58fafcfd3a0bb4845210,167645,10403,mp3,mp3,44100,1,128000,ok,tracked,committed,hydrated_binary,true,true,true,true,false,assets/audio/voice/marcus/ex-hamstring-reach.mp3,true,1579,true,,unchanged_from_baseline,not_in_v21,prior_duration_row_exists
clara:ex-heel-raise,clara,ex-heel-raise,assets/audio/voice/clara/ex-heel-raise.mp3,mp3,ad5a42e0f8ff33a12442c06dcb9d5f9c793b872009ba301964bed5748658610a,8771930859a61e2e2f388bfe0c658bacd318d14d,142986,8870,mp3,mp3,44100,1,128000,ok,tracked,committed,hydrated_binary,true,true,true,true,false,assets/audio/voice/marcus/ex-heel-raise.mp3,true,1207,true,,unchanged_from_baseline,not_in_v21,prior_duration_row_exists
clara:ex-hip-hinge,clara,ex-hip-hinge,assets/audio/voice/clara/ex-hip-hinge.mp3,mp3,d6c09141e8654671a8da496705684e49640567fb692bd1e1efe8e3150cd3d018,ef9679385a261695a026dc6e8caa39ccb03aa6f8,146747,9102,mp3,mp3,44100,1,128000,ok,tracked,committed,hydrated_binary,true,true,true,true,false,assets/audio/voice/marcus/ex-hip-hinge.mp3,true,-929,true,,unchanged_from_baseline,not_in_v21,prior_duration_row_exists
clara:ex-march,clara,ex-march,assets/audio/voice/clara/ex-march.mp3,mp3,8da55a40612f11ff83532a6c98e84a3450bfd987d1c1f86982484a1c85ad049d,588328e9c0c132c69084cca746ebd69306dedbc2,115400,7152,mp3,mp3,44100,1,128000,ok,tracked,committed,hydrated_binary,true,true,true,true,false,assets/audio/voice/marcus/ex-march.mp3,true,836,true,,unchanged_from_baseline,not_in_v21,prior_duration_row_exists
clara:ex-neck-rotation,clara,ex-neck-rotation,assets/audio/voice/clara/ex-neck-rotation.mp3,mp3,98934a3c143b5c16d7acd41654e71ead107bf04fc041be2f05ddcac42321f160,83de1520be997940107a6b17dbc4af3e9a19d0a4,117908,7291,mp3,mp3,44100,1,128000,ok,tracked,committed,hydrated_binary,true,true,true,true,false,assets/audio/voice/marcus/ex-neck-rotation.mp3,true,-325,true,,unchanged_from_baseline,not_in_v21,prior_duration_row_exists
clara:ex-overhead,clara,ex-overhead,assets/audio/voice/clara/ex-overhead.mp3,mp3,05b9df734261ee8d7e28f4d5b00d68615d8288a2ffe07972b332df5b838fb26f,c7e65de0ec6778e338fb4d8dc0edecf4b5fce047,97846,6037,mp3,mp3,44100,1,128000,ok,tracked,committed,hydrated_binary,true,true,true,true,false,assets/audio/voice/marcus/ex-overhead.mp3,true,46,true,,unchanged_from_baseline,not_in_v21,prior_duration_row_exists
