logicalCueKey,exactScript,category,policyId,exerciseIds,usageRole,sideVariant,currentCandidateKey,currentCandidateScript,claraExists,marcusExists,semanticMatch,reuseDecision,generationRequiredLater,requiredForVoiceFirst,budgetClass,implementationBlockers,notes
ex-sts-slow-eccentric-first-v21,"Slow-lower sit-to-stand. Stand fully, then lower slowly and steadily before the next rep.",exercise_first_use,instruction,sts-slow-eccentric,first_use,,,,false,false,false,new_pair_required,true,true,ordinary_first_use_pre_countdown,IR-VOICE-SAFETY-SUBSUMPTION,No current physical pair exists for this logical Training Voice V2.1 cue.
ex-sts-slow-eccentric-next-v21,Slow-lower sit-to-stand.,exercise_later_set,instruction,sts-slow-eccentric,later_set,,,,false,false,false,new_pair_required,true,true,later_set_reminder,IR-VOICE-SAFETY-SUBSUMPTION,No current physical pair exists for this logical Training Voice V2.1 cue.
ex-sts-standard-first-v21,"Sit-to-stand. Sit tall in the middle of the chair, feet flat. Stand fully, then sit with control.",exercise_first_use,instruction,sts-standard,first_use,,,,false,false,false,new_pair_required,true,true,ordinary_first_use_pre_countdown,IR-VOICE-SAFETY-SUBSUMPTION,No current physical pair exists for this logical Training Voice V2.1 cue.
ex-sts-standard-next-v21,Sit-to-stand.,exercise_later_set,instruction,sts-standard,later_set,,,,false,false,false,new_pair_required,true,true,later_set_reminder,IR-VOICE-SAFETY-SUBSUMPTION,No current physical pair exists for this logical Training Voice V2.1 cue.
ex-supported-hip-flexor-stretch-first-v21,Supported hip-flexor stretch. Keep fingertips near support.,exercise_first_use,instruction,supported-hip-flexor-stretch,first_use,,,,false,false,false,new_pair_required,true,true,ordinary_first_use_pre_countdown,IR-VOICE-DOSE-CONVERSION;IR-VOICE-ROUND-STATE;IR-VOICE-SAFETY-SUBSUMPTION,No current physical pair exists for this logical Training Voice V2.1 cue.
ex-supported-hip-flexor-stretch-next-v21,Supported hip-flexor stretch.,exercise_later_set,instruction,supported-hip-flexor-stretch,later_set,,,,false,false,false,new_pair_required,true,true,later_set_reminder,IR-VOICE-DOSE-CONVERSION;IR-VOICE-ROUND-STATE;IR-VOICE-SAFETY-SUBSUMPTION,No current physical pair exists for this logical Training Voice V2.1 cue.
ex-supported-side-step-first-v21,"Supported side step. Stand near a counter. Step to the side, bring the other foot in, and continue with control.",exercise_first_use,instruction,supported-side-step,first_use,,,,false,false,false,new_pair_required,true,true,ordinary_first_use_pre_countdown,IR-VOICE-SAFETY-SUBSUMPTION,No current physical pair exists for this logical Training Voice V2.1 cue.
ex-supported-side-step-next-v21,Supported side step.,exercise_later_set,instruction,supported-side-step,later_set,,,,false,false,false,new_pair_required,true,true,later_set_reminder,IR-VOICE-SAFETY-SUBSUMPTION,No current physical pair exists for this logical Training Voice V2.1 cue.
ex-thoracic-rotation-first-v21,"Thoracic rotation. Sit or stand tall with arms crossed. Rotate one way, return to center, then rotate the other way.",exercise_first_use,instruction,thoracic-rotation,first_use,,,,false,false,false,new_pair_required,true,true,ordinary_first_use_pre_countdown,,No current physical pair exists for this logical Training Voice V2.1 cue.
ex-thoracic-rotation-next-v21,Thoracic rotation.,exercise_later_set,instruction,thoracic-rotation,later_set,,,,false,false,false,new_pair_required,true,true,later_set_reminder,,No current physical pair exists for this logical Training Voice V2.1 cue.
ex-toe-raise-supported-first-v21,"Supported toe raise. Keep heels down, lift the front of your feet, then lower slowly.",exercise_first_use,instruction,toe-raise-supported,first_use,,,,false,false,false,new_pair_required,true,true,ordinary_first_use_pre_countdown,IR-VOICE-SAFETY-SUBSUMPTION,No current physical pair exists for this logical Training Voice V2.1 cue.
ex-toe-raise-supported-next-v21,Supported toe raise.,exercise_later_set,instruction,toe-raise-supported,later_set,,,,false,false,false,new_pair_required,true,true,later_set_reminder,IR-VOICE-SAFETY-SUBSUMPTION,No current physical pair exists for this logical Training Voice V2.1 cue.
ex-wall-calf-stretch-first-v21,Wall calf stretch. Hands on the wall.,exercise_first_use,instruction,wall-calf-stretch,first_use,,,,false,false,false,new_pair_required,true,true,ordinary_first_use_pre_countdown,IR-VOICE-DOSE-CONVERSION;IR-VOICE-ROUND-STATE;IR-VOICE-SAFETY-SUBSUMPTION,No current physical pair exists for this logical Training Voice V2.1 cue.
ex-wall-calf-stretch-next-v21,Wall calf stretch.,exercise_later_set,instruction,wall-calf-stretch,later_set,,,,false,false,false,new_pair_required,true,true,later_set_reminder,IR-VOICE-DOSE-CONVERSION;IR-VOICE-ROUND-STATE;IR-VOICE-SAFETY-SUBSUMPTION,No current physical pair exists for this logical Training Voice V2.1 cue.
final-position-set-v21,You're set.,final_position,setup_recovery,balance-feet-together-hold;balance-single-leg-hold;balance-tandem-hold;band-pull-apart;chair-supported-split-squat;glute-bridge-hold;glute-bridge-reps;heel-raise-free;heel-raise-supported;hip-hinge-free;hip-hinge-wall;loaded-march;loaded-sit-to-stand;mini-band-lateral-walk;neck-rotation;overhead-press-band;overhead-reach;push-up-incline;push-up-standard;push-up-wall;seated-band-row;seated-hamstring-reach;session;squat-free;squat-loaded;squat-slow-eccentric;squat-supported;standing-band-row;step-up;sts-cushion;sts-power;sts-slow-eccentric;sts-standard;supported-hip-flexor-stretch;supported-side-step;thoracic-rotation;toe-raise-supported;wall-calf-stretch,final_position;shared,,final-position-set-v21,You're set.,true,true,true,reuse_exact_existing_pair,false,true,shared,IR-VOICE-DOSE-CONVERSION;IR-VOICE-FINAL-POSITION-READINESS;IR-VOICE-FLOOR-GATE;IR-VOICE-ROUND-STATE;IR-VOICE-SAFETY-SUBSUMPTION;IR-VOICE-STEP-ALTERNATION,Exact Clara/Marcus pair exists in the current physical manifest.
five-seconds-left-v21,Five seconds left.,progress,low_reassurance,balance-feet-together-hold;balance-single-leg-hold;balance-tandem-hold;band-pull-apart;glute-bridge-hold;mini-band-lateral-walk;session;supported-hip-flexor-stretch;supported-side-step;thoracic-rotation;toe-raise-supported;wall-calf-stretch,progress;shared,,,,false,false,false,new_pair_required,true,false,active_progress,IR-VOICE-DOSE-CONVERSION;IR-VOICE-FINAL-POSITION-READINESS;IR-VOICE-FLOOR-GATE;IR-VOICE-ROUND-STATE;IR-VOICE-SAFETY-SUBSUMPTION,No current physical pair exists for this logical Training Voice V2.1 cue.
floor-gate-question-v21,Can you safely get down to the floor and back up without assistance?,equipment_first_use,instruction,session,shared,,,,false,false,false,new_pair_required,true,true,ordinary_first_use_pre_countdown,,No current physical pair exists for this logical Training Voice V2.1 cue.
go,Go!,control,critical_window,session,shared,,go,Go!,true,true,true,reuse_exact_existing_pair,false,true,control_confirmation,,Exact Clara/Marcus pair exists in the current physical manifest.
