logicalCueKey,exactScript,flow,category,policyId,requiredForVoiceFirst,voiceIdsNeeded,currentPhysicalCandidate,reuseDecision,reasonForGeneration,budgetClass,sourceArtifact,notes
checkup-balance-feet-together-v21,Feet together. Keep your eyes open and support within reach.,balance_v2,balance_setup,instruction,true,clara;marcus,balance-feet-together,existing_pair_script_mismatch,current_candidate_script_mismatch,balance_v2_stage_setup,docs/audits/HALE_EYES_OPEN_BALANCE_V2_VOICE_ASSET_REQUIREMENTS.csv;src/movements/balanceEyesOpenV2.ts,Existing generic cue omits eyes-open/support language.
ex-chair-supported-split-squat-first-v21,Supported split squat. Keep fingertips near sturdy support.,training,exercise_first_use,instruction,true,clara;marcus,ex-chair-supported-split-squat-first-v21,new_pair_required,missing_exact_clara_marcus_pair,ordinary_first_use_pre_countdown,src/training/voiceV21/assets.ts;src/training/voiceV21/contracts.ts,No current physical pair exists for this logical Training Voice V2.1 cue.
ex-chair-supported-split-squat-next-v21,Supported split squat.,training,exercise_later_set,instruction,true,clara;marcus,ex-chair-supported-split-squat-next-v21,new_pair_required,missing_exact_clara_marcus_pair,later_set_reminder,src/training/voiceV21/assets.ts;src/training/voiceV21/contracts.ts,No current physical pair exists for this logical Training Voice V2.1 cue.
ex-glute-bridge-hold-first-v21,"Bridge hold. Lie on your back, knees bent, feet flat. Lift your hips and hold.",training,exercise_first_use,instruction,true,clara;marcus,ex-glute-bridge-hold-first-v21,new_pair_required,missing_exact_clara_marcus_pair,ordinary_first_use_pre_countdown,src/training/voiceV21/assets.ts;src/training/voiceV21/contracts.ts,No current physical pair exists for this logical Training Voice V2.1 cue.
ex-glute-bridge-hold-next-v21,Bridge hold.,training,exercise_later_set,instruction,true,clara;marcus,ex-glute-bridge-hold-next-v21,new_pair_required,missing_exact_clara_marcus_pair,later_set_reminder,src/training/voiceV21/assets.ts;src/training/voiceV21/contracts.ts,No current physical pair exists for this logical Training Voice V2.1 cue.
ex-glute-bridge-reps-first-v21,"Glute bridge. Lie on your back, knees bent, feet flat. Lift your hips, then lower with control.",training,exercise_first_use,instruction,true,clara;marcus,ex-glute-bridge-reps-first-v21,new_pair_required,missing_exact_clara_marcus_pair,ordinary_first_use_pre_countdown,src/training/voiceV21/assets.ts;src/training/voiceV21/contracts.ts,No current physical pair exists for this logical Training Voice V2.1 cue.
ex-glute-bridge-reps-next-v21,Glute bridge.,training,exercise_later_set,instruction,true,clara;marcus,ex-glute-bridge-reps-next-v21,new_pair_required,missing_exact_clara_marcus_pair,later_set_reminder,src/training/voiceV21/assets.ts;src/training/voiceV21/contracts.ts,No current physical pair exists for this logical Training Voice V2.1 cue.
ex-heel-raise-free-first-v21,"Heel raise. Stand tall. Rise onto the balls of your feet, then lower slowly.",training,exercise_first_use,instruction,true,clara;marcus,ex-heel-raise-free-first-v21,new_pair_required,missing_exact_clara_marcus_pair,ordinary_first_use_pre_countdown,src/training/voiceV21/assets.ts;src/training/voiceV21/contracts.ts,No current physical pair exists for this logical Training Voice V2.1 cue.
ex-heel-raise-free-next-v21,Heel raise.,training,exercise_later_set,instruction,true,clara;marcus,ex-heel-raise-free-next-v21,new_pair_required,missing_exact_clara_marcus_pair,later_set_reminder,src/training/voiceV21/assets.ts;src/training/voiceV21/contracts.ts,No current physical pair exists for this logical Training Voice V2.1 cue.
ex-heel-raise-supported-first-v21,"Supported heel raise. Fingertips near support. Rise onto the balls of your feet, then lower slowly.",training,exercise_first_use,instruction,true,clara;marcus,ex-heel-raise-supported-first-v21,new_pair_required,missing_exact_clara_marcus_pair,ordinary_first_use_pre_countdown,src/training/voiceV21/assets.ts;src/training/voiceV21/contracts.ts,No current physical pair exists for this logical Training Voice V2.1 cue.
ex-heel-raise-supported-next-v21,Supported heel raise.,training,exercise_later_set,instruction,true,clara;marcus,ex-heel-raise-supported-next-v21,new_pair_required,missing_exact_clara_marcus_pair,later_set_reminder,src/training/voiceV21/assets.ts;src/training/voiceV21/contracts.ts,No current physical pair exists for this logical Training Voice V2.1 cue.
ex-hip-hinge-free-first-v21,"Hip hinge. Feet under hips. Send hips back with a long spine, then stand tall.",training,exercise_first_use,instruction,true,clara;marcus,ex-hip-hinge-free-first-v21,new_pair_required,missing_exact_clara_marcus_pair,ordinary_first_use_pre_countdown,src/training/voiceV21/assets.ts;src/training/voiceV21/contracts.ts,No current physical pair exists for this logical Training Voice V2.1 cue.
ex-hip-hinge-free-next-v21,Hip hinge.,training,exercise_later_set,instruction,true,clara;marcus,ex-hip-hinge-free-next-v21,new_pair_required,missing_exact_clara_marcus_pair,later_set_reminder,src/training/voiceV21/assets.ts;src/training/voiceV21/contracts.ts,No current physical pair exists for this logical Training Voice V2.1 cue.
ex-hip-hinge-wall-first-v21,"Wall-tap hinge. Stand a step from the wall. Send hips back to tap the wall, then stand tall.",training,exercise_first_use,instruction,true,clara;marcus,ex-hip-hinge-wall-first-v21,new_pair_required,missing_exact_clara_marcus_pair,ordinary_first_use_pre_countdown,src/training/voiceV21/assets.ts;src/training/voiceV21/contracts.ts,No current physical pair exists for this logical Training Voice V2.1 cue.
ex-hip-hinge-wall-next-v21,Wall-tap hinge.,training,exercise_later_set,instruction,true,clara;marcus,ex-hip-hinge-wall-next-v21,new_pair_required,missing_exact_clara_marcus_pair,later_set_reminder,src/training/voiceV21/assets.ts;src/training/voiceV21/contracts.ts,No current physical pair exists for this logical Training Voice V2.1 cue.
ex-loaded-march-first-v21,March in place. Stand tall near support and march with a steady rhythm.,training,exercise_first_use,instruction,true,clara;marcus,ex-loaded-march-first-v21,new_pair_required,missing_exact_clara_marcus_pair,ordinary_first_use_pre_countdown,src/training/voiceV21/assets.ts;src/training/voiceV21/contracts.ts,No current physical pair exists for this logical Training Voice V2.1 cue.
ex-loaded-march-next-v21,March in place.,training,exercise_later_set,instruction,true,clara;marcus,ex-loaded-march-next-v21,new_pair_required,missing_exact_clara_marcus_pair,later_set_reminder,src/training/voiceV21/assets.ts;src/training/voiceV21/contracts.ts,No current physical pair exists for this logical Training Voice V2.1 cue.
ex-loaded-sit-to-stand-first-v21,"Loaded sit-to-stand. Hold the load close to your chest. Stand fully, then sit with control.",training,exercise_first_use,instruction,true,clara;marcus,ex-loaded-sit-to-stand-first-v21,new_pair_required,missing_exact_clara_marcus_pair,ordinary_first_use_pre_countdown,src/training/voiceV21/assets.ts;src/training/voiceV21/contracts.ts,No current physical pair exists for this logical Training Voice V2.1 cue.
ex-loaded-sit-to-stand-next-v21,Loaded sit-to-stand.,training,exercise_later_set,instruction,true,clara;marcus,ex-loaded-sit-to-stand-next-v21,new_pair_required,missing_exact_clara_marcus_pair,later_set_reminder,src/training/voiceV21/assets.ts;src/training/voiceV21/contracts.ts,No current physical pair exists for this logical Training Voice V2.1 cue.
ex-mini-band-lateral-walk-first-v21,Mini-band lateral walk. Band above your knees. Take small controlled steps both directions.,training,exercise_first_use,instruction,true,clara;marcus,ex-mini-band-lateral-walk-first-v21,new_pair_required,missing_exact_clara_marcus_pair,ordinary_first_use_pre_countdown,src/training/voiceV21/assets.ts;src/training/voiceV21/contracts.ts,No current physical pair exists for this logical Training Voice V2.1 cue.
ex-mini-band-lateral-walk-next-v21,Mini-band lateral walk.,training,exercise_later_set,instruction,true,clara;marcus,ex-mini-band-lateral-walk-next-v21,new_pair_required,missing_exact_clara_marcus_pair,later_set_reminder,src/training/voiceV21/assets.ts;src/training/voiceV21/contracts.ts,No current physical pair exists for this logical Training Voice V2.1 cue.
ex-neck-rotation-first-v21,"Neck rotations. Face the phone, sit or stand tall, and slowly look over one shoulder, then the other.",training,exercise_first_use,instruction,true,clara;marcus,ex-neck-rotation-first-v21,new_pair_required,missing_exact_clara_marcus_pair,ordinary_first_use_pre_countdown,src/training/voiceV21/assets.ts;src/training/voiceV21/contracts.ts,No current physical pair exists for this logical Training Voice V2.1 cue.
ex-neck-rotation-next-v21,Neck rotations.,training,exercise_later_set,instruction,true,clara;marcus,ex-neck-rotation-next-v21,new_pair_required,missing_exact_clara_marcus_pair,later_set_reminder,src/training/voiceV21/assets.ts;src/training/voiceV21/contracts.ts,No current physical pair exists for this logical Training Voice V2.1 cue.
ex-overhead-press-band-first-v21,"Band overhead press. Stand tall with light band tension. Press overhead, then return slowly.",training,exercise_first_use,instruction,true,clara;marcus,ex-overhead-press-band-first-v21,new_pair_required,missing_exact_clara_marcus_pair,ordinary_first_use_pre_countdown,src/training/voiceV21/assets.ts;src/training/voiceV21/contracts.ts,No current physical pair exists for this logical Training Voice V2.1 cue.
ex-overhead-press-band-next-v21,Band overhead press.,training,exercise_later_set,instruction,true,clara;marcus,ex-overhead-press-band-next-v21,new_pair_required,missing_exact_clara_marcus_pair,later_set_reminder,src/training/voiceV21/assets.ts;src/training/voiceV21/contracts.ts,No current physical pair exists for this logical Training Voice V2.1 cue.
ex-overhead-reach-first-v21,"Overhead reach. Stand tall. Reach both arms overhead as far as comfortable, then lower.",training,exercise_first_use,instruction,true,clara;marcus,ex-overhead-reach-first-v21,new_pair_required,missing_exact_clara_marcus_pair,ordinary_first_use_pre_countdown,src/training/voiceV21/assets.ts;src/training/voiceV21/contracts.ts,No current physical pair exists for this logical Training Voice V2.1 cue.
ex-overhead-reach-next-v21,Overhead reach.,training,exercise_later_set,instruction,true,clara;marcus,ex-overhead-reach-next-v21,new_pair_required,missing_exact_clara_marcus_pair,later_set_reminder,src/training/voiceV21/assets.ts;src/training/voiceV21/contracts.ts,No current physical pair exists for this logical Training Voice V2.1 cue.
ex-push-up-incline-first-v21,"Incline push-up. Hands on a stable counter or sturdy chair. Lower in with control, then press away.",training,exercise_first_use,instruction,true,clara;marcus,ex-push-up-incline-first-v21,new_pair_required,missing_exact_clara_marcus_pair,ordinary_first_use_pre_countdown,src/training/voiceV21/assets.ts;src/training/voiceV21/contracts.ts,No current physical pair exists for this logical Training Voice V2.1 cue.
ex-push-up-incline-next-v21,Incline push-up.,training,exercise_later_set,instruction,true,clara;marcus,ex-push-up-incline-next-v21,new_pair_required,missing_exact_clara_marcus_pair,later_set_reminder,src/training/voiceV21/assets.ts;src/training/voiceV21/contracts.ts,No current physical pair exists for this logical Training Voice V2.1 cue.
ex-push-up-standard-first-v21,"Push-up. Start from the floor position. Lower with control, then press up.",training,exercise_first_use,instruction,true,clara;marcus,ex-push-up-standard-first-v21,new_pair_required,missing_exact_clara_marcus_pair,ordinary_first_use_pre_countdown,src/training/voiceV21/assets.ts;src/training/voiceV21/contracts.ts,No current physical pair exists for this logical Training Voice V2.1 cue.
ex-push-up-standard-next-v21,Push-up.,training,exercise_later_set,instruction,true,clara;marcus,ex-push-up-standard-next-v21,new_pair_required,missing_exact_clara_marcus_pair,later_set_reminder,src/training/voiceV21/assets.ts;src/training/voiceV21/contracts.ts,No current physical pair exists for this logical Training Voice V2.1 cue.
ex-push-up-wall-first-v21,"Wall push-up. Hands on the wall. Lower in with control, then press away.",training,exercise_first_use,instruction,true,clara;marcus,ex-push-up-wall-first-v21,new_pair_required,missing_exact_clara_marcus_pair,ordinary_first_use_pre_countdown,src/training/voiceV21/assets.ts;src/training/voiceV21/contracts.ts,No current physical pair exists for this logical Training Voice V2.1 cue.
ex-push-up-wall-next-v21,Wall push-up.,training,exercise_later_set,instruction,true,clara;marcus,ex-push-up-wall-next-v21,new_pair_required,missing_exact_clara_marcus_pair,later_set_reminder,src/training/voiceV21/assets.ts;src/training/voiceV21/contracts.ts,No current physical pair exists for this logical Training Voice V2.1 cue.
ex-seated-band-row-first-v21,"Seated band row. Sit tall on a sturdy chair with the band anchored under both feet. Pull elbows back, then return slowly.",training,exercise_first_use,instruction,true,clara;marcus,ex-seated-band-row-first-v21,new_pair_required,missing_exact_clara_marcus_pair,ordinary_first_use_pre_countdown,src/training/voiceV21/assets.ts;src/training/voiceV21/contracts.ts,No current physical pair exists for this logical Training Voice V2.1 cue.
ex-seated-band-row-next-v21,Seated band row.,training,exercise_later_set,instruction,true,clara;marcus,ex-seated-band-row-next-v21,new_pair_required,missing_exact_clara_marcus_pair,later_set_reminder,src/training/voiceV21/assets.ts;src/training/voiceV21/contracts.ts,No current physical pair exists for this logical Training Voice V2.1 cue.
ex-seated-hamstring-reach-first-v21,Seated hamstring reach. Sit tall at the chair edge.,training,exercise_first_use,instruction,true,clara;marcus,ex-seated-hamstring-reach-first-v21,new_pair_required,missing_exact_clara_marcus_pair,ordinary_first_use_pre_countdown,src/training/voiceV21/assets.ts;src/training/voiceV21/contracts.ts,No current physical pair exists for this logical Training Voice V2.1 cue.
ex-seated-hamstring-reach-next-v21,Seated hamstring reach.,training,exercise_later_set,instruction,true,clara;marcus,ex-seated-hamstring-reach-next-v21,new_pair_required,missing_exact_clara_marcus_pair,later_set_reminder,src/training/voiceV21/assets.ts;src/training/voiceV21/contracts.ts,No current physical pair exists for this logical Training Voice V2.1 cue.
ex-squat-free-first-v21,"Squat. Feet about hip width. Lower as if to sit, then stand with control.",training,exercise_first_use,instruction,true,clara;marcus,ex-squat-free-first-v21,new_pair_required,missing_exact_clara_marcus_pair,ordinary_first_use_pre_countdown,src/training/voiceV21/assets.ts;src/training/voiceV21/contracts.ts,No current physical pair exists for this logical Training Voice V2.1 cue.
ex-squat-free-next-v21,Squat.,training,exercise_later_set,instruction,true,clara;marcus,ex-squat-free-next-v21,new_pair_required,missing_exact_clara_marcus_pair,later_set_reminder,src/training/voiceV21/assets.ts;src/training/voiceV21/contracts.ts,No current physical pair exists for this logical Training Voice V2.1 cue.
ex-squat-loaded-first-v21,"Loaded squat. Hold the load close to your chest. Lower into a squat, then stand with control.",training,exercise_first_use,instruction,true,clara;marcus,ex-squat-loaded-first-v21,new_pair_required,missing_exact_clara_marcus_pair,ordinary_first_use_pre_countdown,src/training/voiceV21/assets.ts;src/training/voiceV21/contracts.ts,No current physical pair exists for this logical Training Voice V2.1 cue.
ex-squat-loaded-next-v21,Loaded squat.,training,exercise_later_set,instruction,true,clara;marcus,ex-squat-loaded-next-v21,new_pair_required,missing_exact_clara_marcus_pair,later_set_reminder,src/training/voiceV21/assets.ts;src/training/voiceV21/contracts.ts,No current physical pair exists for this logical Training Voice V2.1 cue.
ex-squat-slow-eccentric-first-v21,"Slow-lower squat. Lower slowly, then stand with control.",training,exercise_first_use,instruction,true,clara;marcus,ex-squat-slow-eccentric-first-v21,new_pair_required,missing_exact_clara_marcus_pair,ordinary_first_use_pre_countdown,src/training/voiceV21/assets.ts;src/training/voiceV21/contracts.ts,No current physical pair exists for this logical Training Voice V2.1 cue.
ex-squat-slow-eccentric-next-v21,Slow-lower squat.,training,exercise_later_set,instruction,true,clara;marcus,ex-squat-slow-eccentric-next-v21,new_pair_required,missing_exact_clara_marcus_pair,later_set_reminder,src/training/voiceV21/assets.ts;src/training/voiceV21/contracts.ts,No current physical pair exists for this logical Training Voice V2.1 cue.
ex-squat-supported-first-v21,"Supported squat. Stand near sturdy support. Lower as if to sit, then stand with control.",training,exercise_first_use,instruction,true,clara;marcus,ex-squat-supported-first-v21,new_pair_required,missing_exact_clara_marcus_pair,ordinary_first_use_pre_countdown,src/training/voiceV21/assets.ts;src/training/voiceV21/contracts.ts,No current physical pair exists for this logical Training Voice V2.1 cue.
ex-squat-supported-next-v21,Supported squat.,training,exercise_later_set,instruction,true,clara;marcus,ex-squat-supported-next-v21,new_pair_required,missing_exact_clara_marcus_pair,later_set_reminder,src/training/voiceV21/assets.ts;src/training/voiceV21/contracts.ts,No current physical pair exists for this logical Training Voice V2.1 cue.
ex-standing-band-row-first-v21,"Standing band row. Face the secure door anchor in a stable stance. Pull elbows back, then return slowly.",training,exercise_first_use,instruction,true,clara;marcus,ex-standing-band-row-first-v21,new_pair_required,missing_exact_clara_marcus_pair,ordinary_first_use_pre_countdown,src/training/voiceV21/assets.ts;src/training/voiceV21/contracts.ts,No current physical pair exists for this logical Training Voice V2.1 cue.
ex-standing-band-row-next-v21,Standing band row.,training,exercise_later_set,instruction,true,clara;marcus,ex-standing-band-row-next-v21,new_pair_required,missing_exact_clara_marcus_pair,later_set_reminder,src/training/voiceV21/assets.ts;src/training/voiceV21/contracts.ts,No current physical pair exists for this logical Training Voice V2.1 cue.
ex-step-up-first-v21,Step-up. Use the lowest stable step with support nearby. Return both feet to the floor after each rep.,training,exercise_first_use,instruction,true,clara;marcus,ex-step-up-first-v21,new_pair_required,missing_exact_clara_marcus_pair,ordinary_first_use_pre_countdown,src/training/voiceV21/assets.ts;src/training/voiceV21/contracts.ts,No current physical pair exists for this logical Training Voice V2.1 cue.
ex-step-up-next-v21,Step-up. Return both feet to the floor after each rep.,training,exercise_later_set,instruction,true,clara;marcus,ex-step-up-next-v21,new_pair_required,missing_exact_clara_marcus_pair,later_set_reminder,src/training/voiceV21/assets.ts;src/training/voiceV21/contracts.ts,No current physical pair exists for this logical Training Voice V2.1 cue.
ex-sts-cushion-first-v21,"Cushion sit-to-stand. Sit tall on the cushion, feet flat. Stand fully, then sit with control.",training,exercise_first_use,instruction,true,clara;marcus,ex-sts-cushion-first-v21,new_pair_required,missing_exact_clara_marcus_pair,ordinary_first_use_pre_countdown,src/training/voiceV21/assets.ts;src/training/voiceV21/contracts.ts,No current physical pair exists for this logical Training Voice V2.1 cue.
ex-sts-cushion-next-v21,Cushion sit-to-stand.,training,exercise_later_set,instruction,true,clara;marcus,ex-sts-cushion-next-v21,new_pair_required,missing_exact_clara_marcus_pair,later_set_reminder,src/training/voiceV21/assets.ts;src/training/voiceV21/contracts.ts,No current physical pair exists for this logical Training Voice V2.1 cue.
ex-sts-power-first-v21,"Power sit-to-stand. Sit tall, drive up briskly to standing, then sit with control.",training,exercise_first_use,instruction,true,clara;marcus,ex-sts-power-first-v21,new_pair_required,missing_exact_clara_marcus_pair,ordinary_first_use_pre_countdown,src/training/voiceV21/assets.ts;src/training/voiceV21/contracts.ts,No current physical pair exists for this logical Training Voice V2.1 cue.
ex-sts-power-next-v21,Power sit-to-stand.,training,exercise_later_set,instruction,true,clara;marcus,ex-sts-power-next-v21,new_pair_required,missing_exact_clara_marcus_pair,later_set_reminder,src/training/voiceV21/assets.ts;src/training/voiceV21/contracts.ts,No current physical pair exists for this logical Training Voice V2.1 cue.
ex-sts-slow-eccentric-first-v21,"Slow-lower sit-to-stand. Stand fully, then lower slowly and steadily before the next rep.",training,exercise_first_use,instruction,true,clara;marcus,ex-sts-slow-eccentric-first-v21,new_pair_required,missing_exact_clara_marcus_pair,ordinary_first_use_pre_countdown,src/training/voiceV21/assets.ts;src/training/voiceV21/contracts.ts,No current physical pair exists for this logical Training Voice V2.1 cue.
ex-sts-slow-eccentric-next-v21,Slow-lower sit-to-stand.,training,exercise_later_set,instruction,true,clara;marcus,ex-sts-slow-eccentric-next-v21,new_pair_required,missing_exact_clara_marcus_pair,later_set_reminder,src/training/voiceV21/assets.ts;src/training/voiceV21/contracts.ts,No current physical pair exists for this logical Training Voice V2.1 cue.
