scenarioId,variantId,category,evidenceMethod,sourceFiles,sourceFunctions,initialState,eventSequence,expectedOutcome,observedOutcome,passed,metricTags,findingRuleIds,notes
generic_rep_without_lead_evidence_rejected,base,prior_alternation_addendum_retained,prior_addendum_csv_retained_for_context,docs/audits/PEARL_TRAINING_STEP_UP_ALTERNATION_SCENARIOS_V2.csv,resolveStepUpRepEvidence,{},[],"{""credited"":false}","{""endReason"":""invalid_phase"",""acceptedRepCount"":0}",true,unknown_lead,,Retained from prior alternation verification addendum; critical metrics below are recomputed from this addendum execution rows.
opposite_chain_clearer_not_auto_credited,base,prior_alternation_addendum_retained,prior_addendum_csv_retained_for_context,docs/audits/PEARL_TRAINING_STEP_UP_ALTERNATION_SCENARIOS_V2.csv,resolveStepUpRepEvidence,{},[],"{""credited"":false,""observedLeadSide"":null}","{""endReason"":""invalid_phase"",""observedLeadSide"":null,""acceptedRepCount"":0}",true,conservative_evidence,,Retained from prior alternation verification addendum; critical metrics below are recomputed from this addendum execution rows.
top_reached_no_floor_return,base,prior_alternation_addendum_retained,prior_addendum_csv_retained_for_context,docs/audits/PEARL_TRAINING_STEP_UP_ALTERNATION_SCENARIOS_V2.csv,resolveStepUpRepEvidence,{},[],"{""credited"":false}","{""endReason"":""invalid_phase"",""acceptedRepCount"":0}",true,floor_boundary,,Retained from prior alternation verification addendum; critical metrics below are recomputed from this addendum execution rows.
one_foot_remains_on_step,base,prior_alternation_addendum_retained,prior_addendum_csv_retained_for_context,docs/audits/PEARL_TRAINING_STEP_UP_ALTERNATION_SCENARIOS_V2.csv,resolveStepUpRepEvidence,{},[],"{""credited"":false}","{""endReason"":""invalid_phase"",""acceptedRepCount"":0}",true,floor_boundary,,Retained from prior alternation verification addendum; critical metrics below are recomputed from this addendum execution rows.
duplicate_completion_callback,base,prior_alternation_addendum_retained,prior_addendum_csv_retained_for_context,docs/audits/PEARL_TRAINING_STEP_UP_ALTERNATION_SCENARIOS_V2.csv,advanceStepUpAlternationState,{},[],"{""acceptedRepCount"":1,""duplicateSuppressedCount"":1}","{""acceptedRepCount"":1,""duplicateSuppressedCount"":1}",true,duplicate,,Retained from prior alternation verification addendum; critical metrics below are recomputed from this addendum execution rows.
stale_callback_after_next_rep_started,base,prior_alternation_addendum_retained,prior_addendum_csv_retained_for_context,docs/audits/PEARL_TRAINING_STEP_UP_ALTERNATION_SCENARIOS_V2.csv,advanceStepUpAlternationState,{},[],"{""acceptedRepCount"":0,""ignoredStaleActionCount"":1}","{""acceptedRepCount"":0,""ignoredStaleActionCount"":1}",true,stale,,Retained from prior alternation verification addendum; critical metrics below are recomputed from this addendum execution rows.
threshold_noise_single_credit,base,prior_alternation_addendum_retained,prior_addendum_csv_retained_for_context,docs/audits/PEARL_TRAINING_STEP_UP_ALTERNATION_SCENARIOS_V2.csv,advanceStepUpAlternationState,{},[],"{""creditedReps"":1}","{""acceptedRepCount"":1,""duplicateSuppressedCount"":1}",true,threshold_noise,,Retained from prior alternation verification addendum; critical metrics below are recomputed from this addendum execution rows.
descent_order_not_overconstrained,base,prior_alternation_addendum_retained,prior_addendum_csv_retained_for_context,docs/audits/PEARL_TRAINING_STEP_UP_ALTERNATION_SCENARIOS_V2.csv,resolveStepUpRepEvidence,{},[],"{""acceptedWithoutDescentOrderField"":true}","{""endReason"":""accepted"",""hasDescentOrderField"":false}",true,descent_order,,Retained from prior alternation verification addendum; critical metrics below are recomputed from this addendum execution rows.
tracking_loss_mid_left_lead_rep,base,prior_alternation_addendum_retained,prior_addendum_csv_retained_for_context,docs/audits/PEARL_TRAINING_STEP_UP_ALTERNATION_SCENARIOS_V2.csv,advanceStepUpAlternationState,{},[],"{""credited"":false,""phase"":""tracking_recovery""}","{""phase"":""tracking_recovery"",""acceptedRepCount"":0,""expectedLeadSide"":""left""}",true,tracking,,Retained from prior alternation verification addendum; critical metrics below are recomputed from this addendum execution rows.
tracking_loss_mid_right_lead_rep,base,prior_alternation_addendum_retained,prior_addendum_csv_retained_for_context,docs/audits/PEARL_TRAINING_STEP_UP_ALTERNATION_SCENARIOS_V2.csv,advanceStepUpAlternationState,{},[],"{""credited"":false,""phase"":""tracking_recovery""}","{""phase"":""tracking_recovery"",""acceptedRepCount"":0,""expectedLeadSide"":""right""}",true,tracking,,Retained from prior alternation verification addendum; critical metrics below are recomputed from this addendum execution rows.
pause_mid_rep,base,prior_alternation_addendum_retained,prior_addendum_csv_retained_for_context,docs/audits/PEARL_TRAINING_STEP_UP_ALTERNATION_SCENARIOS_V2.csv,advanceStepUpAlternationState,{},[],"{""partialRepCredited"":false}","{""acceptedRepCount"":0,""ignoredStaleActionCount"":1,""phaseAfterAction"":""ready_both_feet_floor""}",true,pause_callback,,Retained from prior alternation verification addendum; critical metrics below are recomputed from this addendum execution rows.
background_mid_rep,base,prior_alternation_addendum_retained,prior_addendum_csv_retained_for_context,docs/audits/PEARL_TRAINING_STEP_UP_ALTERNATION_SCENARIOS_V2.csv,advanceStepUpAlternationState,{},[],"{""partialRepCredited"":false}","{""acceptedRepCount"":0,""ignoredStaleActionCount"":1,""phaseAfterAction"":""ready_both_feet_floor""}",true,background_callback,,Retained from prior alternation verification addendum; critical metrics below are recomputed from this addendum execution rows.
restore_after_six_reps,base,prior_alternation_addendum_retained,prior_addendum_csv_retained_for_context,docs/audits/PEARL_TRAINING_STEP_UP_ALTERNATION_SCENARIOS_V2.csv,serializeStepUpAlternationRuntimeState;deserializeStepUpAlternationRuntimeState,{},[],"{""acceptedRepCount"":6,""expectedLeadSide"":""left""}","{""acceptedRepCount"":6,""expectedLeadSide"":""left"",""planFingerprintPreserved"":true}",true,restore,,Retained from prior alternation verification addendum; critical metrics below are recomputed from this addendum execution rows.
restore_mid_rep,base,prior_alternation_addendum_retained,prior_addendum_csv_retained_for_context,docs/audits/PEARL_TRAINING_STEP_UP_ALTERNATION_SCENARIOS_V2.csv,serializeStepUpAlternationRuntimeState;deserializeStepUpAlternationRuntimeState;restoreStepUpAlternationRuntimeState,{},[],"{""partialRepCredited"":false}","{""acceptedRepCount"":0,""ignoredStaleActionCount"":1}",true,restore,,Retained from prior alternation verification addendum; critical metrics below are recomputed from this addendum execution rows.
cancel_mid_set,base,prior_alternation_addendum_retained,prior_addendum_csv_retained_for_context,docs/audits/PEARL_TRAINING_STEP_UP_ALTERNATION_SCENARIOS_V2.csv,advanceStepUpAlternationState,{},[],"{""phase"":""cancelled"",""acceptedRepCount"":0}","{""phase"":""cancelled"",""acceptedRepCount"":0}",true,cancel_skip,,Retained from prior alternation verification addendum; critical metrics below are recomputed from this addendum execution rows.
skip_mid_set,base,prior_alternation_addendum_retained,prior_addendum_csv_retained_for_context,docs/audits/PEARL_TRAINING_STEP_UP_ALTERNATION_SCENARIOS_V2.csv,applyBothSidesExerciseCompletionToStartSideSeed,{},[],"{""seedFlipped"":false}","{""nextSide"":""left""}",true,cancel_skip;seed,,Retained from prior alternation verification addendum; critical metrics below are recomputed from this addendum execution rows.
default_target_12,base,prior_alternation_addendum_retained,prior_addendum_csv_retained_for_context,docs/audits/PEARL_TRAINING_STEP_UP_ALTERNATION_SCENARIOS_V2.csv,deriveStepUpAlternationPlanForExerciseId;getExercise,{},[],"{""targetTotalReps"":12,""setCount"":3}","{""targetTotalReps"":12,""setCount"":3,""sourceTargetRepsPerSet"":12}",true,target,,Retained from prior alternation verification addendum; critical metrics below are recomputed from this addendum execution rows.
even_scaled_target_10,base,prior_alternation_addendum_retained,prior_addendum_csv_retained_for_context,docs/audits/PEARL_TRAINING_STEP_UP_ALTERNATION_SCENARIOS_V2.csv,deriveStepUpAlternationPlan,{},[],"{""runtimeSelectable"":true,""targetLeftLeadReps"":5,""targetRightLeadReps"":5}","{""version"":1,""exerciseId"":""step-up"",""targetTotalReps"":10,""targetLeftLeadReps"":5,""targetRightLeadReps"":5,""setCount"":2,""initialLeadSide"":""right"",""setStartLeadSides"":[""right"",""left""],""sourceSetCount"":2,""sourceTargetRepsPerSet"":10,""sourcePrescriptionFingerprint"":""step-up-source_5cd29c7a"",""planFingerprint"":""sua1_e364a49b"",""runtimeSelectable"":true,""blockerReasonCodes"":[""STEP_UP_ALTERNATION_READY""]}",true,target,,Retained from prior alternation verification addendum; critical metrics below are recomputed from this addendum execution rows.
odd_scaled_target_9_blocked,base,prior_alternation_addendum_retained,prior_addendum_csv_retained_for_context,docs/audits/PEARL_TRAINING_STEP_UP_ALTERNATION_SCENARIOS_V2.csv,deriveStepUpAlternationPlan,{},[],"{""runtimeSelectable"":false,""blocker"":""ODD_STEP_UP_TARGET""}","{""version"":1,""exerciseId"":""step-up"",""targetTotalReps"":9,""targetLeftLeadReps"":0,""targetRightLeadReps"":0,""setCount"":2,""initialLeadSide"":""left"",""setStartLeadSides"":[],""sourceSetCount"":2,""sourceTargetRepsPerSet"":9,""sourcePrescriptionFingerprint"":""step-up-source_b96d1956"",""planFingerprint"":""sua1_468b17d8"",""runtimeSelectable"":false,""blockerReasonCodes"":[""ODD_STEP_UP_TARGET""]}",true,target_odd,,Retained from prior alternation verification addendum; critical metrics below are recomputed from this addendum execution rows.
noninteger_target_blocked,base,prior_alternation_addendum_retained,prior_addendum_csv_retained_for_context,docs/audits/PEARL_TRAINING_STEP_UP_ALTERNATION_SCENARIOS_V2.csv,deriveStepUpAlternationPlan,{},[],"{""runtimeSelectable"":false,""blocker"":""NON_INTEGER_STEP_UP_TARGET""}","{""version"":1,""exerciseId"":""step-up"",""targetTotalReps"":7.5,""targetLeftLeadReps"":0,""targetRightLeadReps"":0,""setCount"":2,""initialLeadSide"":""left"",""setStartLeadSides"":[],""sourceSetCount"":2,""sourceTargetRepsPerSet"":7.5,""sourcePrescriptionFingerprint"":""step-up-source_48dfd3a1"",""planFingerprint"":""sua1_6b2eb346"",""runtimeSelectable"":false,""blockerReasonCodes"":[""NON_INTEGER_STEP_UP_TARGET""]}",true,target_noninteger,,Retained from prior alternation verification addendum; critical metrics below are recomputed from this addendum execution rows.
short_session_final_target,base,prior_alternation_addendum_retained,prior_addendum_csv_retained_for_context,docs/audits/PEARL_TRAINING_STEP_UP_ALTERNATION_SCENARIOS_V2.csv,deriveStepUpAlternationPlan,{},[],"{""targetTotalReps"":12,""setCount"":2}","{""targetTotalReps"":12,""setCount"":2,""setStartLeadSides"":[""left"",""right""]}",true,target,,Retained from prior alternation verification addendum; critical metrics below are recomputed from this addendum execution rows.
visible_voice_runtime_target_match,base,prior_alternation_addendum_retained,prior_addendum_csv_retained_for_context,docs/audits/PEARL_TRAINING_STEP_UP_ALTERNATION_SCENARIOS_V2.csv,planTrainingVoiceSequenceV21;resolveTrainingVoiceTargetV21,{},[],"{""spokenText"":""Do twelve total reps."",""value"":12}","{""spokenText"":""Do twelve total reps."",""visibleText"":""Do twelve total reps."",""value"":12}",true,target_voice,,Retained from prior alternation verification addendum; critical metrics below are recomputed from this addendum execution rows.
seed_defaults_left,base,prior_alternation_addendum_retained,prior_addendum_csv_retained_for_context,docs/audits/PEARL_TRAINING_STEP_UP_ALTERNATION_SCENARIOS_V2.csv,applyBothSidesExerciseCompletionToStartSideSeed;nextBothSidesStartSideForExercise,{},[],"{""nextSide"":""left""}","{""nextSide"":""left""}",true,seed,,Retained from prior alternation verification addendum; critical metrics below are recomputed from this addendum execution rows.
successful_completion_flips_seed,base,prior_alternation_addendum_retained,prior_addendum_csv_retained_for_context,docs/audits/PEARL_TRAINING_STEP_UP_ALTERNATION_SCENARIOS_V2.csv,applyBothSidesExerciseCompletionToStartSideSeed;nextBothSidesStartSideForExercise,{},[],"{""nextSide"":""right""}","{""nextSide"":""right"",""seedState"":{""nextBothSidesStartSideByExercise"":{""step-up"":""right""},""appliedBothSidesStartSideFlipEventIds"":[""main-complete""]}}",true,seed,,Retained from prior alternation verification addendum; critical metrics below are recomputed from this addendum execution rows.
skip_does_not_flip_seed,base,prior_alternation_addendum_retained,prior_addendum_csv_retained_for_context,docs/audits/PEARL_TRAINING_STEP_UP_ALTERNATION_SCENARIOS_V2.csv,applyBothSidesExerciseCompletionToStartSideSeed;nextBothSidesStartSideForExercise,{},[],"{""nextSide"":""left""}","{""nextSide"":""left"",""seedState"":{""nextBothSidesStartSideByExercise"":{},""appliedBothSidesStartSideFlipEventIds"":[]}}",true,seed,,Retained from prior alternation verification addendum; critical metrics below are recomputed from this addendum execution rows.
manual_practice_does_not_flip_seed,base,prior_alternation_addendum_retained,prior_addendum_csv_retained_for_context,docs/audits/PEARL_TRAINING_STEP_UP_ALTERNATION_SCENARIOS_V2.csv,applyBothSidesExerciseCompletionToStartSideSeed;nextBothSidesStartSideForExercise,{},[],"{""nextSide"":""left""}","{""nextSide"":""left"",""seedState"":{""nextBothSidesStartSideByExercise"":{},""appliedBothSidesStartSideFlipEventIds"":[]}}",true,seed,,Retained from prior alternation verification addendum; critical metrics below are recomputed from this addendum execution rows.
