queueId,reviewGroup,priority,voiceId,logicalCueKey,physicalCueKey,path,durationMs,script,reason,approvalStatus,notes
post-v21-listen-0011,generated_script_mismatch_replacement,P1,clara,checkup-balance-single-leg-left-v21,checkup-balance-single-leg-left-v21,assets/audio/voice/clara/checkup-balance-single-leg-left-v21.mp3,3251,Stand on your left leg and lift your right foot slightly.,Every generated V2.1 asset requires founder listening.,not_reviewed,Existing cue uses placeholder selected leg.
post-v21-listen-0012,generated_script_mismatch_replacement,P1,marcus,checkup-balance-single-leg-left-v21,checkup-balance-single-leg-left-v21,assets/audio/voice/marcus/checkup-balance-single-leg-left-v21.mp3,3019,Stand on your left leg and lift your right foot slightly.,Every generated V2.1 asset requires founder listening.,not_reviewed,Existing cue uses placeholder selected leg.
post-v21-listen-0013,generated_script_mismatch_replacement,P1,clara,checkup-balance-single-leg-right-v21,checkup-balance-single-leg-right-v21,assets/audio/voice/clara/checkup-balance-single-leg-right-v21.mp3,3251,Stand on your right leg and lift your left foot slightly.,Every generated V2.1 asset requires founder listening.,not_reviewed,Existing cue uses placeholder selected leg.
post-v21-listen-0014,generated_script_mismatch_replacement,P1,marcus,checkup-balance-single-leg-right-v21,checkup-balance-single-leg-right-v21,assets/audio/voice/marcus/checkup-balance-single-leg-right-v21.mp3,2786,Stand on your right leg and lift your left foot slightly.,Every generated V2.1 asset requires founder listening.,not_reviewed,Existing cue uses placeholder selected leg.
post-v21-listen-0015,critical_exact_ready_shared_cue,P1,clara,checkup-balance-single-leg-v21,checkup-balance-single-leg-v21,assets/audio/voice/clara/checkup-balance-single-leg-v21.mp3,4690,Single-leg. Stand on your selected leg and lift the other foot slightly.,Critical shared/countdown/check-up cue; include even if exact-ready before this generation pass.,not_reviewed,Shared cue should be heard in context before approval.
post-v21-listen-0016,critical_exact_ready_shared_cue,P1,marcus,checkup-balance-single-leg-v21,checkup-balance-single-leg-v21,assets/audio/voice/marcus/checkup-balance-single-leg-v21.mp3,4830,Single-leg. Stand on your selected leg and lift the other foot slightly.,Critical shared/countdown/check-up cue; include even if exact-ready before this generation pass.,not_reviewed,Shared cue should be heard in context before approval.
post-v21-listen-0017,generated_script_mismatch_replacement,P1,clara,checkup-balance-tandem-left-v21,checkup-balance-tandem-left-v21,assets/audio/voice/clara/checkup-balance-tandem-left-v21.mp3,4505,Place your left foot directly in front heel to toe. Keep your eyes open.,Every generated V2.1 asset requires founder listening.,not_reviewed,Existing cue has no selected lead-foot side.
post-v21-listen-0018,generated_script_mismatch_replacement,P1,marcus,checkup-balance-tandem-left-v21,checkup-balance-tandem-left-v21,assets/audio/voice/marcus/checkup-balance-tandem-left-v21.mp3,4598,Place your left foot directly in front heel to toe. Keep your eyes open.,Every generated V2.1 asset requires founder listening.,not_reviewed,Existing cue has no selected lead-foot side.
post-v21-listen-0019,generated_script_mismatch_replacement,P1,clara,checkup-balance-tandem-right-v21,checkup-balance-tandem-right-v21,assets/audio/voice/clara/checkup-balance-tandem-right-v21.mp3,4737,Place your right foot directly in front heel to toe. Keep your eyes open.,Every generated V2.1 asset requires founder listening.,not_reviewed,Existing cue has no selected lead-foot side.
post-v21-listen-0020,generated_script_mismatch_replacement,P1,marcus,checkup-balance-tandem-right-v21,checkup-balance-tandem-right-v21,assets/audio/voice/marcus/checkup-balance-tandem-right-v21.mp3,4412,Place your right foot directly in front heel to toe. Keep your eyes open.,Every generated V2.1 asset requires founder listening.,not_reviewed,Existing cue has no selected lead-foot side.
post-v21-listen-0021,critical_exact_ready_shared_cue,P1,clara,checkup-chair-stand-intro-v21,checkup-chair-stand-intro-v21,assets/audio/voice/clara/checkup-chair-stand-intro-v21.mp3,4737,"Chair stand. Sit in the middle of a sturdy chair, side-on to the phone.",Critical shared/countdown/check-up cue; include even if exact-ready before this generation pass.,not_reviewed,Shared cue should be heard in context before approval.
post-v21-listen-0022,critical_exact_ready_shared_cue,P1,marcus,checkup-chair-stand-intro-v21,checkup-chair-stand-intro-v21,assets/audio/voice/marcus/checkup-chair-stand-intro-v21.mp3,4644,"Chair stand. Sit in the middle of a sturdy chair, side-on to the phone.",Critical shared/countdown/check-up cue; include even if exact-ready before this generation pass.,not_reviewed,Shared cue should be heard in context before approval.
post-v21-listen-0023,critical_exact_ready_shared_cue,P1,clara,checkup-chair-stand-setup-v21,checkup-chair-stand-setup-v21,assets/audio/voice/clara/checkup-chair-stand-setup-v21.mp3,5619,"Cross your arms. When I say go, stand fully and sit with control until I say time.",Critical shared/countdown/check-up cue; include even if exact-ready before this generation pass.,not_reviewed,Shared cue should be heard in context before approval.
post-v21-listen-0024,critical_exact_ready_shared_cue,P1,marcus,checkup-chair-stand-setup-v21,checkup-chair-stand-setup-v21,assets/audio/voice/marcus/checkup-chair-stand-setup-v21.mp3,5248,"Cross your arms. When I say go, stand fully and sit with control until I say time.",Critical shared/countdown/check-up cue; include even if exact-ready before this generation pass.,not_reviewed,Shared cue should be heard in context before approval.
post-v21-listen-0025,critical_exact_ready_shared_cue,P1,clara,checkup-complete-v21,checkup-complete-v21,assets/audio/voice/clara/checkup-complete-v21.mp3,2601,Check-up complete. Your results are ready.,Critical shared/countdown/check-up cue; include even if exact-ready before this generation pass.,not_reviewed,Shared cue should be heard in context before approval.
post-v21-listen-0026,critical_exact_ready_shared_cue,P1,marcus,checkup-complete-v21,checkup-complete-v21,assets/audio/voice/marcus/checkup-complete-v21.mp3,2090,Check-up complete. Your results are ready.,Critical shared/countdown/check-up cue; include even if exact-ready before this generation pass.,not_reviewed,Shared cue should be heard in context before approval.
post-v21-listen-0027,critical_exact_ready_shared_cue,P1,clara,checkup-hinge-setup-v21,checkup-hinge-setup-v21,assets/audio/voice/clara/checkup-hinge-setup-v21.mp3,6641,Slowly fold from your hips and reach toward the floor. Hold there until I say stand tall.,Critical shared/countdown/check-up cue; include even if exact-ready before this generation pass.,not_reviewed,Shared cue should be heard in context before approval.
post-v21-listen-0028,critical_exact_ready_shared_cue,P1,marcus,checkup-hinge-setup-v21,checkup-hinge-setup-v21,assets/audio/voice/marcus/checkup-hinge-setup-v21.mp3,6084,Slowly fold from your hips and reach toward the floor. Hold there until I say stand tall.,Critical shared/countdown/check-up cue; include even if exact-ready before this generation pass.,not_reviewed,Shared cue should be heard in context before approval.
post-v21-listen-0029,critical_exact_ready_shared_cue,P1,clara,checkup-shoulder-raise-left-v21,checkup-shoulder-raise-left-v21,assets/audio/voice/clara/checkup-shoulder-raise-left-v21.mp3,4690,Raise your left arm as high as comfortable. Hold there until I say relax.,Critical shared/countdown/check-up cue; include even if exact-ready before this generation pass.,not_reviewed,Shared cue should be heard in context before approval.
post-v21-listen-0030,critical_exact_ready_shared_cue,P1,marcus,checkup-shoulder-raise-left-v21,checkup-shoulder-raise-left-v21,assets/audio/voice/marcus/checkup-shoulder-raise-left-v21.mp3,4087,Raise your left arm as high as comfortable. Hold there until I say relax.,Critical shared/countdown/check-up cue; include even if exact-ready before this generation pass.,not_reviewed,Shared cue should be heard in context before approval.
post-v21-listen-0031,critical_exact_ready_shared_cue,P1,clara,checkup-shoulder-raise-right-v21,checkup-shoulder-raise-right-v21,assets/audio/voice/clara/checkup-shoulder-raise-right-v21.mp3,5155,Raise your right arm as high as comfortable. Hold there until I say relax.,Critical shared/countdown/check-up cue; include even if exact-ready before this generation pass.,not_reviewed,Shared cue should be heard in context before approval.
post-v21-listen-0032,critical_exact_ready_shared_cue,P1,marcus,checkup-shoulder-raise-right-v21,checkup-shoulder-raise-right-v21,assets/audio/voice/marcus/checkup-shoulder-raise-right-v21.mp3,4180,Raise your right arm as high as comfortable. Hold there until I say relax.,Critical shared/countdown/check-up cue; include even if exact-ready before this generation pass.,not_reviewed,Shared cue should be heard in context before approval.
post-v21-listen-0033,critical_exact_ready_shared_cue,P1,clara,checkup-shoulder-turn-left-v21,checkup-shoulder-turn-left-v21,assets/audio/voice/clara/checkup-shoulder-turn-left-v21.mp3,2601,Turn so your left side is nearest the phone.,Critical shared/countdown/check-up cue; include even if exact-ready before this generation pass.,not_reviewed,Shared cue should be heard in context before approval.
post-v21-listen-0034,critical_exact_ready_shared_cue,P1,marcus,checkup-shoulder-turn-left-v21,checkup-shoulder-turn-left-v21,assets/audio/voice/marcus/checkup-shoulder-turn-left-v21.mp3,2322,Turn so your left side is nearest the phone.,Critical shared/countdown/check-up cue; include even if exact-ready before this generation pass.,not_reviewed,Shared cue should be heard in context before approval.
post-v21-listen-0035,critical_exact_ready_shared_cue,P1,clara,checkup-shoulder-turn-right-v21,checkup-shoulder-turn-right-v21,assets/audio/voice/clara/checkup-shoulder-turn-right-v21.mp3,2554,Turn so your right side is nearest the phone.,Critical shared/countdown/check-up cue; include even if exact-ready before this generation pass.,not_reviewed,Shared cue should be heard in context before approval.
post-v21-listen-0036,critical_exact_ready_shared_cue,P1,marcus,checkup-shoulder-turn-right-v21,checkup-shoulder-turn-right-v21,assets/audio/voice/marcus/checkup-shoulder-turn-right-v21.mp3,2276,Turn so your right side is nearest the phone.,Critical shared/countdown/check-up cue; include even if exact-ready before this generation pass.,not_reviewed,Shared cue should be heard in context before approval.
post-v21-listen-0037,critical_exact_ready_shared_cue,P1,clara,countdown-one,countdown-one,assets/audio/voice/clara/countdown-one.mp3,604,One.,Critical shared/countdown/check-up cue; include even if exact-ready before this generation pass.,not_reviewed,Shared cue should be heard in context before approval.
post-v21-listen-0038,critical_exact_ready_shared_cue,P1,marcus,countdown-one,countdown-one,assets/audio/voice/marcus/countdown-one.mp3,604,One.,Critical shared/countdown/check-up cue; include even if exact-ready before this generation pass.,not_reviewed,Shared cue should be heard in context before approval.
post-v21-listen-0039,critical_exact_ready_shared_cue,P1,clara,countdown-three,countdown-three,assets/audio/voice/clara/countdown-three.mp3,789,Three.,Critical shared/countdown/check-up cue; include even if exact-ready before this generation pass.,not_reviewed,Shared cue should be heard in context before approval.
post-v21-listen-0040,critical_exact_ready_shared_cue,P1,marcus,countdown-three,countdown-three,assets/audio/voice/marcus/countdown-three.mp3,789,Three.,Critical shared/countdown/check-up cue; include even if exact-ready before this generation pass.,not_reviewed,Shared cue should be heard in context before approval.
post-v21-listen-0041,critical_exact_ready_shared_cue,P1,clara,countdown-two,countdown-two,assets/audio/voice/clara/countdown-two.mp3,743,Two.,Critical shared/countdown/check-up cue; include even if exact-ready before this generation pass.,not_reviewed,Shared cue should be heard in context before approval.
post-v21-listen-0042,critical_exact_ready_shared_cue,P1,marcus,countdown-two,countdown-two,assets/audio/voice/marcus/countdown-two.mp3,743,Two.,Critical shared/countdown/check-up cue; include even if exact-ready before this generation pass.,not_reviewed,Shared cue should be heard in context before approval.
post-v21-listen-0043,generated_script_mismatch_replacement,P1,clara,equip-balance-support-v21,equip-balance-support-v21,assets/audio/voice/clara/equip-balance-support-v21.mp3,2043,Keep support within easy reach.,Every generated V2.1 asset requires founder listening.,not_reviewed,"A physical candidate exists, but V2.1 requires a separate exact logical cue."
post-v21-listen-0044,generated_script_mismatch_replacement,P1,marcus,equip-balance-support-v21,equip-balance-support-v21,assets/audio/voice/marcus/equip-balance-support-v21.mp3,1765,Keep support within easy reach.,Every generated V2.1 asset requires founder listening.,not_reviewed,"A physical candidate exists, but V2.1 requires a separate exact logical cue."
post-v21-listen-0045,generated_script_mismatch_replacement,P1,clara,equip-chair-stable-v21,equip-chair-stable-v21,assets/audio/voice/clara/equip-chair-stable-v21.mp3,2461,Use a sturdy chair that will not slide.,Every generated V2.1 asset requires founder listening.,not_reviewed,"A physical candidate exists, but V2.1 requires a separate exact logical cue."
post-v21-listen-0046,generated_script_mismatch_replacement,P1,marcus,equip-chair-stable-v21,equip-chair-stable-v21,assets/audio/voice/marcus/equip-chair-stable-v21.mp3,2276,Use a sturdy chair that will not slide.,Every generated V2.1 asset requires founder listening.,not_reviewed,"A physical candidate exists, but V2.1 requires a separate exact logical cue."
post-v21-listen-0047,generated_script_mismatch_replacement,P1,clara,equip-door-anchor-v21,equip-door-anchor-v21,assets/audio/voice/clara/equip-door-anchor-v21.mp3,3994,Use a secure closed door anchor and test light tension first.,Every generated V2.1 asset requires founder listening.,not_reviewed,"A physical candidate exists, but V2.1 requires a separate exact logical cue."
post-v21-listen-0048,generated_script_mismatch_replacement,P1,marcus,equip-door-anchor-v21,equip-door-anchor-v21,assets/audio/voice/marcus/equip-door-anchor-v21.mp3,3344,Use a secure closed door anchor and test light tension first.,Every generated V2.1 asset requires founder listening.,not_reviewed,"A physical candidate exists, but V2.1 requires a separate exact logical cue."
post-v21-listen-0049,generated_script_mismatch_replacement,P1,clara,equip-floor-transition-v21,equip-floor-transition-v21,assets/audio/voice/clara/equip-floor-transition-v21.mp3,3019,Move down to the floor and settle into the start position.,Every generated V2.1 asset requires founder listening.,not_reviewed,"A physical candidate exists, but V2.1 requires a separate exact logical cue."
post-v21-listen-0050,generated_script_mismatch_replacement,P1,marcus,equip-floor-transition-v21,equip-floor-transition-v21,assets/audio/voice/marcus/equip-floor-transition-v21.mp3,3111,Move down to the floor and settle into the start position.,Every generated V2.1 asset requires founder listening.,not_reviewed,"A physical candidate exists, but V2.1 requires a separate exact logical cue."
post-v21-listen-0051,generated_script_mismatch_replacement,P1,clara,equip-long-band-v21,equip-long-band-v21,assets/audio/voice/clara/equip-long-band-v21.mp3,3111,Check the band first and keep it away from your face.,Every generated V2.1 asset requires founder listening.,not_reviewed,"A physical candidate exists, but V2.1 requires a separate exact logical cue."
post-v21-listen-0052,generated_script_mismatch_replacement,P1,marcus,equip-long-band-v21,equip-long-band-v21,assets/audio/voice/marcus/equip-long-band-v21.mp3,2926,Check the band first and keep it away from your face.,Every generated V2.1 asset requires founder listening.,not_reviewed,"A physical candidate exists, but V2.1 requires a separate exact logical cue."
post-v21-listen-0053,generated_script_mismatch_replacement,P1,clara,equip-step-stable-v21,equip-step-stable-v21,assets/audio/voice/clara/equip-step-stable-v21.mp3,2926,"Use the lowest stable step, with support nearby.",Every generated V2.1 asset requires founder listening.,not_reviewed,"A physical candidate exists, but V2.1 requires a separate exact logical cue."
post-v21-listen-0054,generated_script_mismatch_replacement,P1,marcus,equip-step-stable-v21,equip-step-stable-v21,assets/audio/voice/marcus/equip-step-stable-v21.mp3,3019,"Use the lowest stable step, with support nearby.",Every generated V2.1 asset requires founder listening.,not_reviewed,"A physical candidate exists, but V2.1 requires a separate exact logical cue."
post-v21-listen-0055,generated_script_mismatch_replacement,P1,clara,equip-support-close-v21,equip-support-close-v21,assets/audio/voice/clara/equip-support-close-v21.mp3,2322,Keep sturdy support within easy reach.,Every generated V2.1 asset requires founder listening.,not_reviewed,"A physical candidate exists, but V2.1 requires a separate exact logical cue."
post-v21-listen-0056,generated_script_mismatch_replacement,P1,marcus,equip-support-close-v21,equip-support-close-v21,assets/audio/voice/marcus/equip-support-close-v21.mp3,2183,Keep sturdy support within easy reach.,Every generated V2.1 asset requires founder listening.,not_reviewed,"A physical candidate exists, but V2.1 requires a separate exact logical cue."
post-v21-listen-0057,critical_exact_ready_shared_cue,P1,clara,final-position-set-v21,final-position-set-v21,assets/audio/voice/clara/final-position-set-v21.mp3,1115,You're set.,Critical shared/countdown/check-up cue; include even if exact-ready before this generation pass.,not_reviewed,Shared cue should be heard in context before approval.
post-v21-listen-0058,critical_exact_ready_shared_cue,P1,marcus,final-position-set-v21,final-position-set-v21,assets/audio/voice/marcus/final-position-set-v21.mp3,975,You're set.,Critical shared/countdown/check-up cue; include even if exact-ready before this generation pass.,not_reviewed,Shared cue should be heard in context before approval.
post-v21-listen-0059,critical_exact_ready_shared_cue,P1,clara,go,go,assets/audio/voice/clara/go.mp3,789,Go!,Critical shared/countdown/check-up cue; include even if exact-ready before this generation pass.,not_reviewed,Shared cue should be heard in context before approval.
post-v21-listen-0060,critical_exact_ready_shared_cue,P1,marcus,go,go,assets/audio/voice/marcus/go.mp3,557,Go!,Critical shared/countdown/check-up cue; include even if exact-ready before this generation pass.,not_reviewed,Shared cue should be heard in context before approval.
post-v21-listen-0061,critical_exact_ready_shared_cue,P1,clara,item-complete-v21,item-complete-v21,assets/audio/voice/clara/item-complete-v21.mp3,1022,Complete.,Critical shared/countdown/check-up cue; include even if exact-ready before this generation pass.,not_reviewed,Shared cue should be heard in context before approval.
post-v21-listen-0062,critical_exact_ready_shared_cue,P1,marcus,item-complete-v21,item-complete-v21,assets/audio/voice/marcus/item-complete-v21.mp3,929,Complete.,Critical shared/countdown/check-up cue; include even if exact-ready before this generation pass.,not_reviewed,Shared cue should be heard in context before approval.
post-v21-listen-0063,generated_script_mismatch_replacement,P1,clara,last-set-v21,last-set-v21,assets/audio/voice/clara/last-set-v21.mp3,1115,Last set.,Every generated V2.1 asset requires founder listening.,not_reviewed,"A physical candidate exists, but V2.1 requires a separate exact logical cue."
post-v21-listen-0064,generated_script_mismatch_replacement,P1,marcus,last-set-v21,last-set-v21,assets/audio/voice/marcus/last-set-v21.mp3,1022,Last set.,Every generated V2.1 asset requires founder listening.,not_reviewed,"A physical candidate exists, but V2.1 requires a separate exact logical cue."
post-v21-listen-0065,generated_script_mismatch_replacement,P1,clara,micro-chair-power-v21,micro-chair-power-v21,assets/audio/voice/clara/micro-chair-power-v21.mp3,6502,Five quick chair stands. Arms crossed. Stand and sit five times as quickly as safely comfortable.,Every generated V2.1 asset requires founder listening.,not_reviewed,"A legacy physical candidate exists, but V2.1 requires a separate exact logical cue."
post-v21-listen-0066,generated_script_mismatch_replacement,P1,marcus,micro-chair-power-v21,micro-chair-power-v21,assets/audio/voice/marcus/micro-chair-power-v21.mp3,7709,Five quick chair stands. Arms crossed. Stand and sit five times as quickly as safely comfortable.,Every generated V2.1 asset requires founder listening.,not_reviewed,"A legacy physical candidate exists, but V2.1 requires a separate exact logical cue."
post-v21-listen-0067,generated_script_mismatch_replacement,P1,clara,micro-mobility-left-v21,micro-mobility-left-v21,assets/audio/voice/clara/micro-mobility-left-v21.mp3,5341,Quick mobility check. Extend your left leg and reach gently until I say relax.,Every generated V2.1 asset requires founder listening.,not_reviewed,"A legacy physical candidate exists, but V2.1 requires a separate exact logical cue."
post-v21-listen-0068,generated_script_mismatch_replacement,P1,marcus,micro-mobility-left-v21,micro-mobility-left-v21,assets/audio/voice/marcus/micro-mobility-left-v21.mp3,4830,Quick mobility check. Extend your left leg and reach gently until I say relax.,Every generated V2.1 asset requires founder listening.,not_reviewed,"A legacy physical candidate exists, but V2.1 requires a separate exact logical cue."
post-v21-listen-0069,generated_script_mismatch_replacement,P1,clara,micro-mobility-right-v21,micro-mobility-right-v21,assets/audio/voice/clara/micro-mobility-right-v21.mp3,5155,Quick mobility check. Extend your right leg and reach gently until I say relax.,Every generated V2.1 asset requires founder listening.,not_reviewed,"A legacy physical candidate exists, but V2.1 requires a separate exact logical cue."
post-v21-listen-0070,generated_script_mismatch_replacement,P1,marcus,micro-mobility-right-v21,micro-mobility-right-v21,assets/audio/voice/marcus/micro-mobility-right-v21.mp3,4876,Quick mobility check. Extend your right leg and reach gently until I say relax.,Every generated V2.1 asset requires founder listening.,not_reviewed,"A legacy physical candidate exists, but V2.1 requires a separate exact logical cue."
post-v21-listen-0071,generated_script_mismatch_replacement,P1,clara,micro-relax-v21,micro-relax-v21,assets/audio/voice/clara/micro-relax-v21.mp3,1022,Relax.,Every generated V2.1 asset requires founder listening.,not_reviewed,"A legacy physical candidate exists, but V2.1 requires a separate exact logical cue."
post-v21-listen-0072,generated_script_mismatch_replacement,P1,marcus,micro-relax-v21,micro-relax-v21,assets/audio/voice/marcus/micro-relax-v21.mp3,929,Relax.,Every generated V2.1 asset requires founder listening.,not_reviewed,"A legacy physical candidate exists, but V2.1 requires a separate exact logical cue."
post-v21-listen-0073,generated_script_mismatch_replacement,P1,clara,micro-single-leg-left-v21,micro-single-leg-left-v21,assets/audio/voice/clara/micro-single-leg-left-v21.mp3,5619,Quick balance check. Stand on your left leg with support nearby. Hold as long as comfortable.,Every generated V2.1 asset requires founder listening.,not_reviewed,"A legacy physical candidate exists, but V2.1 requires a separate exact logical cue."
post-v21-listen-0074,generated_script_mismatch_replacement,P1,marcus,micro-single-leg-left-v21,micro-single-leg-left-v21,assets/audio/voice/marcus/micro-single-leg-left-v21.mp3,5387,Quick balance check. Stand on your left leg with support nearby. Hold as long as comfortable.,Every generated V2.1 asset requires founder listening.,not_reviewed,"A legacy physical candidate exists, but V2.1 requires a separate exact logical cue."
post-v21-listen-0075,generated_script_mismatch_replacement,P1,clara,micro-single-leg-right-v21,micro-single-leg-right-v21,assets/audio/voice/clara/micro-single-leg-right-v21.mp3,5805,Quick balance check. Stand on your right leg with support nearby. Hold as long as comfortable.,Every generated V2.1 asset requires founder listening.,not_reviewed,"A legacy physical candidate exists, but V2.1 requires a separate exact logical cue."
post-v21-listen-0076,generated_script_mismatch_replacement,P1,marcus,micro-single-leg-right-v21,micro-single-leg-right-v21,assets/audio/voice/marcus/micro-single-leg-right-v21.mp3,5991,Quick balance check. Stand on your right leg with support nearby. Hold as long as comfortable.,Every generated V2.1 asset requires founder listening.,not_reviewed,"A legacy physical candidate exists, but V2.1 requires a separate exact logical cue."
post-v21-listen-0077,generated_script_mismatch_replacement,P1,clara,microcheck-complete-v21,microcheck-complete-v21,assets/audio/voice/clara/microcheck-complete-v21.mp3,1300,Check complete.,Every generated V2.1 asset requires founder listening.,not_reviewed,"A legacy physical candidate exists, but V2.1 requires a separate exact logical cue."
post-v21-listen-0078,generated_script_mismatch_replacement,P1,marcus,microcheck-complete-v21,microcheck-complete-v21,assets/audio/voice/marcus/microcheck-complete-v21.mp3,1161,Check complete.,Every generated V2.1 asset requires founder listening.,not_reviewed,"A legacy physical candidate exists, but V2.1 requires a separate exact logical cue."
post-v21-listen-0079,critical_exact_ready_shared_cue,P1,clara,mpv2_chair_official_ready,mpv2_chair_official_ready,assets/audio/voice/clara/mpv2_chair_official_ready.mp3,4133,Sit back down. The 30-second check starts after the countdown.,Critical shared/countdown/check-up cue; include even if exact-ready before this generation pass.,not_reviewed,Shared cue should be heard in context before approval.
post-v21-listen-0080,critical_exact_ready_shared_cue,P1,marcus,mpv2_chair_official_ready,mpv2_chair_official_ready,assets/audio/voice/marcus/mpv2_chair_official_ready.mp3,3111,Sit back down. The 30-second check starts after the countdown.,Critical shared/countdown/check-up cue; include even if exact-ready before this generation pass.,not_reviewed,Shared cue should be heard in context before approval.
post-v21-listen-0081,critical_exact_ready_shared_cue,P1,clara,mpv2_checkup_intro,mpv2_checkup_intro,assets/audio/voice/clara/mpv2_checkup_intro.mp3,5248,Movement Profile Check-Up. I will guide each capture and save what the camera can measure.,Critical shared/countdown/check-up cue; include even if exact-ready before this generation pass.,not_reviewed,Shared cue should be heard in context before approval.
post-v21-listen-0082,critical_exact_ready_shared_cue,P1,marcus,mpv2_checkup_intro,mpv2_checkup_intro,assets/audio/voice/marcus/mpv2_checkup_intro.mp3,5294,Movement Profile Check-Up. I will guide each capture and save what the camera can measure.,Critical shared/countdown/check-up cue; include even if exact-ready before this generation pass.,not_reviewed,Shared cue should be heard in context before approval.
post-v21-listen-0083,generated_script_mismatch_replacement,P1,clara,next-exercise-v21,next-exercise-v21,assets/audio/voice/clara/next-exercise-v21.mp3,1207,Next exercise.,Every generated V2.1 asset requires founder listening.,not_reviewed,"A physical candidate exists, but V2.1 requires a separate exact logical cue."
post-v21-listen-0084,generated_script_mismatch_replacement,P1,marcus,next-exercise-v21,next-exercise-v21,assets/audio/voice/marcus/next-exercise-v21.mp3,1254,Next exercise.,Every generated V2.1 asset requires founder listening.,not_reviewed,"A physical candidate exists, but V2.1 requires a separate exact logical cue."
post-v21-listen-0085,generated_script_mismatch_replacement,P1,clara,rest-now-v21,rest-now-v21,assets/audio/voice/clara/rest-now-v21.mp3,1068,Rest now.,Every generated V2.1 asset requires founder listening.,not_reviewed,"A physical candidate exists, but V2.1 requires a separate exact logical cue."
post-v21-listen-0086,generated_script_mismatch_replacement,P1,marcus,rest-now-v21,rest-now-v21,assets/audio/voice/marcus/rest-now-v21.mp3,929,Rest now.,Every generated V2.1 asset requires founder listening.,not_reviewed,"A physical candidate exists, but V2.1 requires a separate exact logical cue."
post-v21-listen-0087,critical_exact_ready_shared_cue,P1,clara,retry-v21,retry-v21,assets/audio/voice/clara/retry-v21.mp3,1347,Let's try that again.,Critical shared/countdown/check-up cue; include even if exact-ready before this generation pass.,not_reviewed,Shared cue should be heard in context before approval.
