scenarioId,variantId,eventIndex,timestampMs,runtimeId,setId,setIndex,repAttemptId,logicalRepId,authority,eventType,phaseBefore,phaseAfter,expectedLeadBefore,observedLead,bothFeetAtStart,ascentValid,topPhaseValid,bothFeetReturnedToFloor,trackingValid,evidenceOutcome,credited,repSfxEmitted,expectedLeadAfter,acceptedRepCount,leftLeadRepCount,rightLeadRepCount,setCompleted,setResultId,setResultEmitted,progressionEventId,progressionConsumed,progressionEligible,sessionCompletionEventId,validTimeMs,serialized,restored,seedBefore,seedAfter,voiceExpectedLead,voiceTarget,notes
generic_rep_without_lead_evidence_rejected,base,11,1330,step-up-alternation-runtime,step-up-set-1,0,generic_rep_without_lead_evidence_rejected-attempt-1,generic_rep_without_lead_evidence_rejected-logical-1,alternation_runtime,rep_terminal,ready_both_feet_floor,ready_both_feet_floor,left,,true,false,false,false,true,invalid_phase,false,false,left,0,0,0,false,,false,,false,false,,0,false,false,,,,,row retained for reducer evidence
opposite_chain_clearer_not_auto_credited,base,12,1363,step-up-alternation-runtime,step-up-set-1,0,opposite_chain_clearer_not_auto_credited-attempt-1,opposite_chain_clearer_not_auto_credited-logical-1,alternation_runtime,rep_terminal,ready_both_feet_floor,ready_both_feet_floor,left,left,true,true,false,false,true,not_applicable,false,false,left,0,0,0,false,,false,,false,false,,0,false,false,,,,,row retained for reducer evidence
top_reached_no_floor_return,base,13,1396,step-up-alternation-runtime,step-up-set-1,0,top_reached_no_floor_return-attempt-1,top_reached_no_floor_return-logical-1,alternation_runtime,rep_terminal,ready_both_feet_floor,ready_both_feet_floor,left,left,true,true,false,false,true,invalid_phase,false,false,left,0,0,0,false,,false,,false,false,,0,false,false,,,,,row retained for reducer evidence
one_foot_remains_on_step,base,14,1429,step-up-alternation-runtime,step-up-set-1,0,one_foot_remains_on_step-attempt-1,one_foot_remains_on_step-logical-1,alternation_runtime,rep_terminal,ready_both_feet_floor,ready_both_feet_floor,left,left,false,true,false,false,true,invalid_phase,false,false,left,0,0,0,false,,false,,false,false,,0,false,false,,,,,row retained for reducer evidence
duplicate_completion_callback,base,15,1462,step-up-alternation-runtime,step-up-set-1,0,dup-attempt-1,logical-rep-duplicate,alternation_runtime,duplicate_terminal,ready_both_feet_floor,ready_both_feet_floor,left,left,true,true,false,false,true,not_applicable,false,false,left,0,0,0,false,,false,,false,false,step-up-completion-1,0,false,false,left,left,,,row retained for reducer evidence
stale_callback_after_next_rep_started,base,16,1495,step-up-alternation-runtime,step-up-set-1,0,stale-attempt-1,stale_callback_after_next_rep_started-logical-1,alternation_runtime,stale_callback,ready_both_feet_floor,ready_both_feet_floor,left,left,true,true,false,false,true,not_applicable,false,false,left,0,0,0,false,,false,,false,false,,0,false,false,,,,,row retained for reducer evidence
threshold_noise_single_credit,base,17,1528,step-up-alternation-runtime,step-up-set-1,0,threshold_noise_single_credit-attempt-1,threshold_noise_single_credit-logical-1,alternation_runtime,rep_terminal,ready_both_feet_floor,ready_both_feet_floor,left,left,true,true,false,false,true,not_applicable,false,false,left,0,0,0,false,,false,,false,false,,0,false,false,,,,,threshold noise retained one credit only
descent_order_not_overconstrained,base,18,1561,step-up-alternation-runtime,step-up-set-1,0,descent_order_not_overconstrained-attempt-1,descent_order_not_overconstrained-logical-1,alternation_runtime,rep_terminal,ready_both_feet_floor,ready_both_feet_floor,left,left,true,true,false,false,true,not_applicable,false,false,left,0,0,0,false,,false,,false,false,,0,false,false,,,,,row retained for reducer evidence
tracking_loss_mid_left_lead_rep,base,19,1594,step-up-alternation-runtime,step-up-set-1,0,tracking_loss_mid_left_lead_rep-attempt-1,tracking_loss_mid_left_lead_rep-logical-1,alternation_runtime,rep_terminal,ready_both_feet_floor,tracking_recovery,left,left,true,true,false,false,false,tracking_interrupted,false,false,left,0,0,0,false,,false,,false,false,,0,false,false,,,,,row retained for reducer evidence
tracking_loss_mid_right_lead_rep,base,20,1627,step-up-alternation-runtime,step-up-set-1,0,tracking_loss_mid_right_lead_rep-attempt-1,tracking_loss_mid_right_lead_rep-logical-1,alternation_runtime,rep_terminal,ready_both_feet_floor,tracking_recovery,right,right,true,true,false,false,false,tracking_interrupted,false,false,right,0,0,0,false,,false,,false,false,,0,false,false,,,,,row retained for reducer evidence
pause_mid_rep,base,21,1660,step-up-alternation-runtime,step-up-set-1,0,pause_mid_rep-attempt-1,pause_mid_rep-logical-1,alternation_runtime,rep_terminal,ready_both_feet_floor,ready_both_feet_floor,left,left,true,true,false,false,true,not_applicable,false,false,left,0,0,0,false,,false,,false,false,,0,false,false,,,,,row retained for reducer evidence
background_mid_rep,base,22,1693,step-up-alternation-runtime,step-up-set-1,0,background_mid_rep-attempt-1,background_mid_rep-logical-1,alternation_runtime,rep_terminal,ready_both_feet_floor,ready_both_feet_floor,left,left,true,true,false,false,true,not_applicable,false,false,left,0,0,0,false,,false,,false,false,,0,false,false,,,,,row retained for reducer evidence
restore_after_six_reps,base,23,1726,step-up-alternation-runtime,step-up-set-1,0,restore_after_six_reps-attempt-1,restore_after_six_reps-logical-1,local_serializer,local_roundtrip,awaiting_expected_lead,ready_both_feet_floor,left,left,true,true,true,true,true,accepted,true,true,right,1,1,0,false,,false,,false,false,,0,true,true,,,,,row retained for reducer evidence
restore_mid_rep,base,24,1759,step-up-alternation-runtime,step-up-set-1,0,restore_mid_rep-attempt-1,restore_mid_rep-logical-1,local_serializer,local_roundtrip,ready_both_feet_floor,ready_both_feet_floor,left,left,true,true,false,false,true,not_applicable,false,false,left,0,0,0,false,,false,,false,false,,0,true,true,,,,,row retained for reducer evidence
cancel_mid_set,base,25,1792,step-up-alternation-runtime,step-up-set-1,0,cancel_mid_set-attempt-1,cancel_mid_set-logical-1,alternation_runtime,rep_terminal,ready_both_feet_floor,ready_both_feet_floor,left,left,true,true,false,false,true,not_applicable,false,false,left,0,0,0,false,,false,,false,false,,0,false,false,left,left,,,row retained for reducer evidence
skip_mid_set,base,26,1825,step-up-alternation-runtime,step-up-set-1,0,skip_mid_set-attempt-1,skip_mid_set-logical-1,alternation_runtime,rep_terminal,ready_both_feet_floor,ready_both_feet_floor,left,left,true,true,false,false,true,not_applicable,false,false,left,0,0,0,false,,false,,false,false,,0,false,false,left,left,,,row retained for reducer evidence
default_target_12,base,27,1858,step-up-alternation-runtime,step-up-set-1,0,default_target_12-attempt-1,default_target_12-logical-1,feature_selector,static_query,ready_both_feet_floor,ready_both_feet_floor,left,left,true,true,false,false,true,not_applicable,false,false,left,0,0,0,false,,false,,false,false,,0,false,false,,,,,row retained for reducer evidence
even_scaled_target_10,base,28,1891,step-up-alternation-runtime,step-up-set-1,0,even_scaled_target_10-attempt-1,even_scaled_target_10-logical-1,alternation_runtime,rep_terminal,ready_both_feet_floor,ready_both_feet_floor,left,left,true,true,false,false,true,not_applicable,false,false,left,0,0,0,false,,false,,false,false,,0,false,false,,,,,row retained for reducer evidence
odd_scaled_target_9_blocked,base,29,1924,step-up-alternation-runtime,step-up-set-1,0,odd_scaled_target_9_blocked-attempt-1,odd_scaled_target_9_blocked-logical-1,alternation_runtime,rep_terminal,ready_both_feet_floor,ready_both_feet_floor,left,left,true,true,false,false,true,not_applicable,false,false,left,0,0,0,false,,false,,false,false,,0,false,false,,,,,row retained for reducer evidence
noninteger_target_blocked,base,30,1957,step-up-alternation-runtime,step-up-set-1,0,noninteger_target_blocked-attempt-1,noninteger_target_blocked-logical-1,alternation_runtime,rep_terminal,ready_both_feet_floor,ready_both_feet_floor,left,left,true,true,false,false,true,not_applicable,false,false,left,0,0,0,false,,false,,false,false,,0,false,false,,,,,row retained for reducer evidence
short_session_final_target,base,31,1990,step-up-alternation-runtime,step-up-set-1,0,short_session_final_target-attempt-1,short_session_final_target-logical-1,alternation_runtime,rep_terminal,ready_both_feet_floor,ready_both_feet_floor,left,left,true,true,false,false,true,not_applicable,false,false,left,0,0,0,false,,false,,false,false,,0,false,false,,,,,row retained for reducer evidence
visible_voice_runtime_target_match,base,32,2023,step-up-alternation-runtime,step-up-set-1,0,visible_voice_runtime_target_match-attempt-1,visible_voice_runtime_target_match-logical-1,voice_planner,rep_terminal,ready_both_feet_floor,ready_both_feet_floor,left,left,true,true,false,false,true,not_applicable,false,false,left,0,0,0,false,,false,,false,false,,0,false,false,,,left,Do twelve total reps.,target=Do twelve total reps.
seed_defaults_left,base,33,2056,step-up-alternation-runtime,step-up-set-1,0,seed_defaults_left-attempt-1,seed_defaults_left-logical-1,seed_updater,static_query,static_query,ready_both_feet_floor,left,left,true,true,false,false,true,not_applicable,false,false,left,0,0,0,false,,false,,false,false,,0,false,false,left,left,,,row retained for reducer evidence
successful_completion_flips_seed,base,34,2089,step-up-alternation-runtime,step-up-set-1,0,successful_completion_flips_seed-attempt-1,successful_completion_flips_seed-logical-1,seed_updater,rep_terminal,ready_both_feet_floor,ready_both_feet_floor,left,left,true,true,false,false,true,not_applicable,false,false,left,0,0,0,false,,false,,false,false,step-up-completion-1,0,false,false,left,right,,,row retained for reducer evidence
skip_does_not_flip_seed,base,35,2122,step-up-alternation-runtime,step-up-set-1,0,skip_does_not_flip_seed-attempt-1,skip_does_not_flip_seed-logical-1,seed_updater,rep_terminal,ready_both_feet_floor,ready_both_feet_floor,left,left,true,true,false,false,true,not_applicable,false,false,left,0,0,0,false,,false,,false,false,,0,false,false,left,left,,,row retained for reducer evidence
manual_practice_does_not_flip_seed,base,36,2155,step-up-alternation-runtime,step-up-set-1,0,manual_practice_does_not_flip_seed-attempt-1,manual_practice_does_not_flip_seed-logical-1,seed_updater,rep_terminal,ready_both_feet_floor,ready_both_feet_floor,left,left,true,true,false,false,true,not_applicable,false,false,left,0,0,0,false,,false,,false,false,,0,false,false,left,left,,,row retained for reducer evidence
duplicate_completion_idempotent,base,37,2188,step-up-alternation-runtime,step-up-set-1,0,dup-attempt-1,logical-rep-duplicate,alternation_runtime,duplicate_terminal,ready_both_feet_floor,ready_both_feet_floor,left,left,true,true,false,false,true,not_applicable,false,false,left,0,0,0,false,,false,,false,false,step-up-completion-1,0,false,false,left,left,,,row retained for reducer evidence
sync_restore_preserves_seed,base,38,2221,step-up-alternation-runtime,step-up-set-1,0,sync_restore_preserves_seed-attempt-1,sync_restore_preserves_seed-logical-1,local_serializer,local_roundtrip,ready_both_feet_floor,ready_both_feet_floor,left,left,true,true,false,false,true,not_applicable,false,false,left,0,0,0,false,,false,,false,false,,0,true,true,left,left,,,row retained for reducer evidence
one_set_one_progression_event,base,39,2254,step-up-alternation-runtime,step-up-set-1,0,one_set_one_progression_event-attempt-1,one_set_one_progression_event-logical-1,progression,rep_terminal,ready_both_feet_floor,ready_both_feet_floor,left,left,true,true,false,false,true,not_applicable,false,false,left,0,0,0,false,,false,step-up-progression-1,true,true,,0,false,false,,,,,row retained for reducer evidence
lead_counts_do_not_double_set_count,base,40,2287,step-up-alternation-runtime,step-up-set-1,0,lead_counts_do_not_double_set_count-attempt-1,lead_counts_do_not_double_set_count-logical-1,alternation_runtime,rep_terminal,ready_both_feet_floor,ready_both_feet_floor,left,left,true,true,false,false,true,not_applicable,false,false,left,0,0,0,false,,false,,false,false,,0,false,false,,,,,row retained for reducer evidence
valid_time_not_doubled,base,41,2320,step-up-alternation-runtime,step-up-set-1,0,valid_time_not_doubled-attempt-1,valid_time_not_doubled-logical-1,alternation_runtime,rep_terminal,ready_both_feet_floor,ready_both_feet_floor,left,left,true,true,false,false,true,not_applicable,false,false,left,0,0,0,false,,false,step-up-progression-1,true,true,,0,false,false,,,,,row retained for reducer evidence
twelve_total_unequal_sides_rejected,base,42,2353,step-up-alternation-runtime,step-up-set-1,0,twelve_total_unequal_sides_rejected-attempt-1,twelve_total_unequal_sides_rejected-logical-1,alternation_runtime,rep_terminal,ready_both_feet_floor,ready_both_feet_floor,left,left,true,true,false,false,true,not_applicable,false,false,left,0,0,0,false,,false,,false,false,,0,false,false,,,,,row retained for reducer evidence
broken_alternation_not_progression_eligible,base,43,2386,step-up-alternation-runtime,step-up-set-1,0,broken_alternation_not_progression_eligible-attempt-1,broken_alternation_not_progression_eligible-logical-1,progression,rep_terminal,ready_both_feet_floor,ready_both_feet_floor,left,left,true,true,false,false,true,not_applicable,false,false,left,0,0,0,false,,false,step-up-progression-1,true,false,,0,false,false,,,,,row retained for reducer evidence
legacy_result_still_parses,base,44,2419,legacy-runtime,step-up-set-1,0,legacy_result_still_parses-attempt-1,legacy_result_still_parses-logical-1,legacy_grader,rep_terminal,ready_both_feet_floor,ready_both_feet_floor,left,left,true,true,false,false,true,not_applicable,false,false,left,0,0,0,false,,false,,false,false,,0,false,false,,,,,row retained for reducer evidence
step_up_start_left_logical_plan,base,45,2452,step-up-alternation-runtime,step-up-set-1,0,step_up_start_left_logical_plan-attempt-1,step_up_start_left_logical_plan-logical-1,voice_planner,rep_terminal,ready_both_feet_floor,ready_both_feet_floor,left,left,true,true,false,false,true,not_applicable,false,false,left,0,0,0,false,,false,,false,false,,0,false,false,,,left,Do twelve total reps.,row retained for reducer evidence
step_up_start_right_logical_plan,base,46,2485,step-up-alternation-runtime,step-up-set-1,0,step_up_start_right_logical_plan-attempt-1,step_up_start_right_logical_plan-logical-1,voice_planner,rep_terminal,ready_both_feet_floor,ready_both_feet_floor,right,right,true,true,false,false,true,not_applicable,false,false,right,0,0,0,false,,false,,false,false,,0,false,false,,,right,Do twelve total reps.,row retained for reducer evidence
wrong_lead_left_correction_plan,base,47,2518,step-up-alternation-runtime,step-up-set-1,0,wrong_lead_left_correction_plan-attempt-1,wrong_lead_left_correction_plan-logical-1,voice_planner,rep_terminal,ready_both_feet_floor,wrong_lead_recovery,left,right,true,true,false,true,true,wrong_lead,false,false,left,0,0,0,false,,false,,false,false,,0,false,false,,,left,Do twelve total reps.,row retained for reducer evidence
wrong_lead_right_correction_plan,base,48,2551,step-up-alternation-runtime,step-up-set-1,0,wrong_lead_right_correction_plan-attempt-1,wrong_lead_right_correction_plan-logical-1,voice_planner,rep_terminal,ready_both_feet_floor,wrong_lead_recovery,left,right,true,true,false,true,true,wrong_lead,false,false,left,0,0,0,false,,false,,false,false,,0,false,false,,,left,Do twelve total reps.,row retained for reducer evidence
no_per_rep_spoken_switch,base,49,2584,step-up-alternation-runtime,step-up-set-1,0,no_per_rep_spoken_switch-attempt-1,no_per_rep_spoken_switch-logical-1,voice_planner,rep_terminal,awaiting_expected_lead,ready_both_feet_floor,left,left,true,true,true,true,true,accepted,true,true,right,1,1,0,false,,false,,false,false,,0,false,false,,,left,Do twelve total reps.,row retained for reducer evidence
feature_off_legacy_unchanged,base,50,2617,legacy-runtime,step-up-set-1,0,feature_off_legacy_unchanged-attempt-1,feature_off_legacy_unchanged-logical-1,feature_selector,static_query,static_query,ready_both_feet_floor,left,left,true,true,false,false,true,not_applicable,false,false,left,0,0,0,false,,false,,false,false,,0,false,false,,,,,"defaults={""balanceV2AudioReady"":false,""balanceV2Selectable"":false,""stepUpAlternationDefaultEnabled"":false,""trainingVoiceV21AudioReady"":false,""trainingVoiceV21BehaviorReady"":true,""trainingVoiceV21DefaultEnabled"":false}"
alternation_flag_alone_no_half_activation,base,51,2650,step-up-alternation-runtime,step-up-set-1,0,alternation_flag_alone_no_half_activation-attempt-1,alternation_flag_alone_no_half_activation-logical-1,alternation_runtime,rep_terminal,static_query,ready_both_feet_floor,left,left,true,true,false,false,true,not_applicable,false,false,left,0,0,0,false,,false,,false,false,,0,false,false,,,,,row retained for reducer evidence
training_voice_remains_default_closed,base,52,2683,step-up-alternation-runtime,step-up-set-1,0,training_voice_remains_default_closed-attempt-1,training_voice_remains_default_closed-logical-1,voice_planner,static_query,static_query,ready_both_feet_floor,left,left,true,true,false,false,true,not_applicable,false,false,left,0,0,0,false,,false,,false,false,,0,false,false,,,left,Do twelve total reps.,"defaults={""balanceV2AudioReady"":false,""balanceV2Selectable"":false,""stepUpAlternationDefaultEnabled"":false,""trainingVoiceV21AudioReady"":false,""trainingVoiceV21BehaviorReady"":true,""trainingVoiceV21DefaultEnabled"":false}"
balance_v2_remains_default_closed,base,53,2716,step-up-alternation-runtime,step-up-set-1,0,balance_v2_remains_default_closed-attempt-1,balance_v2_remains_default_closed-logical-1,feature_selector,static_query,static_query,ready_both_feet_floor,left,left,true,true,false,false,true,not_applicable,false,false,left,0,0,0,false,,false,,false,false,,0,false,false,,,,,"defaults={""balanceV2AudioReady"":false,""balanceV2Selectable"":false,""stepUpAlternationDefaultEnabled"":false,""trainingVoiceV21AudioReady"":false,""trainingVoiceV21BehaviorReady"":true,""trainingVoiceV21DefaultEnabled"":false}"
integration_generated_item_selects_runtime,base,54,2749,step-up-alternation-runtime,step-up-set-1,0,integration_generated_item_selects_runtime-attempt-1,integration_generated_item_selects_runtime-logical-1,alternation_runtime,rep_terminal,ready_both_feet_floor,ready_both_feet_floor,left,left,true,true,false,false,true,not_applicable,false,false,left,0,0,0,false,,false,,false,false,,0,false,false,,,,,row retained for reducer evidence
integration_step_up_flag_alone_stays_legacy,base,55,2782,legacy-runtime,step-up-set-1,0,integration_step_up_flag_alone_stays_legacy-attempt-1,integration_step_up_flag_alone_stays_legacy-logical-1,legacy_grader,rep_terminal,static_query,ready_both_feet_floor,left,left,true,true,false,false,true,not_applicable,false,false,left,0,0,0,false,,false,,false,false,,0,false,false,,,,,row retained for reducer evidence
integration_one_runtime_owner,base,56,2815,step-up-alternation-runtime,step-up-set-1,0,integration_one_runtime_owner-attempt-1,integration_one_runtime_owner-logical-1,alternation_runtime,rep_terminal,ready_both_feet_floor,ready_both_feet_floor,left,left,true,true,false,false,true,not_applicable,false,false,left,0,0,0,false,,false,,false,false,,0,false,false,,,,,row retained for reducer evidence
integration_existing_legacy_session_stays_legacy,base,57,2848,legacy-runtime,step-up-set-1,0,integration_existing_legacy_session_stays_legacy-attempt-1,integration_existing_legacy_session_stays_legacy-logical-1,legacy_grader,rep_terminal,ready_both_feet_floor,ready_both_feet_floor,left,left,true,true,false,false,true,not_applicable,false,false,left,0,0,0,false,,false,,false,false,,0,false,false,,,,,row retained for reducer evidence
integration_frames_left_lead_to_evidence,base,58,2881,step-up-alternation-runtime,step-up-set-1,0,integration_frames_left_lead_to_evidence-attempt-1,integration_frames_left_lead_to_evidence-logical-1,alternation_runtime,rep_terminal,awaiting_expected_lead,ready_both_feet_floor,left,left,true,true,true,true,true,accepted,true,true,right,1,1,0,false,,false,,false,false,,0,false,false,,,,,row retained for reducer evidence
integration_frames_right_lead_to_evidence,base,59,2914,step-up-alternation-runtime,step-up-set-1,0,integration_frames_right_lead_to_evidence-attempt-1,integration_frames_right_lead_to_evidence-logical-1,alternation_runtime,rep_terminal,awaiting_expected_lead,ready_both_feet_floor,right,right,true,true,true,true,true,accepted,true,true,left,1,0,1,false,,false,,false,false,,0,false,false,,,,,row retained for reducer evidence
integration_frames_wrong_lead_rejected,base,60,2947,step-up-alternation-runtime,step-up-set-1,0,integration_frames_wrong_lead_rejected-attempt-1,integration_frames_wrong_lead_rejected-logical-1,alternation_runtime,rep_terminal,ready_both_feet_floor,wrong_lead_recovery,left,right,true,true,false,true,true,wrong_lead,false,false,left,0,0,0,false,,false,,false,false,,0,false,false,,,,,row retained for reducer evidence
integration_frames_unknown_lead_rejected,base,61,2980,step-up-alternation-runtime,step-up-set-1,0,integration_frames_unknown_lead_rejected-attempt-1,integration_frames_unknown_lead_rejected-logical-1,alternation_runtime,rep_terminal,ready_both_feet_floor,ready_both_feet_floor,left,,true,false,false,false,true,invalid_phase,false,false,left,0,0,0,false,,false,,false,false,,0,false,false,,,,,row retained for reducer evidence
integration_frames_top_without_return_rejected,base,62,3013,step-up-alternation-runtime,step-up-set-1,0,integration_frames_top_without_return_rejected-attempt-1,integration_frames_top_without_return_rejected-logical-1,alternation_runtime,rep_terminal,ready_both_feet_floor,ready_both_feet_floor,left,left,true,true,true,false,true,invalid_phase,false,false,left,0,0,0,false,,false,,false,false,,0,false,false,,,,,row retained for reducer evidence
integration_frames_one_foot_on_step_rejected,base,63,3046,step-up-alternation-runtime,step-up-set-1,0,integration_frames_one_foot_on_step_rejected-attempt-1,integration_frames_one_foot_on_step_rejected-logical-1,alternation_runtime,rep_terminal,ready_both_feet_floor,ready_both_feet_floor,left,left,false,true,false,false,true,invalid_phase,false,false,left,0,0,0,false,,false,,false,false,,0,false,false,,,,,row retained for reducer evidence
integration_frames_threshold_noise_single_credit,base,64,3079,step-up-alternation-runtime,step-up-set-1,0,integration_frames_threshold_noise_single_credit-attempt-1,integration_frames_threshold_noise_single_credit-logical-1,alternation_runtime,rep_terminal,ready_both_feet_floor,ready_both_feet_floor,left,left,true,true,false,false,true,not_applicable,false,false,left,0,0,0,false,,false,,false,false,,0,false,false,,,,,threshold noise retained one credit only
integration_tracking_interrupt_retires_rep,base,65,3112,step-up-alternation-runtime,step-up-set-1,0,integration_tracking_interrupt_retires_rep-attempt-1,integration_tracking_interrupt_retires_rep-logical-1,alternation_runtime,rep_terminal,ready_both_feet_floor,tracking_recovery,left,left,true,true,false,false,false,tracking_interrupted,false,false,left,0,0,0,false,,false,,false,false,,0,false,false,,,,,row retained for reducer evidence
integration_evidence_dispatches_state_machine,base,66,3145,step-up-alternation-runtime,step-up-set-1,0,integration_evidence_dispatches_state_machine-attempt-1,integration_evidence_dispatches_state_machine-logical-1,alternation_runtime,rep_terminal,ready_both_feet_floor,ready_both_feet_floor,left,left,true,true,false,false,true,not_applicable,false,false,left,0,0,0,false,,false,,false,false,,0,false,false,,,,,row retained for reducer evidence
integration_accepted_rep_is_only_sfx_source,base,67,3178,step-up-alternation-runtime,step-up-set-1,0,integration_accepted_rep_is_only_sfx_source-attempt-1,integration_accepted_rep_is_only_sfx_source-logical-1,sfx_channel,rep_terminal,awaiting_expected_lead,ready_both_feet_floor,left,left,true,true,true,true,true,accepted,true,true,right,1,1,0,false,,false,,false,false,,0,false,false,,,,,row retained for reducer evidence
integration_generic_rep_sfx_suppressed,base,68,3211,step-up-alternation-runtime,step-up-set-1,0,integration_generic_rep_sfx_suppressed-attempt-1,integration_generic_rep_sfx_suppressed-logical-1,sfx_channel,rep_terminal,ready_both_feet_floor,ready_both_feet_floor,left,,true,false,false,false,true,invalid_phase,false,false,left,0,0,0,false,,false,,false,false,,0,false,false,,,,,row retained for reducer evidence
integration_twelve_reps_complete_one_set,base,69,3244,step-up-alternation-runtime,step-up-set-1,0,integration_twelve_reps_complete_one_set-attempt-1,integration_twelve_reps_complete_one_set-logical-1,alternation_runtime,rep_terminal,awaiting_expected_lead,ready_both_feet_floor,left,left,true,true,true,true,true,accepted,true,true,right,12,6,6,true,step-up-set-result-1,true,,false,true,,0,false,false,,,,,row retained for reducer evidence
integration_three_sets_preserve_start_order,base,70,3277,step-up-alternation-runtime,step-up-set-1,0,integration_three_sets_preserve_start_order-attempt-1,integration_three_sets_preserve_start_order-logical-1,alternation_runtime,rep_terminal,ready_both_feet_floor,ready_both_feet_floor,left,left,true,true,false,false,true,not_applicable,false,false,left,0,0,0,false,,false,,false,false,,0,false,false,,,,,row retained for reducer evidence
integration_state_machine_emits_set_result,base,71,3310,step-up-alternation-runtime,step-up-set-1,0,integration_state_machine_emits_set_result-attempt-1,integration_state_machine_emits_set_result-logical-1,set_result_adapter,rep_terminal,ready_both_feet_floor,ready_both_feet_floor,left,left,true,true,false,false,true,not_applicable,false,false,left,0,0,0,true,step-up-set-result-1,true,,false,false,,0,false,false,,,,,row retained for reducer evidence
