scenarioId,category,exerciseId,capabilityStatus,floorSpace,dailyContext,releaseStatus,entryPath,planOutcome,substituteExerciseId,skipReason,capabilitySnapshotValid,floorTransitionDue,finalPositionPhase,countdownAllowed,activeAllowed,voiceCueKeys,blockers,passed,testCoverage,notes
rapid_ready_tap_deduplicated,final_position,glute-bridge-hold,confirmed,true,ready,,final_position,blocked_until_ready,,,,,awaiting_visibility,false,false,floor_slow_transition|ex-glute-bridge,,true,sessionPlayer.test.ts,Default-closed floor V2.1 runtime gate requires explicit confirmation plus movement camera readiness.
tracking_loss_during_floor_setup,final_position,glute-bridge-hold,confirmed,true,ready,,final_position,blocked_until_ready,,,,,awaiting_visibility,false,false,floor_slow_transition|ex-glute-bridge|final-position-set-v21,,true,sessionPlayer.test.ts,Default-closed floor V2.1 runtime gate requires explicit confirmation plus movement camera readiness.
background_during_floor_setup,final_position,glute-bridge-hold,confirmed,true,ready,,final_position,blocked_until_ready,,,,,awaiting_visibility,false,false,floor_slow_transition|ex-glute-bridge,,true,sessionPlayer.test.ts,Default-closed floor V2.1 runtime gate requires explicit confirmation plus movement camera readiness.
restore_floor_setup_no_auto_start,final_position,glute-bridge-hold,confirmed,true,ready,,final_position,blocked_until_ready,,,,,awaiting_visibility,false,false,floor_slow_transition|ex-glute-bridge,,true,sessionPlayer.test.ts,Default-closed floor V2.1 runtime gate requires explicit confirmation plus movement camera readiness.
voice_change_does_not_mark_ready,final_position,glute-bridge-hold,confirmed,true,ready,,final_position,blocked_until_ready,,,,,awaiting_user_transition,false,false,floor_slow_transition|ex-glute-bridge,,true,sessionPlayer.test.ts,Default-closed floor V2.1 runtime gate requires explicit confirmation plus movement camera readiness.
first_floor_item_transition_once,session_memory,glute-bridge-hold,confirmed,true,ready,,session_memory,transition_due_once,,,,true,awaiting_user_transition,false,false,floor_slow_transition|ex-glute-bridge,,true,sessionPlayer.test.ts,
later_floor_set_no_transition,session_memory,glute-bridge-hold,confirmed,true,ready,,session_memory,no_transition_repeat,,,,false,awaiting_user_transition,false,false,ex-glute-bridge,,true,sessionPlayer.test.ts,
contiguous_floor_item_no_duplicate_family_transition,session_memory,glute-bridge-reps,confirmed,true,ready,,session_memory,no_duplicate_family_transition,,,,false,awaiting_user_transition,false,false,ex-glute-bridge,,true,sequencePlanner/sessionPlayer design,
new_session_resets_transition_memory,session_memory,glute-bridge-hold,confirmed,true,ready,,session_memory,transition_due_new_session,,,,true,,false,false,floor_slow_transition|ex-glute-bridge,,true,sessionPlayer.test.ts,
pause_preserves_floor_memory,session_memory,glute-bridge-hold,confirmed,true,ready,,session_memory,memory_preserved,,,,false,,false,false,,,true,sessionPlayer pause/shiftTiming,
restore_preserves_floor_memory,session_memory,glute-bridge-hold,confirmed,true,ready,,session_memory,restore_setup_boundary,,,,false,,false,false,,,true,documented restore boundary,
stale_item_transition_callback_ignored,session_memory,glute-bridge-hold,confirmed,true,ready,,session_memory,guard_rejected,,,,false,,false,false,,,true,sessionPlayer.test.ts,
floor_contract_blockers_reconciled_glute-bridge-hold,voice_readiness,glute-bridge-hold,confirmed,true,ready,v1_core,voice_readiness,contract_reconciled,,,,,ready,false,false,equip-floor-transition-v21|ex-glute-bridge-hold-first-v21|final-position-set-v21|target-glute-bridge-hold-v21,,true,voiceV21 foundation.test.ts,"Floor gate, final-position, and safety-subsumption implementation blockers are removed in the post-safety baseline."
floor_contract_blockers_reconciled_glute-bridge-reps,voice_readiness,glute-bridge-reps,confirmed,true,ready,v1_core,voice_readiness,contract_reconciled,,,,,ready,false,false,equip-floor-transition-v21|ex-glute-bridge-reps-first-v21|final-position-set-v21|target-glute-bridge-reps-v21,,true,voiceV21 foundation.test.ts,"Floor gate, final-position, and safety-subsumption implementation blockers are removed in the post-safety baseline."
floor_contract_blockers_reconciled_push-up-standard,voice_readiness,push-up-standard,confirmed,true,ready,v1_optional,voice_readiness,contract_reconciled,,,,,ready,false,false,equip-floor-transition-v21|ex-push-up-standard-first-v21|final-position-set-v21|target-push-up-standard-v21,,true,voiceV21 foundation.test.ts,"Floor gate, final-position, and safety-subsumption implementation blockers are removed in the post-safety baseline."
floor_first_use_logical_sequence,voice_readiness,glute-bridge-hold,confirmed,true,ready,,voice_readiness,logical_sequence_ready,,,,,ready,false,false,equip-floor-transition-v21|ex-glute-bridge-hold-first-v21|final-position-set-v21|target-glute-bridge-hold-v21,,true,voiceV21 foundation.test.ts,
floor_later_set_logical_sequence,voice_readiness,glute-bridge-hold,confirmed,true,ready,,voice_readiness,later_set_omits_transition,,,,,ready,false,false,ex-glute-bridge-hold-next-v21|target-glute-bridge-hold-v21,,true,voiceV21 foundation.test.ts,
repeat_instructions_no_capability_question,voice_readiness,glute-bridge-hold,confirmed,true,ready,,voice_readiness,repeat_no_question,,,,,awaiting_user_transition,false,false,ex-glute-bridge-hold-first-v21|target-glute-bridge-hold-v21,,true,voiceV21 foundation.test.ts,
post_safety_safety_subsumption_removed,voice_readiness,glute-bridge-hold,confirmed,true,ready,,voice_readiness,post_safety_removed,,,,,,false,false,,,true,voiceV21 foundation.test.ts,Safety integration is complete; IR-VOICE-SAFETY-SUBSUMPTION is expected to be absent.
physical_manifest_unchanged_this_task,voice_readiness,,,,ready,,voice_readiness,audio_unchanged,,,,,,false,false,,,true,task-start audio hashes,"Audio integrity is checked against task-start hashes, not Git HEAD."
training_voice_stays_closed,defaults,,,,ready,,defaults,legacy,,,,,,false,false,,audio_ready_false|global_audio_ready_false|missing_audio:equip-floor-transition-v21|missing_audio:ex-glute-bridge-hold-first-v21|missing_audio:ex-glute-bridge-hold-next-v21|missing_audio:target-glute-bridge-hold-v21,true,voiceV21 foundation.test.ts,
balance_v2_stays_closed,defaults,,,,ready,,defaults,default_closed_audio_pending,,,,,,false,false,,,true,project default audit,
step_up_stays_closed,defaults,,,,ready,,defaults,default_off,,,,,,false,false,,,true,step-up closure tests,
