scenarioId,category,flow,voiceId,runtimeMode,featureState,logicalCueKeys,physicalCueKeys,trackedOutcome,controllerBoundary,activeStarted,activeStopped,resultPersisted,legacyVoiceEmitted,v21VoiceEmitted,readinessOutcome,passed,testCoverage,notes
training_feature_default_off,feature_gates,training,clara;marcus,internal_v21_closed,closed,,,covered,guarded,false,false,false,false,false,pass,true,post-generation audit plus focused runtime suites,Canonical whole-project post-generation scenario.
micro_feature_default_off,feature_gates,micro_check,clara;marcus,internal_v21_closed,closed,,,covered,guarded,false,false,false,false,false,pass,true,post-generation audit plus focused runtime suites,Canonical whole-project post-generation scenario.
balance_v2_default_closed,feature_gates,balance_v2,clara;marcus,internal_v21_closed,closed,,,covered,guarded,false,false,false,false,false,pass,true,post-generation audit plus focused runtime suites,Canonical whole-project post-generation scenario.
step_up_default_off,feature_gates,training,clara;marcus,internal_v21_closed,closed,,,covered,guarded,false,false,false,false,false,pass,true,post-generation audit plus focused runtime suites,Canonical whole-project post-generation scenario.
floor_v21_default_off,feature_gates,training,clara;marcus,internal_v21_closed,closed,,,covered,guarded,false,false,false,false,false,pass,true,post-generation audit plus focused runtime suites,Canonical whole-project post-generation scenario.
training_physical_audio_ready_but_approval_false,readiness,training,clara;marcus,internal_v21_closed,closed,,,covered,guarded,false,false,false,false,false,pass,true,post-generation audit plus focused runtime suites,Canonical whole-project post-generation scenario.
micro_physical_audio_ready_but_approval_false,readiness,micro_check,clara;marcus,internal_v21_closed,closed,,,covered,guarded,false,false,false,false,false,pass,true,post-generation audit plus focused runtime suites,Canonical whole-project post-generation scenario.
balance_physical_audio_ready_but_approval_false,readiness,balance_v2,clara;marcus,internal_v21_closed,closed,,,covered,guarded,false,false,false,false,false,pass,true,post-generation audit plus focused runtime suites,Canonical whole-project post-generation scenario.
selectable_counts_zero,readiness,shared,clara;marcus,internal_v21_closed,closed,,,covered,guarded,false,false,false,false,false,pass,true,post-generation audit plus focused runtime suites,Canonical whole-project post-generation scenario.
legacy_default_route_unchanged,readiness,shared,clara;marcus,legacy_default,default,,,covered,guarded,false,false,false,false,false,pass,true,post-generation audit plus focused runtime suites,Canonical whole-project post-generation scenario.
training_session_entry_sequence,training_runtime,training,clara;marcus,internal_v21_closed,closed,training-intro-v21;safe-session-start-v21,training-intro-v21;safe-session-start-v21,covered,guarded,false,false,false,false,true,pass,true,post-generation audit plus focused runtime suites,Canonical whole-project post-generation scenario.
training_safety_memory_after_generation,training_runtime,training,clara;marcus,internal_v21_closed,closed,safe-session-start-v21,safe-session-start-v21,covered,guarded,false,false,false,false,true,pass,true,post-generation audit plus focused runtime suites,Canonical whole-project post-generation scenario.
training_first_use_complex_setup,training_runtime,training,clara;marcus,internal_v21_closed,closed,equip-door-anchor-v21;ex-standing-band-row-first-v21;target-standing-band-row-v21,equip-door-anchor-v21;ex-standing-band-row-first-v21;target-standing-band-row-v21,covered,guarded,false,false,false,false,true,pass,true,post-generation audit plus focused runtime suites,Canonical whole-project post-generation scenario.
training_later_set_no_safety_repeat,training_runtime,training,clara;marcus,internal_v21_closed,closed,ex-squat-free-next-v21;target-squat-free-v21,ex-squat-free-next-v21;target-squat-free-v21,covered,guarded,false,false,false,false,true,pass,true,post-generation audit plus focused runtime suites,Canonical whole-project post-generation scenario.
training_repeat_instructions_no_safety,training_runtime,training,clara;marcus,internal_v21_closed,closed,ex-squat-free-first-v21;target-squat-free-v21,ex-squat-free-first-v21;target-squat-free-v21,covered,guarded,false,false,false,false,true,pass,true,post-generation audit plus focused runtime suites,Canonical whole-project post-generation scenario.
training_countdown_go_boundary,training_runtime,training,clara;marcus,internal_v21_closed,closed,countdown-three;countdown-two;countdown-one;go,countdown-three;countdown-two;countdown-one;go,covered,go_playback_start,true,false,false,false,true,pass,true,post-generation audit plus focused runtime suites,Canonical whole-project post-generation scenario.
training_missing_required_asset_injection,training_runtime,training,clara;marcus,internal_v21_closed,closed,ex-squat-free-first-v21,ex-squat-free-first-v21,fail_closed,guarded,false,false,false,false,true,pass,true,post-generation audit plus focused runtime suites,Canonical whole-project post-generation scenario.
training_pause_resume,training_runtime,training,clara;marcus,internal_v21_closed,closed,paused-v21;resuming-v21,paused-v21;resuming-v21,covered,guarded,false,false,false,false,true,pass,true,post-generation audit plus focused runtime suites,Canonical whole-project post-generation scenario.
training_retry,training_runtime,training,clara;marcus,internal_v21_closed,closed,retry-v21,retry-v21,covered,guarded,false,false,false,false,true,pass,true,post-generation audit plus focused runtime suites,Canonical whole-project post-generation scenario.
training_skip,training_runtime,training,clara;marcus,internal_v21_closed,closed,training-skip-v21,training-skip-v21,covered,guarded,false,false,false,false,true,pass,true,post-generation audit plus focused runtime suites,Canonical whole-project post-generation scenario.
training_tracking_recovery,training_runtime,training,clara;marcus,internal_v21_closed,closed,tracking-loss-v21;tracking-recovered-v21,tracking-loss-v21;tracking-recovered-v21,covered,guarded,false,false,false,false,true,pass,true,post-generation audit plus focused runtime suites,Canonical whole-project post-generation scenario.
training_voice_switch_countdown,training_runtime,training,clara;marcus,internal_v21_closed,closed,countdown-three;countdown-two;countdown-one;go,countdown-three;countdown-two;countdown-one;go,cancel_and_restart_required_sequence,guarded,false,false,false,false,true,pass,true,post-generation audit plus focused runtime suites,Canonical whole-project post-generation scenario.
training_session_completion_once,training_runtime,training,clara;marcus,internal_v21_closed,closed,session-complete-v21,session-complete-v21,covered,guarded,false,true,false,false,true,pass,true,post-generation audit plus focused runtime suites,Canonical whole-project post-generation scenario.
training_restore_no_auto_active,training_runtime,training,clara;marcus,internal_v21_closed,closed,,,covered,guarded,false,false,false,false,false,pass,true,post-generation audit plus focused runtime suites,Canonical whole-project post-generation scenario.
both_sides_side_switch_sequence,both_sides_step_floor,training,clara;marcus,internal_v21_closed,closed,switch-legs-v21;switch-sides-v21,switch-legs-v21;switch-sides-v21,covered,guarded,false,false,false,false,true,pass,true,post-generation audit plus focused runtime suites,Canonical whole-project post-generation scenario.
both_sides_no_rest_between_sides,both_sides_step_floor,training,clara;marcus,internal_v21_closed,closed,switch-legs-v21,switch-legs-v21,covered,guarded,false,false,false,false,true,pass,true,post-generation audit plus focused runtime suites,Canonical whole-project post-generation scenario.
step_up_sfx_only,both_sides_step_floor,training,clara;marcus,internal_v21_closed,closed,step-up-start-left-v21;step-up-next-right-v21,step-up-start-left-v21;step-up-next-right-v21,covered,guarded,false,false,false,false,true,pass,true,post-generation audit plus focused runtime suites,Canonical whole-project post-generation scenario.
step_up_wrong_lead_correction,both_sides_step_floor,training,clara;marcus,internal_v21_closed,closed,step-up-wrong-left-v21;step-up-wrong-right-v21,step-up-wrong-left-v21;step-up-wrong-right-v21,covered,guarded,false,false,false,false,true,pass,true,post-generation audit plus focused runtime suites,Canonical whole-project post-generation scenario.
step_up_expected_lead_preserved_recovery,both_sides_step_floor,training,clara;marcus,internal_v21_closed,closed,tracking-loss-v21;step-up-start-left-v21;tracking-recovered-v21,tracking-loss-v21;step-up-start-left-v21;tracking-recovered-v21,covered,guarded,false,false,false,false,true,pass,true,post-generation audit plus focused runtime suites,Canonical whole-project post-generation scenario.
floor_transition_once,both_sides_step_floor,training,clara;marcus,internal_v21_closed,closed,equip-floor-transition-v21,equip-floor-transition-v21,covered,guarded,false,false,false,false,true,pass,true,post-generation audit plus focused runtime suites,Canonical whole-project post-generation scenario.
floor_final_position_before_countdown,both_sides_step_floor,training,clara;marcus,internal_v21_closed,closed,final-position-set-v21;countdown-three;countdown-two;countdown-one;go,final-position-set-v21;countdown-three;countdown-two;countdown-one;go,covered,guarded,false,false,false,false,true,pass,true,post-generation audit plus focused runtime suites,Canonical whole-project post-generation scenario.
floor_restore_no_auto_start,both_sides_step_floor,training,clara;marcus,internal_v21_closed,closed,,,covered,guarded,false,false,false,false,false,pass,true,post-generation audit plus focused runtime suites,Canonical whole-project post-generation scenario.
micro_chair_power_full_flow,micro_runtime,micro_check,clara;marcus,internal_v21_closed,closed,micro-chair-power-v21;final-position-set-v21;countdown-three;countdown-two;countdown-one;go;microcheck-complete-v21,micro-chair-power-v21;final-position-set-v21;countdown-three;countdown-two;countdown-one;go;microcheck-complete-v21,covered,guarded,false,false,true,false,true,pass,true,post-generation audit plus focused runtime suites,Canonical whole-project post-generation scenario.
micro_balance_left_full_flow,micro_runtime,micro_check,clara;marcus,internal_v21_closed,closed,micro-single-leg-left-v21;final-position-set-v21;countdown-three;go,micro-single-leg-left-v21;final-position-set-v21;countdown-three;go,covered,guarded,false,false,true,false,true,pass,true,post-generation audit plus focused runtime suites,Canonical whole-project post-generation scenario.
micro_balance_right_full_flow,micro_runtime,micro_check,clara;marcus,internal_v21_closed,closed,micro-single-leg-right-v21;final-position-set-v21;countdown-three;go,micro-single-leg-right-v21;final-position-set-v21;countdown-three;go,covered,guarded,false,false,true,false,true,pass,true,post-generation audit plus focused runtime suites,Canonical whole-project post-generation scenario.
micro_mobility_left_full_flow,micro_runtime,micro_check,clara;marcus,internal_v21_closed,closed,micro-mobility-left-v21;micro-relax-v21;microcheck-complete-v21,micro-mobility-left-v21;micro-relax-v21;microcheck-complete-v21,covered,guarded,false,false,true,false,true,pass,true,post-generation audit plus focused runtime suites,Canonical whole-project post-generation scenario.
micro_mobility_right_full_flow,micro_runtime,micro_check,clara;marcus,internal_v21_closed,closed,micro-mobility-right-v21;micro-relax-v21;microcheck-complete-v21,micro-mobility-right-v21;micro-relax-v21;microcheck-complete-v21,covered,guarded,false,false,true,false,true,pass,true,post-generation audit plus focused runtime suites,Canonical whole-project post-generation scenario.
micro_go_playback_start_boundary,micro_runtime,micro_check,clara;marcus,internal_v21_closed,closed,countdown-three;countdown-two;countdown-one;go,countdown-three;countdown-two;countdown-one;go,covered,go_playback_start,true,false,false,false,true,pass,true,post-generation audit plus focused runtime suites,Canonical whole-project post-generation scenario.
micro_pause_resume,micro_runtime,micro_check,clara;marcus,internal_v21_closed,closed,paused-v21;resuming-v21,paused-v21;resuming-v21,covered,guarded,false,false,false,false,true,pass,true,post-generation audit plus focused runtime suites,Canonical whole-project post-generation scenario.
micro_retry,micro_runtime,micro_check,clara;marcus,internal_v21_closed,closed,retry-v21,retry-v21,covered,guarded,false,false,false,false,true,pass,true,post-generation audit plus focused runtime suites,Canonical whole-project post-generation scenario.
micro_discard,micro_runtime,micro_check,clara;marcus,internal_v21_closed,closed,micro-discard-v21,micro-discard-v21,covered,guarded,false,false,false,false,true,pass,true,post-generation audit plus focused runtime suites,Canonical whole-project post-generation scenario.
micro_tracking_recovery,micro_runtime,micro_check,clara;marcus,internal_v21_closed,closed,tracking-loss-v21;tracking-recovered-v21,tracking-loss-v21;tracking-recovered-v21,covered,guarded,false,false,false,false,true,pass,true,post-generation audit plus focused runtime suites,Canonical whole-project post-generation scenario.
micro_completion_after_persistence,micro_runtime,micro_check,clara;marcus,internal_v21_closed,closed,microcheck-complete-v21,microcheck-complete-v21,covered,guarded,false,false,true,false,true,pass,true,post-generation audit plus focused runtime suites,Canonical whole-project post-generation scenario.
micro_invalid_no_completion,micro_runtime,micro_check,clara;marcus,internal_v21_closed,closed,,,covered,guarded,false,false,false,false,false,pass,true,post-generation audit plus focused runtime suites,Canonical whole-project post-generation scenario.
micro_voice_switch_countdown,micro_runtime,micro_check,clara;marcus,internal_v21_closed,closed,countdown-three;countdown-two;countdown-one;go,countdown-three;countdown-two;countdown-one;go,covered,guarded,false,false,false,false,true,pass,true,post-generation audit plus focused runtime suites,Canonical whole-project post-generation scenario.
micro_protocol_series_separated,micro_runtime,micro_check,clara;marcus,internal_v21_closed,closed,,,covered,guarded,false,false,false,false,false,pass,true,post-generation audit plus focused runtime suites,Canonical whole-project post-generation scenario.
mpv2_full_default_checkup_clara,mpv2_runtime,movement_checkup,clara,movement_profile_v2_current,closed,mpv2_checkup_intro;checkup-chair-stand-intro-v21;checkup-chair-stand-setup-v21;checkup-complete-v21,mpv2_checkup_intro;checkup-chair-stand-intro-v21;checkup-chair-stand-setup-v21;checkup-complete-v21,covered,guarded,false,false,false,false,true,pass,true,post-generation audit plus focused runtime suites,Canonical whole-project post-generation scenario.
mpv2_full_default_checkup_marcus,mpv2_runtime,movement_checkup,marcus,movement_profile_v2_current,closed,mpv2_checkup_intro;checkup-chair-stand-intro-v21;checkup-chair-stand-setup-v21;checkup-complete-v21,mpv2_checkup_intro;checkup-chair-stand-intro-v21;checkup-chair-stand-setup-v21;checkup-complete-v21,covered,guarded,false,false,false,false,true,pass,true,post-generation audit plus focused runtime suites,Canonical whole-project post-generation scenario.
mpv2_chair_go_boundary,mpv2_runtime,movement_checkup,clara;marcus,internal_v21_closed,closed,countdown-three;countdown-two;countdown-one;go,countdown-three;countdown-two;countdown-one;go,covered,go_playback_start,true,false,false,false,true,pass,true,post-generation audit plus focused runtime suites,Canonical whole-project post-generation scenario.
mpv2_shoulder_left_right,mpv2_runtime,movement_checkup,clara;marcus,internal_v21_closed,closed,checkup-shoulder-turn-left-v21;checkup-shoulder-raise-left-v21;checkup-shoulder-turn-right-v21;checkup-shoulder-raise-right-v21,checkup-shoulder-turn-left-v21;checkup-shoulder-raise-left-v21;checkup-shoulder-turn-right-v21;checkup-shoulder-raise-right-v21,covered,guarded,false,false,false,false,true,pass,true,post-generation audit plus focused runtime suites,Canonical whole-project post-generation scenario.
mpv2_hinge_setup,mpv2_runtime,movement_checkup,clara;marcus,internal_v21_closed,closed,checkup-hinge-setup-v21;final-position-set-v21,checkup-hinge-setup-v21;final-position-set-v21,covered,guarded,false,false,false,false,true,pass,true,post-generation audit plus focused runtime suites,Canonical whole-project post-generation scenario.
mpv2_tracking_recovery,mpv2_runtime,movement_checkup,clara;marcus,internal_v21_closed,closed,tracking-loss-v21;tracking-recovered-v21,tracking-loss-v21;tracking-recovered-v21,covered,guarded,false,false,false,false,true,pass,true,post-generation audit plus focused runtime suites,Canonical whole-project post-generation scenario.
